dataset,kir,representation,k_gate,distance,boundary,seed_count,oos_precision_mean,oos_precision_std,oos_recall_mean,oos_recall_std,oos_f1_mean,oos_f1_std,id_recall_mean,id_recall_std,auroc_mean,auroc_std,aupr_oos_mean,aupr_oos_std,fpr95_mean,fpr95_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,scoring_seconds_mean,scoring_seconds_std,samples_per_second_mean,samples_per_second_std,peak_rss_kib_mean,peak_rss_kib_std,effective_cluster_count_mean,effective_cluster_count_std,minimum_cluster_size_mean,minimum_cluster_size_std
banking77,0.10,frozen_minilm,1,euclidean,mean_std,10,0.979469600959307,0.002630498168480841,0.9007246376811594,0.026290803129660163,0.938254384472528,0.01370917211814635,0.836875,0.023652944965808265,0.9359960371376812,0.012183450023979971,0.9899567425184606,0.002304708052461415,0.26,0.04506457558018518,0.09927536231884058,0.02629080312966016,0.163125,0.023652944965808293,0.05015703389653936,0.008427308603922492,62912.37655088013,10037.767673849874,1702608.0,0.0,8.0,0.0,81.1,20.371276074141473
banking77,0.10,frozen_minilm,1,mahalanobis_diag,mean_std,10,0.9793474803341984,0.0027125792118515633,0.9319565217391305,0.022883079426617867,0.9549269379795309,0.011698272140875016,0.8303125,0.023937944222742074,0.946116847826087,0.01303750186988469,0.9912090009681003,0.0026042537028342495,0.209375,0.053420339187325354,0.06804347826086957,0.022883079426617867,0.1696875,0.023937944222742084,0.08511597643373534,0.020964891571481434,37556.061605226234,6270.8170245394385,1702608.0,0.0,8.0,0.0,81.1,20.371276074141473
banking77,0.10,frozen_minilm,2,euclidean,mean_std,10,0.9772607114608741,0.0036664128147987046,0.9069565217391304,0.03903967526700509,0.9404324467920147,0.021984568385847655,0.8184375,0.026247106321988654,0.9301145833333334,0.020490732245233095,0.9881364203265934,0.0035228257246691023,0.25625,0.06645474128223576,0.09304347826086956,0.039039675267005074,0.18156250000000002,0.026247106321988678,0.1174942625919357,0.015616617396234439,26672.249811798738,3847.0727355082226,1702608.0,0.0,16.0,0.0,19.0,4.521553322083512
banking77,0.10,frozen_minilm,2,mahalanobis_diag,mean_std,10,0.9767204365317806,0.0031824638709563634,0.9385869565217392,0.02644748300899844,0.9571127794890554,0.014333415542619176,0.8071875,0.025517644358582763,0.9407182971014493,0.01638876238677668,0.9895134413306332,0.0029726687390264515,0.2171875,0.0622956729480913,0.06141304347826087,0.026447483008998428,0.1928125,0.025517644358582774,0.21769451993750408,0.0226273493376463,14276.304201094057,1374.793711157108,1702608.0,0.0,16.0,0.0,19.0,4.521553322083512
banking77,0.10,frozen_minilm,3,euclidean,mean_std,10,0.9758547026802973,0.003703721955244312,0.9221739130434783,0.03501324167817514,0.9479800299945224,0.019775414076079502,0.80375,0.02588704094501511,0.9341911231884058,0.02603724144558558,0.9886573089299835,0.0054127720505447235,0.23375,0.06383640658398275,0.07782608695652174,0.03501324167817515,0.19625,0.02588704094501511,0.16255530242342503,0.03194099587839249,19563.442863057437,3557.1368339989103,1702608.0,0.0,24.0,0.0,12.3,4.4484703987875305
banking77,0.10,frozen_minilm,3,mahalanobis_diag,mean_std,10,0.9737080459661132,0.0038798380409181318,0.9546739130434783,0.017920402016145368,0.9640325711677262,0.01014982196059904,0.7778125,0.031473161516335356,0.9393559782608696,0.023405858237853853,0.9890866795070036,0.00420884448738476,0.2084375,0.060183638245789026,0.04532608695652174,0.017920402016145354,0.2221875,0.03147316151633536,0.2926255301106721,0.03766760194913597,10681.18537043211,1351.4103937309226,1702608.0,0.0,24.0,0.0,12.3,4.4484703987875305
banking77,0.10,frozen_minilm,4,euclidean,mean_std,10,0.9739678714762924,0.004742011850805118,0.9330797101449275,0.03701136169840292,0.9527895560133874,0.021088524255170042,0.785625,0.034742355274218234,0.9300439311594203,0.029907263035633496,0.9879581204458939,0.00574308580012966,0.240625,0.07077203229776262,0.06692028985507247,0.03701136169840291,0.214375,0.03474235527421825,0.22187183139612898,0.03873413999907319,14209.747087818841,2119.3485224659453,1702608.0,0.0,32.0,0.0,6.5,3.3747427885527643
banking77,0.10,frozen_minilm,4,mahalanobis_diag,mean_std,10,0.9702740806060115,0.004256199455877367,0.9643115942028986,0.02013560674787898,0.9671991890225505,0.011171686003675027,0.7453125,0.03557714866237095,0.938499660326087,0.029487885475056683,0.9888067831529184,0.005277840526802631,0.20625,0.07255864486361666,0.03568840579710145,0.02013560674787899,0.2546875,0.035577148662370967,0.375395790906623,0.042245017276024296,8292.632265174128,871.6750609615734,1702608.0,0.0,32.0,0.0,6.5,3.3747427885527643
banking77,0.10,frozen_minilm,5,euclidean,mean_std,10,0.9719318875532138,0.004196836998374847,0.9485869565217392,0.021214447947071096,0.9600331811077112,0.012253120099085671,0.7640625,0.033178350642985376,0.9344519927536231,0.020285661641830526,0.9880415459996904,0.003839185505246119,0.2390625,0.07402798949834222,0.05141304347826087,0.021214447947071106,0.2359375,0.03317835064298539,0.25808821371756496,0.048029906912047296,12251.07831120711,1942.6703128696936,1702608.0,0.0,40.0,0.0,4.1,2.378141197564929
banking77,0.10,frozen_minilm,5,mahalanobis_diag,mean_std,10,0.9661686419062314,0.00444885911825082,0.975,0.012263064029317896,0.9705392073141024,0.00754828811603136,0.705625,0.03783989480546806,0.9417655117753623,0.019421454706394656,0.9896734961854586,0.0030529515947152683,0.20625,0.06922186552431729,0.025,0.012263064029317886,0.294375,0.03783989480546806,0.42258923809276894,0.028590709610398297,7318.190540640373,490.6417482035783,1702608.0,0.0,40.0,0.0,4.1,2.378141197564929
banking77,0.20,frozen_minilm,1,euclidean,mean_std,10,0.9588506703965745,0.003191055195640848,0.8309274193548387,0.03306946046605908,0.8899931295462429,0.01865353447247576,0.8525,0.013905545567537595,0.9132188172043011,0.01072714661834179,0.9723996528231107,0.0033329223815462146,0.3551666666666667,0.06168643326844823,0.16907258064516129,0.03306946046605908,0.1475,0.013905545567537585,0.07962176940636709,0.025440162253948267,40800.40948121543,7419.869334519015,1702608.0,0.0,15.0,0.0,67.7,23.921399067222914
banking77,0.20,frozen_minilm,1,mahalanobis_diag,mean_std,10,0.9586541598578195,0.0028620992780748274,0.8854435483870968,0.0253661830964732,0.9204309315788839,0.013822443822344571,0.8421666666666666,0.011521584681815545,0.9298976478494624,0.009255897967070359,0.9775174124042156,0.002838634013837304,0.3011666666666667,0.0623711016496234,0.11455645161290323,0.025366183096473177,0.15783333333333333,0.011521584681815553,0.16249255739385263,0.03149988696649611,19522.39661388802,3297.497921422865,1702608.0,0.0,15.0,0.0,67.7,23.921399067222914
banking77,0.20,frozen_minilm,2,euclidean,mean_std,10,0.9516572637510214,0.005230979092539958,0.8525806451612903,0.049261880387274,0.8988187623448685,0.029022213050587737,0.8216666666666667,0.015071844406945055,0.9114133064516129,0.019316771397195103,0.9718280462877489,0.005915183914026787,0.3491666666666667,0.09492443388373802,0.1474193548387097,0.049261880387274005,0.17833333333333334,0.015071844406945043,0.21572165198158472,0.026382754023786648,14462.242098230014,1690.4170965467592,1702608.0,0.0,30.0,0.0,15.0,4.8074017006186525
banking77,0.20,frozen_minilm,2,mahalanobis_diag,mean_std,10,0.9509944836364892,0.004693430429377069,0.8903225806451613,0.04554528252032948,0.9191590408494499,0.02533708215364094,0.8106666666666666,0.01712697677155351,0.9248168010752689,0.018655295123782757,0.9753601135176756,0.0055859933703215,0.2921666666666667,0.07528976944257466,0.10967741935483871,0.04554528252032949,0.18933333333333333,0.017126976771553507,0.36992210932075975,0.05485942495539847,8480.15917621717,1161.691257327256,1702608.0,0.0,30.0,0.0,15.0,4.8074017006186525
banking77,0.20,frozen_minilm,3,euclidean,mean_std,10,0.9500375693696551,0.0038738214448850337,0.8750403225806451,0.04844099820371071,0.9104157480773349,0.027437251552038865,0.8101666666666667,0.012920698295542864,0.9196843413978495,0.019759700108795804,0.9744255048253463,0.0066477620619273285,0.32283333333333336,0.08363667014290199,0.12495967741935483,0.048440998203710714,0.18983333333333333,0.012920698295542866,0.293224419222679,0.05672126880013697,10809.576606673312,1795.7124807613554,1702608.0,0.0,45.0,0.0,10.7,2.7908580918579307
banking77,0.20,frozen_minilm,3,mahalanobis_diag,mean_std,10,0.9447210484364652,0.004604909143678892,0.9135080645161291,0.040218615972701294,0.9284408480021595,0.02118888346292984,0.779,0.02115784301358846,0.9257342069892474,0.01749466198479499,0.9750375591053958,0.005972516338362195,0.289,0.06629619284080486,0.08649193548387098,0.04021861597270132,0.221,0.021157843013588466,0.5347353602061048,0.08839034788482779,5895.265071581369,914.9766233604465,1702608.0,0.0,45.0,0.0,10.7,2.7908580918579307
banking77,0.20,frozen_minilm,4,euclidean,mean_std,10,0.9477580833816309,0.004599414438370469,0.9028629032258064,0.04514946801863331,0.9242869984596851,0.025229255619625263,0.7946666666666666,0.01600154313546194,0.9234938844086021,0.018485549151440316,0.974589531941348,0.005849892315821142,0.2921666666666667,0.0767674458396314,0.09713709677419355,0.0451494680186333,0.20533333333333334,0.01600154313546195,0.3283285838086158,0.056060038582645896,9570.348853019905,1246.5544857054542,1702608.0,0.0,60.0,0.0,4.8,2.573367875415838
banking77,0.20,frozen_minilm,4,mahalanobis_diag,mean_std,10,0.9417787208051903,0.005200504788548531,0.941491935483871,0.023920539985672378,0.9415129793383878,0.013167311830852122,0.7595,0.021330005527483337,0.9326742607526881,0.014396776215690774,0.9774363604871389,0.004370759707778426,0.25466666666666665,0.06560638330882292,0.058508064516129034,0.023920539985672375,0.2405,0.02133000552748332,0.5705887044081465,0.024945968031377386,5407.405367638299,240.90559204892097,1702608.0,0.0,60.0,0.0,4.8,2.573367875415838
banking77,0.20,frozen_minilm,5,euclidean,mean_std,10,0.944766270284481,0.004664946371213718,0.9148790322580646,0.03171783864938271,0.9293419664933588,0.01731696753977536,0.779,0.019054826678641994,0.9217339381720431,0.014419349369380222,0.9735250189069199,0.005009533748693724,0.2965,0.05788691615320681,0.08512096774193548,0.03171783864938272,0.221,0.019054826678641983,0.3883209010004066,0.046051184916334906,8018.45108347474,820.4690560934285,1702608.0,0.0,75.0,0.0,3.7,2.1628170930011112
banking77,0.20,frozen_minilm,5,mahalanobis_diag,mean_std,10,0.9323103519511535,0.005453975748823247,0.9549596774193548,0.014536089920024052,0.9434474275467901,0.007972390834614013,0.7133333333333334,0.024482293929478566,0.9298346774193549,0.011974449696835114,0.9760848493199981,0.004439260239414375,0.26466666666666666,0.05638710998836087,0.045040322580645165,0.014536089920024045,0.2866666666666667,0.024482293929478566,0.7538085544947535,0.06892334928175049,4114.041996681936,343.26764921739925,1702608.0,0.0,75.0,0.0,3.7,2.1628170930011112
banking77,0.25,frozen_minilm,1,euclidean,mean_std,10,0.9432896280321985,0.0026148328400002903,0.8156465517241379,0.031038506816591864,0.8745497500407134,0.01759032002628733,0.8502631578947368,0.009881570187115036,0.9086936819419238,0.013988627747083258,0.9609953251470408,0.007363828115359459,0.3675,0.056913028365954424,0.18435344827586206,0.031038506816591867,0.14973684210526317,0.009881570187115045,0.10126667179865763,0.03247994262279194,32473.48902705808,7147.807436473907,1702608.0,0.0,19.0,0.0,48.3,14.150382798120104
banking77,0.25,frozen_minilm,1,mahalanobis_diag,mean_std,10,0.9426326182042936,0.004925849322579354,0.8693965517241379,0.024977695162845565,0.9043641720012218,0.01359754701017554,0.838421052631579,0.015466979491853482,0.9217640086206896,0.01234796170744086,0.9666577871730901,0.006196432698224916,0.3282894736842105,0.0589198518169794,0.13060344827586207,0.024977695162845547,0.16157894736842104,0.015466979491853473,0.19002814238192514,0.039595594057649626,16724.704461809153,2781.960407812347,1702608.0,0.0,19.0,0.0,48.3,14.150382798120104
banking77,0.25,frozen_minilm,2,euclidean,mean_std,10,0.9301627106642898,0.006513468599615271,0.8303879310344827,0.04696243277154522,0.8769009540273195,0.029105483391296816,0.8102631578947368,0.012978306591468237,0.9041266447368421,0.01917183589814489,0.9586293015068977,0.00984085289929167,0.36907894736842106,0.053257426650023004,0.16961206896551725,0.046962432771545236,0.18973684210526315,0.012978306591468253,0.2478724711225368,0.04167241867118536,12690.8311904254,1756.0959232323405,1702608.0,0.0,38.0,0.0,9.3,2.496664441476534
banking77,0.25,frozen_minilm,2,mahalanobis_diag,mean_std,10,0.9292145774258795,0.005079213523432317,0.8820258620689655,0.028935404720178304,0.9047471842043492,0.014326180259226641,0.7946052631578947,0.019182768538527205,0.9176852881125227,0.009507286714735956,0.964692574181357,0.004606186709734552,0.3236842105263158,0.04381576752190238,0.11797413793103448,0.028935404720178325,0.20539473684210527,0.01918276853852719,0.4129673644085415,0.05614897272194817,7564.4008912332665,870.5877122002038,1702608.0,0.0,38.0,0.0,9.3,2.496664441476534
banking77,0.25,frozen_minilm,3,euclidean,mean_std,10,0.9266551362054032,0.006356099704774705,0.8492672413793103,0.046833372651306625,0.8857243400820944,0.028384089354724886,0.7952631578947369,0.015334577812920828,0.9046083257713249,0.02080598013161923,0.9596050914479389,0.010436153353821911,0.36986842105263157,0.052739107992549515,0.15073275862068966,0.046833372651306625,0.20473684210526316,0.015334577812920813,0.3958129256847315,0.1514087536259775,8548.116259080534,2281.8974745942514,1702608.0,0.0,57.0,0.0,8.5,2.3213980461973533
banking77,0.25,frozen_minilm,3,mahalanobis_diag,mean_std,10,0.9212129889050172,0.006965476086253375,0.9039655172413793,0.02638503806797695,0.912276418432817,0.012122243729057071,0.7635526315789474,0.025873847538728602,0.9114195780399275,0.013096556165152725,0.9609129203682045,0.007147514468895073,0.3282894736842105,0.04439692847053419,0.09603448275862068,0.026385038067976953,0.23644736842105263,0.025873847538728595,0.6298423983040266,0.10547559521773832,5006.548675610813,778.3645928618486,1702608.0,0.0,57.0,0.0,8.5,2.3213980461973533
banking77,0.25,frozen_minilm,4,euclidean,mean_std,10,0.9225843830471883,0.0069064909070551735,0.8791810344827586,0.022456165739206196,0.9002509353903341,0.013469529913727024,0.7748684210526315,0.019852972189843478,0.9054382372958257,0.014673968680884207,0.9586790205604475,0.008607176658795034,0.34842105263157896,0.03980272219795397,0.12081896551724138,0.0224561657392062,0.22513157894736843,0.019852972189843478,0.4381435393122956,0.12096159572389197,7395.645651544142,1505.9680317828188,1702608.0,0.0,76.0,0.0,4.6,3.204163957519444
banking77,0.25,frozen_minilm,4,mahalanobis_diag,mean_std,10,0.9134935650407805,0.006403922768739028,0.9237931034482758,0.01756144489150126,0.9185224298829686,0.008742053196504807,0.7327631578947368,0.022581969971760197,0.909535390199637,0.01467852590909104,0.9589800806382446,0.00857941434999247,0.32342105263157894,0.04559631909676372,0.07620689655172413,0.01756144489150127,0.26723684210526316,0.02258196997176019,0.8281063758186065,0.1203352200755282,3787.876080619638,527.8701168587343,1702608.0,0.0,76.0,0.0,4.6,3.204163957519444
banking77,0.25,frozen_minilm,5,euclidean,mean_std,10,0.9205750881743564,0.006477209621826045,0.903448275862069,0.02198604513033171,0.9118281509790866,0.01273288110521516,0.7621052631578947,0.019455104144016813,0.9118186252268603,0.01598909281937372,0.9613700542202217,0.008731480391310765,0.3352631578947368,0.04742037436800347,0.09655172413793103,0.021986045130331693,0.23789473684210527,0.019455104144016796,0.49802429948467763,0.08072644507012985,6316.383067735949,914.6154836213702,1702608.0,0.0,95.0,0.0,2.3,1.888562063228706
banking77,0.25,frozen_minilm,5,mahalanobis_diag,mean_std,10,0.9038607455896376,0.006347371189903052,0.944698275862069,0.013772209390156904,0.9237794508178421,0.007736540458773435,0.6931578947368421,0.02235379638872584,0.9138685911978222,0.015742164279469662,0.9614072154842597,0.009922126718813455,0.3173684210526316,0.045815177298730685,0.05530172413793104,0.013772209390156897,0.3068421052631579,0.02235379638872583,0.9443352278205566,0.10566540435156116,3295.1825102513894,335.0971658190467,1702608.0,0.0,95.0,0.0,2.3,1.888562063228706
banking77,0.30,frozen_minilm,1,euclidean,mean_std,10,0.9211237438472997,0.008591489831822969,0.7652314814814815,0.030883057509284592,0.8357141494824043,0.020405169105728715,0.846304347826087,0.016131938677500735,0.887626056763285,0.01361899142930919,0.9359299186267535,0.010582265474611103,0.4056521739130435,0.03328130785645301,0.23476851851851852,0.030883057509284606,0.15369565217391304,0.01613193867750073,0.12387508919928222,0.02986211512049357,25953.471124160398,5090.76277337397,1702608.0,0.0,23.0,0.0,45.7,17.39124939604845
banking77,0.30,frozen_minilm,1,mahalanobis_diag,mean_std,10,0.9224183161323328,0.007824158557422594,0.8316666666666667,0.02185612359725229,0.8745717110904061,0.013512796542539464,0.8357608695652174,0.01718209002424748,0.903632900563607,0.01209473393748201,0.9450179882082115,0.009097914865837688,0.36282608695652174,0.0362456495589646,0.16833333333333333,0.021856123597252308,0.1642391304347826,0.017182090024247466,0.24948893218534068,0.03895858601918591,12599.101737907875,1818.1705920280085,1702608.0,0.0,23.0,0.0,45.7,17.39124939604845
banking77,0.30,frozen_minilm,2,euclidean,mean_std,10,0.9089376026138456,0.009650947811693157,0.7892592592592592,0.03836781018517648,0.8444962099599398,0.02424057594065919,0.8145652173913044,0.01918716883792717,0.8859870169082126,0.01677221002408518,0.9363806647918117,0.0097611202827908,0.4043478260869565,0.04388098509334111,0.21074074074074073,0.03836781018517646,0.18543478260869567,0.019187168837927152,0.3005562613834627,0.031656693874216865,10349.173284751327,1075.1406086129546,1702608.0,0.0,46.0,0.0,12.0,5.57773351022717
banking77,0.30,frozen_minilm,2,mahalanobis_diag,mean_std,10,0.9094610425798509,0.009341606064619815,0.8411111111111111,0.03594572764706282,0.8736041968412167,0.02081249032743602,0.8033695652173913,0.02218415269871452,0.8987827596618357,0.015516573812846865,0.9412653037760828,0.009998186953255685,0.3535869565217391,0.04032675429477645,0.15888888888888889,0.03594572764706284,0.1966304347826087,0.022184152698714512,0.5513748305034823,0.06810158974635343,5662.84736031317,696.8210280233807,1702608.0,0.0,46.0,0.0,12.0,5.57773351022717
