run_id,dataset,kir,seed,representation,k_gate,distance,boundary,oos_precision,oos_recall,oos_f1,id_recall,auroc,aupr_oos,fpr95,false_accept_rate,false_reject_rate,scoring_seconds,samples_per_second,peak_rss_kib,effective_cluster_count,minimum_cluster_size,run_relative_path,manifest_sha256
protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_1__dist_euclidean__boundary_mean_std,clinc150,0.10,0,frozen_minilm,1,euclidean,mean_std,0.9824293353705118,0.9798095238095238,0.9811176807171467,0.7955555555555556,0.9718535449735449,0.9968660005261967,0.10222222222222223,0.02019047619047619,0.20444444444444446,0.15783940197434276,36112.6558305546,1663160,15,100,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_1__dist_euclidean__boundary_mean_std,81e3eeea63eac8a7e34a6f699443326069fbf71aa0dcc0f9dedf713c5b035a2a
protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std,clinc150,0.10,0,frozen_minilm,1,mahalanobis_diag,mean_std,0.9810713609691463,0.9872380952380952,0.984145067881895,0.7777777777777778,0.9738713227513227,0.9970518064645111,0.10222222222222223,0.012761904761904763,0.2222222222222222,0.25922858400736004,21988.31591749992,1664060,15,100,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std,a66cdc91d2779678d711f37258997dccdf1207ecc2b4ab4f95693068ff19fa2b
protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_2__dist_euclidean__boundary_mean_std,clinc150,0.10,0,frozen_minilm,2,euclidean,mean_std,0.9815834440858173,0.9847619047619047,0.9831701055434059,0.7844444444444445,0.9669460317460318,0.9958503872847323,0.12444444444444444,0.015238095238095238,0.21555555555555556,0.30885523196775466,18455.248317098594,1667572,30,20,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_2__dist_euclidean__boundary_mean_std,69713b121db58eadc6d722e8cf9e6daf95546b8b5dc530b82ec9b75e38d19018
protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_2__dist_mahalanobis_diag__boundary_mean_std,clinc150,0.10,0,frozen_minilm,2,mahalanobis_diag,mean_std,0.9801399659542274,0.9870476190476191,0.9835816646104204,0.7666666666666666,0.9717756613756614,0.9964838593960779,0.11333333333333333,0.012952380952380953,0.23333333333333334,0.5128922599833459,11113.445151590091,1669608,30,20,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_2__dist_mahalanobis_diag__boundary_mean_std,76c38ac85b03a7c01a150b66f99e16a26be39bb873c57fd3064cb3b5f2f12a10
protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_3__dist_euclidean__boundary_mean_std,clinc150,0.10,0,frozen_minilm,3,euclidean,mean_std,0.9789971617786187,0.9855238095238095,0.982249644043664,0.7533333333333333,0.9576766137566137,0.9947981260836929,0.1622222222222222,0.014476190476190476,0.24666666666666667,0.40973378089256585,13911.471950355412,1669608,45,9,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_3__dist_euclidean__boundary_mean_std,bedd9b3f29dd8e76bfce0a34f6048440cda2754e1b8c39261ebe1cfcbefae440
protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_3__dist_mahalanobis_diag__boundary_mean_std,clinc150,0.10,0,frozen_minilm,3,mahalanobis_diag,mean_std,0.9756326148078726,0.9914285714285714,0.9834671705243269,0.7111111111111111,0.9645697354497353,0.9954015510957872,0.13333333333333333,0.008571428571428572,0.28888888888888886,0.8292550189653412,6873.639434961602,1669608,45,9,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_3__dist_mahalanobis_diag__boundary_mean_std,340d94f9b9847ab8e29da47c497384ba1d4c99e06beaa31156be000fea4cbc68
protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_4__dist_euclidean__boundary_mean_std,clinc150,0.10,0,frozen_minilm,4,euclidean,mean_std,0.9776021080368906,0.9893333333333333,0.9834327369118622,0.7355555555555555,0.962575238095238,0.9955421546890639,0.14888888888888888,0.010666666666666666,0.2644444444444444,0.5382412889739498,10590.045982659409,1669608,60,4,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_4__dist_euclidean__boundary_mean_std,a276ab9b7ba6e7e71c3e8b56203d41ebfed87594f1bd76c8595c2786aba1e74f
protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_4__dist_mahalanobis_diag__boundary_mean_std,clinc150,0.10,0,frozen_minilm,4,mahalanobis_diag,mean_std,0.9729427131927598,0.9931428571428571,0.9829390140446791,0.6777777777777778,0.9629439153439154,0.9957891387225764,0.14222222222222222,0.006857142857142857,0.32222222222222224,1.0144178840564564,5618.986109754717,1669608,60,4,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_4__dist_mahalanobis_diag__boundary_mean_std,e6bade4aa9a3be52b6569921c80909224f6112b32637f297510a02cdfba8c4b6
protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_5__dist_euclidean__boundary_mean_std,clinc150,0.10,0,frozen_minilm,5,euclidean,mean_std,0.974103959467067,0.9887619047619047,0.981378202098497,0.6933333333333334,0.9556287830687831,0.9944845244487415,0.14888888888888888,0.011238095238095238,0.30666666666666664,0.6610571730416268,8622.552227628685,1669608,75,4,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_5__dist_euclidean__boundary_mean_std,d7a7748f64d0b2592a1f8e91fd58e6f1f5335c9d4bea1f88b4cef71bbdf20f7d
protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_5__dist_mahalanobis_diag__boundary_mean_std,clinc150,0.10,0,frozen_minilm,5,mahalanobis_diag,mean_std,0.9678016284233901,0.9961904761904762,0.9817908766660409,0.6133333333333333,0.945411216931217,0.9922925014750743,0.16666666666666666,0.0038095238095238095,0.38666666666666666,1.2597480720141903,4524.714208045078,1669608,75,4,artifacts/s2c/runs/protocol_v2/gate_core_dense/protocol_v2__clinc150__kir_0.10__seed_0__repr_frozen_minilm__k_5__dist_mahalanobis_diag__boundary_mean_std,59c8055cb582c0912a23dc200f58b26651526dad8474683fe017b1667dcc1b7e
