dataset,export_name,seed,kir,file_count,registry_sha256,canonical_manifest_sha256,sample_id_mapping_sha256
banking77,k_plus_1_way,0,0.5,6,cf64538465b3de50b9ec14c77d2a6b45a8719cb800f65f27ff4b541eab766915,5f673768b73b113328d662188b00013b1119a71f2931b0f30dbcbd1e4f819c83,68e7b0182bcd888e6d8b5b5292b32bd99cae8008b4d15ec386fb47694d38edcf
banking77,k_plus_1_way,42,0.25,6,cd175758f0cf72d0c8d6196161b6f44249916a14fad789f15afb173f58fc76c7,5f673768b73b113328d662188b00013b1119a71f2931b0f30dbcbd1e4f819c83,e2988ba1315bac3bba1f55a9a1d802b7739ad0337e90a3ba5e6dacd5258dc495
banking77,k_plus_1_way,42,0.5,6,8324a128759db25b151109b368d19b3eebde83bfc5ec3ffb2f8b4682389fe32c,5f673768b73b113328d662188b00013b1119a71f2931b0f30dbcbd1e4f819c83,b9a4dd6a00f4e3f9cbc9a4f2089fd2921f344d9e7ccce48ba835f07de51317f8
banking77,k_plus_1_way,42,0.75,6,5d55621ec25ccedaa7c91d81de7ccd138898e3496b5a43dff13169b182e23a41,5f673768b73b113328d662188b00013b1119a71f2931b0f30dbcbd1e4f819c83,d7d139900c6164b9065129c702549122210f479656941811ada22b9f9a72d97c
banking77,mogb,0,0.5,6,cf64538465b3de50b9ec14c77d2a6b45a8719cb800f65f27ff4b541eab766915,5f673768b73b113328d662188b00013b1119a71f2931b0f30dbcbd1e4f819c83,68e7b0182bcd888e6d8b5b5292b32bd99cae8008b4d15ec386fb47694d38edcf
banking77,mogb,42,0.25,6,cd175758f0cf72d0c8d6196161b6f44249916a14fad789f15afb173f58fc76c7,5f673768b73b113328d662188b00013b1119a71f2931b0f30dbcbd1e4f819c83,e2988ba1315bac3bba1f55a9a1d802b7739ad0337e90a3ba5e6dacd5258dc495
banking77,mogb,42,0.5,6,8324a128759db25b151109b368d19b3eebde83bfc5ec3ffb2f8b4682389fe32c,5f673768b73b113328d662188b00013b1119a71f2931b0f30dbcbd1e4f819c83,b9a4dd6a00f4e3f9cbc9a4f2089fd2921f344d9e7ccce48ba835f07de51317f8
banking77,mogb,42,0.75,6,5d55621ec25ccedaa7c91d81de7ccd138898e3496b5a43dff13169b182e23a41,5f673768b73b113328d662188b00013b1119a71f2931b0f30dbcbd1e4f819c83,d7d139900c6164b9065129c702549122210f479656941811ada22b9f9a72d97c
banking77,s2c,0,0.5,4,cf64538465b3de50b9ec14c77d2a6b45a8719cb800f65f27ff4b541eab766915,5f673768b73b113328d662188b00013b1119a71f2931b0f30dbcbd1e4f819c83,68e7b0182bcd888e6d8b5b5292b32bd99cae8008b4d15ec386fb47694d38edcf
banking77,s2c,42,0.25,4,cd175758f0cf72d0c8d6196161b6f44249916a14fad789f15afb173f58fc76c7,5f673768b73b113328d662188b00013b1119a71f2931b0f30dbcbd1e4f819c83,e2988ba1315bac3bba1f55a9a1d802b7739ad0337e90a3ba5e6dacd5258dc495
banking77,s2c,42,0.5,4,8324a128759db25b151109b368d19b3eebde83bfc5ec3ffb2f8b4682389fe32c,5f673768b73b113328d662188b00013b1119a71f2931b0f30dbcbd1e4f819c83,b9a4dd6a00f4e3f9cbc9a4f2089fd2921f344d9e7ccce48ba835f07de51317f8
banking77,s2c,42,0.75,4,5d55621ec25ccedaa7c91d81de7ccd138898e3496b5a43dff13169b182e23a41,5f673768b73b113328d662188b00013b1119a71f2931b0f30dbcbd1e4f819c83,d7d139900c6164b9065129c702549122210f479656941811ada22b9f9a72d97c
banking77,textoir,0,0.5,6,cf64538465b3de50b9ec14c77d2a6b45a8719cb800f65f27ff4b541eab766915,5f673768b73b113328d662188b00013b1119a71f2931b0f30dbcbd1e4f819c83,68e7b0182bcd888e6d8b5b5292b32bd99cae8008b4d15ec386fb47694d38edcf
banking77,textoir,42,0.25,6,cd175758f0cf72d0c8d6196161b6f44249916a14fad789f15afb173f58fc76c7,5f673768b73b113328d662188b00013b1119a71f2931b0f30dbcbd1e4f819c83,e2988ba1315bac3bba1f55a9a1d802b7739ad0337e90a3ba5e6dacd5258dc495
banking77,textoir,42,0.5,6,8324a128759db25b151109b368d19b3eebde83bfc5ec3ffb2f8b4682389fe32c,5f673768b73b113328d662188b00013b1119a71f2931b0f30dbcbd1e4f819c83,b9a4dd6a00f4e3f9cbc9a4f2089fd2921f344d9e7ccce48ba835f07de51317f8
banking77,textoir,42,0.75,6,5d55621ec25ccedaa7c91d81de7ccd138898e3496b5a43dff13169b182e23a41,5f673768b73b113328d662188b00013b1119a71f2931b0f30dbcbd1e4f819c83,d7d139900c6164b9065129c702549122210f479656941811ada22b9f9a72d97c
clinc150,k_plus_1_way,0,0.5,6,9d3c1ebdd2192ce0e3f012148ce5b5b3e0a5c0fe4ba1ba224514c6b5c45a760d,fcf4c860d5f40a94b13aad32fcf7e196ca9cfbc197e8e6bf4ded5feb9b492d5f,91ba82ecab81ef1cf324972fd747d8111b7c4dad04adb1b0be69ca7168e66986
clinc150,k_plus_1_way,42,0.25,6,a70f6877498c6a3d4eb3787d8b76738c52d7c21665ef899aa5f3518402e0978b,fcf4c860d5f40a94b13aad32fcf7e196ca9cfbc197e8e6bf4ded5feb9b492d5f,494ca7f57600ff76ef45ec4bc2ab5944cafc053d5346622660e020f8db3216c5
clinc150,k_plus_1_way,42,0.5,6,be7567b4a4ccdc5bf52361994049b90c7c82a297874bdb48cf5ebee15ec7d4b6,fcf4c860d5f40a94b13aad32fcf7e196ca9cfbc197e8e6bf4ded5feb9b492d5f,6a55a42b67a11b19732d34017f8928d4d8727c561ac7bf730c090bc55131fa9e
clinc150,k_plus_1_way,42,0.75,6,102adad2e81ab2bcb832ca07561ba7af614a5871e8b853ebb98a94840e23ea74,fcf4c860d5f40a94b13aad32fcf7e196ca9cfbc197e8e6bf4ded5feb9b492d5f,9561b3f3d17f2d573aada0b22e0f59e16daa4a69501580914620a92d5cf1b919
clinc150,mogb,0,0.5,6,9d3c1ebdd2192ce0e3f012148ce5b5b3e0a5c0fe4ba1ba224514c6b5c45a760d,fcf4c860d5f40a94b13aad32fcf7e196ca9cfbc197e8e6bf4ded5feb9b492d5f,91ba82ecab81ef1cf324972fd747d8111b7c4dad04adb1b0be69ca7168e66986
clinc150,mogb,42,0.25,6,a70f6877498c6a3d4eb3787d8b76738c52d7c21665ef899aa5f3518402e0978b,fcf4c860d5f40a94b13aad32fcf7e196ca9cfbc197e8e6bf4ded5feb9b492d5f,494ca7f57600ff76ef45ec4bc2ab5944cafc053d5346622660e020f8db3216c5
clinc150,mogb,42,0.5,6,be7567b4a4ccdc5bf52361994049b90c7c82a297874bdb48cf5ebee15ec7d4b6,fcf4c860d5f40a94b13aad32fcf7e196ca9cfbc197e8e6bf4ded5feb9b492d5f,6a55a42b67a11b19732d34017f8928d4d8727c561ac7bf730c090bc55131fa9e
clinc150,mogb,42,0.75,6,102adad2e81ab2bcb832ca07561ba7af614a5871e8b853ebb98a94840e23ea74,fcf4c860d5f40a94b13aad32fcf7e196ca9cfbc197e8e6bf4ded5feb9b492d5f,9561b3f3d17f2d573aada0b22e0f59e16daa4a69501580914620a92d5cf1b919
clinc150,s2c,0,0.5,4,9d3c1ebdd2192ce0e3f012148ce5b5b3e0a5c0fe4ba1ba224514c6b5c45a760d,fcf4c860d5f40a94b13aad32fcf7e196ca9cfbc197e8e6bf4ded5feb9b492d5f,91ba82ecab81ef1cf324972fd747d8111b7c4dad04adb1b0be69ca7168e66986
clinc150,s2c,42,0.25,4,a70f6877498c6a3d4eb3787d8b76738c52d7c21665ef899aa5f3518402e0978b,fcf4c860d5f40a94b13aad32fcf7e196ca9cfbc197e8e6bf4ded5feb9b492d5f,494ca7f57600ff76ef45ec4bc2ab5944cafc053d5346622660e020f8db3216c5
clinc150,s2c,42,0.5,4,be7567b4a4ccdc5bf52361994049b90c7c82a297874bdb48cf5ebee15ec7d4b6,fcf4c860d5f40a94b13aad32fcf7e196ca9cfbc197e8e6bf4ded5feb9b492d5f,6a55a42b67a11b19732d34017f8928d4d8727c561ac7bf730c090bc55131fa9e
clinc150,s2c,42,0.75,4,102adad2e81ab2bcb832ca07561ba7af614a5871e8b853ebb98a94840e23ea74,fcf4c860d5f40a94b13aad32fcf7e196ca9cfbc197e8e6bf4ded5feb9b492d5f,9561b3f3d17f2d573aada0b22e0f59e16daa4a69501580914620a92d5cf1b919
clinc150,textoir,0,0.5,6,9d3c1ebdd2192ce0e3f012148ce5b5b3e0a5c0fe4ba1ba224514c6b5c45a760d,fcf4c860d5f40a94b13aad32fcf7e196ca9cfbc197e8e6bf4ded5feb9b492d5f,91ba82ecab81ef1cf324972fd747d8111b7c4dad04adb1b0be69ca7168e66986
clinc150,textoir,42,0.25,6,a70f6877498c6a3d4eb3787d8b76738c52d7c21665ef899aa5f3518402e0978b,fcf4c860d5f40a94b13aad32fcf7e196ca9cfbc197e8e6bf4ded5feb9b492d5f,494ca7f57600ff76ef45ec4bc2ab5944cafc053d5346622660e020f8db3216c5
clinc150,textoir,42,0.5,6,be7567b4a4ccdc5bf52361994049b90c7c82a297874bdb48cf5ebee15ec7d4b6,fcf4c860d5f40a94b13aad32fcf7e196ca9cfbc197e8e6bf4ded5feb9b492d5f,6a55a42b67a11b19732d34017f8928d4d8727c561ac7bf730c090bc55131fa9e
clinc150,textoir,42,0.75,6,102adad2e81ab2bcb832ca07561ba7af614a5871e8b853ebb98a94840e23ea74,fcf4c860d5f40a94b13aad32fcf7e196ca9cfbc197e8e6bf4ded5feb9b492d5f,9561b3f3d17f2d573aada0b22e0f59e16daa4a69501580914620a92d5cf1b919
