dataset,seed,kir,registry_sha256,train_known,calibration_known,test_known,test_heldout_oos,test_native_oos,test_combined
banking77,100,0.1,9c8ef43d57b4b0ab42d0a43d9785bfd3d95e56c1d6f871b26435cf336d042987,902,102,320,2760,0,3080
banking77,100,0.2,e7f7c80c245de87bc0aa78fa926c87daabb2852eded4836e92b2a2c79877c91a,1689,189,600,2480,0,3080
banking77,100,0.25,cee94be1dc35ed82dbcd6693d8f99fd506eb6cb7da2ec5febf88309e912b92b2,2221,248,760,2320,0,3080
banking77,100,0.3,0573bb392c894e3df8ae1455f8106eb49e42c1a4c1d785507fb56b7b7347ae63,2656,296,920,2160,0,3080
banking77,100,0.4,22d8301d32baee8a7a224e55ea91ba9fb4422aa877ac2c3d414ae502a1e63c24,3627,404,1240,1840,0,3080
banking77,100,0.5,8d6bb3fad625a02087eb4e96cc79ce91394df657fc184e68a62e109ecc3e4b86,4445,494,1520,1560,0,3080
banking77,100,0.6,477edd763ecc47b0987a34e18de6346baf62222b7deb3e955a3febaf7946a339,5317,589,1840,1240,0,3080
banking77,100,0.7,57a4122066d10fe518b45edd8e581055978d22f8420c55685486d584c05bdbb1,6177,685,2160,920,0,3080
banking77,100,0.75,52e8e0ef5572594ad221bae03c8cd525942aa750df3ae56643e3b5ba249dad11,6618,734,2320,760,0,3080
banking77,100,0.8,104ee02e384c6f920d4d94e346b9c80fdcb9531b670ea42b863b41335c119bef,7163,795,2480,600,0,3080
banking77,100,0.9,d7f28c5dc72f574968b6ceebb61c993108ae57325e8dad6d421132970fd2e891,8015,890,2760,320,0,3080
banking77,123,0.1,71223cbbf95d1719522a53ae71664bf310256c6c8c1ea4e680e9d4e3a11a13da,939,105,320,2760,0,3080
banking77,123,0.2,3ef6aa2b28faec1b29f283f12e6e2e188f01cdca56a3ab287c0c67a479867ddd,1778,198,600,2480,0,3080
banking77,123,0.25,f592ab2f3e26e5d3825cfca0b5315a4a2cdda0cdf012f4ffd03ecb008f689ede,2243,250,760,2320,0,3080
banking77,123,0.3,e63be857603a8cd511f86383e31ab3ccea7e7bd33de0847216abc8bbb4d5c7e5,2697,300,920,2160,0,3080
banking77,123,0.4,08cf8b4a20f5b4c0e1b6b8fc77816ec7b09e8bf21cdb5dfb0c68a2a9605974d1,3577,397,1240,1840,0,3080
banking77,123,0.5,2751d704d8d37e3ad45127b0415a15f66c7241a7e281619f378e1961631e62f8,4351,482,1520,1560,0,3080
banking77,123,0.6,11d226c755336c0e9b342dac287fcca9917e61f2eccb63459f377bf26187da24,5213,579,1840,1240,0,3080
banking77,123,0.7,21003e0302229bf5bce8987f25aac9c3ec00b72e05814b312e641238f1440f4e,6170,685,2160,920,0,3080
banking77,123,0.75,a3f3a81bc60512add1f19721e189167ef52efd22d3c4bce08c9dca32cf753b7e,6679,742,2320,760,0,3080
banking77,123,0.8,0af3cb1c528e9867b281220d8b2b2152f7f1b48872096b20994eee668bfba752,7197,800,2480,600,0,3080
banking77,123,0.9,337f8991a9dfb0fa2a559345810c8e8bb2a903e4a36747233c6c103ae002c182,7975,886,2760,320,0,3080
banking77,13,0.1,d79a8f8616daed175f252a09f23d28aba3bead781077ae4f0948344631f43a6c,991,110,320,2760,0,3080
banking77,13,0.2,44fe9c717ade75a78270c81fc34c2d8c670e30011e562f2386344d8eacb3795e,1740,193,600,2480,0,3080
banking77,13,0.25,14848ff338b106e2cce78c22fc3aacac06be8113469123f19c38f246914d0647,2177,242,760,2320,0,3080
banking77,13,0.3,c20197a0cc6fda2d075bea5406ff9d9892d47371593ec8c52f11424b13895e1b,2679,298,920,2160,0,3080
banking77,13,0.4,a7370c11ad6d50d89adc3580fa28e0ae464a802a128911c2445a52380ea91344,3715,414,1240,1840,0,3080
banking77,13,0.5,b95dd3108ecd1a1a5dcb6dd4fe152ff9f6834554a1845344f4ecab85fa5ed23f,4436,494,1520,1560,0,3080
banking77,13,0.6,c5902d001fcb54877b68404c1e98bedf35f8a382625965bb56d13f682811ca9a,5381,598,1840,1240,0,3080
banking77,13,0.7,64596ab61b32f4645bbd053a32f5a31f96621c03ef599a6cd2cfde4502fef0f1,6224,692,2160,920,0,3080
banking77,13,0.75,98bc0210eb76c7ec74a79a31ecac95338dedd3560625c90d3881c70181e24b82,6669,741,2320,760,0,3080
banking77,13,0.8,429ae65ed184688cb446729dd1a55bc77056da7b092b95d948ad4388acf537a1,7108,790,2480,600,0,3080
banking77,13,0.9,e60575c8c4bc0f85aff8477682425ba7e852d81f25b4d195a63616116647186a,7938,882,2760,320,0,3080
banking77,42,0.1,b6072d8f805a529ebaa873079c3c31c1d2ab893b4a65c0e05af81e8034eb94c9,1012,112,320,2760,0,3080
banking77,42,0.2,49ebfb749da7b3ba83ba19ec3d7ed229585f13e9c8d26a1eff97d51eb0a341e1,1828,201,600,2480,0,3080
banking77,42,0.25,c940bb31dc4992547d1ef3efe53e8ffa800cd463cfd043aa1319585119799793,2290,253,760,2320,0,3080
banking77,42,0.3,f018e57671c27c7644456114bfb58b3ddecd8596ab82abbbb1a797605191a9fb,2721,300,920,2160,0,3080
banking77,42,0.4,b74fb8bd7bcff6fb4eb44e2b46008fcc0caa8fc21d3f88d45b206f6920cec8b8,3701,409,1240,1840,0,3080
banking77,42,0.5,765e3cb338687dc5976e0e3a0745be9ac0d9b5836e529e3ccc7fd679f17775e1,4482,495,1520,1560,0,3080
banking77,42,0.6,7a5914012efffff742e44e0be88918a5a141f403c7186ba9cdddb5d3c9e4c228,5478,608,1840,1240,0,3080
banking77,42,0.7,094db0ec9f6cc2ebf2b6b1da293ce749fcdbbe809678f7da5fee3e660d69ed37,6468,717,2160,920,0,3080
banking77,42,0.75,a548a4af9a0479d632af0f986259a2aac0d533017df7d293926229789f1f04b2,6837,757,2320,760,0,3080
banking77,42,0.8,568fdc6ab98da1fd3e5caaa3a8b882432fdd3db543a5caa33ba6c7396708d05a,7139,790,2480,600,0,3080
banking77,42,0.9,15b62cca0416f4da0df8d382ae07acef5e7af12eaa202e8e61edf5307486526c,8113,900,2760,320,0,3080
banking77,87,0.1,38689b6ecde05b59165d29e456e158aebe74e55f9124f0661b335106adf0029b,1011,111,320,2760,0,3080
banking77,87,0.2,09d1c039a644730d9d2f7f2971cc9a56082adb947390be4dc14a53763c68ec8b,1921,213,600,2480,0,3080
banking77,87,0.25,35d9ba87dd9a05480442ddfffd799eed7af61a06dad8f9346be324bb6a3d040c,2394,265,760,2320,0,3080
banking77,87,0.3,9afea0305d7e5dc70f7f18461ce88404ea2b76f69ffbef34a0072339907bf386,2843,314,920,2160,0,3080
banking77,87,0.4,2c532ae9369a5c43b968af9d5cd7d1fa6064259ff5d39ed00cc4cad7d9770456,3743,413,1240,1840,0,3080
banking77,87,0.5,5478968a503af2cceaa68d317a5da89563e8f25ef053fbea048e4ad8e2c74993,4448,492,1520,1560,0,3080
banking77,87,0.6,e3d616c0c90dad7f209ecf3284465803aa0d91ba4c69e8f8bf8f7586613a2c5c,5413,600,1840,1240,0,3080
banking77,87,0.7,a029a0ba77fa8943ba169197d1dc2ef698e20a0941a4ba9cff20d9f10a6b0b90,6433,713,2160,920,0,3080
banking77,87,0.75,6f4338935d65a587c4cf6bd27b5548f4dd69ea8f4cec7dbd38590426ff328747,6877,762,2320,760,0,3080
banking77,87,0.8,4e2bd2f197e8faae0956e6ad56cfaeecd56cb87abd07b3a9df9b9d4cfbd28c80,7299,809,2480,600,0,3080
banking77,87,0.9,7940f74704a385bbe09039096e71a393f94cf413ccb4fcff8565a4234fec021c,8064,895,2760,320,0,3080
clinc150,100,0.1,5179ef62922d9e6dabf6728fb7c0d896a6a21385a0ee449a96c845c02e13565c,1500,300,450,4050,1200,5700
clinc150,100,0.2,29f687dd06ba750d793a2f521766f698784c42a141611d8be4260e8f70908a9b,3000,600,900,3600,1200,5700
clinc150,100,0.25,6500699d649bcd9a9c6b71a335470497aea055fa6fc475bdfe130678c4023422,3800,760,1140,3360,1200,5700
clinc150,100,0.3,b08da3c0e654d38adf158ca2c01fd3911e168e8b50231165117b90936c70d8b2,4500,900,1350,3150,1200,5700
clinc150,100,0.4,9b72f3761050fbc9008083df0ab323b1cc274f111decfaf02e94520eff8b6bd0,6000,1200,1800,2700,1200,5700
clinc150,100,0.5,cb26bc61ab1be8cec50b06b9142e0024ce4d4554e939b2b920fc78c46e96eb40,7500,1500,2250,2250,1200,5700
clinc150,100,0.6,bb988500a5fd5f9264850573dd0cef4895fbb9f98a1a8eec31b625d2169cae4c,9000,1800,2700,1800,1200,5700
clinc150,100,0.7,111369cc654a95db255b7b2fba1061a56d81f6c1c18ddc0779c37bef01898faf,10500,2100,3150,1350,1200,5700
clinc150,100,0.75,e8352c83776c6137137d5bf61729d1535957f279a0f8ecc39a056804fbc00a46,11200,2240,3360,1140,1200,5700
clinc150,100,0.8,96039cb2f886ce403ebcbb30be3df8a2b1b1217acce5c35e83a0174b2d4607be,12000,2400,3600,900,1200,5700
clinc150,100,0.9,259e1352ea38bc06c146353414cd07f8b8a9271991e63ee82a7a3bedbdf5acf3,13500,2700,4050,450,1200,5700
clinc150,123,0.1,9911253ca7fc0a712cb0f0f62cc04cd5925fb41fd86b07559375609b0b052dc4,1500,300,450,4050,1200,5700
clinc150,123,0.2,7186131ef4c2126ec75e38eb91c669e1148985e40e167c053880cafab22b6809,3000,600,900,3600,1200,5700
clinc150,123,0.25,535185e0491926b4aa733dcc8f61e88c584c115e9fb705ef834ce818326b6ccb,3800,760,1140,3360,1200,5700
clinc150,123,0.3,f4c227e0da2beed09e94dec3b5d46401f7eba14e94b2ae90245e26a7c0ab2df1,4500,900,1350,3150,1200,5700
clinc150,123,0.4,8ef4c85de500a74bdab443007d06dea4a1b4c7f14752d9ac2bd4cd72ce11c016,6000,1200,1800,2700,1200,5700
clinc150,123,0.5,edb1363bb307ac84ac92c365fba6130bfe3b26f194736f82792d45cfaf33a15e,7500,1500,2250,2250,1200,5700
