dataset,kir,metric,mean_delta_pp,std_delta_pp,n_pairs
banking77,0.25,accuracy,11.049783549783546,2.9390440597892753,3
banking77,0.25,f1_all,10.991566166428179,2.602474907558469,3
banking77,0.25,f1_k,-12.24812098381768,1.5380088465518316,3
banking77,0.25,false_accept_rate,-16.609195402298855,3.3874849813117667,3
banking77,0.25,false_reject_rate,6.666666666666663,1.3310518338152189,3
banking77,0.25,known_recall,-6.666666666666665,1.3310518338152202,3
banking77,0.25,oos_f1,8.855820805498896,2.371718548002018,3
banking77,0.5,accuracy,7.240259740259739,0.9482520692539075,3
banking77,0.5,f1_all,3.6764386398449402,0.35528373037778754,3
banking77,0.5,f1_k,-8.349421504151856,0.6417755101983276,3
banking77,0.5,false_accept_rate,-19.8931623931624,3.154949081000153,3
banking77,0.5,false_reject_rate,7.127192982456138,0.7931202333344334,3
banking77,0.5,known_recall,-7.127192982456144,0.7931202333344435,3
banking77,0.5,oos_f1,9.794399866375196,1.7161646538734978,3
banking77,0.75,accuracy,-0.335497835497837,1.2428465125502688,3
banking77,0.75,f1_all,-1.2119817148781187,0.6902529063564512,3
banking77,0.75,f1_k,-5.91260870201895,0.5975102773330705,3
banking77,0.75,false_accept_rate,-19.780701754385973,4.342769752451429,3
banking77,0.75,false_reject_rate,7.902298850574706,0.6039611941661979,3
banking77,0.75,known_recall,-7.90229885057471,0.6039611941661959,3
banking77,0.75,oos_f1,4.553350578832479,3.1194082808996484,3
clinc150,0.25,accuracy,5.116959064327479,0.263936470091149,3
clinc150,0.25,f1_all,3.0782092641582786,1.42453491507574,3
clinc150,0.25,f1_k,-14.929984786572241,3.0404987876142346,3
clinc150,0.25,false_accept_rate,-10.606725146198835,0.5448726653094804,3
clinc150,0.25,false_reject_rate,17.105263157894736,2.0402988332654433,3
clinc150,0.25,known_recall,-17.105263157894736,2.0402988332654353,3
clinc150,0.25,oos_f1,3.7345616281058143,0.25579173593425886,3
clinc150,0.5,accuracy,-0.5964912280701765,0.46017112451242137,3
clinc150,0.5,f1_all,-4.142223412837542,1.2490453388438894,3
clinc150,0.5,f1_k,-11.994182458411666,1.597497019403944,3
clinc150,0.5,false_accept_rate,-9.371980676328505,0.2251435787001139,3
clinc150,0.5,false_reject_rate,16.28148148148148,1.0651223388455509,3
clinc150,0.5,known_recall,-16.28148148148148,1.0651223388455564,3
clinc150,0.5,oos_f1,0.3531696365452919,0.14094645662135033,3
clinc150,0.75,accuracy,-3.742690058479529,0.3596847792908041,3
clinc150,0.75,f1_all,-5.448543321552683,0.38784672299117057,3
clinc150,0.75,f1_k,-10.35673047671836,0.7588809853246814,3
clinc150,0.75,false_accept_rate,-13.133903133903138,1.9388401123669776,3
clinc150,0.75,false_reject_rate,16.547619047619044,1.132126583429183,3
clinc150,0.75,known_recall,-16.54761904761904,1.1321265834291818,3
clinc150,0.75,oos_f1,-2.201880836444943,0.7750843206121799,3
stackoverflow,0.25,accuracy,3.8944444444444297,0.5302864355267881,3
stackoverflow,0.25,f1_all,5.484329242267674,0.7458319136101891,3
stackoverflow,0.25,f1_k,-3.2869120700849983,0.9612927785376778,3
stackoverflow,0.25,false_accept_rate,-4.918518518518522,0.9449889497905981,3
stackoverflow,0.25,false_reject_rate,-1.0000000000000018,1.6825905952165243,3
stackoverflow,0.25,known_recall,0.9999999999999972,1.682590595216531,3
stackoverflow,0.25,oos_f1,2.743494108179856,0.3624615502350671,3
stackoverflow,0.5,accuracy,0.8666666666666675,0.8212456663169938,3
stackoverflow,0.5,f1_all,1.0338851797814093,0.45951488885921116,3
stackoverflow,0.5,f1_k,-2.164621599936959,0.6682980291824201,3
stackoverflow,0.5,false_accept_rate,0.6555555555555544,1.7821127702606028,3
stackoverflow,0.5,false_reject_rate,-2.9000000000000017,1.4310058622443738,3
stackoverflow,0.5,known_recall,2.8999999999999986,1.4310058622443724,3
stackoverflow,0.5,oos_f1,0.845912338009506,0.8663953612805959,3
stackoverflow,0.75,accuracy,1.3000000000000012,0.9773831274263827,3
stackoverflow,0.75,f1_all,1.0397601603791884,0.48117839480619107,3
stackoverflow,0.75,f1_k,-0.2155864171879888,0.6171478236636906,3
stackoverflow,0.75,false_accept_rate,3.533333333333329,3.7166292972710275,3
stackoverflow,0.75,false_reject_rate,-3.881481481481486,1.079628041419331,3
stackoverflow,0.75,known_recall,3.8814814814814818,1.079628041419326,3
stackoverflow,0.75,oos_f1,1.6642747671795075,2.140462906125727,3
