dataset,kir,method,scope,training_regime,supervision,oos_f1,oos_precision,oos_recall,known_macro_f1,known_recall,f1_all,accuracy,status,source,comparability
banking77,0.5,Fixed K=2,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.754616,,,0.761824,0.825526,0.761639,0.747922,complete,results/final_baselines/summary.csv,fair_frozen_minilm_component
banking77,0.5,MOGB-MiniLM,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.749937,,,0.479063,0.334079,0.486008,0.66513,complete,results/final_baselines/summary.csv,fair_frozen_minilm_component
banking77,0.5,MOGB partition + s2c boundary,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.793975,,,0.644258,0.521842,0.648097,0.743831,complete,results/final_baselines/summary.csv,fair_frozen_minilm_component
banking77,0.5,s2c partition + MOGB boundary,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.788595,,,0.653312,0.5325,0.656781,0.736104,complete,results/final_baselines/summary.csv,fair_frozen_minilm_component
banking77,0.5,Random partition,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.716221,,,0.748016,0.859605,0.747201,0.720519,complete,results/final_baselines/summary.csv,fair_frozen_minilm_component
banking77,0.5,Single centroid,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.72428,,,0.745688,0.850132,0.745139,0.723896,complete,results/final_baselines/summary.csv,fair_frozen_minilm_component
clinc150,0.5,Fixed K=2,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.892006,,,0.799729,0.751378,0.800943,0.856561,complete,results/final_baselines/summary.csv,fair_frozen_minilm_component
clinc150,0.5,MOGB-MiniLM,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.813195,,,0.444689,0.315733,0.449538,0.723789,complete,results/final_baselines/summary.csv,fair_frozen_minilm_component
clinc150,0.5,MOGB partition + s2c boundary,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.855554,,,0.643187,0.533422,0.645982,0.798526,complete,results/final_baselines/summary.csv,fair_frozen_minilm_component
clinc150,0.5,s2c partition + MOGB boundary,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.833232,,,0.560505,0.4224,0.564093,0.759158,complete,results/final_baselines/summary.csv,fair_frozen_minilm_component
clinc150,0.5,Random partition,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.890691,,,0.806398,0.794756,0.807507,0.855544,complete,results/final_baselines/summary.csv,fair_frozen_minilm_component
clinc150,0.5,Single centroid,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.889433,,,0.801537,0.787556,0.802693,0.853158,complete,results/final_baselines/summary.csv,fair_frozen_minilm_component
stackoverflow,0.5,Fixed K=2,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.635295,,,0.736818,0.868867,0.727588,0.669267,complete,results/final_baselines/summary.csv,fair_frozen_minilm_component
stackoverflow,0.5,MOGB-MiniLM,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.729199,,,0.403358,0.270933,0.43298,0.630567,complete,results/final_baselines/summary.csv,fair_frozen_minilm_component
stackoverflow,0.5,MOGB partition + s2c boundary,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.792471,,,0.617539,0.503867,0.633442,0.740733,complete,results/final_baselines/summary.csv,fair_frozen_minilm_component
stackoverflow,0.5,s2c partition + MOGB boundary,protocol_v2_fair_mean_over_5_seeds,frozen-embedding,Known-only,0.733522,,,0.626104,0.544933,0.63587,0.683533,complete,results/final_baselines/summary.csv,fair_frozen_minilm_component
