dataset,gate,n,oos_f1,oos_f1_std,known_macro_f1,known_macro_f1_std,accuracy,accuracy_std,known_recall,known_recall_std,false_accept_rate,false_accept_rate_std,false_reject_rate,false_reject_rate_std,router_error_rate,expert_error_rate,kir,scope,protocol,source
banking77,best_controlled_baseline,3,0.8417074299347854,0.04979966343947981,0.8400935890346855,0.018619475244860236,0.7656862745098039,0.06061607013389692,0.884,0.017320508075688787,0.24350649350649345,0.0814948000104307,0.11599999999999999,0.017320508075688773,0.0,0.10186103967112853,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
banking77,ce_recon_selected_k,3,0.8948388443185266,0.006851013242395111,0.792085362851895,0.01813572929195485,0.8270424836601307,0.00962562546754344,0.7936666666666667,0.052252591642265235,0.13593073593073587,0.023568238249032408,0.20633333333333334,0.05225259164226529,0.0,0.10102951767584246,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
banking77,frozen_k1,3,0.8482265965039684,0.014431358608591193,0.8245720857191173,0.018872468769089896,0.7674019607843138,0.015844408194994074,0.8883333333333333,0.017925772879665014,0.23658008658008653,0.026504989659781545,0.11166666666666665,0.017925772879665004,0.0,0.12242531351618326,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
banking77,frozen_selected_k,3,0.8811138106627742,0.02800953300818149,0.7869082879733017,0.024756293854734844,0.8080065359477123,0.037867713158560634,0.8036666666666666,0.07403602726600973,0.16082251082251078,0.06569067941758014,0.19633333333333333,0.07403602726600972,0.0,0.11283830272365065,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
clinc150,best_controlled_baseline,3,0.9084405348127204,0.01072659226706233,0.8518215805942567,0.019254451256788457,0.8676969696969697,0.01265215930132982,0.849037037037037,0.03351456903271411,0.08092307692307686,0.0032563093059256236,0.15096296296296288,0.033514569032714076,0.02843470821895967,0.0380233171570143,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
clinc150,ce_recon_selected_k,3,0.8999654215865932,0.007479036050075116,0.7967710382811434,0.008731359605082192,0.8578787878787879,0.008777004766557671,0.7330370370370369,0.013335802240554433,0.030666666666666603,0.009237604307033983,0.2669629629629629,0.013335802240554447,0.02140881879356017,0.028501959366607068,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
clinc150,frozen_k1,3,0.8802432322955465,0.010028835864058769,0.784982805672335,0.0035819681568184563,0.8306060606060606,0.011565599223535668,0.7367407407407408,0.008991994610662817,0.07056410256410253,0.015410235078273582,0.26325925925925925,0.008991994610662859,0.027166135309544565,0.04025824328174443,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
clinc150,frozen_selected_k,3,0.8802432322955465,0.010028835864058769,0.784982805672335,0.0035819681568184563,0.8306060606060606,0.011565599223535668,0.7367407407407408,0.008991994610662817,0.07056410256410253,0.015410235078273582,0.26325925925925925,0.008991994610662859,0.027166135309544565,0.04025824328174443,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
stackoverflow,best_controlled_baseline,3,0.8324249870125221,0.04734159806042294,0.8562130901194255,0.016073379369458914,0.8072342793544797,0.03180917538296617,0.854946562422881,0.004939554865698566,0.1815925796628635,0.07766605525515761,0.145053437577119,0.004939554865698572,0.0,0.06884029164463817,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
stackoverflow,ce_recon_selected_k,3,0.8761692420587259,0.027814082990921838,0.8667514582211053,0.008784788159950848,0.848469671675014,0.032159471432964055,0.8615020620485535,0.04553946726723785,0.11063129523102423,0.07969953685264233,0.13849793795144646,0.045539467267237885,0.0,0.0615228871600589,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
stackoverflow,frozen_k1,3,0.790219571500888,0.04629012460496893,0.8397787134286797,0.01465864911288511,0.7672787979966612,0.0378799431398671,0.8322375535749171,0.0032941275542504585,0.23524784468946935,0.07721924532082378,0.16776244642508278,0.0032941275542504094,0.0,0.07500733062456746,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
stackoverflow,frozen_selected_k,3,0.779979358406988,0.056516813414368,0.8411193380107916,0.012815361758385003,0.7590428491930997,0.04785508140335615,0.8461449857066484,0.027183519468082284,0.2586279382098434,0.10258307728991028,0.1538550142933516,0.027183519468082368,0.0,0.08153306290290313,0.5,current_protocol_cascade_kir50,protocol_v2_textoir_v1,artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/cascade_summary.csv
