dataset,kir,distance,k1_oos_f1,k1_known_recall,oracle_best_k,oracle_best_oos_f1,oracle_oos_delta_pp,oracle_known_recall_delta_pp,safe_best_k_1pp,safe_best_oos_f1,safe_best_oos_delta_pp,safe_best_known_recall_delta_pp,safe_candidate_count,selection_note
banking77,0.25,euclidean,0.8806413450521747,0.8784722222222222,5,0.9194278519027752,3.8786506850600477,-8.749999999999991,1,0.8806413450521747,0.0,0.0,1,descriptive_test_oracle; not a formal validation selection rule
banking77,0.25,mahalanobis_diag,0.9157798459993336,0.8638888888888889,5,0.9479939422120304,3.2214096212696774,-13.194444444444454,1,0.9157798459993336,0.0,0.0,1,descriptive_test_oracle; not a formal validation selection rule
banking77,0.5,euclidean,0.8006462564236198,0.9016666666666668,5,0.8560198827767068,5.537362635308707,-10.20000000000002,1,0.8006462564236198,0.0,0.0,1,descriptive_test_oracle; not a formal validation selection rule
banking77,0.5,mahalanobis_diag,0.8482265965039684,0.8883333333333333,5,0.8978443613706544,4.961776486668601,-13.966666666666661,1,0.8482265965039684,0.0,0.0,1,descriptive_test_oracle; not a formal validation selection rule
banking77,0.75,euclidean,0.8003324083054046,0.9094298245614034,5,0.8125327884352321,1.2200380129827493,-11.184210526315786,1,0.8003324083054046,0.0,0.0,1,descriptive_test_oracle; not a formal validation selection rule
banking77,0.75,mahalanobis_diag,0.8355006510944841,0.8989035087719298,5,0.853239175720191,1.7738524625706908,-15.131578947368418,1,0.8355006510944841,0.0,0.0,1,descriptive_test_oracle; not a formal validation selection rule
clinc150,0.25,euclidean,0.93800237461473,0.7769005847953215,3,0.9465736259989076,0.8571251384177581,-4.005847953216368,1,0.93800237461473,0.0,0.0,1,descriptive_test_oracle; not a formal validation selection rule
clinc150,0.25,mahalanobis_diag,0.9429344084653136,0.736842105263158,2,0.9483452008433372,0.5410792378023555,-2.3099415204678397,1,0.9429344084653136,0.0,0.0,1,descriptive_test_oracle; not a formal validation selection rule
clinc150,0.5,euclidean,0.8769778728577329,0.7728888888888888,2,0.8841536043561952,0.717573149846229,-2.7703703703703675,1,0.8769778728577329,0.0,0.0,1,descriptive_test_oracle; not a formal validation selection rule
clinc150,0.5,mahalanobis_diag,0.8802432322955465,0.7367407407407408,2,0.880683748388044,0.044051609249751156,-3.674074074074074,1,0.8802432322955465,0.0,0.0,1,descriptive_test_oracle; not a formal validation selection rule
clinc150,0.75,euclidean,0.7894087980592767,0.7814484126984128,2,0.7917798038171507,0.23710057578740784,-3.0257936507936622,1,0.7894087980592767,0.0,0.0,1,descriptive_test_oracle; not a formal validation selection rule
clinc150,0.75,mahalanobis_diag,0.7895486942872648,0.7481150793650794,1,0.7895486942872648,0.0,0.0,1,0.7895486942872648,0.0,0.0,1,descriptive_test_oracle; not a formal validation selection rule
stackoverflow,0.25,euclidean,0.934737142728324,0.8418743865067638,1,0.934737142728324,0.0,0.0,1,0.934737142728324,0.0,0.0,4,descriptive_test_oracle; not a formal validation selection rule
stackoverflow,0.25,mahalanobis_diag,0.9385207147185748,0.8307401143942981,1,0.9385207147185748,0.0,0.0,1,0.9385207147185748,0.0,0.0,5,descriptive_test_oracle; not a formal validation selection rule
stackoverflow,0.5,euclidean,0.7736145825022875,0.8663010853341473,1,0.7736145825022875,0.0,0.0,1,0.7736145825022875,0.0,0.0,2,descriptive_test_oracle; not a formal validation selection rule
stackoverflow,0.5,mahalanobis_diag,0.790219571500888,0.8322375535749171,1,0.790219571500888,0.0,0.0,1,0.790219571500888,0.0,0.0,5,descriptive_test_oracle; not a formal validation selection rule
stackoverflow,0.75,euclidean,0.6281487526289746,0.8726531877712941,1,0.6281487526289746,0.0,0.0,1,0.6281487526289746,0.0,0.0,2,descriptive_test_oracle; not a formal validation selection rule
stackoverflow,0.75,mahalanobis_diag,0.6313391913113686,0.8359178314918864,1,0.6313391913113686,0.0,0.0,1,0.6313391913113686,0.0,0.0,5,descriptive_test_oracle; not a formal validation selection rule
