dataset,kir,metric,metric_label,n_pairs,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,cohen_dz,sign_test_p,seeds
clinc150,0.25,oos_f1,OOS F1,5,0.03565375508227975,0.037038181963268246,0.006878914592102673,0.02959197069699169,0.04018959148395138,5,0,0,5.183049535636332,0.0625,13|42|87|100|123
clinc150,0.25,f1_all,F1-All,5,0.03082736770294463,0.029270385904098806,0.01459316089393209,0.019458339416931557,0.04247443967699369,5,0,0,2.11245308175577,0.0625,13|42|87|100|123
clinc150,0.25,known_recall,Known Recall,5,-0.17350877192982456,-0.17105263157894746,0.015437101203504822,-0.18526315789473674,-0.16175438596491226,0,0,5,-11.239724974429222,0.0625,13|42|87|100|123
clinc150,0.25,false_accept_rate,False Acceptance,5,-0.1034649122807018,-0.10899122807017546,0.013184731404074928,-0.11223684210526322,-0.09276315789473688,0,0,5,-7.847328027382075,0.0625,13|42|87|100|123
clinc150,0.5,oos_f1,OOS F1,5,0.010509699881813762,0.004542073302051031,0.00966602645633695,0.0033296209781332963,0.018211717397980155,5,0,0,1.0872823418483102,0.0625,13|42|87|100|123
clinc150,0.5,f1_all,F1-All,5,-0.03671228178790971,-0.03727342573042858,0.01258898612674587,-0.04727548031209221,-0.027402846364574244,0,0,5,-2.9162222770198154,0.0625,13|42|87|100|123
clinc150,0.5,known_recall,Known Recall,5,-0.164,-0.1631111111111111,0.007931808132255469,-0.1701333333333334,-0.15795555555555557,0,0,5,-20.676243961711336,0.0625,13|42|87|100|123
clinc150,0.5,false_accept_rate,False Acceptance,5,-0.1065507246376812,-0.096231884057971,0.017907320505990396,-0.12098550724637687,-0.09321739130434785,0,0,5,-5.950121046978392,0.0625,13|42|87|100|123
clinc150,0.75,oos_f1,OOS F1,5,-0.019112110463909992,-0.020841527882381916,0.014856456044782255,-0.02966529041849437,-0.006674544014056205,1,0,4,-1.2864515202212286,0.375,13|42|87|100|123
clinc150,0.75,f1_all,F1-All,5,-0.0561070078439561,-0.05554156369057894,0.010298675601262235,-0.06447934436417,-0.04912192197444536,0,0,5,-5.447982829663988,0.0625,13|42|87|100|123
