dataset,seed,gate_variant,gate_false_accept,gate_false_reject,gate_known_correct,gate_known_wrong,expert_known_correct,expert_known_wrong,oos_count,known_count,false_accept_rate,false_reject_rate
stackoverflow,13,frozen_k1,1041,494,2318,188,2351,155,3000,3000,0.347,0.16466666666666666
stackoverflow,13,trainable_k1,399,472,2497,31,2426,102,3000,3000,0.133,0.15733333333333333
stackoverflow,42,frozen_k1,579,486,2208,306,2334,180,3000,3000,0.193,0.162
stackoverflow,42,trainable_k1,279,495,2468,37,2382,123,3000,3000,0.093,0.165
stackoverflow,87,frozen_k1,769,486,2417,97,2403,111,3000,3000,0.25633333333333336,0.162
stackoverflow,87,trainable_k1,325,480,2486,34,2436,84,3000,3000,0.10833333333333334,0.16
clinc150,13,frozen_k1,209,528,1660,62,1630,92,3450,2250,0.06057971014492754,0.23466666666666666
clinc150,13,trainable_k1,111,573,1668,9,1603,74,3450,2250,0.03217391304347826,0.25466666666666665
clinc150,42,frozen_k1,237,606,1597,47,1551,93,3450,2250,0.06869565217391305,0.2693333333333333
clinc150,42,trainable_k1,166,587,1642,21,1576,87,3450,2250,0.04811594202898551,0.2608888888888889
clinc150,87,frozen_k1,224,513,1669,68,1633,104,3450,2250,0.06492753623188406,0.228
clinc150,87,trainable_k1,97,577,1659,14,1592,81,3450,2250,0.028115942028985506,0.2564444444444444
banking77,13,frozen_k1,430,230,1219,71,1163,127,1560,1520,0.27564102564102566,0.1513157894736842
banking77,13,trainable_k1,212,278,1213,29,1141,101,1560,1520,0.1358974358974359,0.18289473684210528
banking77,42,frozen_k1,355,250,1202,68,1156,114,1560,1520,0.22756410256410256,0.16447368421052633
banking77,42,trainable_k1,228,274,1206,40,1142,104,1560,1520,0.14615384615384616,0.18026315789473685
banking77,87,frozen_k1,313,256,1207,57,1151,113,1560,1520,0.20064102564102565,0.16842105263157894
banking77,87,trainable_k1,190,273,1217,30,1144,103,1560,1520,0.12179487179487179,0.17960526315789474
