stage,dataset,kir,seed,gate_variant,expert_checkpoint_used,oos_f1,f1_all,f1_k,accuracy,known_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos,expert_accuracy_given_gate_accept,count,expert_checkpoint_sha256,train_ids_sha256,calibration_ids_sha256,test_ids_sha256,gate_source
cascade_bridge_v1,stackoverflow,0.5,13,frozen_k1,True,0.7185035760132037,0.7364440520375588,0.7764168988274412,0.7183333333333334,0.8353333333333334,0.347,0.16466666666666666,0.8612272222222221,0.8156840094880962,0.9381484437350359,6000,f506807908e3a6a2795a3354d3c59755d17da0e268f47dc5fed6d9d9b24e5a13,4aa9ef44044337f0794ca79a36c5ab0653560fb0bb955310f2f481d4cda23660,ef35331650e5545c204b807b12522db56462c653ac8f91b5ff3b4b8d61aa28ae,fd77b022d10332484f6f691c48b923ab7ee82243605a089c7c1ed33ad39103e1,
cascade_bridge_v1,stackoverflow,0.5,13,trainable_k1,True,0.8565782973818541,0.8267851500986011,0.7978290619622302,0.8378333333333333,0.8426666666666667,0.133,0.15733333333333333,0.9058576666666666,0.8624649638244771,0.9596518987341772,6000,f506807908e3a6a2795a3354d3c59755d17da0e268f47dc5fed6d9d9b24e5a13,4aa9ef44044337f0794ca79a36c5ab0653560fb0bb955310f2f481d4cda23660,ef35331650e5545c204b807b12522db56462c653ac8f91b5ff3b4b8d61aa28ae,fd77b022d10332484f6f691c48b923ab7ee82243605a089c7c1ed33ad39103e1,
cascade_bridge_v1,stackoverflow,0.5,42,frozen_k1,True,0.8197054342305738,0.7761678614560599,0.7693202161970866,0.7925,0.838,0.193,0.162,0.9064862222222222,0.8927093484941884,0.9284009546539379,6000,74f64372cd77e421e3343f916fa4e97839d072aee82133b9262a7d56b0eb9faf,17727b522cfc3c92c4f785352e87fb160b6209e3336dea82231592012ad53df7,a85bbfa45b01fb75f8796b3c10c2351fce11f5f306ab68d5cd1c7fa90e8dea80,ed50cc34f4a8e69711527e7db4d5bed877b2e768861d442975d1a7b4907b16c6,
cascade_bridge_v1,stackoverflow,0.5,42,trainable_k1,True,0.8754826254826255,0.8296794207218308,0.7863917541573469,0.8505,0.835,0.093,0.165,0.9267938888888887,0.9119948044913427,0.9508982035928144,6000,74f64372cd77e421e3343f916fa4e97839d072aee82133b9262a7d56b0eb9faf,17727b522cfc3c92c4f785352e87fb160b6209e3336dea82231592012ad53df7,a85bbfa45b01fb75f8796b3c10c2351fce11f5f306ab68d5cd1c7fa90e8dea80,ed50cc34f4a8e69711527e7db4d5bed877b2e768861d442975d1a7b4907b16c6,
cascade_bridge_v1,stackoverflow,0.5,87,frozen_k1,True,0.7804792723456359,0.7838308118243532,0.792255893858788,0.7723333333333333,0.838,0.25633333333333336,0.162,0.8780081111111111,0.8321384307538693,0.9558472553699284,6000,8006d0b918d3dd60768f351e486979531555f0f00861ba034e5558cb85d5fb61,329d15b05282178d6ec40c81836bff0b8a5ceb6bd87bc222a7c209b698b3e377,a09fab8a1d75afae2c79693e2d0ac0cd6155a44ebaafbbe0df73e48731f0ff60,53f65be0e59d34bf1a888b93bca28cd91c57b620e14840d33339b37230b27f1f,
cascade_bridge_v1,stackoverflow,0.5,87,trainable_k1,True,0.8692120227457352,0.8410572331837746,0.8022825634814619,0.8518333333333333,0.84,0.10833333333333334,0.16,0.9198784444444444,0.8888527044060598,0.9666666666666667,6000,8006d0b918d3dd60768f351e486979531555f0f00861ba034e5558cb85d5fb61,329d15b05282178d6ec40c81836bff0b8a5ceb6bd87bc222a7c209b698b3e377,a09fab8a1d75afae2c79693e2d0ac0cd6155a44ebaafbbe0df73e48731f0ff60,53f65be0e59d34bf1a888b93bca28cd91c57b620e14840d33339b37230b27f1f,
cascade_bridge_multidataset_v1,clinc150,0.5,13,frozen_k1,True,0.8979082975481368,0.7829914329340393,0.8057234233292618,0.854561403508772,0.7653333333333333,0.06057971014492754,0.23466666666666666,0.9260787117552334,0.9352457390277841,0.9465737514518002,5700,b13073c31eb8cc0fa58bb216cc45715f554791c65f6ec22a15beb610a11aaf2e,40dc5dc0f817d7a8c1a7179d287ef154064731ff498b408a424012d78b43a6b4,0a82f6590b94d8e365a518d6a3135c8f52f4ff4b89511eb131117204523f8c40,3d57fe28640cb4c4ced43a08544ba53acd8ae99bc6f60bdf58db6d763fbeb05e,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__clinc150__kir_0.50__seed_13__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/predictions/test.jsonl
cascade_bridge_multidataset_v1,clinc150,0.5,13,trainable_k1,True,0.9070904645476773,0.7939662522818202,0.8010317533199993,0.8670175438596491,0.7453333333333333,0.03217391304347826,0.25466666666666665,0.9580215136876005,0.969613073854642,0.9558735837805605,5700,b13073c31eb8cc0fa58bb216cc45715f554791c65f6ec22a15beb610a11aaf2e,40dc5dc0f817d7a8c1a7179d287ef154064731ff498b408a424012d78b43a6b4,0a82f6590b94d8e365a518d6a3135c8f52f4ff4b89511eb131117204523f8c40,3d57fe28640cb4c4ced43a08544ba53acd8ae99bc6f60bdf58db6d763fbeb05e,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_control_v1/runs/clinc150/seed_13/predictions.jsonl
cascade_bridge_multidataset_v1,clinc150,0.5,42,frozen_k1,True,0.8840280643829963,0.7533898620244751,0.7801245339224964,0.8357894736842105,0.7306666666666667,0.06869565217391305,0.2693333333333333,0.9236139130434784,0.9379760800808493,0.9434306569343066,5700,07a147dd8e5b38470e8a88fc1055dfecea692b5478783e556eac0bf0f4a34b58,e8248b161f6a8e8dce1e5d34e7fc7d2ee3eaa0f59fb231c0b7080bcdef21e0e8,539c5ca5380a36d4f77a634f5a45dbf28a2ad33d679f9a85d5b7a928a5fb8a00,b0ada1a699899dbb8f4eab14d5c6550707963bcdb5949651834205b495428292,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/e2_gate_core_dense/protocol_v2_textoir_v1__clinc150__kir_0.50__seed_42__repr_frozen_minilm__k_1__dist_mahalanobis_diag__boundary_mean_std/predictions/test.jsonl
cascade_bridge_multidataset_v1,clinc150,0.5,42,trainable_k1,True,0.8971451987433411,0.7740798296655186,0.7901410063766074,0.8526315789473684,0.7391111111111112,0.04811594202898551,0.2608888888888889,0.9461893719806764,0.9595486046293606,0.9476849067949489,5700,07a147dd8e5b38470e8a88fc1055dfecea692b5478783e556eac0bf0f4a34b58,e8248b161f6a8e8dce1e5d34e7fc7d2ee3eaa0f59fb231c0b7080bcdef21e0e8,539c5ca5380a36d4f77a634f5a45dbf28a2ad33d679f9a85d5b7a928a5fb8a00,b0ada1a699899dbb8f4eab14d5c6550707963bcdb5949651834205b495428292,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_control_v1/runs/clinc150/seed_42/predictions.jsonl
