dataset,kir,seed,method,method_label,intent,known_count,known_false_reject,known_false_reject_rate,oos_false_accept,oos_false_accept_rate
clinc150,0.25,13,trainable_k1,Trainable K=1,bill_due,30,9,0.3,2,0.0004385964912280702
clinc150,0.25,13,trainable_k1,Trainable K=1,calories,30,6,0.2,0,0.0
clinc150,0.25,13,trainable_k1,Trainable K=1,cancel,30,9,0.3,2,0.0004385964912280702
clinc150,0.25,13,trainable_k1,Trainable K=1,car_rental,30,10,0.3333333333333333,0,0.0
clinc150,0.25,13,trainable_k1,Trainable K=1,change_ai_name,30,11,0.36666666666666664,16,0.0035087719298245615
clinc150,0.25,13,trainable_k1,Trainable K=1,change_speed,30,5,0.16666666666666666,0,0.0
clinc150,0.25,13,trainable_k1,Trainable K=1,credit_score,30,8,0.26666666666666666,0,0.0
clinc150,0.25,13,trainable_k1,Trainable K=1,current_location,30,6,0.2,3,0.0006578947368421052
clinc150,0.25,13,trainable_k1,Trainable K=1,damaged_card,30,10,0.3333333333333333,15,0.003289473684210526
clinc150,0.25,13,trainable_k1,Trainable K=1,date,30,4,0.13333333333333333,0,0.0
clinc150,0.25,13,trainable_k1,Trainable K=1,food_last,30,9,0.3,0,0.0
clinc150,0.25,13,trainable_k1,Trainable K=1,fun_fact,30,7,0.23333333333333334,0,0.0
clinc150,0.25,13,trainable_k1,Trainable K=1,ingredient_substitution,30,9,0.3,0,0.0
clinc150,0.25,13,trainable_k1,Trainable K=1,last_maintenance,30,4,0.13333333333333333,5,0.0010964912280701754
clinc150,0.25,13,trainable_k1,Trainable K=1,lost_luggage,30,3,0.1,0,0.0
clinc150,0.25,13,trainable_k1,Trainable K=1,maybe,30,7,0.23333333333333334,8,0.0017543859649122807
clinc150,0.25,13,trainable_k1,Trainable K=1,oil_change_how,30,5,0.16666666666666666,0,0.0
clinc150,0.25,13,trainable_k1,Trainable K=1,payday,30,10,0.3333333333333333,0,0.0
clinc150,0.25,13,trainable_k1,Trainable K=1,plug_type,30,6,0.2,0,0.0
clinc150,0.25,13,trainable_k1,Trainable K=1,pto_request_status,30,9,0.3,3,0.0006578947368421052
clinc150,0.25,13,trainable_k1,Trainable K=1,pto_used,30,6,0.2,24,0.005263157894736842
clinc150,0.25,13,trainable_k1,Trainable K=1,replacement_card_duration,30,10,0.3333333333333333,1,0.0002192982456140351
clinc150,0.25,13,trainable_k1,Trainable K=1,restaurant_reservation,30,11,0.36666666666666664,3,0.0006578947368421052
clinc150,0.25,13,trainable_k1,Trainable K=1,rewards_balance,30,6,0.2,6,0.0013157894736842105
clinc150,0.25,13,trainable_k1,Trainable K=1,shopping_list_update,30,12,0.4,10,0.0021929824561403508
clinc150,0.25,13,trainable_k1,Trainable K=1,spelling,30,3,0.1,0,0.0
clinc150,0.25,13,trainable_k1,Trainable K=1,tell_joke,30,8,0.26666666666666666,0,0.0
clinc150,0.25,13,trainable_k1,Trainable K=1,timezone,30,9,0.3,5,0.0010964912280701754
clinc150,0.25,13,trainable_k1,Trainable K=1,todo_list_update,30,10,0.3333333333333333,23,0.005043859649122807
clinc150,0.25,13,trainable_k1,Trainable K=1,transfer,30,6,0.2,1,0.0002192982456140351
clinc150,0.25,13,trainable_k1,Trainable K=1,travel_alert,30,16,0.5333333333333333,0,0.0
clinc150,0.25,13,trainable_k1,Trainable K=1,travel_notification,30,12,0.4,0,0.0
clinc150,0.25,13,trainable_k1,Trainable K=1,uber,30,6,0.2,1,0.0002192982456140351
clinc150,0.25,13,trainable_k1,Trainable K=1,user_name,30,8,0.26666666666666666,10,0.0021929824561403508
clinc150,0.25,13,trainable_k1,Trainable K=1,vaccines,30,13,0.43333333333333335,0,0.0
clinc150,0.25,13,trainable_k1,Trainable K=1,what_are_your_hobbies,30,10,0.3333333333333333,0,0.0
clinc150,0.25,13,trainable_k1,Trainable K=1,what_song,30,5,0.16666666666666666,0,0.0
clinc150,0.25,13,trainable_k1,Trainable K=1,whisper_mode,30,2,0.06666666666666667,0,0.0
clinc150,0.25,13,single_centroid,Frozen K=1,bill_due,30,4,0.13333333333333333,3,0.0006578947368421052
clinc150,0.25,13,single_centroid,Frozen K=1,calories,30,7,0.23333333333333334,0,0.0
clinc150,0.25,13,single_centroid,Frozen K=1,cancel,30,3,0.1,11,0.002412280701754386
clinc150,0.25,13,single_centroid,Frozen K=1,car_rental,30,11,0.36666666666666664,0,0.0
clinc150,0.25,13,single_centroid,Frozen K=1,change_ai_name,30,12,0.4,28,0.0061403508771929825
clinc150,0.25,13,single_centroid,Frozen K=1,change_speed,30,4,0.13333333333333333,2,0.0004385964912280702
clinc150,0.25,13,single_centroid,Frozen K=1,credit_score,30,8,0.26666666666666666,0,0.0
clinc150,0.25,13,single_centroid,Frozen K=1,current_location,30,6,0.2,6,0.0013157894736842105
clinc150,0.25,13,single_centroid,Frozen K=1,damaged_card,30,8,0.26666666666666666,28,0.0061403508771929825
clinc150,0.25,13,single_centroid,Frozen K=1,date,30,2,0.06666666666666667,1,0.0002192982456140351
clinc150,0.25,13,single_centroid,Frozen K=1,food_last,30,7,0.23333333333333334,0,0.0
clinc150,0.25,13,single_centroid,Frozen K=1,fun_fact,30,4,0.13333333333333333,2,0.0004385964912280702
clinc150,0.25,13,single_centroid,Frozen K=1,ingredient_substitution,30,10,0.3333333333333333,1,0.0002192982456140351
clinc150,0.25,13,single_centroid,Frozen K=1,last_maintenance,30,3,0.1,3,0.0006578947368421052
clinc150,0.25,13,single_centroid,Frozen K=1,lost_luggage,30,1,0.03333333333333333,0,0.0
clinc150,0.25,13,single_centroid,Frozen K=1,maybe,30,5,0.16666666666666666,7,0.0015350877192982456
