dataset,kir,seed,method,method_label,n_samples,n_known,n_oos,oos_f1,known_recall,false_accept_rate,false_reject_rate,source_oos_f1,source_known_recall,metric_recompute_delta,source_prediction_path
clinc150,0.25,13,trainable_k1,Trainable K=1,5700,1140,4560,0.9528118939883645,0.7368421052631579,0.030263157894736843,0.2631578947368421,0.9528118939883644,0.736842105263158,1.1102230246251565e-16,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/clinc150/seed_13/predictions.jsonl
clinc150,0.25,13,single_centroid,Frozen K=1,5700,1140,4560,0.9442615755979811,0.7798245614035088,0.05635964912280702,0.22017543859649122,0.9442615755979812,0.7798245614035088,-1.1102230246251565e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_13/single_centroid/predictions.tsv
clinc150,0.25,13,fixed_k2,Frozen K=2,5700,1140,4560,0.9463605701229464,0.7526315789473684,0.0462719298245614,0.24736842105263157,0.9463605701229464,0.7526315789473684,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_13/fixed_k2/predictions.tsv
clinc150,0.25,13,random_partition,Random K=2,5700,1140,4560,0.9433795990306235,0.7929824561403509,0.06096491228070176,0.20701754385964913,0.9433795990306236,0.7929824561403509,-1.1102230246251565e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_13/random_partition/predictions.tsv
clinc150,0.25,13,mogb_minilm,MOGB-MiniLM,5700,1140,4560,0.9259297203155414,0.4017543859649123,0.008991228070175439,0.5982456140350877,0.9259297203155414,0.4017543859649123,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_13/mogb_minilm/predictions.tsv
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours,5700,1140,4560,0.9441786283891547,0.6447368421052632,0.02631578947368421,0.35526315789473684,0.9441786283891548,0.6447368421052632,-1.1102230246251565e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_13/mogb_partition_ours_boundary/predictions.tsv
clinc150,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB,5700,1140,4560,0.925388494391273,0.4201754385964912,0.014035087719298246,0.5798245614035088,0.925388494391273,0.4201754385964912,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_13/ours_partition_mogb_boundary/predictions.tsv
clinc150,0.25,42,trainable_k1,Trainable K=1,5700,1140,4560,0.9479594040164111,0.7263157894736842,0.03728070175438596,0.2736842105263158,0.9479594040164112,0.7263157894736842,-1.1102230246251565e-16,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/clinc150/seed_42/predictions.jsonl
clinc150,0.25,42,single_centroid,Frozen K=1,5700,1140,4560,0.938201011656037,0.7649122807017544,0.06447368421052632,0.23508771929824562,0.938201011656037,0.7649122807017543,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_42/single_centroid/predictions.tsv
clinc150,0.25,42,fixed_k2,Frozen K=2,5700,1140,4560,0.9448784722222222,0.7350877192982456,0.04517543859649123,0.2649122807017544,0.9448784722222222,0.7350877192982457,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_42/fixed_k2/predictions.tsv
clinc150,0.25,42,random_partition,Random K=2,5700,1140,4560,0.9351422898742554,0.7657894736842106,0.07039473684210526,0.23421052631578948,0.9351422898742554,0.7657894736842106,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_42/random_partition/predictions.tsv
clinc150,0.25,42,mogb_minilm,MOGB-MiniLM,5700,1140,4560,0.9190780789927911,0.3307017543859649,0.007456140350877193,0.6692982456140351,0.9190780789927911,0.3307017543859649,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_42/mogb_minilm/predictions.tsv
clinc150,0.25,42,mogb_partition_ours_boundary,MOGB partition + ours,5700,1140,4560,0.9337242173594388,0.5333333333333333,0.022149122807017543,0.4666666666666667,0.9337242173594388,0.5333333333333333,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_42/mogb_partition_ours_boundary/predictions.tsv
clinc150,0.25,42,ours_partition_mogb_boundary,Ours partition + MOGB,5700,1140,4560,0.928219852337982,0.41578947368421054,0.007456140350877193,0.5842105263157895,0.928219852337982,0.4157894736842105,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_42/ours_partition_mogb_boundary/predictions.tsv
clinc150,0.25,87,trainable_k1,Trainable K=1,5700,1140,4560,0.9473684210526315,0.7368421052631579,0.04078947368421053,0.2631578947368421,0.9473684210526316,0.736842105263158,-1.1102230246251565e-16,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/clinc150/seed_87/predictions.jsonl
