dataset,kir,method,method_label,intent,known_count_mean,known_false_reject_rate_mean,oos_false_accept_rate_mean,rank,method_oos_fa_total,oos_fa_share_of_method_total
banking77,0.25,fixed_k2,Frozen K=2,contactless_not_working,40.0,0.375,0.0540948275862069,1,0.6081178160919519,0.08895451860602512
banking77,0.25,fixed_k2,Frozen K=2,direct_debit_payment_not_recognised,40.0,0.2166666666666666,0.0429597701149425,2,0.6081178160919519,0.07064382752510356
banking77,0.25,fixed_k2,Frozen K=2,beneficiary_not_allowed,40.0,0.225,0.0396551724137931,3,0.6081178160919519,0.06520968694624948
banking77,0.25,fixed_k2,Frozen K=2,transfer_not_received_by_recipient,40.0,0.225,0.0379310344827586,4,0.6081178160919519,0.06237448316597773
banking77,0.25,fixed_k2,Frozen K=2,order_physical_card,40.0,0.15,0.0288793103448275,5,0.6081178160919519,0.047489663319551116
banking77,0.25,fixed_k2,Frozen K=2,top_up_failed,40.0,0.2,0.0267241379310344,6,0.6081178160919519,0.04394565859421148
banking77,0.25,fixed_k2,Frozen K=2,card_linking,40.0,0.125,0.0267241379310344,7,0.6081178160919519,0.04394565859421148
banking77,0.25,fixed_k2,Frozen K=2,extra_charge_on_statement,40.0,0.225,0.0206896551724137,8,0.6081178160919519,0.03402244536326045
banking77,0.25,fixed_k2,Frozen K=2,top_up_reverted,40.0,0.275,0.01875,9,0.6081178160919519,0.03083284111045492
banking77,0.25,fixed_k2,Frozen K=2,reverted_card_payment?,40.0,0.125,0.0183189655172413,10,0.6081178160919519,0.03012404016538686
banking77,0.25,mogb_minilm,MOGB-MiniLM,unable_to_verify_identity,40.0,0.525,0.0081896551724137,1,0.0416666666666658,0.1965517241379329
banking77,0.25,mogb_minilm,MOGB-MiniLM,transfer_not_received_by_recipient,40.0,0.725,0.0064655172413793,2,0.0416666666666658,0.15517241379310642
banking77,0.25,mogb_minilm,MOGB-MiniLM,why_verify_identity,40.0,0.4875,0.0064655172413793,3,0.0416666666666658,0.15517241379310642
banking77,0.25,mogb_minilm,MOGB-MiniLM,top_up_failed,40.0,0.475,0.0038793103448275,4,0.0416666666666658,0.09310344827586194
banking77,0.25,mogb_minilm,MOGB-MiniLM,verify_my_identity,40.0,0.35,0.0025862068965517,5,0.0416666666666658,0.06206896551724209
banking77,0.25,mogb_minilm,MOGB-MiniLM,reverted_card_payment?,40.0,0.5874999999999999,0.0019396551724137,6,0.0416666666666658,0.046551724137929774
banking77,0.25,mogb_minilm,MOGB-MiniLM,Refund_not_showing_up,40.0,0.3874999999999999,0.0015086206896551,7,0.0416666666666658,0.036206896551723156
banking77,0.25,mogb_minilm,MOGB-MiniLM,top_up_reverted,40.0,0.6375,0.0012931034482758,8,0.0416666666666658,0.03103448275861985
