method,dataset,kir,seed,target_known_recall,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall,method_label,kir_label
mogb_minilm_fair,banking77,0.25,13,0.8,1.476059901011976,0.7700348432055749,0.8013157894736842,0.3331896551724138,0.1986842105263158,0.9110718492343934,0.6668103448275862,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,banking77,0.25,13,0.8,0.9829842769876472,0.9226073686505342,0.8013157894736842,0.0879310344827586,0.1986842105263158,0.933392148213498,0.9120689655172414,S2C Trainable K=1,0.25
mogb_minilm_fair,banking77,0.25,13,0.9,1.6538144092311835,0.5467233009708737,0.9013157894736842,0.6116379310344827,0.0986842105263158,0.923155737704918,0.3883620689655172,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,banking77,0.25,13,0.9,1.0691415456572633,0.8649289099526066,0.9013157894736842,0.2133620689655172,0.0986842105263158,0.9605263157894736,0.7866379310344828,S2C Trainable K=1,0.25
mogb_minilm_fair,banking77,0.25,13,0.95,1.8314109509030272,0.3164285714285714,0.9513157894736842,0.809051724137931,0.0486842105263157,0.9229166666666668,0.1909482758620689,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,banking77,0.25,13,0.95,1.1392851227766,0.7535695399259651,0.9513157894736842,0.3857758620689655,0.0486842105263157,0.9746922024623804,0.6142241379310345,S2C Trainable K=1,0.25
mogb_minilm_fair,banking77,0.25,42,0.8,1.3746092723313672,0.8114478114478114,0.8013157894736842,0.2728448275862069,0.1986842105263158,0.9178454842219804,0.7271551724137931,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,banking77,0.25,42,0.8,0.9880659211999476,0.9214316892186818,0.8013157894736842,0.0900862068965517,0.1986842105263158,0.9332449160035368,0.9099137931034482,S2C Trainable K=1,0.25
mogb_minilm_fair,banking77,0.25,42,0.9,1.524846601001759,0.6537380550871276,0.9013157894736842,0.4987068965517241,0.0986842105263158,0.9394184168012925,0.5012931034482758,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,banking77,0.25,42,0.9,1.1061878806806362,0.8559828039168856,0.9013157894736842,0.2275862068965517,0.0986842105263158,0.9598286020353508,0.7724137931034483,S2C Trainable K=1,0.25
mogb_minilm_fair,banking77,0.25,42,0.95,1.6298507281106247,0.502065459167461,0.9513157894736842,0.6594827586206896,0.0486842105263157,0.9552599758162033,0.3405172413793103,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,banking77,0.25,42,0.95,1.1916509373105708,0.7515889830508474,0.9513157894736842,0.3883620689655172,0.0486842105263157,0.974587912087912,0.6116379310344827,S2C Trainable K=1,0.25
mogb_minilm_fair,banking77,0.25,87,0.8,1.3396976411663095,0.8889388489208633,0.8013157894736842,0.1478448275862069,0.1986842105263158,0.9290413533834586,0.8521551724137931,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,banking77,0.25,87,0.8,0.9914471709998148,0.9307659022068367,0.8013157894736842,0.0728448275862069,0.1986842105263158,0.9344048653344916,0.9271551724137932,S2C Trainable K=1,0.25
mogb_minilm_fair,banking77,0.25,87,0.9,1.5146253327339492,0.7799286805909322,0.9013157894736842,0.3400862068965517,0.0986842105263158,0.9533001245330012,0.6599137931034482,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,banking77,0.25,87,0.9,1.119675661220534,0.8724105461393596,0.9013157894736842,0.2012931034482758,0.0986842105263158,0.9610995850622408,0.7987068965517241,S2C Trainable K=1,0.25
mogb_minilm_fair,banking77,0.25,87,0.95,1.712371283838025,0.5148078134845621,0.9513157894736842,0.6478448275862069,0.0486842105263157,0.9566744730679156,0.3521551724137931,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,banking77,0.25,87,0.95,1.2125096262923605,0.7637031209021767,0.9513157894736842,0.3724137931034483,0.0486842105263157,0.9752176825184192,0.6275862068965518,S2C Trainable K=1,0.25
mogb_minilm_fair,banking77,0.25,100,0.8,1.374289207164436,0.8501628664495114,0.8013157894736842,0.2125,0.1986842105263158,0.92366026289181,0.7875,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,banking77,0.25,100,0.8,0.9957971221569166,0.9305345163384549,0.8013157894736842,0.0732758620689655,0.1986842105263158,0.9343763581051716,0.9267241379310344,S2C Trainable K=1,0.25
