dataset,kir,reference_method,metric,comparison,mean_delta,ci95_low_delta,ci95_high_delta,wins_delta,ties_delta,losses_delta,n_seeds,bootstrap_seed,bootstrap_samples,mean_delta_pp,ci95_low_delta_pp,ci95_high_delta_pp
banking77,0.5,energy,f1_all,Trainable Gate K=1 - native detector,0.0423948760476788,0.0377152151812328,0.0510313974139975,3,0,0,3,20260725,10000,4.239487604767881,3.77152151812328,5.10313974139975
banking77,0.5,knn,f1_all,Trainable Gate K=1 - native detector,0.0475596150370768,0.0356385034184458,0.0574382604353737,3,0,0,3,20260725,10000,4.75596150370768,3.56385034184458,5.74382604353737
banking77,0.5,lof,f1_all,Trainable Gate K=1 - native detector,0.0771797534057526,0.0704200441117413,0.0813571882378781,3,0,0,3,20260725,10000,7.7179753405752605,7.04200441117413,8.13571882378781
banking77,0.5,msp,f1_all,Trainable Gate K=1 - native detector,0.0206062449905541,0.0173362110837963,0.0268311130568635,3,0,0,3,20260725,10000,2.06062449905541,1.73362110837963,2.68311130568635
banking77,0.5,energy,false_accept_rate,Trainable Gate K=1 - native detector,-0.2955128205128205,-0.3121794871794873,-0.2826923076923077,0,0,3,3,20260725,10000,-29.55128205128205,-31.21794871794873,-28.26923076923077
banking77,0.5,knn,false_accept_rate,Trainable Gate K=1 - native detector,-0.3318376068376068,-0.3429487179487179,-0.3141025641025641,0,0,3,3,20260725,10000,-33.18376068376068,-34.29487179487179,-31.41025641025641
banking77,0.5,lof,false_accept_rate,Trainable Gate K=1 - native detector,-0.439957264957265,-0.4596153846153846,-0.4064102564102565,0,0,3,3,20260725,10000,-43.9957264957265,-45.96153846153846,-40.64102564102565
banking77,0.5,msp,false_accept_rate,Trainable Gate K=1 - native detector,-0.261965811965812,-0.276923076923077,-0.2506410256410256,0,0,3,3,20260725,10000,-26.1965811965812,-27.6923076923077,-25.06410256410256
banking77,0.5,energy,known_recall,Trainable Gate K=1 - native detector,-0.1094298245614035,-0.1105263157894737,-0.1085526315789473,0,0,3,3,20260725,10000,-10.942982456140351,-11.05263157894737,-10.855263157894731
banking77,0.5,knn,known_recall,Trainable Gate K=1 - native detector,-0.1287280701754386,-0.1342105263157895,-0.125657894736842,0,0,3,3,20260725,10000,-12.872807017543861,-13.42105263157895,-12.5657894736842
banking77,0.5,lof,known_recall,Trainable Gate K=1 - native detector,-0.131359649122807,-0.1434210526315789,-0.1217105263157894,0,0,3,3,20260725,10000,-13.1359649122807,-14.34210526315789,-12.17105263157894
banking77,0.5,msp,known_recall,Trainable Gate K=1 - native detector,-0.1195175438596491,-0.125,-0.1164473684210527,0,0,3,3,20260725,10000,-11.951754385964911,-12.5,-11.64473684210527
banking77,0.5,energy,oos_f1,Trainable Gate K=1 - native detector,0.1525357079858939,0.1450745353436535,0.1623553958195588,3,0,0,3,20260725,10000,15.253570798589388,14.50745353436535,16.23553958195588
banking77,0.5,knn,oos_f1,Trainable Gate K=1 - native detector,0.1742258216368793,0.1602105297589477,0.1849577260416721,3,0,0,3,20260725,10000,17.42258216368793,16.02105297589477,18.49577260416721
banking77,0.5,lof,oos_f1,Trainable Gate K=1 - native detector,0.2711101202873519,0.2379983530540789,0.2955015548861783,3,0,0,3,20260725,10000,27.11101202873519,23.79983530540789,29.55015548861783
banking77,0.5,msp,oos_f1,Trainable Gate K=1 - native detector,0.1221050992239078,0.1170369160007916,0.1319617081893553,3,0,0,3,20260725,10000,12.21050992239078,11.703691600079159,13.19617081893553
clinc150,0.5,energy,f1_all,Trainable Gate K=1 - native detector,-0.0368567284158956,-0.0401276130102553,-0.0335801665790633,0,0,3,3,20260725,10000,-3.68567284158956,-4.01276130102553,-3.35801665790633
clinc150,0.5,knn,f1_all,Trainable Gate K=1 - native detector,-0.0176686606905553,-0.0188685191596819,-0.01545287539029,0,0,3,3,20260725,10000,-1.76686606905553,-1.88685191596819,-1.545287539029
clinc150,0.5,lof,f1_all,Trainable Gate K=1 - native detector,0.029895678024063,0.017439342903139,0.0385342429228321,3,0,0,3,20260725,10000,2.9895678024063,1.7439342903139001,3.85342429228321
clinc150,0.5,msp,f1_all,Trainable Gate K=1 - native detector,-0.0437041035055124,-0.054852079427225,-0.0272181684281868,0,0,3,3,20260725,10000,-4.370410350551239,-5.4852079427225,-2.7218168428186797
clinc150,0.5,energy,false_accept_rate,Trainable Gate K=1 - native detector,-0.147536231884058,-0.1652173913043479,-0.1330434782608696,0,0,3,3,20260725,10000,-14.7536231884058,-16.52173913043479,-13.30434782608696
clinc150,0.5,knn,false_accept_rate,Trainable Gate K=1 - native detector,-0.1698550724637681,-0.1866666666666667,-0.1533333333333333,0,0,3,3,20260725,10000,-16.98550724637681,-18.66666666666667,-15.333333333333329
clinc150,0.5,lof,false_accept_rate,Trainable Gate K=1 - native detector,-0.2959420289855073,-0.3466666666666667,-0.2605797101449275,0,0,3,3,20260725,10000,-29.59420289855073,-34.66666666666667,-26.057971014492747
clinc150,0.5,msp,false_accept_rate,Trainable Gate K=1 - native detector,-0.1459903381642512,-0.190144927536232,-0.1104347826086956,0,0,3,3,20260725,10000,-14.59903381642512,-19.0144927536232,-11.043478260869561
clinc150,0.5,energy,known_recall,Trainable Gate K=1 - native detector,-0.2075555555555555,-0.2142222222222222,-0.2004444444444444,0,0,3,3,20260725,10000,-20.75555555555555,-21.42222222222222,-20.04444444444444
clinc150,0.5,knn,known_recall,Trainable Gate K=1 - native detector,-0.2034074074074074,-0.2088888888888889,-0.1968888888888889,0,0,3,3,20260725,10000,-20.34074074074074,-20.88888888888889,-19.68888888888889
clinc150,0.5,lof,known_recall,Trainable Gate K=1 - native detector,-0.2137777777777777,-0.2173333333333332,-0.2071111111111111,0,0,3,3,20260725,10000,-21.37777777777777,-21.73333333333332,-20.711111111111112
clinc150,0.5,msp,known_recall,Trainable Gate K=1 - native detector,-0.208,-0.2159999999999999,-0.1946666666666666,0,0,3,3,20260725,10000,-20.8,-21.599999999999987,-19.46666666666666
clinc150,0.5,energy,oos_f1,Trainable Gate K=1 - native detector,0.0212909622904509,0.0140816694102026,0.0294359479074236,3,0,0,3,20260725,10000,2.12909622904509,1.4081669410202602,2.9435947907423596
clinc150,0.5,knn,oos_f1,Trainable Gate K=1 - native detector,0.0362457779057086,0.0272738345360981,0.045792925397789,3,0,0,3,20260725,10000,3.62457779057086,2.72738345360981,4.5792925397789
clinc150,0.5,lof,oos_f1,Trainable Gate K=1 - native detector,0.1172897618150153,0.0933029338292864,0.1521142447132576,3,0,0,3,20260725,10000,11.72897618150153,9.33029338292864,15.21142447132576
clinc150,0.5,msp,oos_f1,Trainable Gate K=1 - native detector,0.0205236761038997,0.0027126293210805,0.0443894999174521,3,0,0,3,20260725,10000,2.05236761038997,0.27126293210805,4.4389499917452095
stackoverflow,0.5,energy,f1_all,Trainable Gate K=1 - native detector,0.1585048384119504,0.1577331906795236,0.1595817031645952,3,0,0,3,20260725,10000,15.85048384119504,15.77331906795236,15.958170316459519
stackoverflow,0.5,knn,f1_all,Trainable Gate K=1 - native detector,0.0843406573856336,0.0722485310031426,0.1081502424585718,3,0,0,3,20260725,10000,8.43406573856336,7.22485310031426,10.81502424585718
stackoverflow,0.5,lof,f1_all,Trainable Gate K=1 - native detector,0.0959065321940552,0.078749212855853,0.1112961441292428,3,0,0,3,20260725,10000,9.590653219405521,7.8749212855853,11.12961441292428
stackoverflow,0.5,msp,f1_all,Trainable Gate K=1 - native detector,0.1469938363797693,0.1401045546397448,0.151547188360996,3,0,0,3,20260725,10000,14.69938363797693,14.01045546397448,15.154718836099601
stackoverflow,0.5,energy,false_accept_rate,Trainable Gate K=1 - native detector,-0.6028888888888889,-0.6103333333333334,-0.5933333333333334,0,0,3,3,20260725,10000,-60.28888888888889,-61.03333333333334,-59.333333333333336
stackoverflow,0.5,knn,false_accept_rate,Trainable Gate K=1 - native detector,-0.3344444444444445,-0.4233333333333333,-0.2816666666666667,0,0,3,3,20260725,10000,-33.44444444444445,-42.33333333333333,-28.166666666666668
stackoverflow,0.5,lof,false_accept_rate,Trainable Gate K=1 - native detector,-0.3955555555555556,-0.4766666666666667,-0.3226666666666667,0,0,3,3,20260725,10000,-39.55555555555556,-47.66666666666667,-32.26666666666667
stackoverflow,0.5,msp,false_accept_rate,Trainable Gate K=1 - native detector,-0.5790000000000001,-0.5976666666666667,-0.5466666666666667,0,0,3,3,20260725,10000,-57.900000000000006,-59.766666666666666,-54.66666666666667
stackoverflow,0.5,energy,known_recall,Trainable Gate K=1 - native detector,-0.1173333333333333,-0.1243333333333334,-0.1126666666666666,0,0,3,3,20260725,10000,-11.73333333333333,-12.43333333333334,-11.26666666666666
stackoverflow,0.5,knn,known_recall,Trainable Gate K=1 - native detector,-0.1124444444444444,-0.126,-0.0993333333333333,0,0,3,3,20260725,10000,-11.24444444444444,-12.6,-9.93333333333333
stackoverflow,0.5,lof,known_recall,Trainable Gate K=1 - native detector,-0.1101111111111111,-0.1173333333333334,-0.1033333333333333,0,0,3,3,20260725,10000,-11.011111111111111,-11.73333333333334,-10.33333333333333
stackoverflow,0.5,msp,known_recall,Trainable Gate K=1 - native detector,-0.1167777777777778,-0.118,-0.1153333333333334,0,0,3,3,20260725,10000,-11.67777777777778,-11.799999999999999,-11.53333333333334
stackoverflow,0.5,energy,oos_f1,Trainable Gate K=1 - native detector,0.4376161440644625,0.4122780968092314,0.4548405002952198,3,0,0,3,20260725,10000,43.76161440644625,41.22780968092314,45.484050029521974
stackoverflow,0.5,knn,oos_f1,Trainable Gate K=1 - native detector,0.1787590949382429,0.1366600481004688,0.2606526201935846,3,0,0,3,20260725,10000,17.87590949382429,13.66600481004688,26.06526201935846
stackoverflow,0.5,lof,oos_f1,Trainable Gate K=1 - native detector,0.2317489102705036,0.1691915183372874,0.3136946627040609,3,0,0,3,20260725,10000,23.17489102705036,16.91915183372874,31.369466270406086
stackoverflow,0.5,msp,oos_f1,Trainable Gate K=1 - native detector,0.4109637460735964,0.3637666491512645,0.4449634221908199,3,0,0,3,20260725,10000,41.09637460735964,36.37666491512645,44.49634221908199
