dataset,method,seed,dataset_label,method_label,gate_minus_native_oos_f1,gate_minus_native_oos_f1_pp,gate_minus_native_f1_all,gate_minus_native_f1_all_pp,gate_minus_native_known_recall,gate_minus_native_known_recall_pp,gate_minus_native_false_accept_rate,gate_minus_native_false_accept_rate_pp,gate_minus_native_false_reject_rate,gate_minus_native_false_reject_rate_pp,gate_minus_native_auroc,gate_minus_native_auroc_pp,gate_minus_native_aupr_oos,gate_minus_native_aupr_oos_pp
banking77,energy,13,Banking77,Energy,0.1501771927944695,15.01771927944695,0.03843801554780624,3.8438015547806237,-0.10855263157894723,-10.855263157894724,-0.29166666666666663,-29.166666666666664,0.10855263157894741,10.855263157894742,0.023405870445344146,2.3405870445344146,0.0237947900843819,2.37947900843819
banking77,knn,13,Banking77,kNN,0.18495772604167215,18.495772604167215,0.0574382604353737,5.74382604353737,-0.12631578947368405,-12.631578947368405,-0.34294871794871795,-34.294871794871796,0.12631578947368421,12.631578947368421,0.003100961538461622,0.3100961538461622,0.0014067210894105342,0.14067210894105342
banking77,lof,13,Banking77,LOF,0.2798304529217983,27.98304529217983,0.08135718823787819,8.135718823787819,-0.14342105263157878,-14.342105263157878,-0.4538461538461539,-45.38461538461539,0.14342105263157892,14.342105263157892,0.013382464574898778,1.3382464574898778,0.020010298086636014,2.0010298086636014
banking77,msp,13,Banking77,MSP,0.11731667348157637,11.731667348157638,0.017651410831002523,1.7651410831002523,-0.125,-12.5,-0.2583333333333333,-25.83333333333333,0.12500000000000003,12.500000000000004,0.002044534412955379,0.20445344129553789,0.00037814383412693164,0.037814383412693164
banking77,energy,42,Banking77,Energy,0.14507453534365355,14.507453534365355,0.037715215181232886,3.7715215181232886,-0.10921052631578954,-10.921052631578954,-0.2826923076923077,-28.26923076923077,0.1092105263157896,10.921052631578961,0.01873650472334698,1.873650472334698,-0.001512138083199721,-0.1512138083199721
banking77,knn,42,Banking77,kNN,0.16021052975894778,16.02105297589478,0.03563850341844588,3.5638503418445877,-0.13421052631578967,-13.421052631578966,-0.3141025641025641,-31.41025641025641,0.1342105263157896,13.421052631578961,-0.010998228744939276,-1.0998228744939276,-0.0150107346864089,-1.50107346864089
banking77,lof,42,Banking77,LOF,0.29550155488617835,29.550155488617836,0.07976202786763842,7.976202786763842,-0.1289473684210527,-12.89473684210527,-0.45961538461538465,-45.96153846153847,0.1289473684210527,12.89473684210527,0.0341091008771931,3.41091008771931,0.033388299293197865,3.3388299293197865
banking77,msp,42,Banking77,MSP,0.11703691600079169,11.70369160007917,0.01733621108379635,1.733621108379635,-0.11644736842105274,-11.644736842105274,-0.25064102564102564,-25.064102564102562,0.1164473684210527,11.64473684210527,0.0037255398110662696,0.37255398110662696,-0.01368247783313492,-1.368247783313492
banking77,energy,87,Banking77,Energy,0.16235539581955882,16.235539581955884,0.05103139741399754,5.103139741399754,-0.1105263157894737,-11.05263157894737,-0.3121794871794873,-31.21794871794873,0.11052631578947371,11.052631578947372,0.015489625506073024,1.5489625506073024,0.008785001851220664,0.8785001851220664
banking77,knn,87,Banking77,kNN,0.1775092091100181,17.75092091100181,0.04960208125741106,4.960208125741106,-0.12565789473684208,-12.565789473684209,-0.3384615384615385,-33.84615384615385,0.1256578947368421,12.56578947368421,0.0061209514170039725,0.6120951417003972,-7.064127696432276e-05,-0.007064127696432276
banking77,lof,87,Banking77,LOF,0.2379983530540789,23.79983530540789,0.0704200441117413,7.04200441117413,-0.12171052631578949,-12.171052631578949,-0.4064102564102565,-40.64102564102565,0.12171052631578952,12.171052631578952,0.020849991565452308,2.084999156545231,0.02643312781063889,2.643312781063889
banking77,msp,87,Banking77,MSP,0.13196170818935538,13.196170818935538,0.026831113056863587,2.6831113056863587,-0.11710526315789471,-11.71052631578947,-0.276923076923077,-27.6923076923077,0.11710526315789471,11.71052631578947,0.002984143049932775,0.2984143049932775,-0.007671308780995645,-0.7671308780995645
clinc150,energy,13,CLINC150,Energy,0.029435947907423654,2.9435947907423654,-0.033580166579063375,-3.3580166579063375,-0.2142222222222222,-21.42222222222222,-0.1652173913043479,-16.52173913043479,0.2142222222222222,21.42222222222222,-0.00910325281803559,-0.910325281803559,-0.00611385799116182,-0.611385799116182
clinc150,knn,13,CLINC150,kNN,0.04579292539778901,4.579292539778901,-0.015452875390290055,-1.5452875390290055,-0.20444444444444443,-20.444444444444443,-0.1866666666666667,-18.66666666666667,0.2044444444444444,20.44444444444444,0.0031152334943637117,0.31152334943637117,6.264072808725984e-05,0.0062640728087259845
clinc150,lof,13,CLINC150,LOF,0.15211424471325763,15.211424471325763,0.03853424292283214,3.853424292283214,-0.21733333333333338,-21.733333333333338,-0.3466666666666667,-34.66666666666667,0.2173333333333333,21.73333333333333,0.016792141706924002,1.6792141706924002,0.016922205981018568,1.6922205981018568
clinc150,msp,13,CLINC150,MSP,0.04438949991745211,4.438949991745211,-0.027218168428186806,-2.7218168428186806,-0.21599999999999997,-21.599999999999998,-0.1901449275362319,-19.01449275362319,0.216,21.6,-0.0057168438003224464,-0.5716843800322446,-0.0027510924086455724,-0.27510924086455724
clinc150,energy,42,CLINC150,Energy,0.020355269553726574,2.0355269553726574,-0.04012761301025536,-4.012761301025536,-0.20800000000000018,-20.80000000000002,-0.1443478260869565,-14.43478260869565,0.20800000000000016,20.800000000000015,-0.013206956521738977,-1.3206956521738977,-0.013159204917260525,-1.3159204917260525
clinc150,knn,42,CLINC150,kNN,0.0356705737832389,3.56705737832389,-0.018684587521694218,-1.8684587521694218,-0.2088888888888889,-20.88888888888889,-0.16956521739130428,-16.95652173913043,0.20888888888888896,20.888888888888896,-0.01026486312399355,-1.026486312399355,-0.009808344025018956,-0.9808344025018956
