dataset,kir,method,pareto_efficient
banking77,0.25,fixed_k2,True
banking77,0.25,mogb_minilm,True
banking77,0.25,mogb_partition_ours_boundary,True
banking77,0.25,ours_partition_mogb_boundary,False
banking77,0.25,random_partition,True
banking77,0.25,single_centroid,True
banking77,0.25,trainable_k1,True
banking77,0.5,fixed_k2,True
banking77,0.5,mogb_minilm,True
banking77,0.5,mogb_partition_ours_boundary,True
banking77,0.5,ours_partition_mogb_boundary,True
banking77,0.5,random_partition,True
banking77,0.5,single_centroid,True
banking77,0.5,trainable_k1,True
banking77,0.75,fixed_k2,True
banking77,0.75,mogb_minilm,True
banking77,0.75,mogb_partition_ours_boundary,True
banking77,0.75,ours_partition_mogb_boundary,True
banking77,0.75,random_partition,True
banking77,0.75,single_centroid,True
banking77,0.75,trainable_k1,True
clinc150,0.25,fixed_k2,True
clinc150,0.25,mogb_minilm,True
clinc150,0.25,mogb_partition_ours_boundary,True
clinc150,0.25,ours_partition_mogb_boundary,True
clinc150,0.25,random_partition,True
clinc150,0.25,single_centroid,True
clinc150,0.25,trainable_k1,True
clinc150,0.5,fixed_k2,True
clinc150,0.5,mogb_minilm,True
clinc150,0.5,mogb_partition_ours_boundary,True
clinc150,0.5,ours_partition_mogb_boundary,True
clinc150,0.5,random_partition,True
clinc150,0.5,single_centroid,True
clinc150,0.5,trainable_k1,True
clinc150,0.75,fixed_k2,True
clinc150,0.75,mogb_minilm,True
clinc150,0.75,mogb_partition_ours_boundary,True
clinc150,0.75,ours_partition_mogb_boundary,True
clinc150,0.75,random_partition,True
clinc150,0.75,single_centroid,True
clinc150,0.75,trainable_k1,True
stackoverflow,0.25,fixed_k2,False
stackoverflow,0.25,mogb_minilm,True
stackoverflow,0.25,mogb_partition_ours_boundary,True
stackoverflow,0.25,ours_partition_mogb_boundary,False
stackoverflow,0.25,random_partition,True
stackoverflow,0.25,single_centroid,True
stackoverflow,0.25,trainable_k1,True
stackoverflow,0.5,fixed_k2,False
stackoverflow,0.5,mogb_minilm,True
stackoverflow,0.5,mogb_partition_ours_boundary,True
stackoverflow,0.5,ours_partition_mogb_boundary,False
stackoverflow,0.5,random_partition,True
stackoverflow,0.5,single_centroid,True
stackoverflow,0.5,trainable_k1,True
stackoverflow,0.75,fixed_k2,False
stackoverflow,0.75,mogb_minilm,True
stackoverflow,0.75,mogb_partition_ours_boundary,True
stackoverflow,0.75,ours_partition_mogb_boundary,False
stackoverflow,0.75,random_partition,True
stackoverflow,0.75,single_centroid,True
stackoverflow,0.75,trainable_k1,True
