seed,metric,trainable_minus_adb,delta_pp
13,oos_f1,,
42,oos_f1,0.015955066427507325,1.5955066427507325
87,oos_f1,-0.0010266369666087627,-0.10266369666087627
100,oos_f1,0.01044894067938662,1.044894067938662
123,oos_f1,,
13,f1_all,,
42,f1_all,0.015193250658615987,1.5193250658615987
87,f1_all,0.0060565237779312,0.60565237779312
100,f1_all,0.009766780956895094,0.9766780956895094
123,f1_all,,
13,known_recall,,
42,known_recall,0.041999999999999926,4.199999999999992
87,known_recall,0.031333333333333324,3.1333333333333324
100,known_recall,0.013666666666666716,1.3666666666666716
123,known_recall,,
13,false_accept_rate,,
42,false_accept_rate,0.0026666666666666644,0.26666666666666644
87,false_accept_rate,0.025999999999999968,2.599999999999997
100,false_accept_rate,-0.009000000000000001,-0.9000000000000001
123,false_accept_rate,,
13,false_reject_rate,,
42,false_reject_rate,-0.04199999999999998,-4.199999999999998
87,false_reject_rate,-0.031333333333333324,-3.1333333333333324
100,false_reject_rate,-0.013666666666666744,-1.3666666666666742
123,false_reject_rate,,
13,accuracy,,
42,accuracy,0.01633333333333331,1.633333333333331
87,accuracy,0.0,0.0
100,accuracy,0.009666666666666712,0.9666666666666712
123,accuracy,,
