dataset,kir,comparison_method,comparison_label,metric,n_seeds,mean_better_delta,median_better_delta,std_better_delta,ci95_low,ci95_high,wins,ties,losses,sign_test_pvalue,effect_size,interpretation,effect_pp,ci95_low_pp,ci95_high_pp,significant_95,metric_label
clinc150,0.25,single_centroid,Frozen K=1,false_accept_rate,5,0.0279824561403508,0.0265350877192982,0.0035176696394364,0.0260964912280701,0.0311403508771929,5,0,0,0.0625,7.954827771954639,comparison_minus_trainable,2.7982456140350798,2.60964912280701,3.11403508771929,True,False acceptance
clinc150,0.25,single_centroid,Frozen K=1,f1_all,5,0.0125094674408268,0.0121877158664096,0.0022466436574742,0.0107753718894348,0.0142459445472092,5,0,0,0.0625,5.568069239289264,trainable_minus_comparison,1.25094674408268,1.0775371889434802,1.42459445472092,True,F1-All
clinc150,0.25,single_centroid,Frozen K=1,aupr_oos,5,0.0051189196023972,0.0062835552311851,0.0026701617379567,0.0028385448598873,0.0070682384899608,5,0,0,0.0625,1.917082223758571,trainable_minus_comparison,0.5118919602397201,0.28385448598873,0.7068238489960801,True,AUPR-OOS
clinc150,0.25,single_centroid,Frozen K=1,known_recall,5,-0.043157894736842,-0.0412280701754386,0.0055270119305345,-0.0480701754385964,-0.0398245614035086,0,0,5,0.0625,-7.808540180348108,trainable_minus_comparison,-4.3157894736842,-4.80701754385964,-3.9824561403508603,True,Known Recall
clinc150,0.25,single_centroid,Frozen K=1,false_reject_rate,5,-0.0431578947368421,-0.0412280701754386,0.0055270119305345,-0.0478947368421053,-0.0398245614035088,0,0,5,0.0625,-7.808540180348085,comparison_minus_trainable,-4.315789473684211,-4.78947368421053,-3.98245614035088,True,False rejection
clinc150,0.25,single_centroid,Frozen K=1,f1_k,5,0.0125868088845725,0.0122834368526209,0.0023310268219609,0.0107858862645051,0.0143877315046399,5,0,0,0.0625,5.399684279044043,trainable_minus_comparison,1.25868088845725,1.07858862645051,1.43877315046399,True,F1-K
clinc150,0.25,single_centroid,Frozen K=1,auroc,5,0.0153686134195137,0.0162267236072639,0.0051097323482173,0.0114212449984611,0.0193159818405664,5,0,0,0.0625,3.007713980337029,trainable_minus_comparison,1.53686134195137,1.14212449984611,1.93159818405664,True,AUROC
clinc150,0.25,single_centroid,Frozen K=1,oos_f1,5,0.0095704925784894,0.0091234342465009,0.0014005452304994,0.0086505363489966,0.0107981470656449,5,0,0,0.0625,6.833404855533633,trainable_minus_comparison,0.95704925784894,0.8650536348996599,1.07981470656449,True,OOS F1
clinc150,0.25,fixed_k2,Frozen K=2,false_accept_rate,5,0.0149122807017543,0.0160087719298245,0.0061207393583126,0.0100877192982456,0.0196929824561403,5,0,0,0.0625,2.436352837260069,comparison_minus_trainable,1.4912280701754301,1.00877192982456,1.96929824561403,True,False acceptance
clinc150,0.25,fixed_k2,Frozen K=2,f1_all,5,0.0167647164557407,0.0192377381429071,0.0078315996162561,0.0103458579286525,0.0218711988567578,5,0,0,0.0625,2.140650349507418,trainable_minus_comparison,1.67647164557407,1.03458579286525,2.1871198856757803,True,F1-All
