dataset,kir,seed,gate,oos_f1,id_recall,oos_false_accept_rate,known_false_reject_rate,router_error_rate,expert_error_rate,overall_accuracy,known_macro_f1
banking77,0.5,13,trainable_k1_gate,0.8462021343377275,0.8171052631578948,0.1358974358974359,0.1828947368421052,,,,
banking77,0.5,42,trainable_k1_gate,0.8414403032217309,0.8197368421052631,0.1461538461538461,0.1802631578947368,,,,
banking77,0.5,87,trainable_k1_gate,0.8554480174836091,0.8203947368421053,0.1217948717948717,0.1796052631578947,,,,
clinc150,0.5,13,trainable_k1_gate,0.9070904645476772,0.7453333333333334,0.0321739130434782,0.2546666666666666,,,,
clinc150,0.5,42,trainable_k1_gate,0.8971451987433411,0.739111111111111,0.0481159420289855,0.2608888888888889,,,,
clinc150,0.5,87,trainable_k1_gate,0.9086720867208672,0.7435555555555555,0.0281159420289855,0.2564444444444444,,,,
stackoverflow,0.5,13,trainable_k1_gate,0.8565782973818541,0.8426666666666667,0.133,0.1573333333333333,,,,
stackoverflow,0.5,42,trainable_k1_gate,0.8754826254826255,0.835,0.093,0.165,,,,
stackoverflow,0.5,87,trainable_k1_gate,0.8692120227457352,0.84,0.1083333333333333,0.16,,,,
banking77,0.5,13,best_controlled_baseline,0.8024132730015083,0.904,0.3090909090909091,0.096,0.0,0.0973451327433628,0.7215686274509804,0.8554845256603681
banking77,0.5,13,ce_recon_selected_k,0.8924515698062793,0.764,0.1324675324675324,0.236,0.0,0.087696335078534,0.825735294117647,0.7871469263037622
banking77,0.5,13,frozen_k1,0.8329039381670961,0.909,0.2652597402597402,0.091,0.0,0.1133113311331133,0.7522058823529412,0.8438878383663933
banking77,0.5,13,frozen_selected_k,0.8882861501949483,0.801,0.1493506493506493,0.199,0.0,0.1048689138576779,0.8178921568627451,0.7955614128352735
banking77,0.5,42,best_controlled_baseline,0.8977135980746089,0.874,0.1522727272727272,0.126,0.0,0.0903890160183066,0.8348039215686275,0.8453990499475623
banking77,0.5,42,ce_recon_selected_k,0.9025641025641026,0.763,0.1142857142857142,0.237,0.0,0.0982961992136304,0.8372549019607843,0.7769303489357037
banking77,0.5,42,frozen_k1,0.8615603341034299,0.877,0.2129870129870129,0.123,0.0,0.1174458380843785,0.7838235294117647,0.8236518493624392
banking77,0.5,42,frozen_selected_k,0.9048397645519948,0.731,0.1016233766233766,0.269,0.0,0.0971272229822161,0.8399509803921569,0.7589868816561121
banking77,0.5,87,best_controlled_baseline,0.824995418728239,0.874,0.2691558441558441,0.126,0.0,0.1178489702517162,0.740686274509804,0.8193971914961261
banking77,0.5,87,ce_recon_selected_k,0.889500860585198,0.854,0.161038961038961,0.146,0.0,0.117096018735363,0.8181372549019608,0.8121788133162192
banking77,0.5,87,frozen_k1,0.8502155172413793,0.879,0.2314935064935065,0.121,0.0,0.136518771331058,0.7661764705882353,0.8061765694285196
banking77,0.5,87,frozen_selected_k,0.8502155172413793,0.879,0.2314935064935065,0.121,0.0,0.136518771331058,0.7661764705882353,0.8061765694285196
clinc150,0.5,13,best_controlled_baseline,0.8960648843496546,0.8111111111111111,0.0821538461538461,0.1888888888888888,0.027945205479452,0.036640360766629,0.8530909090909091,0.8296169593888474
clinc150,0.5,13,ce_recon_selected_k,0.8958748221906117,0.7195555555555555,0.031076923076923,0.2804444444444444,0.0197652872143298,0.0302457466918714,0.8523636363636363,0.7869203374858047
clinc150,0.5,13,frozen_k1,0.8695907290597037,0.732,0.088,0.268,0.0285367334547662,0.040625,0.818,0.7810510831133562
clinc150,0.5,13,frozen_selected_k,0.8695907290597037,0.732,0.088,0.268,0.0285367334547662,0.040625,0.818,0.7810510831133562
clinc150,0.5,42,best_controlled_baseline,0.9141899100746838,0.8613333333333333,0.0772307692307692,0.1386666666666666,0.0294117647058823,0.0350877192982456,0.8752727272727273,0.8619492163572041
clinc150,0.5,42,ce_recon_selected_k,0.895423899010185,0.7333333333333333,0.0396923076923076,0.2666666666666666,0.0224242424242424,0.0254184748915065,0.8532727272727273,0.7998364395037556
clinc150,0.5,42,frozen_k1,0.8816362053959965,0.7311111111111112,0.0649230769230769,0.2688888888888889,0.0285714285714285,0.0344180225281602,0.8330909090909091,0.7858366129217187
clinc150,0.5,42,frozen_selected_k,0.8816362053959965,0.7311111111111112,0.0649230769230769,0.2688888888888889,0.0285714285714285,0.0344180225281602,0.8330909090909091,0.7858366129217187
clinc150,0.5,87,best_controlled_baseline,0.9150668100138228,0.8746666666666667,0.0833846153846153,0.1253333333333333,0.0279471544715447,0.0423418714061683,0.8747272727272727,0.8638985660367187
clinc150,0.5,87,ce_recon_selected_k,0.9085975435589831,0.7462222222222222,0.0212307692307692,0.2537777777777777,0.0220369267421083,0.0298416565164433,0.868,0.8035563378538699
clinc150,0.5,87,frozen_k1,0.8895027624309392,0.7471111111111111,0.0587692307692307,0.2528888888888889,0.024390243902439,0.0457317073170731,0.8407272727272728,0.78806072098193
