dataset,gate,oos_f1,id_recall,oos_false_accept_rate,known_false_reject_rate,router_error_rate,expert_error_rate,overall_accuracy,known_macro_f1,oos_f1_std,id_recall_std,oos_false_accept_rate_std,known_false_reject_rate_std,router_error_rate_std,expert_error_rate_std,overall_accuracy_std,known_macro_f1_std,n_seeds
banking77,best_controlled_baseline,0.8417074299347854,0.884,0.24350649350649345,0.11599999999999999,0.0,0.10186103967112853,0.7656862745098039,0.8400935890346855,0.04979966343947981,0.017320508075688787,0.0814948000104307,0.017320508075688773,0.0,0.014276110575377997,0.06061607013389692,0.018619475244860236,3
banking77,ce_recon_selected_k,0.8948388443185266,0.7936666666666667,0.13593073593073587,0.20633333333333334,0.0,0.10102951767584246,0.8270424836601307,0.792085362851895,0.006851013242395111,0.052252591642265235,0.023568238249032408,0.05225259164226529,0.0,0.014889211602442446,0.00962562546754344,0.01813572929195485,3
banking77,frozen_k1,0.8482265965039684,0.8883333333333333,0.23658008658008653,0.11166666666666665,0.0,0.12242531351618326,0.7674019607843138,0.8245720857191173,0.014431358608591193,0.017925772879665014,0.026504989659781545,0.017925772879665004,0.0,0.012379123628805694,0.015844408194994074,0.018872468769089896,3
banking77,frozen_selected_k,0.8811138106627742,0.8036666666666666,0.16082251082251078,0.19633333333333333,0.0,0.11283830272365065,0.8080065359477123,0.7869082879733017,0.02800953300818149,0.07403602726600973,0.06569067941758014,0.07403602726600972,0.0,0.02086999974850516,0.037867713158560634,0.024756293854734844,3
banking77,trainable_k1_gate,0.8476968183476892,0.8190789473684211,0.13461538461538455,0.1809210526315789,,,,,0.007122469721089224,0.0017406258625424784,0.012229989761755738,0.0017406258625424808,,,,,3
clinc150,best_controlled_baseline,0.9084405348127204,0.849037037037037,0.08092307692307686,0.15096296296296288,0.02843470821895967,0.0380233171570143,0.8676969696969697,0.8518215805942567,0.01072659226706233,0.03351456903271411,0.0032563093059256236,0.033514569032714076,0.0008461562997583504,0.003819699855289742,0.01265215930132982,0.019254451256788457,3
clinc150,ce_recon_selected_k,0.8999654215865932,0.7330370370370369,0.030666666666666603,0.2669629629629629,0.02140881879356017,0.028501959366607068,0.8578787878787879,0.7967710382811434,0.007479036050075116,0.013335802240554433,0.009237604307033983,0.013335802240554447,0.0014364541058983916,0.0026780085135430466,0.008777004766557671,0.008731359605082192,3
clinc150,frozen_k1,0.8802432322955465,0.7367407407407408,0.07056410256410253,0.26325925925925925,0.027166135309544565,0.04025824328174443,0.8306060606060606,0.784982805672335,0.010028835864058769,0.008991994610662817,0.015410235078273582,0.008991994610662859,0.0024040550671338514,0.00566575226633754,0.011565599223535668,0.0035819681568184563,3
clinc150,frozen_selected_k,0.8802432322955465,0.7367407407407408,0.07056410256410253,0.26325925925925925,0.027166135309544565,0.04025824328174443,0.8306060606060606,0.784982805672335,0.010028835864058769,0.008991994610662817,0.015410235078273582,0.008991994610662859,0.0024040550671338514,0.00566575226633754,0.011565599223535668,0.0035819681568184563,3
clinc150,trainable_k1_gate,0.9043025833372952,0.7426666666666666,0.03613526570048307,0.2573333333333333,,,,,0.0062487196963865975,0.0032049344670791553,0.010572097055687188,0.0032049344670791245,,,,,3
stackoverflow,best_controlled_baseline,0.8324249870125221,0.854946562422881,0.1815925796628635,0.145053437577119,0.0,0.06884029164463817,0.8072342793544797,0.8562130901194255,0.04734159806042294,0.004939554865698566,0.07766605525515761,0.004939554865698572,0.0,0.018937394006902603,0.03180917538296617,0.016073379369458914,3
stackoverflow,ce_recon_selected_k,0.8761692420587259,0.8615020620485535,0.11063129523102423,0.13849793795144646,0.0,0.0615228871600589,0.848469671675014,0.8667514582211053,0.027814082990921838,0.04553946726723785,0.07969953685264233,0.045539467267237885,0.0,0.033160220254465224,0.032159471432964055,0.008784788159950848,3
stackoverflow,frozen_k1,0.790219571500888,0.8322375535749171,0.23524784468946935,0.16776244642508278,0.0,0.07500733062456746,0.7672787979966612,0.8397787134286797,0.04629012460496893,0.0032941275542504585,0.07721924532082378,0.0032941275542504094,0.0,0.017014615349757806,0.0378799431398671,0.01465864911288511,3
stackoverflow,frozen_selected_k,0.779979358406988,0.8461449857066484,0.2586279382098434,0.1538550142933516,0.0,0.08153306290290313,0.7590428491930997,0.8411193380107916,0.056516813414368,0.027183519468082284,0.10258307728991028,0.027183519468082368,0.0,0.027474765210017665,0.04785508140335615,0.012815361758385003,3
stackoverflow,trainable_k1_gate,0.8670909818700716,0.8392222222222222,0.11144444444444444,0.16077777777777777,,,,,0.009628993510880545,0.0038920621973637963,0.02018066548108014,0.0038920621973637963,,,,,3
