dataset,comparison,comparison_label,reference,metric,n_seeds,mean_delta,ci95_low,ci95_high,wins,ties,losses
clinc150,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,oos_f1,3,0.0,0.0,0.0,0,3,0
clinc150,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,id_recall,3,0.0,0.0,0.0,0,3,0
clinc150,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,oos_false_accept_rate,3,0.0,0.0,0.0,0,3,0
clinc150,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,known_false_reject_rate,3,0.0,0.0,0.0,0,3,0
clinc150,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,router_error_rate,3,0.0,0.0,0.0,0,3,0
clinc150,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,expert_error_rate,3,0.0,0.0,0.0,0,3,0
clinc150,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,overall_accuracy,3,0.0,0.0,0.0,0,3,0
clinc150,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,known_macro_f1,3,0.0,0.0,0.0,0,3,0
clinc150,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,oos_f1,3,0.019722189291046816,0.013787693614188523,0.02628409313090796,3,0,0
clinc150,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,id_recall,3,-0.0037037037037037277,-0.01244444444444448,0.0022222222222221255,1,0,2
clinc150,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,oos_false_accept_rate,3,-0.03989743589743593,-0.05692307692307699,-0.025230769230769296,0,0,3
clinc150,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,known_false_reject_rate,3,0.003703703703703635,-0.002222222222222292,0.01244444444444437,2,0,1
clinc150,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,router_error_rate,3,-0.0057573165159844,-0.008771446240436399,-0.0023533171603307007,0,0,3
clinc150,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,expert_error_rate,3,-0.011756283915137368,-0.0158900508006298,-0.008999547636653702,0,0,3
clinc150,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,overall_accuracy,3,0.027272727272727264,0.02018181818181819,0.034363636363636374,3,0,0
clinc150,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,known_macro_f1,3,0.011788232608808421,0.005869254372448451,0.015495616871939899,3,0,0
clinc150,best_controlled_baseline,Best controlled Cascade,frozen_k1,oos_f1,3,0.028197302517173933,0.025564047582883664,0.032553704678687234,3,0,0
clinc150,best_controlled_baseline,Best controlled Cascade,frozen_k1,id_recall,3,0.1122962962962963,0.07911111111111113,0.13022222222222213,3,0,0
clinc150,best_controlled_baseline,Best controlled Cascade,frozen_k1,oos_false_accept_rate,3,0.010358974358974335,-0.00584615384615389,0.024615384615384595,2,0,1
clinc150,best_controlled_baseline,Best controlled Cascade,frozen_k1,known_false_reject_rate,3,-0.11229629629629638,-0.1302222222222223,-0.07911111111111122,0,0,3
clinc150,best_controlled_baseline,Best controlled Cascade,frozen_k1,router_error_rate,3,0.0012685729094151002,-0.0005915279753141989,0.0035569105691057,2,0,1
clinc150,best_controlled_baseline,Best controlled Cascade,frozen_k1,expert_error_rate,3,-0.0022349261247301363,-0.003984639233371001,0.0006696967700853956,1,0,2
clinc150,best_controlled_baseline,Best controlled Cascade,frozen_k1,overall_accuracy,3,0.0370909090909091,0.03399999999999992,0.04218181818181821,3,0,0
clinc150,best_controlled_baseline,Best controlled Cascade,frozen_k1,known_macro_f1,3,0.06683877492192174,0.04856587627549114,0.07611260343548543,3,0,0
banking77,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,oos_f1,3,0.03288721415880569,0.0,0.05538221202785221,2,1,0
banking77,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,id_recall,3,-0.08466666666666667,-0.14600000000000002,0.0,0,1,2
banking77,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,oos_false_accept_rate,3,-0.07575757575757573,-0.1159090909090909,0.0,0,1,2
banking77,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,known_false_reject_rate,3,0.08466666666666667,0.0,0.14600000000000002,2,1,0
banking77,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,router_error_rate,3,0.0,0.0,0.0,0,3,0
banking77,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,expert_error_rate,3,-0.009587010792532602,-0.020318615102162402,0.0,0,1,2
banking77,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,overall_accuracy,3,0.040604575163398694,0.0,0.06568627450980391,2,1,0
banking77,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,known_macro_f1,3,-0.03766379774581563,-0.06466496770632713,0.0,0,1,2
banking77,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,oos_f1,3,0.04661224781455816,0.03928534334381861,0.059547631639183196,3,0,0
banking77,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,id_recall,3,-0.09466666666666668,-0.14500000000000002,-0.025000000000000022,0,0,3
banking77,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,oos_false_accept_rate,3,-0.10064935064935066,-0.1327922077922078,-0.07045454545454549,0,0,3
banking77,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,known_false_reject_rate,3,0.09466666666666668,0.024999999999999994,0.145,3,0,0
banking77,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,router_error_rate,3,0.0,0.0,0.0,0,3,0
banking77,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,expert_error_rate,3,-0.021395795840340796,-0.0256149960545793,-0.019149638870748095,0,0,3
banking77,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,overall_accuracy,3,0.05964052287581697,0.05196078431372542,0.07352941176470584,3,0,0
banking77,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,known_macro_f1,3,-0.03248672286722232,-0.0567409120626311,0.006002243887699654,1,0,2
banking77,best_controlled_baseline,Best controlled Cascade,frozen_k1,oos_f1,3,-0.006519166569183017,-0.030490665165587738,0.03615326397117902,1,0,2
banking77,best_controlled_baseline,Best controlled Cascade,frozen_k1,id_recall,3,-0.0043333333333333375,-0.0050000000000000044,-0.0030000000000000027,0,0,3
banking77,best_controlled_baseline,Best controlled Cascade,frozen_k1,oos_false_accept_rate,3,0.006926406926406929,-0.06071428571428569,0.04383116883116889,2,0,1
banking77,best_controlled_baseline,Best controlled Cascade,frozen_k1,known_false_reject_rate,3,0.0043333333333333375,0.0030000000000000027,0.0050000000000000044,3,0,0
banking77,best_controlled_baseline,Best controlled Cascade,frozen_k1,router_error_rate,3,0.0,0.0,0.0,0,3,0
banking77,best_controlled_baseline,Best controlled Cascade,frozen_k1,expert_error_rate,3,-0.020564273845054732,-0.027056822066071906,-0.015966198389750497,0,0,3
banking77,best_controlled_baseline,Best controlled Cascade,frozen_k1,overall_accuracy,3,-0.0017156862745097978,-0.030637254901960786,0.050980392156862786,1,0,2
banking77,best_controlled_baseline,Best controlled Cascade,frozen_k1,known_macro_f1,3,0.015521503315568194,0.011596687293974894,0.02174720058512314,3,0,0
stackoverflow,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,oos_f1,3,-0.010240213093900071,-0.030720639281700213,0.0,0,2,1
stackoverflow,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,id_recall,3,0.013907432131731179,0.0,0.04172229639519354,1,2,0
stackoverflow,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,oos_false_accept_rate,3,0.023380093520374068,0.0,0.0701402805611222,1,2,0
stackoverflow,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,known_false_reject_rate,3,-0.013907432131731198,-0.04172229639519359,0.0,0,2,1
stackoverflow,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,router_error_rate,3,0.0,0.0,0.0,0,3,0
stackoverflow,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,expert_error_rate,3,0.006525732278335666,0.0,0.019577196835007,1,2,0
stackoverflow,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,overall_accuracy,3,-0.008235948803561488,-0.024707846410684464,0.0,0,2,1
stackoverflow,frozen_selected_k,Frozen selected-K Cascade,frozen_k1,known_macro_f1,3,0.0013406245821117786,0.0,0.004021873746335336,1,2,0
stackoverflow,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,oos_f1,3,0.0859496705578379,0.0618487731477908,0.112165581581251,3,0,0
stackoverflow,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,id_recall,3,0.029264508473636302,-0.00033400133600536286,0.07810413885180234,2,0,1
stackoverflow,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,oos_false_accept_rate,3,-0.12461654945844514,-0.18791722296395197,-0.07982631930527731,0,0,3
stackoverflow,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,known_false_reject_rate,3,-0.02926450847363633,-0.0781041388518024,0.00033400133600530735,1,0,2
stackoverflow,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,router_error_rate,3,0.0,0.0,0.0,0,3,0
stackoverflow,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,expert_error_rate,3,-0.013484443464508567,-0.025287973912524398,0.005629269283098898,1,0,2
stackoverflow,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,overall_accuracy,3,0.08119087367835276,0.06644407345575953,0.10434056761268773,3,0,0
stackoverflow,ce_recon_selected_k,CE-Recon selected-K Cascade,frozen_k1,known_macro_f1,3,0.026972744792425545,0.021780091603057494,0.035020103317702,3,0,0
stackoverflow,best_controlled_baseline,Best controlled Cascade,frozen_k1,oos_f1,3,0.04220541551163411,0.01693515076414709,0.09229236368026728,3,0,0
stackoverflow,best_controlled_baseline,Best controlled Cascade,frozen_k1,id_recall,3,0.022709008847963823,0.021049114600735108,0.024365821094793016,3,0,0
stackoverflow,best_controlled_baseline,Best controlled Cascade,frozen_k1,oos_false_accept_rate,3,-0.05365526502660587,-0.13426853707414832,-0.01168224299065429,0,0,3
stackoverflow,best_controlled_baseline,Best controlled Cascade,frozen_k1,known_false_reject_rate,3,-0.022709008847963796,-0.02436582109479299,-0.021049114600734997,0,0,3
stackoverflow,best_controlled_baseline,Best controlled Cascade,frozen_k1,router_error_rate,3,0.0,0.0,0.0,0,3,0
stackoverflow,best_controlled_baseline,Best controlled Cascade,frozen_k1,expert_error_rate,3,-0.006167038979929297,-0.009366629928627697,-0.003416821151584093,0,0,3
stackoverflow,best_controlled_baseline,Best controlled Cascade,frozen_k1,overall_accuracy,3,0.03995548135781857,0.018697829716193604,0.08063439065108513,3,0,0
stackoverflow,best_controlled_baseline,Best controlled Cascade,frozen_k1,known_macro_f1,3,0.016434376690745583,0.013896624249566947,0.018807163432528307,3,0,0
