dataset,dataset_label,kir,method,method_label,oos_f1_delta_vs_frozen_k1_pp,f1_all_delta_vs_frozen_k1_pp,known_recall_delta_vs_frozen_k1_pp,false_accept_delta_vs_frozen_k1_pp,false_reject_delta_vs_frozen_k1_pp,absolute_oos_f1,absolute_false_accept_rate
banking77,Banking77,0.25,fixed_k2,Frozen K=2,0.6054707263812964,1.814304773827602,-1.9999999999999907,-1.5086206896551797,1.9999999999999991,0.8577784166123713,0.2032758620689654
banking77,Banking77,0.25,random_partition,Random K=2,-0.16753358421975895,0.02922218403299537,0.8421052631578996,0.47413793103449065,-0.8421052631578996,0.8500483735063608,0.2231034482758621
banking77,Banking77,0.25,trainable_k1,Trainable K=1,6.481458714285204,9.22471383136908,-2.0526315789473615,-11.508620689655178,2.05263157894737,0.9165382964914104,0.1032758620689654
banking77,Banking77,0.25,mogb_partition_ours_boundary,MOGB partition + S2C boundary,6.883618732686381,1.8642249526959809,-22.21052631578946,-17.818965517241377,22.210526315789465,0.9205598966754222,0.0401724137931034
banking77,Banking77,0.25,ours_partition_mogb_boundary,S2C partition + MOGB boundary,5.504953370196941,-3.7947842413597277,-30.026315789473678,-17.32758620689655,30.02631578947369,0.9067732430505278,0.0450862068965517
banking77,Banking77,0.25,mogb_minilm,MOGB-MiniLM,5.126826316720889,-13.409720141707071,-43.921052631578945,-20.33620689655173,43.92105263157895,0.9029919725157672,0.0149999999999999
banking77,Banking77,0.5,fixed_k2,Frozen K=2,3.0335552667536403,1.6499892341202416,-2.4605263157894797,-5.794871794871787,2.4605263157894686,0.7546157036165422,0.2905128205128205
banking77,Banking77,0.5,random_partition,Random K=2,-0.8059299022828981,0.20611236409404654,0.9473684210526301,1.6538461538461613,-0.9473684210526412,0.7162208519261768,0.365
banking77,Banking77,0.5,trainable_k1,Trainable K=1,11.136046753964358,7.159613589605007,-2.8026315789473677,-19.1025641025641,2.8026315789473677,0.8356406184886493,0.1574358974358974
banking77,Banking77,0.5,mogb_partition_ours_boundary,MOGB partition + S2C boundary,6.969460870868338,-9.704217805994443,-32.828947368421055,-31.346153846153847,32.82894736842105,0.7939747596576892,0.0349999999999999
banking77,Banking77,0.5,ours_partition_mogb_boundary,S2C partition + MOGB boundary,6.431451024492274,-8.835874369995766,-31.76315789473685,-29.60256410256411,31.76315789473684,0.7885946611939285,0.0524358974358973
banking77,Banking77,0.5,mogb_minilm,MOGB-MiniLM,2.5656703747521714,-25.913129059809908,-51.605263157894754,-33.756410256410255,51.60526315789473,0.7499368546965275,0.0108974358974358
banking77,Banking77,0.75,fixed_k2,Frozen K=2,5.650244289041273,2.0510657089751416,-3.2758620689655182,-11.921052631578949,3.27586206896551,0.5931096142882415,0.3607894736842105
banking77,Banking77,0.75,random_partition,Random K=2,-0.2818919771195971,0.6815422410583194,0.8620689655172376,1.3157894736842035,-0.8620689655172403,0.5337882516266328,0.493157894736842
banking77,Banking77,0.75,trainable_k1,Trainable K=1,14.992715396062783,5.919263247675044,-4.0000000000000036,-28.394736842105267,4.000000000000001,0.6865343253584566,0.1960526315789473
banking77,Banking77,0.75,mogb_partition_ours_boundary,MOGB partition + S2C boundary,-0.5275503008362881,-19.604719116889147,-40.55172413793104,-43.94736842105264,40.55172413793103,0.5313316683894659,0.0405263157894736
banking77,Banking77,0.75,ours_partition_mogb_boundary,S2C partition + MOGB boundary,1.4102944614794888,-12.53745095388281,-32.85344827586207,-39.86842105263159,32.85344827586207,0.5507101160126237,0.0813157894736841
banking77,Banking77,0.75,mogb_minilm,MOGB-MiniLM,-6.026273981196706,-35.81902896584438,-57.64655172413794,-47.236842105263165,57.64655172413793,0.4763444315858617,0.0076315789473683
clinc150,CLINC150,0.25,fixed_k2,Frozen K=2,0.2646139359226196,-0.425524901491392,-3.5964912280701755,-1.3070175438596496,3.596491228070178,0.9447183904938934,0.0472807017543859
