dataset,kir,seed,method,method_label,ball_id,depth,majority_label,parent_id,purity,radius,sample_count,selected,split_reason,stop_reason,test_known_false_reject_count,test_oos_assignment_count,test_oos_false_accept_count,test_assignment_count,test_known_assignment_count,test_oos_assignment_count_calc,test_known_correct_count,test_known_wrong_known_count,test_known_false_reject_count_calc,test_oos_false_accept_count_calc,scoring_radius,score_median,zero_test_assignment,tiny_support_lt_20,oos_assignment_per_train,known_assignment_per_train,oos_accept_rate_within_assignment,known_reject_rate_within_assignment,false_accept_share_cell,known_false_reject_share_cell,oos_assignment_share_cell,support_quartile
clinc150,0.25,13,mogb_minilm,MOGB-Fair,1,1,bill_due,0,1.0,0.6618251231807634,84,True,,purity_reached,18,119,0,149,30,119,12,0,18,0,0.6618251231807634,1.3930015459845748,False,False,1.4166666666666667,0.35714285714285715,0.0,0.6,0.0,0.026392961876832845,0.026096491228070177,Q3
clinc150,0.25,13,mogb_minilm,MOGB-Fair,15,1,lost_luggage,0,1.0,0.5976051705220837,99,True,,purity_reached,7,41,0,71,30,41,23,0,7,0,0.5976051705220837,1.6073757593080886,False,False,0.41414141414141414,0.30303030303030304,0.0,0.23333333333333334,0.0,0.010263929618768328,0.008991228070175439,Q4-large
clinc150,0.25,13,mogb_minilm,MOGB-Fair,30,1,transfer,0,1.0,0.7091367084513924,93,True,,purity_reached,11,275,0,304,29,275,18,0,11,0,0.7091367084513924,1.3471292421810896,False,False,2.956989247311828,0.3118279569892473,0.0,0.3793103448275862,0.0,0.016129032258064516,0.06030701754385965,Q4-large
clinc150,0.25,13,mogb_minilm,MOGB-Fair,31,1,travel_alert,0,1.0,0.5998241026955841,75,True,,purity_reached,9,11,0,26,15,11,6,0,9,0,0.5998241026955841,1.316965611633079,False,False,0.14666666666666667,0.2,0.0,0.6,0.0,0.013196480938416423,0.002412280701754386,Q3
clinc150,0.25,13,mogb_minilm,MOGB-Fair,39,2,calories,2,1.0,0.773160799233107,88,True,,purity_reached,25,157,0,187,30,157,5,0,25,0,0.773160799233107,1.3237510381759778,False,False,1.7840909090909092,0.3409090909090909,0.0,0.8333333333333334,0.0,0.036656891495601175,0.03442982456140351,Q4-large
clinc150,0.25,13,mogb_minilm,MOGB-Fair,43,2,cancel,3,1.0,0.7299704560880647,32,True,,purity_reached,7,97,0,108,11,97,4,0,7,0,0.7299704560880647,1.3669824865985443,False,False,3.03125,0.34375,0.0,0.6363636363636364,0.0,0.010263929618768328,0.021271929824561404,Q2
clinc150,0.25,13,mogb_minilm,MOGB-Fair,45,2,car_rental,4,1.0,0.651681869581905,27,True,,purity_reached,10,66,0,77,11,66,1,0,10,0,0.651681869581905,1.560934369314369,False,False,2.4444444444444446,0.4074074074074074,0.0,0.9090909090909091,0.0,0.01466275659824047,0.014473684210526316,Q2
clinc150,0.25,13,mogb_minilm,MOGB-Fair,65,2,current_location,8,1.0,0.6304198384074982,99,True,,purity_reached,14,155,1,185,30,155,16,0,14,1,0.6304198384074982,1.5216169572440883,False,False,1.5656565656565657,0.30303030303030304,0.0064516129032258064,0.4666666666666667,0.024390243902439025,0.020527859237536656,0.03399122807017544,Q4-large
clinc150,0.25,13,mogb_minilm,MOGB-Fair,68,2,damaged_card,9,1.0,0.612801875139855,79,True,,purity_reached,20,99,2,130,31,99,11,0,20,2,0.612801875139855,1.376538861670686,False,False,1.2531645569620253,0.3924050632911392,0.020202020202020204,0.6451612903225806,0.04878048780487805,0.02932551319648094,0.021710526315789475,Q3
clinc150,0.25,13,mogb_minilm,MOGB-Fair,70,2,date,10,1.0,0.5770481340824196,81,True,,purity_reached,9,78,0,95,17,78,8,0,9,0,0.5770481340824196,1.5867522346547611,False,False,0.9629629629629629,0.20987654320987653,0.0,0.5294117647058824,0.0,0.013196480938416423,0.017105263157894738,Q3
clinc150,0.25,13,mogb_minilm,MOGB-Fair,75,2,food_last,11,1.0,0.7538825991329952,85,True,,purity_reached,21,74,0,103,29,74,8,0,21,0,0.7538825991329952,1.314460457919742,False,False,0.8705882352941177,0.3411764705882353,0.0,0.7241379310344828,0.0,0.030791788856304986,0.016228070175438595,Q3
clinc150,0.25,13,mogb_minilm,MOGB-Fair,78,2,fun_fact,12,1.0,0.8186422624650324,61,True,,purity_reached,19,388,0,419,31,388,12,0,19,0,0.8186422624650324,1.292412027358003,False,False,6.360655737704918,0.5081967213114754,0.0,0.6129032258064516,0.0,0.02785923753665689,0.08508771929824561,Q3
clinc150,0.25,13,mogb_minilm,MOGB-Fair,80,2,ingredient_substitution,13,1.0,0.8075261099804067,18,True,,purity_reached,14,167,0,183,16,167,2,0,14,0,0.8075261099804067,1.2964323996002702,False,True,9.277777777777779,0.8888888888888888,0.0,0.875,0.0,0.020527859237536656,0.03662280701754386,Q2
clinc150,0.25,13,mogb_minilm,MOGB-Fair,87,2,maybe,16,1.0,0.7452874067469308,50,True,,purity_reached,6,87,0,103,16,87,10,0,6,0,0.7452874067469308,1.38314090759066,False,False,1.74,0.32,0.0,0.375,0.0,0.008797653958944282,0.019078947368421053,Q2
clinc150,0.25,13,mogb_minilm,MOGB-Fair,99,2,plug_type,19,1.0,0.7160773326716624,100,True,,purity_reached,13,22,0,52,30,22,17,0,13,0,0.7160773326716624,1.158751822527857,False,False,0.22,0.3,0.0,0.43333333333333335,0.0,0.01906158357771261,0.004824561403508772,Q4-large
clinc150,0.25,13,mogb_minilm,MOGB-Fair,108,2,pto_used,21,1.0,0.6251283955411353,80,True,,purity_reached,5,90,8,112,22,90,17,0,5,8,0.6251283955411353,1.4326123696861925,False,False,1.125,0.275,0.08888888888888889,0.22727272727272727,0.1951219512195122,0.007331378299120235,0.019736842105263157,Q3
clinc150,0.25,13,mogb_minilm,MOGB-Fair,113,2,pto_request_status,21,1.0,0.45513104144861954,22,True,,purity_reached,1,10,0,18,8,10,7,0,1,0,0.4551310414486195,1.7196090001580402,False,False,0.45454545454545453,0.36363636363636365,0.0,0.125,0.0,0.001466275659824047,0.0021929824561403508,Q2
clinc150,0.25,13,mogb_minilm,MOGB-Fair,120,2,restaurant_reservation,23,1.0,0.7172895353028064,89,True,,purity_reached,23,289,2,319,30,289,7,0,23,2,0.7172895353028064,1.297164031676049,False,False,3.247191011235955,0.33707865168539325,0.006920415224913495,0.7666666666666667,0.04878048780487805,0.03372434017595308,0.06337719298245614,Q4-large
clinc150,0.25,13,mogb_minilm,MOGB-Fair,125,2,rewards_balance,24,1.0,0.6505811644789947,92,True,,purity_reached,21,126,1,156,30,126,9,0,21,1,0.6505811644789947,1.3953665675407163,False,False,1.3695652173913044,0.32608695652173914,0.007936507936507936,0.7,0.024390243902439025,0.030791788856304986,0.02763157894736842,Q4-large
clinc150,0.25,13,mogb_minilm,MOGB-Fair,127,2,pto_used,24,1.0,0.41170087489677476,12,True,,purity_reached,8,8,0,17,9,8,1,0,8,0,0.4117008748967747,1.4411479792854198,False,True,0.6666666666666666,0.75,0.0,0.8888888888888888,0.0,0.011730205278592375,0.0017543859649122807,Q1-small
clinc150,0.25,13,mogb_minilm,MOGB-Fair,134,2,spelling,26,1.0,0.8222062497904326,76,True,,purity_reached,19,335,0,365,30,335,11,0,19,0,0.8222062497904326,1.296326106580891,False,False,4.407894736842105,0.39473684210526316,0.0,0.6333333333333333,0.0,0.02785923753665689,0.07346491228070176,Q3
