dataset,kir,method,method_label,support_quartile,sample_count,test_oos_assignment_count_calc,test_oos_false_accept_count_calc,test_known_assignment_count,test_known_false_reject_count_calc,total_sample_count,total_test_oos_assignment_count_calc,total_test_oos_false_accept_count_calc,total_test_known_assignment_count,total_test_known_false_reject_count_calc,share_sample_count,share_test_oos_assignment_count_calc,share_test_oos_false_accept_count_calc,share_test_known_assignment_count,share_test_known_false_reject_count_calc
banking77,0.25,mogb_minilm,MOGB-Fair,Q1-small,662,1726,7,576,447,8117,11600,174,3800,2281,0.0815572255759517,0.14879310344827587,0.040229885057471264,0.15157894736842106,0.19596668128014028
banking77,0.25,mogb_minilm,MOGB-Fair,Q2,981,2159,27,637,425,8117,11600,174,3800,2281,0.120857459652581,0.18612068965517242,0.15517241379310345,0.1676315789473684,0.1863217886891714
banking77,0.25,mogb_minilm,MOGB-Fair,Q3,2065,3519,33,963,580,8117,11600,174,3800,2281,0.2544043365775533,0.30336206896551726,0.1896551724137931,0.25342105263157894,0.2542744410346339
banking77,0.25,mogb_minilm,MOGB-Fair,Q4-large,4409,4196,107,1624,829,8117,11600,174,3800,2281,0.543180978193914,0.3617241379310345,0.6149425287356322,0.42736842105263156,0.36343708899605437
banking77,0.25,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q1-small,662,288,9,314,153,8117,11600,466,3800,1456,0.0815572255759517,0.02482758620689655,0.019313304721030045,0.08263157894736842,0.10508241758241758
banking77,0.25,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q2,981,1256,50,532,252,8117,11600,466,3800,1456,0.120857459652581,0.10827586206896551,0.1072961373390558,0.14,0.17307692307692307
banking77,0.25,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q3,2065,3645,114,998,389,8117,11600,466,3800,1456,0.2544043365775533,0.3142241379310345,0.2446351931330472,0.26263157894736844,0.26717032967032966
banking77,0.25,mogb_partition_ours_boundary,MOGB partition + S2C boundary,Q4-large,4409,6411,293,1956,662,8117,11600,466,3800,1456,0.543180978193914,0.5526724137931035,0.628755364806867,0.5147368421052632,0.45467032967032966
banking77,0.5,mogb_minilm,MOGB-Fair,Q1-small,1338,1673,11,1210,968,13666,7800,85,7600,5061,0.09790721498609688,0.2144871794871795,0.12941176470588237,0.15921052631578947,0.19126654811302113
banking77,0.5,mogb_minilm,MOGB-Fair,Q2,1712,1344,10,1319,961,13666,7800,85,7600,5061,0.12527440362944534,0.1723076923076923,0.11764705882352941,0.17355263157894738,0.18988342224856747
banking77,0.5,mogb_minilm,MOGB-Fair,Q3,3095,2103,16,1936,1332,13666,7800,85,7600,5061,0.22647446216888628,0.2696153846153846,0.18823529411764706,0.25473684210526315,0.26318909306461175
