dataset,kir,seed,method,method_label,ball_id,depth,majority_label,parent_id,purity,radius,sample_count,selected,split_reason,stop_reason,test_known_false_reject_count,test_oos_assignment_count,test_oos_false_accept_count,test_assignment_count,test_known_assignment_count,test_oos_assignment_count_calc,test_known_correct_count,test_known_wrong_known_count,test_known_false_reject_count_calc,test_oos_false_accept_count_calc,scoring_radius,score_median,zero_test_assignment,tiny_support_lt_20,oos_assignment_per_train,known_assignment_per_train,oos_accept_rate_within_assignment,known_reject_rate_within_assignment,false_accept_share_cell,known_false_reject_share_cell,oos_assignment_share_cell,support_quartile,risk_type,risk_rank_within_cell
clinc150,0.25,13,mogb_minilm,MOGB-Fair,68,2,damaged_card,9,1.0,0.612801875139855,79,True,,purity_reached,20,99,2,130,31,99,11,0,20,2,0.612801875139855,1.376538861670686,False,False,1.2531645569620253,0.3924050632911392,0.020202020202020204,0.6451612903225806,0.04878048780487805,0.02932551319648094,0.021710526315789475,Q3,oos_false_accept,5.0
clinc150,0.25,13,mogb_minilm,MOGB-Fair,108,2,pto_used,21,1.0,0.6251283955411353,80,True,,purity_reached,5,90,8,112,22,90,17,0,5,8,0.6251283955411353,1.4326123696861925,False,False,1.125,0.275,0.08888888888888889,0.22727272727272727,0.1951219512195122,0.007331378299120235,0.019736842105263157,Q3,oos_false_accept,2.0
clinc150,0.25,13,mogb_minilm,MOGB-Fair,143,2,timezone,28,1.0,0.6970496156172129,100,True,,purity_reached,16,112,4,142,30,112,14,0,16,4,0.6970496156172129,1.3417481934893067,False,False,1.12,0.3,0.03571428571428571,0.5333333333333333,0.0975609756097561,0.02346041055718475,0.02456140350877193,Q4-large,oos_false_accept,4.0
clinc150,0.25,13,mogb_minilm,MOGB-Fair,239,3,todo_list_update,147,1.0,0.7133688606650964,77,True,,purity_reached,18,126,10,157,31,126,13,0,18,10,0.7133688606650964,1.311444659504979,False,False,1.6363636363636365,0.4025974025974026,0.07936507936507936,0.5806451612903226,0.24390243902439024,0.026392961876832845,0.02763157894736842,Q3,oos_false_accept,1.0
clinc150,0.25,13,mogb_minilm,MOGB-Fair,258,4,change_ai_name,184,1.0,0.6928925888298353,53,True,,purity_reached,25,85,8,114,29,85,4,0,25,8,0.6928925888298353,1.3810194109035536,False,False,1.6037735849056605,0.5471698113207547,0.09411764705882353,0.8620689655172413,0.1951219512195122,0.036656891495601175,0.01864035087719298,Q2,oos_false_accept,3.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,68,2,damaged_card,9,1.0,0.612801875139855,79,True,,purity_reached,9,39,14,66,27,39,18,0,9,14,22.22260833491093,1.0063621204584214,False,False,0.4936708860759494,0.34177215189873417,0.358974358974359,0.3333333333333333,0.11666666666666667,0.022222222222222223,0.008552631578947369,Q3,oos_false_accept,3.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,108,2,pto_used,21,1.0,0.6251283955411353,80,True,,purity_reached,3,28,20,51,23,28,20,0,3,20,22.848834423648142,0.8765634369775072,False,False,0.35,0.2875,0.7142857142857143,0.13043478260869565,0.16666666666666666,0.007407407407407408,0.0061403508771929825,Q3,oos_false_accept,2.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,220,3,pto_request_status,101,1.0,0.5404553315660592,64,True,,purity_reached,1,17,11,31,14,17,13,0,1,11,23.56896725643521,0.9324124552278384,False,False,0.265625,0.21875,0.6470588235294118,0.07142857142857142,0.09166666666666666,0.0024691358024691358,0.0037280701754385964,Q3,oos_false_accept,5.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,239,3,todo_list_update,147,1.0,0.7133688606650964,77,True,,purity_reached,14,55,22,89,34,55,19,1,14,22,22.00712233283525,1.02467608912091,False,False,0.7142857142857143,0.44155844155844154,0.4,0.4117647058823529,0.18333333333333332,0.0345679012345679,0.01206140350877193,Q3,oos_false_accept,1.0
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,258,4,change_ai_name,184,1.0,0.6928925888298353,53,True,,purity_reached,11,27,13,48,21,27,9,1,11,13,22.412780167594924,1.0105703092629796,False,False,0.5094339622641509,0.39622641509433965,0.48148148148148145,0.5238095238095238,0.10833333333333334,0.027160493827160494,0.0059210526315789476,Q2,oos_false_accept,4.0
