workpoint,ball_id,majority_label,sample_count,purity,default_radius,effective_radius,dev_assigned_known_count,dev_assigned_known_covered_count,dev_assigned_known_coverage,test_assigned_count,test_predicted_known_count,test_predicted_oos_count,test_false_accept_count,test_known_true_count,test_known_rejected_count
default_mean,0,0,453,1.0,3.1541972160339355,3.1541972160339355,74,40,0.5405405405405406,217,128,89,2,204,78
default_mean,1,1,464,1.0,3.2208516597747803,3.2208516597747803,65,50,0.7692307692307693,199,153,46,3,192,42
default_mean,2,3,564,1.0,2.8191964626312256,2.8191964626312256,86,65,0.7558139534883721,310,192,118,0,259,67
default_mean,3,4,529,1.0,2.223741054534912,2.223741054534912,75,50,0.6666666666666666,259,185,74,0,258,73
default_mean,4,5,432,1.0,3.1624011993408203,3.1624011993408203,59,45,0.7627118644067796,142,90,52,2,138,50
default_mean,5,6,515,1.0,3.1129353046417236,3.1129353046417236,67,52,0.7761194029850746,228,179,49,2,225,48
default_mean,6,7,568,1.0,3.1538898944854736,3.1538898944854736,88,51,0.5795454545454546,288,200,88,5,279,84
default_mean,7,8,563,1.0,3.1863465309143066,3.1863465309143066,87,70,0.8045977011494253,258,195,63,0,258,63
default_mean,8,9,511,1.0,3.5195159912109375,3.5195159912109375,76,65,0.8552631578947368,232,172,60,0,222,50
default_mean,9,9,19,1.0,4.391032695770264,4.391032695770264,11,0,0.0,227,12,215,6,35,29
default_mean,10,9,14,1.0,4.646101474761963,4.646101474761963,11,3,0.2727272727272727,188,13,175,12,31,30
default_mean,11,0,44,1.0,4.362567901611328,4.362567901611328,9,3,0.3333333333333333,86,19,67,7,24,12
default_mean,12,0,16,1.0,4.513014316558838,4.513014316558838,14,1,0.07142857142857142,335,14,321,11,35,32
default_mean,13,1,36,1.0,4.997949600219727,4.997949600219727,11,1,0.09090909090909091,242,37,205,30,29,22
default_mean,14,1,12,1.0,4.309913635253906,4.309913635253906,5,3,0.6,132,11,121,3,31,23
default_mean,15,2,549,1.0,2.725804567337036,2.725804567337036,91,57,0.6263736263736264,274,170,104,1,271,102
default_mean,16,2,13,1.0,4.0778727531433105,4.0778727531433105,13,3,0.23076923076923078,61,2,59,0,13,11
default_mean,17,4,15,1.0,4.402721881866455,4.402721881866455,12,1,0.08333333333333333,180,2,178,1,33,32
default_mean,18,5,15,1.0,4.644498348236084,4.644498348236084,8,3,0.375,198,8,190,6,44,42
default_mean,19,5,36,1.0,2.8223493099212646,2.8223493099212646,7,3,0.42857142857142855,32,11,21,0,32,21
default_mean,20,6,24,1.0,4.435035705566406,4.435035705566406,12,2,0.16666666666666666,201,15,186,9,35,29
default_mean,21,6,14,1.0,4.714873790740967,4.714873790740967,10,0,0.0,279,16,263,8,38,30
default_mean,22,6,19,1.0,4.4998931884765625,4.4998931884765625,19,3,0.15789473684210525,147,7,140,4,35,32
default_mean,23,7,13,1.0,5.390681743621826,5.390681743621826,11,1,0.09090909090909091,194,14,180,12,35,33
default_mean,24,8,13,1.0,5.347944259643555,5.347944259643555,18,2,0.1111111111111111,377,45,332,39,45,39
default_mean,25,1,17,1.0,3.876145362854004,3.876145362854004,7,2,0.2857142857142857,64,10,54,2,19,11
