dataset,kir,seed,metric_max_abs_delta,score_max_abs_delta,accepted_label_mismatch,diagnostic_label_mismatch,passed,reference_metrics_sha256,reference_predictions_sha256
clinc150,0.25,13,0.0,4.440892098500626e-16,0,0,True,7d2a8fa7614079d93a14df65ec99357622e404fa37656ac6eaf1bb2586af1813,9bc76f4319d0df1a5656e02af106dfc169091518f6672f23fdcf2b04e982e755
clinc150,0.25,42,0.0,4.440892098500626e-16,0,0,True,ae9abba7f1b6ecbebc9fdd039093d5838222c78101204385dd4012725f5872a8,c4968e8403e03eefacaaeb7454c36411b489ec7b4c7de2e38d06d49bad603a4d
clinc150,0.25,87,0.0,4.440892098500626e-16,0,0,True,6b61494208d4561fd5a7d7ceae00b69bf46e07f8c9750caa4041cee09ce72773,1d4243128d5f3c9e6e586e181e3a47f7350f777bd1a9bc5a05d57747d53f166a
clinc150,0.25,100,0.0,4.440892098500626e-16,0,0,True,d0a7f6ff3dce0ff6215fbeccd68a7a49b71908dc0a6824e68ba414cb55590631,440374465156abb1773cbd85ddde2028cf4b8cca8fa4ca0fd1b21840434d6020
clinc150,0.25,123,0.0,4.440892098500626e-16,0,0,True,343bde8e492263f31cf4cdc340ae963b7fee1cfc917898dd596b86f551d1762c,2538c99fa39d80ad5335249b11bbd2c3f8374969c3266428cefd5f33ea5e1257
clinc150,0.5,13,0.0,4.440892098500626e-16,0,0,True,5f10a71a7430192fc3b690a7fdfa9a34f6f7647cdcc8949648f14fed5d62c777,d0e68ff950e596944e4758d0de9e1fe7ba7276df333e885d9dcd532d114a0b81
clinc150,0.5,42,0.0,4.440892098500626e-16,0,0,True,18ddc67471e489a9a7ded7df9d7e3680d253d7abee36ed131d1d30843164b5de,9f699f3cefa3f4201c751337125c6f6151ba704431674ebc245278917c2233ae
clinc150,0.5,87,0.0,4.440892098500626e-16,0,0,True,04cff1f1b078f72655333f84838496d3f47e613eb0600325a1c2c0803332dcfe,dddcfeb337ca8ca6d7c1445c6e03d2e60a976af241b5b23a1d38dedf0623545f
clinc150,0.5,100,0.0,4.440892098500626e-16,0,0,True,2e8459aceeb8456a4c47aceb62ecb5bbe30669d5c07124010c600d425d237160,ca9661337c9ea8800f8a669b151d8fda2a1b70183be053a43aa9ea35cdd92e9a
clinc150,0.5,123,0.0,4.440892098500626e-16,0,0,True,946e69146081160ab7b2796b087f82382d91fbe489dfe6cee008b741bf71127d,4e5e84ae255649f0708a96e056ca98bfb5a99ecaec3d8be3c1bc9bb697ad3dc1
