dataset,kir,seed,loss_variant,class_count,registered_known_class_count,missing_selected_class_count,missing_selected_classes,excluded_train_row_count,sample_count,selected_balls,temperature,mean_loss,mean_true_probability,median_true_probability,mean_probability_margin,nearest_class_accuracy,mean_gradient_l2,median_gradient_l2,mean_distance_span
clinc150,0.25,13,official_l1,38,38,0,,0,1024,61,,3.6263059962833695,0.0266144498671767,0.0266114811595815,0.000185992989084,0.9755859375,0.0224303836133135,0.0224627201256621,0.6560735467373549
clinc150,0.25,13,raw_tau_0.05,38,38,0,,0,1024,61,0.05,0.0968282735375082,0.9400173513915554,0.9943995206990376,0.913489373963249,0.9755859375,1.3615681247418785,0.1247164840968859,0.6560735467373549
clinc150,0.25,13,raw_tau_0.10,38,38,0,,0,1024,61,0.1,0.4316173842086901,0.7059306863874366,0.758205097655662,0.6595343123196324,0.9755859375,3.0341525218088385,2.490017985410581,0.6560735467373549
clinc150,0.25,13,raw_tau_0.20,38,38,0,,0,1024,61,0.2,1.456861802034312,0.2629888996091821,0.2420916466118013,0.2104475149563746,0.9755859375,3.744402269834615,3.852369516575551,0.6560735467373549
clinc150,0.25,13,raw_tau_0.50,38,38,0,,0,1024,61,0.5,2.6760139865040085,0.0711657227263551,0.0687014674069331,0.033711199438208,0.9755859375,1.883210826721592,1.8881090033450096,0.6560735467373549
clinc150,0.25,13,raw_tau_1.00,38,38,0,,0,1024,61,1.0,3.147914610415692,0.0433252664857141,0.0428296796179411,0.0117175771136577,0.9755859375,0.9695894495752316,0.9700728849118764,0.6560735467373549
clinc150,0.25,42,official_l1,38,38,0,,0,1024,77,,3.626584316186797,0.0266070798772679,0.0266028737871863,0.0001750590975653,0.9736328125,0.0225445275683458,0.0225466970013067,0.6465814340115413
clinc150,0.25,42,raw_tau_0.05,38,38,0,,0,1024,77,0.05,0.1358874727885255,0.9128675043449028,0.9907771484963208,0.8731198189719112,0.9736328125,1.9909065666584136,0.2028161707109333,0.6465814340115413
clinc150,0.25,42,raw_tau_0.10,38,38,0,,0,1024,77,0.1,0.5284743064572823,0.6590499177578719,0.7170025409988873,0.6031753261559046,0.9736328125,3.5274849369785217,2.896781318788916,0.6465814340115413
clinc150,0.25,42,raw_tau_0.20,38,38,0,,0,1024,77,0.2,1.533468286074776,0.2524552386052655,0.223208364019708,0.1978386367094471,0.9736328125,3.799800834689311,3.9497133439315713,0.6465814340115413
clinc150,0.25,42,raw_tau_0.50,38,38,0,,0,1024,77,0.5,2.706362688973977,0.0697284789456208,0.0662883648889237,0.031857032933639,0.9736328125,1.886209272053044,1.893211928830524,0.6465814340115413
clinc150,0.25,42,raw_tau_1.00,38,38,0,,0,1024,77,1.0,3.162905976049055,0.04279066138998,0.0420924247630846,0.0110179148726828,0.9736328125,0.9701408193792542,0.970848692000414,0.6465814340115413
clinc150,0.25,87,official_l1,38,38,0,,0,1024,63,,3.626362729209392,0.026612966720256,0.0266095484040345,0.0001742610332933,0.9638671875,0.0224939208069025,0.0224981483100887,0.6451019361657568
clinc150,0.25,87,raw_tau_0.05,38,38,0,,0,1024,63,0.05,0.1395754074521319,0.9160755166560588,0.99101224594981,0.8747879034672748,0.9638671875,1.9491084459233443,0.200164992753715,0.6451019361657568
clinc150,0.25,87,raw_tau_0.10,38,38,0,,0,1024,63,0.1,0.4925897302930129,0.6790989611856029,0.7347188123132272,0.6176006276667086,0.9638671875,3.3479525377367727,2.7857872104145995,0.6451019361657568
clinc150,0.25,87,raw_tau_0.20,38,38,0,,0,1024,63,0.2,1.489068568234313,0.2600452228840285,0.2347241353564116,0.2011042019137285,0.9638671875,3.763741728036312,3.888649499354683,0.6451019361657568
clinc150,0.25,87,raw_tau_0.50,38,38,0,,0,1024,63,0.5,2.685580848627413,0.0708983333668085,0.067909422346009,0.0319892857109849,0.9638671875,1.883875095458764,1.8898491228110583,0.6451019361657568
