dataset,kir,seed,registered_known_class_count,class_count,missing_selected_class_count,missing_selected_classes,excluded_train_row_count,selected_balls
clinc150,0.25,13,38,38,0,,0,61
clinc150,0.25,42,38,38,0,,0,77
clinc150,0.25,87,38,38,0,,0,63
clinc150,0.25,100,38,38,0,,0,67
clinc150,0.25,123,38,38,0,,0,66
clinc150,0.5,13,75,74,1,what_is_your_name,100,126
clinc150,0.5,42,75,74,1,what_is_your_name,100,129
clinc150,0.5,87,75,75,0,,0,138
clinc150,0.5,100,75,75,0,,0,150
clinc150,0.5,123,75,74,1,change_user_name,100,133
clinc150,0.75,13,112,111,1,what_is_your_name,100,214
clinc150,0.75,42,112,110,2,make_call|what_is_your_name,200,201
clinc150,0.75,87,112,109,3,change_user_name|no|pto_used,300,209
clinc150,0.75,100,112,111,1,recipe,100,207
clinc150,0.75,123,112,111,1,definition,100,206
banking77,0.25,13,19,19,0,,0,47
banking77,0.25,42,19,19,0,,0,40
banking77,0.25,87,19,19,0,,0,35
banking77,0.25,100,19,19,0,,0,47
banking77,0.25,123,19,19,0,,0,48
banking77,0.5,13,38,38,0,,0,102
banking77,0.5,42,38,38,0,,0,94
banking77,0.5,87,38,38,0,,0,87
banking77,0.5,100,38,38,0,,0,105
banking77,0.5,123,38,38,0,,0,87
banking77,0.75,13,58,57,1,contactless_not_working,32,133
banking77,0.75,42,58,55,3,contactless_not_working|order_physical_card|transfer_not_received_by_recipient,294,129
banking77,0.75,87,58,58,0,,0,158
banking77,0.75,100,58,57,1,card_acceptance,53,140
banking77,0.75,123,58,58,0,,0,147
stackoverflow,0.25,13,5,5,0,,0,39
stackoverflow,0.25,42,5,5,0,,0,32
stackoverflow,0.25,87,5,5,0,,0,42
stackoverflow,0.25,100,5,5,0,,0,45
stackoverflow,0.25,123,5,5,0,,0,29
stackoverflow,0.5,13,10,10,0,,0,74
stackoverflow,0.5,42,10,10,0,,0,78
stackoverflow,0.5,87,10,10,0,,0,74
stackoverflow,0.5,100,10,10,0,,0,65
stackoverflow,0.5,123,10,8,2,drupal|sharepoint,1200,58
stackoverflow,0.75,13,15,14,1,sharepoint,600,100
stackoverflow,0.75,42,15,13,2,magento|sharepoint,1200,98
stackoverflow,0.75,87,15,14,1,drupal,600,91
stackoverflow,0.75,100,15,15,0,,0,97
stackoverflow,0.75,123,15,11,4,drupal|magento|sharepoint|wordpress,2400,97
