known_recall,oos_recall,false_accept_rate,false_reject_rate,oos_f1,oos_precision,auroc,aupr_oos,f1_all,f1_k,accuracy,dataset,kir,seed,method,method_label,target_known_recall,diagnostic_threshold,source_prediction_path,diagnostic_only,threshold_source
0.75,0.8693965517241379,0.13060344827586207,0.25,0.8910978573006406,0.9139102854553692,,,,,,banking77,0.25,13,fixed_k2,Frozen fixed K=2,0.75,0.9413083923379324,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/fixed_k2/predictions.tsv,True,test_known_scores_posthoc
0.75,0.7642241379310345,0.23577586206896553,0.25,0.8279243520896568,0.9032093734080489,,,,,,banking77,0.25,13,mogb_minilm,MOGB-MiniLM,0.75,1.4056545312272757,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/mogb_minilm/predictions.tsv,True,test_known_scores_posthoc
0.75,0.8663793103448276,0.1336206896551724,0.25,0.8893805309734514,0.9136363636363637,,,,,,banking77,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.75,1.1706676965366178,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/mogb_partition_ours_boundary/predictions.tsv,True,test_known_scores_posthoc
0.75,0.8271551724137931,0.1728448275862069,0.25,0.8665613005193046,0.9099099099099099,,,,,,banking77,0.25,13,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.75,1.119290352510076,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/ours_partition_mogb_boundary/predictions.tsv,True,test_known_scores_posthoc
0.75,0.8767241379310344,0.12327586206896551,0.25,0.8952464788732394,0.914568345323741,,,,,,banking77,0.25,13,random_partition,Random partition,0.75,0.92940967869086,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/random_partition/predictions.tsv,True,test_known_scores_posthoc
0.75,0.8706896551724138,0.12931034482758622,0.25,0.891832229580574,0.9140271493212669,,,,,,banking77,0.25,13,single_centroid,Frozen single centroid,0.75,0.9399295193393596,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/single_centroid/predictions.tsv,True,test_known_scores_posthoc
0.75,0.9362068965517242,0.06379310344827586,0.25,0.9278086287911149,0.9195596951735817,,,,,,banking77,0.25,13,trainable_k1,Trainable MiniLM K=1,0.75,0.955831625372453,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/banking77/seed_13/predictions.jsonl,True,test_known_scores_posthoc
0.85,0.7413793103448276,0.25862068965517243,0.15,0.8281174771304767,0.9378407851690295,,,,,,banking77,0.25,13,fixed_k2,Frozen fixed K=2,0.85,1.013216980227117,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/fixed_k2/predictions.tsv,True,test_known_scores_posthoc
0.85,0.5120689655172413,0.4879310344827586,0.15,0.6559911651021535,0.9124423963133641,,,,,,banking77,0.25,13,mogb_minilm,MOGB-MiniLM,0.85,1.5751375356858188,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/mogb_minilm/predictions.tsv,True,test_known_scores_posthoc
0.85,0.7043103448275863,0.2956896551724138,0.15,0.8033431661750245,0.9347826086956522,,,,,,banking77,0.25,13,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.85,1.3004629484518733,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/mogb_partition_ours_boundary/predictions.tsv,True,test_known_scores_posthoc
