dataset,kir,target_known_recall,method,method_label,known_recall_mean,known_recall_std,oos_f1_mean,oos_f1_std,false_accept_rate_mean,false_accept_rate_std,n_seeds
banking77,0.25,0.75,fixed_k2,Frozen fixed K=2,0.75,0.0,0.8911045284143981,0.02601290653693562,0.12974137931034485,0.04531810540793344,5
banking77,0.25,0.75,mogb_minilm,MOGB-MiniLM,0.75,0.0,0.8794875053560075,0.03532525264625639,0.1493103448275862,0.059948358920137244,5
banking77,0.25,0.75,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.75,0.0,0.9049155018845749,0.012487273614276668,0.10577586206896553,0.022627462978781415,5
banking77,0.25,0.75,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.75,0.0,0.8775188283925252,0.031096137917272504,0.15301724137931033,0.05377748999758125,5
banking77,0.25,0.75,random_partition,Random partition,0.75,0.0,0.9032143787904229,0.007867441212416814,0.1089655172413793,0.014186208572913252,5
banking77,0.25,0.75,single_centroid,Frozen single centroid,0.75,0.0,0.9013405300542352,0.011406539734436907,0.11224137931034484,0.020515158543945845,5
banking77,0.25,0.75,trainable_k1,Trainable MiniLM K=1,0.75,0.0,0.9273334518389357,0.009215269263776455,0.06456896551724138,0.017188496485003632,5
banking77,0.25,0.85,fixed_k2,Frozen fixed K=2,0.85,0.0,0.8353220677846099,0.03792889326177723,0.24603448275862067,0.057988477267801125,5
banking77,0.25,0.85,mogb_minilm,MOGB-MiniLM,0.85,0.0,0.7834155296333617,0.08511299388554779,0.3178448275862069,0.11746800801602648,5
banking77,0.25,0.85,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.85,0.0,0.8395359228335024,0.03504302931581018,0.2396551724137931,0.055799407437645714,5
banking77,0.25,0.85,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.85,0.0,0.8123896070332339,0.044083138248189525,0.2803448275862069,0.06698156591491268,5
banking77,0.25,0.85,random_partition,Random partition,0.85,0.0,0.849570115984952,0.01906637879033986,0.22482758620689655,0.030505550069091295,5
banking77,0.25,0.85,single_centroid,Frozen single centroid,0.85,0.0,0.8426925755520667,0.022482484201005785,0.23551724137931035,0.035630938289314434,5
banking77,0.25,0.85,trainable_k1,Trainable MiniLM K=1,0.85,0.0,0.9034570571084716,0.023453817982127777,0.13491379310344825,0.040141785719633824,5
banking77,0.25,0.9,fixed_k2,Frozen fixed K=2,0.9,0.0,0.7667294058194546,0.05098944352870145,0.3556896551724138,0.06777556382007906,5
banking77,0.25,0.9,mogb_minilm,MOGB-MiniLM,0.9,0.0,0.6939131311961848,0.09104686445144312,0.4453448275862069,0.10699357735177528,5
banking77,0.25,0.9,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.9,0.0,0.7555729494598424,0.05638527990306534,0.37008620689655175,0.07889850435400189,5
banking77,0.25,0.9,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.9,0.0,0.7519214647036656,0.052269272725810126,0.37551724137931036,0.0682025413954223,5
banking77,0.25,0.9,random_partition,Random partition,0.9,0.0,0.7814894462323597,0.025045453557353194,0.33706896551724136,0.03486453528231581,5
banking77,0.25,0.9,single_centroid,Frozen single centroid,0.9,0.0,0.7676641107235526,0.024656566801979408,0.3561206896551724,0.033657142042421456,5
banking77,0.25,0.9,trainable_k1,Trainable MiniLM K=1,0.9,0.0,0.8577370398035512,0.02831819185757437,0.2236206896551724,0.04388345959651922,5
banking77,0.25,0.95,fixed_k2,Frozen fixed K=2,0.95,0.0,0.6393655210224762,0.04479634694806779,0.5211206896551724,0.048620995352426144,5
banking77,0.25,0.95,mogb_minilm,MOGB-MiniLM,0.95,0.0,0.49299538486870836,0.09905004061888202,0.6631896551724138,0.08210307444628069,5
banking77,0.25,0.95,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.95,0.0,0.5963565223676477,0.035667332564739564,0.5674137931034483,0.037587343782236625,5
banking77,0.25,0.95,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.95,0.0,0.6009537820366722,0.0576113345374367,0.5614655172413793,0.059329199589242036,5
banking77,0.25,0.95,random_partition,Random partition,0.95,0.0,0.6291773502789992,0.05542513626784682,0.5315517241379311,0.06039129983957884,5
banking77,0.25,0.95,single_centroid,Frozen single centroid,0.95,0.0,0.6148780389897015,0.06485010540466699,0.5462068965517242,0.06960666414376109,5
banking77,0.25,0.95,trainable_k1,Trainable MiniLM K=1,0.95,0.0,0.731979151827373,0.0487928601748613,0.41146551724137936,0.05907264290946492,5
banking77,0.5,0.75,fixed_k2,Frozen fixed K=2,0.75,0.0,0.7973311773380372,0.019018397031625722,0.17512820512820512,0.03251712743454357,5
banking77,0.5,0.75,mogb_minilm,MOGB-MiniLM,0.75,0.0,0.7705528200119132,0.02597334983903267,0.2198717948717949,0.04210567542143926,5
banking77,0.5,0.75,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.75,0.0,0.797624317114521,0.019147955668694858,0.17461538461538462,0.03296642246076959,5
