dataset,kir,seed,intent,train_count,fallback_radius,fallback_ball_id
clinc150,0.5,13,what_is_your_name,100,0.734629744086268,1067
clinc150,0.5,42,what_is_your_name,100,0.734629744086268,1253
clinc150,0.5,123,change_user_name,100,0.7702260299418733,1294
clinc150,0.75,13,what_is_your_name,100,0.734629744086268,2240
clinc150,0.75,42,make_call,100,0.7924101358051243,2292
clinc150,0.75,42,what_is_your_name,100,0.734629744086268,2293
clinc150,0.75,87,change_user_name,100,0.7702260299418733,2321
clinc150,0.75,87,no,100,0.8145355120692631,2322
clinc150,0.75,87,pto_used,100,0.7076879375163745,2323
clinc150,0.75,100,recipe,100,0.7891151972304674,2192
clinc150,0.75,123,definition,100,0.9086935334621248,2151
banking77,0.75,13,contactless_not_working,32,0.7005606129802321,1684
banking77,0.75,42,contactless_not_working,32,0.7005606129802321,1880
banking77,0.75,42,order_physical_card,108,0.6290865604589904,1881
banking77,0.75,42,transfer_not_received_by_recipient,154,0.7212150187855656,1882
banking77,0.75,100,card_acceptance,53,0.6347497059895438,1717
stackoverflow,0.5,123,drupal,600,0.9568466204875375,1713
stackoverflow,0.5,123,sharepoint,600,0.9704484018823198,1714
stackoverflow,0.75,13,sharepoint,600,0.9704484018823198,2862
stackoverflow,0.75,42,magento,600,0.960171602100358,3097
stackoverflow,0.75,42,sharepoint,600,0.9704484018823198,3098
stackoverflow,0.75,87,drupal,600,0.9568466204875375,2697
stackoverflow,0.75,123,drupal,600,0.9568466204875375,3062
stackoverflow,0.75,123,magento,600,0.960171602100358,3063
stackoverflow,0.75,123,sharepoint,600,0.9704484018823198,3064
stackoverflow,0.75,123,wordpress,600,0.9405787394780362,3065
