dataset,kir,seed,structure,workpoint,threshold,calibration_known_recall,selected_using_test_known,selected_using_test_oos,selection_split,registered_known_classes,missing_class_count,missing_classes,original_ball_count,fallback_ball_count,final_ball_count,elapsed_seconds,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95,false_accept_rate,false_reject_rate,accuracy,f1_all,f1_k,f1_u
clinc150,0.25,13,selected_balls,default_radius,1.0,0.3618421052631579,False,False,paper_default_radius,38,0,,61,0,61,0.7473473210120574,0.8688713708902134,0.9910087719298246,0.9259297203155414,0.4017543859649123,0.9910087719298246,0.9204505232379192,0.9722469613557536,0.2403508771929824,0.0089912280701754,0.5982456140350877,0.8731578947368421,0.552799420888672,0.5429802024827017,0.9259297203155414
clinc150,0.25,13,selected_balls_plus_missing_class_fallback,default_radius,1.0,0.3618421052631579,False,False,paper_default_radius,38,0,,61,0,61,0.7665332000469789,0.8688713708902134,0.9910087719298246,0.9259297203155414,0.4017543859649123,0.9910087719298246,0.9204505232379192,0.9722469613557536,0.2403508771929824,0.0089912280701754,0.5982456140350877,0.8731578947368421,0.552799420888672,0.5429802024827017,0.9259297203155414
clinc150,0.25,13,selected_balls,calibration_coverage_0.80,1.1877687821297218,0.8,False,False,calibration_known,38,0,,61,0,61,0.7874408690258861,0.9466755912539044,0.9304824561403509,0.9385091793850918,0.7903508771929825,0.9304824561403509,0.9204505232379192,0.9722469613557536,0.2403508771929824,0.0695175438596491,0.2096491228070175,0.9019298245614036,0.7828865321537685,0.7787911993318916,0.9385091793850918
clinc150,0.25,13,selected_balls_plus_missing_class_fallback,calibration_coverage_0.80,1.1877687821297218,0.8,False,False,calibration_known,38,0,,61,0,61,0.8068579889950342,0.9466755912539044,0.9304824561403509,0.9385091793850918,0.7903508771929825,0.9304824561403509,0.9204505232379192,0.9722469613557536,0.2403508771929824,0.0695175438596491,0.2096491228070175,0.9019298245614036,0.7828865321537685,0.7787911993318916,0.9385091793850918
clinc150,0.25,42,selected_balls,default_radius,1.0,0.3421052631578947,False,False,paper_default_radius,38,0,,77,0,77,0.9319850340252742,0.8557383248251087,0.9925438596491228,0.9190780789927911,0.3307017543859649,0.9925438596491228,0.8889312096029547,0.958846994852714,0.3464912280701754,0.0074561403508771,0.6692982456140351,0.86,0.4690188607303663,0.4571751970918815,0.9190780789927911
clinc150,0.25,42,selected_balls_plus_missing_class_fallback,default_radius,1.0,0.3421052631578947,False,False,paper_default_radius,38,0,,77,0,77,0.952736269973684,0.8557383248251087,0.9925438596491228,0.9190780789927911,0.3307017543859649,0.9925438596491228,0.8889312096029547,0.958846994852714,0.3464912280701754,0.0074561403508771,0.6692982456140351,0.86,0.4690188607303663,0.4571751970918815,0.9190780789927911
clinc150,0.25,42,selected_balls,calibration_coverage_0.80,1.224593712449276,0.8,False,False,calibration_known,38,0,,77,0,77,0.9741180739947596,0.939330053876786,0.8793859649122807,0.90837014384415,0.7728070175438596,0.8793859649122807,0.8889312096029547,0.958846994852714,0.3464912280701754,0.1206140350877193,0.2271929824561403,0.8566666666666667,0.7264305949745683,0.7216427121095793,0.90837014384415
clinc150,0.25,42,selected_balls_plus_missing_class_fallback,calibration_coverage_0.80,1.224593712449276,0.8,False,False,calibration_known,38,0,,77,0,77,0.993359497981146,0.939330053876786,0.8793859649122807,0.90837014384415,0.7728070175438596,0.8793859649122807,0.8889312096029547,0.958846994852714,0.3464912280701754,0.1206140350877193,0.2271929824561403,0.8566666666666667,0.7264305949745683,0.7216427121095793,0.90837014384415
clinc150,0.25,87,selected_balls,default_radius,1.0,0.2986842105263158,False,False,paper_default_radius,38,0,,63,0,63,0.8248324129963294,0.8616495629038389,0.9942982456140352,0.9232335573203012,0.3614035087719298,0.9942982456140352,0.8917978608802708,0.9544528036783012,0.3263157894736842,0.0057017543859649,0.6385964912280702,0.867719298245614,0.5165800461524818,0.5058786379638549,0.9232335573203012
clinc150,0.25,87,selected_balls_plus_missing_class_fallback,default_radius,1.0,0.2986842105263158,False,False,paper_default_radius,38,0,,63,0,63,0.8439606330357492,0.8616495629038389,0.9942982456140352,0.9232335573203012,0.3614035087719298,0.9942982456140352,0.8917978608802708,0.9544528036783012,0.3263157894736842,0.0057017543859649,0.6385964912280702,0.867719298245614,0.5165800461524818,0.5058786379638549,0.9232335573203012
