dataset,kir,seed,workpoint,missing_class_count,missing_classes,fallback_ball_count,test_known_count,test_oos_count,missing_class_test_known_count,known_recovered_from_oos,known_newly_rejected,oos_newly_accepted,oos_newly_rejected,missing_known_correct_baseline,missing_known_correct_rescue,missing_known_accepted_baseline,missing_known_accepted_rescue,fallback_nearest_known,fallback_nearest_oos,fallback_accepted_known,fallback_accepted_oos
clinc150,0.25,13,default_radius,0,,0,1140,4560,0,0,0,0,0,0,0,0,0,0,0,0,0
clinc150,0.25,13,calibration_coverage_0.80,0,,0,1140,4560,0,0,0,0,0,0,0,0,0,0,0,0,0
clinc150,0.25,42,default_radius,0,,0,1140,4560,0,0,0,0,0,0,0,0,0,0,0,0,0
clinc150,0.25,42,calibration_coverage_0.80,0,,0,1140,4560,0,0,0,0,0,0,0,0,0,0,0,0,0
clinc150,0.25,87,default_radius,0,,0,1140,4560,0,0,0,0,0,0,0,0,0,0,0,0,0
clinc150,0.25,87,calibration_coverage_0.80,0,,0,1140,4560,0,0,0,0,0,0,0,0,0,0,0,0,0
clinc150,0.25,100,default_radius,0,,0,1140,4560,0,0,0,0,0,0,0,0,0,0,0,0,0
clinc150,0.25,100,calibration_coverage_0.80,0,,0,1140,4560,0,0,0,0,0,0,0,0,0,0,0,0,0
clinc150,0.25,123,default_radius,0,,0,1140,4560,0,0,0,0,0,0,0,0,0,0,0,0,0
clinc150,0.25,123,calibration_coverage_0.80,0,,0,1140,4560,0,0,0,0,0,0,0,0,0,0,0,0,0
clinc150,0.5,13,default_radius,1,what_is_your_name,1,2250,3450,30,20,0,1,0,0,13,2,15,58,144,20,1
clinc150,0.5,13,calibration_coverage_0.80,1,what_is_your_name,1,2250,3450,30,50,18,34,60,0,26,5,29,58,144,55,36
clinc150,0.5,42,default_radius,1,what_is_your_name,1,2250,3450,30,27,0,0,0,0,16,0,16,58,140,28,0
clinc150,0.5,42,calibration_coverage_0.80,1,what_is_your_name,1,2250,3450,30,29,24,20,43,0,30,14,30,58,140,55,25
clinc150,0.5,87,default_radius,0,,0,2250,3450,0,0,0,0,0,0,0,0,0,0,0,0,0
clinc150,0.5,87,calibration_coverage_0.80,0,,0,2250,3450,0,0,0,0,0,0,0,0,0,0,0,0,0
clinc150,0.5,100,default_radius,0,,0,2250,3450,0,0,0,0,0,0,0,0,0,0,0,0,0
clinc150,0.5,100,calibration_coverage_0.80,0,,0,2250,3450,0,0,0,0,0,0,0,0,0,0,0,0,0
clinc150,0.5,123,default_radius,1,change_user_name,1,2250,3450,30,12,0,4,0,0,10,2,12,42,102,12,4
clinc150,0.5,123,calibration_coverage_0.80,1,change_user_name,1,2250,3450,30,19,20,20,76,0,23,17,28,42,102,42,23
clinc150,0.75,13,default_radius,1,what_is_your_name,1,3360,2340,30,33,0,1,0,0,16,0,16,57,60,33,1
clinc150,0.75,13,calibration_coverage_0.80,1,what_is_your_name,1,3360,2340,30,22,11,18,30,0,25,15,25,57,60,57,21
clinc150,0.75,42,default_radius,2,make_call|what_is_your_name,2,3360,2340,60,57,0,4,0,0,32,0,32,131,230,57,4
clinc150,0.75,42,calibration_coverage_0.80,2,make_call|what_is_your_name,2,3360,2340,60,87,79,128,87,0,55,11,55,131,230,125,137
clinc150,0.75,87,default_radius,3,change_user_name|no|pto_used,3,3360,2340,90,57,0,7,0,0,50,0,50,160,208,58,7
clinc150,0.75,87,calibration_coverage_0.80,3,change_user_name|no|pto_used,3,3360,2340,90,109,119,74,171,0,83,24,85,160,208,155,113
clinc150,0.75,100,default_radius,1,recipe,1,3360,2340,30,20,0,1,0,0,17,0,17,54,143,20,1
clinc150,0.75,100,calibration_coverage_0.80,1,recipe,1,3360,2340,30,14,18,71,21,0,30,24,30,54,143,52,89
clinc150,0.75,123,default_radius,1,definition,1,3360,2340,30,4,0,0,0,0,4,0,4,35,323,4,0
clinc150,0.75,123,calibration_coverage_0.80,1,definition,1,3360,2340,30,28,21,298,31,0,30,6,30,35,323,35,323
banking77,0.25,13,default_radius,0,,0,760,2320,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.25,13,calibration_coverage_0.80,0,,0,760,2320,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.25,42,default_radius,0,,0,760,2320,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.25,42,calibration_coverage_0.80,0,,0,760,2320,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.25,87,default_radius,0,,0,760,2320,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.25,87,calibration_coverage_0.80,0,,0,760,2320,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.25,100,default_radius,0,,0,760,2320,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.25,100,calibration_coverage_0.80,0,,0,760,2320,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.25,123,default_radius,0,,0,760,2320,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.25,123,calibration_coverage_0.80,0,,0,760,2320,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.5,13,default_radius,0,,0,1520,1560,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.5,13,calibration_coverage_0.80,0,,0,1520,1560,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.5,42,default_radius,0,,0,1520,1560,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.5,42,calibration_coverage_0.80,0,,0,1520,1560,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.5,87,default_radius,0,,0,1520,1560,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.5,87,calibration_coverage_0.80,0,,0,1520,1560,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.5,100,default_radius,0,,0,1520,1560,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.5,100,calibration_coverage_0.80,0,,0,1520,1560,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.5,123,default_radius,0,,0,1520,1560,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.5,123,calibration_coverage_0.80,0,,0,1520,1560,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.75,13,default_radius,1,contactless_not_working,1,2320,760,40,24,0,0,0,0,24,0,24,39,7,24,0
banking77,0.75,13,calibration_coverage_0.80,1,contactless_not_working,1,2320,760,40,24,1,1,1,0,37,16,38,39,7,39,1
banking77,0.75,42,default_radius,3,contactless_not_working|order_physical_card|transfer_not_received_by_recipient,3,2320,760,120,73,0,2,0,0,57,0,57,178,105,73,2
banking77,0.75,42,calibration_coverage_0.80,3,contactless_not_working|order_physical_card|transfer_not_received_by_recipient,3,2320,760,120,122,82,78,65,0,107,42,114,178,105,177,103
banking77,0.75,87,default_radius,0,,0,2320,760,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.75,87,calibration_coverage_0.80,0,,0,2320,760,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.75,100,default_radius,1,card_acceptance,1,2320,760,40,28,0,0,0,0,23,0,23,67,15,28,0
banking77,0.75,100,calibration_coverage_0.80,1,card_acceptance,1,2320,760,40,52,47,11,24,0,40,7,40,67,15,67,15
banking77,0.75,123,default_radius,0,,0,2320,760,0,0,0,0,0,0,0,0,0,0,0,0,0
banking77,0.75,123,calibration_coverage_0.80,0,,0,2320,760,0,0,0,0,0,0,0,0,0,0,0,0,0
stackoverflow,0.25,13,default_radius,0,,0,1500,4500,0,0,0,0,0,0,0,0,0,0,0,0,0
stackoverflow,0.25,13,calibration_coverage_0.80,0,,0,1500,4500,0,0,0,0,0,0,0,0,0,0,0,0,0
stackoverflow,0.25,42,default_radius,0,,0,1500,4500,0,0,0,0,0,0,0,0,0,0,0,0,0
stackoverflow,0.25,42,calibration_coverage_0.80,0,,0,1500,4500,0,0,0,0,0,0,0,0,0,0,0,0,0
stackoverflow,0.25,87,default_radius,0,,0,1500,4500,0,0,0,0,0,0,0,0,0,0,0,0,0
stackoverflow,0.25,87,calibration_coverage_0.80,0,,0,1500,4500,0,0,0,0,0,0,0,0,0,0,0,0,0
stackoverflow,0.25,100,default_radius,0,,0,1500,4500,0,0,0,0,0,0,0,0,0,0,0,0,0
stackoverflow,0.25,100,calibration_coverage_0.80,0,,0,1500,4500,0,0,0,0,0,0,0,0,0,0,0,0,0
stackoverflow,0.25,123,default_radius,0,,0,1500,4500,0,0,0,0,0,0,0,0,0,0,0,0,0
stackoverflow,0.25,123,calibration_coverage_0.80,0,,0,1500,4500,0,0,0,0,0,0,0,0,0,0,0,0,0
stackoverflow,0.5,13,default_radius,0,,0,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
stackoverflow,0.5,13,calibration_coverage_0.80,0,,0,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
stackoverflow,0.5,42,default_radius,0,,0,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
stackoverflow,0.5,42,calibration_coverage_0.80,0,,0,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
stackoverflow,0.5,87,default_radius,0,,0,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
stackoverflow,0.5,87,calibration_coverage_0.80,0,,0,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
