dataset,kir,distance,best_k,count,proportion
banking77,0.25,euclidean,1,19,0.2
banking77,0.25,euclidean,2,14,0.14736842105263157
banking77,0.25,euclidean,3,15,0.15789473684210525
banking77,0.25,euclidean,4,18,0.18947368421052632
banking77,0.25,euclidean,5,29,0.30526315789473685
banking77,0.25,mahalanobis_diag,1,31,0.3263157894736842
banking77,0.25,mahalanobis_diag,2,15,0.15789473684210525
banking77,0.25,mahalanobis_diag,3,14,0.14736842105263157
banking77,0.25,mahalanobis_diag,4,18,0.18947368421052632
banking77,0.25,mahalanobis_diag,5,17,0.17894736842105263
banking77,0.5,euclidean,1,50,0.2631578947368421
banking77,0.5,euclidean,2,42,0.22105263157894736
banking77,0.5,euclidean,3,29,0.15263157894736842
banking77,0.5,euclidean,4,32,0.16842105263157894
banking77,0.5,euclidean,5,37,0.19473684210526315
banking77,0.5,mahalanobis_diag,1,80,0.42105263157894735
banking77,0.5,mahalanobis_diag,2,31,0.1631578947368421
banking77,0.5,mahalanobis_diag,3,27,0.14210526315789473
banking77,0.5,mahalanobis_diag,4,29,0.15263157894736842
banking77,0.5,mahalanobis_diag,5,23,0.12105263157894737
banking77,0.75,euclidean,1,77,0.2655172413793103
banking77,0.75,euclidean,2,69,0.23793103448275862
banking77,0.75,euclidean,3,56,0.19310344827586207
banking77,0.75,euclidean,4,41,0.1413793103448276
banking77,0.75,euclidean,5,47,0.16206896551724137
banking77,0.75,mahalanobis_diag,1,131,0.4517241379310345
banking77,0.75,mahalanobis_diag,2,65,0.22413793103448276
banking77,0.75,mahalanobis_diag,3,38,0.1310344827586207
banking77,0.75,mahalanobis_diag,4,35,0.1206896551724138
banking77,0.75,mahalanobis_diag,5,21,0.07241379310344828
clinc150,0.25,euclidean,1,83,0.4368421052631579
clinc150,0.25,euclidean,2,38,0.2
clinc150,0.25,euclidean,3,41,0.21578947368421053
clinc150,0.25,euclidean,4,13,0.06842105263157895
clinc150,0.25,euclidean,5,15,0.07894736842105263
clinc150,0.25,mahalanobis_diag,1,114,0.6
clinc150,0.25,mahalanobis_diag,2,42,0.22105263157894736
clinc150,0.25,mahalanobis_diag,3,22,0.11578947368421053
clinc150,0.25,mahalanobis_diag,4,6,0.031578947368421054
clinc150,0.25,mahalanobis_diag,5,6,0.031578947368421054
clinc150,0.5,euclidean,1,181,0.4826666666666667
clinc150,0.5,euclidean,2,83,0.22133333333333333
clinc150,0.5,euclidean,3,76,0.20266666666666666
clinc150,0.5,euclidean,4,15,0.04
clinc150,0.5,euclidean,5,20,0.05333333333333334
clinc150,0.5,mahalanobis_diag,1,224,0.5973333333333334
clinc150,0.5,mahalanobis_diag,2,93,0.248
clinc150,0.5,mahalanobis_diag,3,45,0.12
clinc150,0.5,mahalanobis_diag,4,8,0.021333333333333333
clinc150,0.5,mahalanobis_diag,5,5,0.013333333333333334
clinc150,0.75,euclidean,1,286,0.5107142857142857
clinc150,0.75,euclidean,2,127,0.22678571428571428
clinc150,0.75,euclidean,3,98,0.175
clinc150,0.75,euclidean,4,24,0.04285714285714286
clinc150,0.75,euclidean,5,25,0.044642857142857144
clinc150,0.75,mahalanobis_diag,1,340,0.6071428571428571
clinc150,0.75,mahalanobis_diag,2,139,0.24821428571428572
clinc150,0.75,mahalanobis_diag,3,65,0.11607142857142858
clinc150,0.75,mahalanobis_diag,4,13,0.023214285714285715
clinc150,0.75,mahalanobis_diag,5,3,0.005357142857142857
stackoverflow,0.25,euclidean,1,13,0.52
stackoverflow,0.25,euclidean,2,7,0.28
stackoverflow,0.25,euclidean,3,3,0.12
stackoverflow,0.25,euclidean,4,1,0.04
stackoverflow,0.25,euclidean,5,1,0.04
stackoverflow,0.25,mahalanobis_diag,1,12,0.48
stackoverflow,0.25,mahalanobis_diag,2,10,0.4
stackoverflow,0.25,mahalanobis_diag,3,2,0.08
stackoverflow,0.25,mahalanobis_diag,4,1,0.04
stackoverflow,0.5,euclidean,1,31,0.62
stackoverflow,0.5,euclidean,2,14,0.28
stackoverflow,0.5,euclidean,3,1,0.02
stackoverflow,0.5,euclidean,4,3,0.06
stackoverflow,0.5,euclidean,5,1,0.02
stackoverflow,0.5,mahalanobis_diag,1,30,0.6
stackoverflow,0.5,mahalanobis_diag,2,9,0.18
stackoverflow,0.5,mahalanobis_diag,3,7,0.14
stackoverflow,0.5,mahalanobis_diag,4,3,0.06
stackoverflow,0.5,mahalanobis_diag,5,1,0.02
stackoverflow,0.75,euclidean,1,54,0.72
stackoverflow,0.75,euclidean,2,14,0.18666666666666668
stackoverflow,0.75,euclidean,3,5,0.06666666666666667
stackoverflow,0.75,euclidean,4,2,0.02666666666666667
stackoverflow,0.75,mahalanobis_diag,1,52,0.6933333333333334
stackoverflow,0.75,mahalanobis_diag,2,6,0.08
stackoverflow,0.75,mahalanobis_diag,3,11,0.14666666666666667
stackoverflow,0.75,mahalanobis_diag,4,4,0.05333333333333334
stackoverflow,0.75,mahalanobis_diag,5,2,0.02666666666666667
