dataset,kir,distance,intent_seed_cells,safe_gain_rate,multi_center_oracle_rate,mean_best_k,median_best_k,mean_delta_oos_f1,mean_delta_known_recall,mean_best_k_false_accept_rate
banking77,0.25,euclidean,95,0.43157894736842106,0.8,3.2526315789473683,3.0,0.10386177497860534,-0.006842105263157899,0.004627949183303052
banking77,0.25,mahalanobis_diag,95,0.23157894736842105,0.6736842105263158,2.736842105263158,3.0,0.06212051624259548,-0.018421052631578942,0.0034074410163339036
banking77,0.5,euclidean,190,0.4789473684210526,0.7368421052631579,2.8105263157894735,3.0,0.08128025610833783,0.011447368421052624,0.0034547908232118456
banking77,0.5,mahalanobis_diag,190,0.2631578947368421,0.5789473684210527,2.389473684210526,2.0,0.04895527803741505,-0.012236842105263154,0.002506747638326555
banking77,0.75,euclidean,290,0.5206896551724138,0.7344827586206897,2.696551724137931,2.0,0.06735700669784704,0.027413793103448263,0.003044464609800346
banking77,0.75,mahalanobis_diag,290,0.3137931034482759,0.5482758620689655,2.1379310344827585,2.0,0.03586274350852893,0.0028448275862068967,0.002386569872958244
clinc150,0.25,euclidean,190,0.37894736842105264,0.5631578947368421,2.1526315789473682,2.0,0.03914460526238495,0.014210526315789465,0.0009626038781163179
clinc150,0.25,mahalanobis_diag,190,0.30526315789473685,0.4,1.6736842105263159,1.0,0.027020503276738276,0.011228070175438589,0.0007640812557709889
clinc150,0.5,euclidean,375,0.38133333333333336,0.5173333333333333,1.96,2.0,0.039793968616536717,0.025866666666666656,0.0006925603864734077
clinc150,0.5,mahalanobis_diag,375,0.304,0.4026666666666667,1.6053333333333333,1.0,0.024346667863232273,0.013422222222222212,0.0005696618357487738
clinc150,0.75,euclidean,560,0.40714285714285714,0.48928571428571427,1.8839285714285714,1.0,0.03700722850846541,0.03154761904761904,0.0005036630036629918
clinc150,0.75,mahalanobis_diag,560,0.3267857142857143,0.39285714285714285,1.5714285714285714,1.0,0.023237375089106196,0.020178571428571417,0.0004525335775335659
stackoverflow,0.25,euclidean,25,0.28,0.48,1.8,1.0,0.0097918649410091,-0.008533333333333323,0.022799999999999952
stackoverflow,0.25,mahalanobis_diag,25,0.44,0.52,1.68,2.0,0.013705473562065333,0.003333333333333341,0.020231111111111075
stackoverflow,0.5,euclidean,50,0.28,0.38,1.58,1.0,0.008092796969719934,-0.00693333333333333,0.02286666666666664
stackoverflow,0.5,mahalanobis_diag,50,0.3,0.4,1.72,1.0,0.017325486950492228,0.009733333333333325,0.017406666666666633
stackoverflow,0.75,euclidean,75,0.17333333333333334,0.28,1.4,1.0,0.005267427644978001,-0.004488888888888892,0.017004444444444412
stackoverflow,0.75,mahalanobis_diag,75,0.24,0.30666666666666664,1.64,1.0,0.012459783513546402,0.013155555555555552,0.013991111111111083
