method,seed,intent,known_count,known_false_reject,known_false_reject_rate,oos_false_accept,oos_false_accept_rate_of_all_oos,mean_known_score,mean_oos_accepted_score
fixed_k2,13,ajax,300,20,0.06666666666666667,159,0.053,0.7942486709840704,0.9008118172770321
fixed_k2,13,apache,300,42,0.14,12,0.004,0.7820420025989528,0.7764747862615593
fixed_k2,13,excel,300,27,0.09,6,0.002,0.79790637018199,0.8449295566279632
fixed_k2,13,hibernate,300,11,0.03666666666666667,76,0.025333333333333333,0.7622626869024597,0.8783318378101987
fixed_k2,13,linq,300,8,0.02666666666666667,7,0.0023333333333333335,0.7323568030533878,0.95949850212848
fixed_k2,13,oracle,300,12,0.04,23,0.007666666666666666,0.8039530392299273,0.8992756755676394
fixed_k2,13,osx,300,17,0.056666666666666664,656,0.21866666666666668,0.7951500140838316,0.890860176213191
fixed_k2,13,qt,300,6,0.02,110,0.03666666666666667,0.8061165132162881,0.9336533689587005
fixed_k2,13,scala,300,20,0.06666666666666667,209,0.06966666666666667,0.794263174358648,0.9322627803497785
fixed_k2,13,sharepoint,300,16,0.05333333333333334,308,0.10266666666666667,0.829153846873856,0.9287586684299485
fixed_k2,42,ajax,300,21,0.07,122,0.04066666666666666,0.8006072931466015,0.9110214228241744
fixed_k2,42,apache,300,40,0.13333333333333333,18,0.006,0.7915226091231428,0.8380963411021554
fixed_k2,42,cocoa,300,29,0.09666666666666666,365,0.12166666666666667,0.8466077843980602,0.9256021008256393
fixed_k2,42,excel,300,28,0.09333333333333334,6,0.002,0.8010056268779723,0.8429204654121397
fixed_k2,42,linq,300,6,0.02,9,0.003,0.7356071790768755,0.9587019025421447
fixed_k2,42,oracle,300,15,0.05,42,0.014,0.812865349965303,0.8849599613196754
fixed_k2,42,sharepoint,300,12,0.04,146,0.048666666666666664,0.8248710790224227,0.9367696366414787
fixed_k2,42,spring,300,6,0.02,277,0.09233333333333334,0.779634638307287,0.8337250505349156
fixed_k2,42,svn,300,25,0.08333333333333333,3,0.001,0.7683519995819885,0.697233943116515
fixed_k2,42,visual-studio,300,16,0.05333333333333334,42,0.014,0.8067189989841507,0.9333488461535463
fixed_k2,87,apache,300,39,0.13,9,0.003,0.790438869065744,0.8483286250000981
fixed_k2,87,bash,300,17,0.056666666666666664,32,0.010666666666666666,0.7991180912251711,0.8968380696327829
fixed_k2,87,drupal,300,14,0.04666666666666667,597,0.199,0.8073289736950932,0.9048801677353014
fixed_k2,87,excel,300,30,0.1,8,0.0026666666666666666,0.8142914577466949,0.920446128258174
fixed_k2,87,hibernate,300,10,0.03333333333333333,55,0.018333333333333333,0.7552368912668822,0.8476543489813644
fixed_k2,87,linq,300,3,0.01,21,0.007,0.770379673727461,0.9366644278553276
fixed_k2,87,oracle,300,12,0.04,21,0.007,0.7918376166719001,0.9012976971653266
fixed_k2,87,osx,300,19,0.06333333333333334,464,0.15466666666666667,0.7973887777756274,0.8624303181660465
fixed_k2,87,scala,300,17,0.056666666666666664,268,0.08933333333333333,0.7830302265157464,0.9190516825237616
fixed_k2,87,svn,300,36,0.12,2,0.0006666666666666666,0.7488009892476136,0.5996648554879946
frozen_k1,13,ajax,300,45,0.15,9,0.003,0.8839027245371665,0.8128126171543006
frozen_k1,13,apache,300,55,0.18333333333333332,14,0.004666666666666667,0.9141038522305991,0.886198608169458
frozen_k1,13,excel,300,45,0.15,5,0.0016666666666666668,0.9271702989408789,0.8857981885947381
frozen_k1,13,hibernate,300,50,0.16666666666666666,18,0.006,0.8810341433089394,0.8666569536759764
frozen_k1,13,linq,300,55,0.18333333333333332,0,0.0,0.8573415744757991,
frozen_k1,13,oracle,300,52,0.17333333333333334,1,0.0003333333333333333,0.9157836175630215,0.8901653120089421
frozen_k1,13,osx,300,47,0.15666666666666668,158,0.05266666666666667,0.9276058348876591,0.9403874458726625
frozen_k1,13,qt,300,35,0.11666666666666667,2,0.0006666666666666666,0.8873481125200445,0.8574720631710299
frozen_k1,13,scala,300,65,0.21666666666666667,0,0.0,0.8696541768417224,
frozen_k1,13,sharepoint,300,45,0.15,834,0.278,0.9728371235820089,0.9820629450835043
frozen_k1,42,ajax,300,45,0.15,9,0.003,0.8839027245371665,0.8173920848312035
frozen_k1,42,apache,300,54,0.18,13,0.004333333333333333,0.9137097197904223,0.8854763176236182
frozen_k1,42,cocoa,300,73,0.24333333333333335,65,0.021666666666666667,0.913685664876229,0.9293923336699466
frozen_k1,42,excel,300,45,0.15,6,0.002,0.9271702989408789,0.8938121935805244
frozen_k1,42,linq,300,56,0.18666666666666668,0,0.0,0.8578811475535969,
frozen_k1,42,oracle,300,52,0.17333333333333334,6,0.002,0.9158399919063853,0.9135271496504976
frozen_k1,42,sharepoint,300,45,0.15,451,0.15033333333333335,0.9721717818447724,0.9839650078214375
frozen_k1,42,spring,300,36,0.12,25,0.008333333333333333,0.8914837051167217,0.9120164065459747
frozen_k1,42,svn,300,41,0.13666666666666666,2,0.0006666666666666666,0.8765628146902573,0.8647434900110345
frozen_k1,42,visual-studio,300,39,0.13,2,0.0006666666666666666,0.9160640049776796,0.9394459555556989
frozen_k1,87,apache,300,46,0.15333333333333332,17,0.005666666666666667,0.914128298833544,0.9119782373833857
frozen_k1,87,bash,300,52,0.17333333333333334,8,0.0026666666666666666,0.9175500556874041,0.9650725398891953
frozen_k1,87,drupal,300,61,0.20333333333333334,532,0.17733333333333334,0.9719756409203751,0.9776750640067509
frozen_k1,87,excel,300,48,0.16,7,0.0023333333333333335,0.9277618108796545,0.9206021817547088
frozen_k1,87,hibernate,300,37,0.12333333333333334,23,0.007666666666666666,0.8814584622211221,0.8866340604832302
frozen_k1,87,linq,300,51,0.17,0,0.0,0.8558448314846319,
frozen_k1,87,oracle,300,48,0.16,3,0.001,0.9178393863237091,0.9596771029950076
frozen_k1,87,osx,300,42,0.14,175,0.058333333333333334,0.9288045442981218,0.9465565427620415
frozen_k1,87,scala,300,58,0.19333333333333333,2,0.0006666666666666666,0.8710474676928118,0.9906809278383952
frozen_k1,87,svn,300,43,0.14333333333333334,2,0.0006666666666666666,0.8749937976619346,0.8115654719311263
mogb_fair,13,ajax,300,202,0.6733333333333333,5,0.0016666666666666668,1.074918259463046,0.9316821741714572
mogb_fair,13,apache,300,209,0.6966666666666667,6,0.002,1.0610362947156005,0.9555556017948651
mogb_fair,13,excel,300,229,0.7633333333333333,1,0.0003333333333333333,1.059208717745303,0.8795775888692018
mogb_fair,13,hibernate,300,198,0.66,7,0.0023333333333333335,1.0573393896355423,0.9345116959219789
mogb_fair,13,linq,300,194,0.6466666666666666,0,0.0,1.0629871655111613,
mogb_fair,13,oracle,300,221,0.7366666666666667,0,0.0,1.0717815340108166,
mogb_fair,13,osx,300,227,0.7566666666666667,11,0.0036666666666666666,1.0739890298381811,0.9642002860994542
mogb_fair,13,qt,300,178,0.5933333333333334,1,0.0003333333333333333,1.0318688413637926,0.9969988813530976
mogb_fair,13,scala,300,178,0.5933333333333334,0,0.0,1.0670407360009342,
mogb_fair,13,sharepoint,300,295,0.9833333333333333,1,0.0003333333333333333,1.207742964197991,0.9977102484022502
mogb_fair,42,ajax,300,213,0.71,4,0.0013333333333333333,1.082793527275326,0.8856575052455316
mogb_fair,42,apache,300,223,0.7433333333333333,3,0.001,1.0810435762454866,0.9050090600987964
mogb_fair,42,cocoa,300,210,0.7,11,0.0036666666666666666,1.0857027256885563,0.9658546445941908
mogb_fair,42,excel,300,233,0.7766666666666666,1,0.0003333333333333333,1.083782584338351,0.8332766076994418
mogb_fair,42,linq,300,179,0.5966666666666667,0,0.0,1.0518823149631031,
mogb_fair,42,oracle,300,222,0.74,0,0.0,1.0740606736325404,
mogb_fair,42,sharepoint,300,296,0.9866666666666667,0,0.0,1.2744543001970434,
mogb_fair,42,spring,300,180,0.6,6,0.002,1.0341239992132487,0.9489738777057312
mogb_fair,42,svn,300,176,0.5866666666666667,1,0.0003333333333333333,1.0506500304416144,0.8623979388241437
mogb_fair,42,visual-studio,300,224,0.7466666666666667,0,0.0,1.0793675685326958,
mogb_fair,87,apache,300,229,0.7633333333333333,1,0.0003333333333333333,1.0836322914565641,0.8919330100169721
mogb_fair,87,bash,300,245,0.8166666666666667,0,0.0,1.1100065355993376,
mogb_fair,87,drupal,300,276,0.92,1,0.0003333333333333333,1.1402400006314894,0.9920660184698308
mogb_fair,87,excel,300,227,0.7566666666666667,0,0.0,1.06926789744316,
mogb_fair,87,hibernate,300,177,0.59,7,0.0023333333333333335,1.0295855019921756,0.9402291452854128
mogb_fair,87,linq,300,180,0.6,0,0.0,1.0493985232191747,
mogb_fair,87,oracle,300,214,0.7133333333333334,1,0.0003333333333333333,1.0622615800289885,0.9610913907541604
mogb_fair,87,osx,300,244,0.8133333333333334,13,0.004333333333333333,1.0761209825722053,0.964072587819254
mogb_fair,87,scala,300,184,0.6133333333333333,0,0.0,1.0456249341560768,
mogb_fair,87,svn,300,186,0.62,2,0.0006666666666666666,1.0515040567992608,0.919184366595851
trainable_k1,13,ajax,300,54,0.18,22,0.007333333333333333,0.816409407324398,0.8234249056371413
trainable_k1,13,apache,300,52,0.17333333333333334,24,0.008,0.8116661201586332,0.8531277331074487
trainable_k1,13,excel,300,47,0.15666666666666668,6,0.002,0.8371413199955949,0.8655948337953707
trainable_k1,13,hibernate,300,38,0.12666666666666668,26,0.008666666666666666,0.7422379240731032,0.7828010122690452
trainable_k1,13,linq,300,47,0.15666666666666668,0,0.0,0.7649242510477728,
trainable_k1,13,oracle,300,57,0.19,2,0.0006666666666666666,0.8068264339084773,0.8784673948660231
trainable_k1,13,osx,300,49,0.16333333333333333,236,0.07866666666666666,0.8182112916187491,0.8991261106762191
trainable_k1,13,qt,300,23,0.07666666666666666,3,0.001,0.7435564409359571,0.7747954660224643
trainable_k1,13,scala,300,58,0.19333333333333333,1,0.0003333333333333333,0.7609929017452868,0.937616277444939
trainable_k1,13,sharepoint,300,47,0.15666666666666668,79,0.026333333333333334,0.8293423236049431,0.9461280689906643
trainable_k1,42,ajax,300,56,0.18666666666666668,23,0.007666666666666666,0.8211196291580802,0.8441909877141801
trainable_k1,42,apache,300,50,0.16666666666666666,24,0.008,0.8187878092428494,0.8618116603738474
trainable_k1,42,cocoa,300,65,0.21666666666666667,97,0.03233333333333333,0.8451269261965831,0.8998517640589659
trainable_k1,42,excel,300,43,0.14333333333333334,6,0.002,0.8185542956345593,0.837573003840734
trainable_k1,42,linq,300,44,0.14666666666666667,0,0.0,0.7705022254815803,
trainable_k1,42,oracle,300,57,0.19,7,0.0023333333333333335,0.8091545782445848,0.7754960047435618
trainable_k1,42,sharepoint,300,43,0.14333333333333334,34,0.011333333333333334,0.8236258107268384,0.9573822834554394
trainable_k1,42,spring,300,38,0.12666666666666668,81,0.027,0.7722696712480879,0.9332271800169195
trainable_k1,42,svn,300,43,0.14333333333333334,3,0.001,0.7876750972075157,0.7906903312491554
trainable_k1,42,visual-studio,300,56,0.18666666666666668,4,0.0013333333333333333,0.8262965368620588,0.9716313046909577
trainable_k1,87,apache,300,52,0.17333333333333334,29,0.009666666666666667,0.8166384761014702,0.9086705305081525
trainable_k1,87,bash,300,46,0.15333333333333332,9,0.003,0.8168128514045265,0.9244416976740246
trainable_k1,87,drupal,300,46,0.15333333333333332,34,0.011333333333333334,0.8209922073493123,0.9571934221513105
trainable_k1,87,excel,300,50,0.16666666666666666,8,0.0026666666666666666,0.8356427569755187,0.9000424811711897
trainable_k1,87,hibernate,300,36,0.12,25,0.008333333333333333,0.7397892126401299,0.7747908246260387
trainable_k1,87,linq,300,45,0.15,0,0.0,0.7741329315381609,
trainable_k1,87,oracle,300,54,0.18,3,0.001,0.7860339779510097,0.8934533369129666
trainable_k1,87,osx,300,48,0.16,213,0.071,0.8238182523615323,0.9002618347542235
trainable_k1,87,scala,300,56,0.18666666666666668,2,0.0006666666666666666,0.7625433339279578,0.9409604914080949
trainable_k1,87,svn,300,47,0.15666666666666668,2,0.0006666666666666666,0.7791926695305673,0.6715848944279377
