seed,left_method,right_method,gold_type,transition,count,rate,denominator
13,trainable_k1,frozen_k1,known,both_correct,2259,0.753,3000
13,trainable_k1,frozen_k1,known,left_only_correct,238,0.07933333333333334,3000
13,trainable_k1,frozen_k1,known,right_only_correct,59,0.019666666666666666,3000
13,trainable_k1,frozen_k1,known,both_incorrect,444,0.148,3000
13,trainable_k1,frozen_k1,oos,both_correct,1842,0.614,3000
13,trainable_k1,frozen_k1,oos,left_only_correct,759,0.253,3000
13,trainable_k1,frozen_k1,oos,right_only_correct,117,0.039,3000
13,trainable_k1,frozen_k1,oos,both_incorrect,282,0.094,3000
13,trainable_k1,fixed_k2,known,both_correct,2471,0.8236666666666667,3000
13,trainable_k1,fixed_k2,known,left_only_correct,26,0.008666666666666666,3000
13,trainable_k1,fixed_k2,known,right_only_correct,218,0.07266666666666667,3000
13,trainable_k1,fixed_k2,known,both_incorrect,285,0.095,3000
13,trainable_k1,fixed_k2,oos,both_correct,1432,0.47733333333333333,3000
13,trainable_k1,fixed_k2,oos,left_only_correct,1169,0.38966666666666666,3000
13,trainable_k1,fixed_k2,oos,right_only_correct,2,0.0006666666666666666,3000
13,trainable_k1,fixed_k2,oos,both_incorrect,397,0.13233333333333333,3000
13,trainable_k1,mogb_fair,known,both_correct,864,0.288,3000
13,trainable_k1,mogb_fair,known,left_only_correct,1633,0.5443333333333333,3000
13,trainable_k1,mogb_fair,known,right_only_correct,1,0.0003333333333333333,3000
13,trainable_k1,mogb_fair,known,both_incorrect,502,0.16733333333333333,3000
13,trainable_k1,mogb_fair,oos,both_correct,2600,0.8666666666666667,3000
13,trainable_k1,mogb_fair,oos,left_only_correct,1,0.0003333333333333333,3000
13,trainable_k1,mogb_fair,oos,right_only_correct,368,0.12266666666666666,3000
13,trainable_k1,mogb_fair,oos,both_incorrect,31,0.010333333333333333,3000
42,trainable_k1,frozen_k1,known,both_correct,2159,0.7196666666666667,3000
42,trainable_k1,frozen_k1,known,left_only_correct,309,0.103,3000
42,trainable_k1,frozen_k1,known,right_only_correct,49,0.01633333333333333,3000
42,trainable_k1,frozen_k1,known,both_incorrect,483,0.161,3000
42,trainable_k1,frozen_k1,oos,both_correct,2299,0.7663333333333333,3000
42,trainable_k1,frozen_k1,oos,left_only_correct,422,0.14066666666666666,3000
42,trainable_k1,frozen_k1,oos,right_only_correct,122,0.04066666666666666,3000
42,trainable_k1,frozen_k1,oos,both_incorrect,157,0.052333333333333336,3000
42,trainable_k1,fixed_k2,known,both_correct,2408,0.8026666666666666,3000
42,trainable_k1,fixed_k2,known,left_only_correct,60,0.02,3000
42,trainable_k1,fixed_k2,known,right_only_correct,209,0.06966666666666667,3000
42,trainable_k1,fixed_k2,known,both_incorrect,323,0.10766666666666666,3000
42,trainable_k1,fixed_k2,oos,both_correct,1968,0.656,3000
42,trainable_k1,fixed_k2,oos,left_only_correct,753,0.251,3000
42,trainable_k1,fixed_k2,oos,right_only_correct,2,0.0006666666666666666,3000
42,trainable_k1,fixed_k2,oos,both_incorrect,277,0.09233333333333334,3000
42,trainable_k1,mogb_fair,known,both_correct,836,0.2786666666666667,3000
42,trainable_k1,mogb_fair,known,left_only_correct,1632,0.544,3000
42,trainable_k1,mogb_fair,known,right_only_correct,1,0.0003333333333333333,3000
42,trainable_k1,mogb_fair,known,both_incorrect,531,0.177,3000
42,trainable_k1,mogb_fair,oos,both_correct,2721,0.907,3000
42,trainable_k1,mogb_fair,oos,left_only_correct,0,0.0,3000
42,trainable_k1,mogb_fair,oos,right_only_correct,253,0.08433333333333333,3000
42,trainable_k1,mogb_fair,oos,both_incorrect,26,0.008666666666666666,3000
87,trainable_k1,frozen_k1,known,both_correct,2351,0.7836666666666666,3000
87,trainable_k1,frozen_k1,known,left_only_correct,135,0.045,3000
87,trainable_k1,frozen_k1,known,right_only_correct,66,0.022,3000
87,trainable_k1,frozen_k1,known,both_incorrect,448,0.14933333333333335,3000
87,trainable_k1,frozen_k1,oos,both_correct,2141,0.7136666666666667,3000
87,trainable_k1,frozen_k1,oos,left_only_correct,534,0.178,3000
87,trainable_k1,frozen_k1,oos,right_only_correct,90,0.03,3000
87,trainable_k1,frozen_k1,oos,both_incorrect,235,0.07833333333333334,3000
87,trainable_k1,fixed_k2,known,both_correct,2450,0.8166666666666667,3000
87,trainable_k1,fixed_k2,known,left_only_correct,36,0.012,3000
87,trainable_k1,fixed_k2,known,right_only_correct,198,0.066,3000
87,trainable_k1,fixed_k2,known,both_incorrect,316,0.10533333333333333,3000
87,trainable_k1,fixed_k2,oos,both_correct,1521,0.507,3000
87,trainable_k1,fixed_k2,oos,left_only_correct,1154,0.38466666666666666,3000
87,trainable_k1,fixed_k2,oos,right_only_correct,2,0.0006666666666666666,3000
87,trainable_k1,fixed_k2,oos,both_incorrect,323,0.10766666666666666,3000
87,trainable_k1,mogb_fair,known,both_correct,833,0.2776666666666667,3000
87,trainable_k1,mogb_fair,known,left_only_correct,1653,0.551,3000
87,trainable_k1,mogb_fair,known,right_only_correct,2,0.0006666666666666666,3000
87,trainable_k1,mogb_fair,known,both_incorrect,512,0.17066666666666666,3000
87,trainable_k1,mogb_fair,oos,both_correct,2674,0.8913333333333333,3000
87,trainable_k1,mogb_fair,oos,left_only_correct,1,0.0003333333333333333,3000
87,trainable_k1,mogb_fair,oos,right_only_correct,301,0.10033333333333333,3000
87,trainable_k1,mogb_fair,oos,both_incorrect,24,0.008,3000
