method,seed,point,precision,recall,threshold
fixed_k2,13,0,0.5,1.0,0.43603836318866285
fixed_k2,13,1,0.5024284039524368,1.0,0.5751488043745733
fixed_k2,13,2,0.504965494024575,1.0,0.6014991190914488
fixed_k2,13,3,0.5071899847741499,0.9993333333333333,0.6145009176777537
fixed_k2,13,4,0.5096072096582214,0.999,0.6302753428299513
fixed_k2,13,5,0.5122201333105452,0.999,0.6389677758984195
fixed_k2,13,6,0.5146881979041402,0.9986666666666667,0.6449332998027505
fixed_k2,13,7,0.5168364703850803,0.9976666666666667,0.6521138648842355
fixed_k2,13,8,0.5191806977955216,0.997,0.6606401410584956
fixed_k2,13,9,0.521898447042401,0.997,0.6647104622342067
fixed_k2,13,10,0.5246447991580424,0.997,0.6702553089155386
fixed_k2,13,11,0.5274202080761771,0.997,0.6741203791469567
fixed_k2,13,12,0.5300478638539267,0.9966666666666667,0.6783005024264043
fixed_k2,13,13,0.5328818392443415,0.9966666666666667,0.6811959380845107
fixed_k2,13,14,0.5355671026697725,0.9963333333333333,0.6845103826208533
fixed_k2,13,15,0.5381012430192758,0.9956666666666667,0.6881734793606503
fixed_k2,13,16,0.540662923383445,0.995,0.6915370732036082
fixed_k2,13,17,0.5432525951557093,0.9943333333333333,0.6945660019312914
fixed_k2,13,18,0.5460538362937191,0.994,0.6970332963712734
fixed_k2,13,19,0.5488860246731725,0.9936666666666667,0.6995232238248256
fixed_k2,13,20,0.5515645250879466,0.993,0.701544324741443
fixed_k2,13,21,0.5546453174455409,0.993,0.7049496590797074
fixed_k2,13,22,0.5577607189664857,0.993,0.7073602986443922
fixed_k2,13,23,0.5609113161363208,0.993,0.7092604318915736
fixed_k2,13,24,0.5635296345389131,0.992,0.7112225525150919
fixed_k2,13,25,0.5663683107979433,0.9913333333333333,0.7142606654308324
fixed_k2,13,26,0.5692396092702547,0.9906666666666667,0.7159706776471922
fixed_k2,13,27,0.572529377769216,0.9906666666666667,0.7183029930333161
fixed_k2,13,28,0.5754698701801977,0.99,0.7204060446738135
fixed_k2,13,29,0.5784447476125512,0.9893333333333333,0.7226486196230416
fixed_k2,13,30,0.5814546167418153,0.9886666666666667,0.7249436722702884
fixed_k2,13,31,0.5846972983632419,0.9883333333333333,0.7267697987031471
fixed_k2,13,32,0.586788335647689,0.986,0.7283947794515166
fixed_k2,13,33,0.5897026541608461,0.985,0.7301944089724264
fixed_k2,13,34,0.5930536036940374,0.9846666666666667,0.7324726207182454
fixed_k2,13,35,0.5956372450010099,0.983,0.7355281889726871
fixed_k2,13,36,0.5986588091851249,0.982,0.7377522395508933
fixed_k2,13,37,0.6017174401962789,0.981,0.7392979226437009
fixed_k2,13,38,0.6048138243159844,0.98,0.7412461964953285
fixed_k2,13,39,0.608155661353757,0.9793333333333333,0.7427650110864864
fixed_k2,13,40,0.6113309727140179,0.9783333333333334,0.7446456508965825
fixed_k2,13,41,0.6141270173967721,0.9766666666666667,0.7470769545501463
fixed_k2,13,42,0.617169373549884,0.9753333333333334,0.7487119206769843
fixed_k2,13,43,0.6202504776056039,0.974,0.7505336643055955
fixed_k2,13,44,0.6231574449903867,0.9723333333333334,0.7525274922623572
fixed_k2,13,45,0.6265319286175016,0.9713333333333334,0.7544668251438897
fixed_k2,13,46,0.6305994373512227,0.9713333333333334,0.7569746588424028
fixed_k2,13,47,0.6338488346765411,0.97,0.7586586711158769
fixed_k2,13,48,0.6371409778557334,0.9686666666666667,0.7608069657955053
fixed_k2,13,49,0.6409181196203928,0.968,0.7624800423783223
fixed_k2,13,50,0.6447456120862031,0.9673333333333334,0.7647338868792966
fixed_k2,13,51,0.6486244687989264,0.9666666666666667,0.7669552680844081
fixed_k2,13,52,0.6518802071605494,0.965,0.7690810960693248
fixed_k2,13,53,0.654726819315348,0.9626666666666667,0.7707111165389803
fixed_k2,13,54,0.6585254508103173,0.9616666666666667,0.772182696358531
fixed_k2,13,55,0.6621466329579407,0.9603333333333334,0.774472110803777
fixed_k2,13,56,0.6655866697523721,0.9586666666666667,0.7764425766303534
fixed_k2,13,57,0.6690748077371242,0.957,0.7785697398704098
fixed_k2,13,58,0.6726120628960338,0.9553333333333334,0.7815087296207684
fixed_k2,13,59,0.676435830772867,0.954,0.78370968002968
fixed_k2,13,60,0.679838133777672,0.952,0.7853445598745827
fixed_k2,13,61,0.6835291297051067,0.9503333333333334,0.7869132730919127
fixed_k2,13,62,0.6877565805361023,0.9493333333333334,0.7886058584484709
fixed_k2,13,63,0.6918024811481391,0.948,0.7903452721742092
fixed_k2,13,64,0.6956628277382995,0.9463333333333334,0.7921254484371523
fixed_k2,13,65,0.6993334979017527,0.9443333333333334,0.7945734780872954
fixed_k2,13,66,0.7033076349166874,0.9426666666666667,0.7966155966077076
fixed_k2,13,67,0.7070909546479579,0.9406666666666667,0.7990648758590548
fixed_k2,13,68,0.7116889674324666,0.9396666666666667,0.8016062647161614
fixed_k2,13,69,0.7153396082421776,0.9373333333333334,0.803813757589092
fixed_k2,13,70,0.7203281209946167,0.9366666666666666,0.8057615553784763
fixed_k2,13,71,0.7241022991475071,0.9343333333333333,0.8085949133727617
fixed_k2,13,72,0.7287164800833117,0.933,0.8113926264595676
fixed_k2,13,73,0.7328785095775388,0.931,0.8136400343264026
fixed_k2,13,74,0.73657762496694,0.9283333333333333,0.8158258634128308
fixed_k2,13,75,0.7411356971474273,0.9266666666666666,0.8180547312513896
fixed_k2,13,76,0.7449610319806503,0.924,0.8208162573300632
fixed_k2,13,77,0.7491194798157681,0.9216666666666666,0.8228723027980045
fixed_k2,13,78,0.7536192297186561,0.9196666666666666,0.8253797416572113
fixed_k2,13,79,0.7570917102726522,0.9163333333333333,0.8268766386233775
fixed_k2,13,80,0.762565953901694,0.9153333333333333,0.8292158945428414
fixed_k2,13,81,0.7675721086530384,0.9136666666666666,0.8316051623774687
fixed_k2,13,82,0.7726630895227337,0.912,0.8351271270724602
fixed_k2,13,83,0.7755625178011962,0.9076666666666666,0.8380240323399166
