method,seed,n_samples,n_known,n_oos,oos_f1,f1_all,f1_k,accuracy,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall,auroc,aupr_oos,correct_rate
fixed_k2,13,6000,3000,3000,0.621721222631693,0.75424927466179,0.7675020798647998,0.6871666666666667,0.9403333333333334,0.522,0.059666666666666666,0.889026658400496,0.478,0.8917012222222223,0.8635643954922207,0.6871666666666667
fixed_k2,42,6000,3000,3000,0.7623839009287926,0.7847455020590115,0.7869816621720334,0.7645,0.934,0.3433333333333333,0.066,0.9086715867158671,0.6566666666666666,0.9123943333333333,0.9097331444229778,0.7645
fixed_k2,87,6000,3000,3000,0.6453389830508475,0.7652160154551413,0.7772037186955707,0.6951666666666667,0.9343333333333333,0.49233333333333335,0.06566666666666666,0.8854651162790698,0.5076666666666667,0.8795430000000001,0.8528643100858477,0.6951666666666667
frozen_k1,13,6000,3000,3000,0.7185035760132037,0.7751838252001846,0.7808518501188826,0.7128333333333333,0.8353333333333334,0.347,0.16466666666666666,0.7986139421117,0.653,0.8612272222222221,0.8156840094880962,0.7128333333333333
frozen_k1,42,6000,3000,3000,0.8197054342305738,0.7765962760577415,0.7722853602404582,0.7715,0.838,0.193,0.162,0.8328173374613003,0.807,0.9064862222222222,0.8927093484941884,0.7715
frozen_k1,87,6000,3000,3000,0.7804792723456359,0.8061479473885722,0.8087148148928659,0.7746666666666666,0.838,0.25633333333333336,0.162,0.8211262421788738,0.7436666666666667,0.8780081111111111,0.8321384307538693,0.7746666666666666
mogb_fair,13,6000,3000,3000,0.7329299913569577,0.4585184886906548,0.4310773384240245,0.6388333333333334,0.2896666666666667,0.010666666666666666,0.7103333333333334,0.5820749166503236,0.9893333333333333,0.8605508888888889,0.8015602505787192,0.6388333333333334
mogb_fair,42,6000,3000,3000,0.7316113161131611,0.44669996467555745,0.41820882953179705,0.6351666666666667,0.2813333333333333,0.008666666666666666,0.7186666666666667,0.5797270955165692,0.9913333333333333,0.8616684444444443,0.8034067311024371,0.6351666666666667
mogb_fair,87,6000,3000,3000,0.7312277252058498,0.44919686800965214,0.42099378229003237,0.635,0.2793333333333333,0.008333333333333333,0.7206666666666667,0.5791317889818961,0.9916666666666667,0.8488495555555555,0.7899092536360274,0.635
trainable_k1,13,6000,3000,3000,0.8565782973818541,0.8523954175911279,0.8519771296120553,0.8496666666666667,0.8426666666666667,0.133,0.15733333333333333,0.8464041653107712,0.867,0.9058576666666666,0.8624649638244771,0.8496666666666667
trainable_k1,42,6000,3000,3000,0.8754826254826255,0.8576590966593717,0.8558767437770463,0.8648333333333333,0.835,0.093,0.165,0.8460820895522388,0.907,0.9267938888888887,0.9119948044913427,0.8648333333333333
trainable_k1,87,6000,3000,3000,0.8692120227457352,0.8595641369722073,0.8585993483948545,0.8601666666666666,0.84,0.10833333333333334,0.16,0.8478605388272583,0.8916666666666667,0.9198784444444444,0.8888527044060598,0.8601666666666666
