method,seed,point,fpr,tpr,threshold
fixed_k2,13,0,0.0,0.0,inf
fixed_k2,13,1,0.0013333333333333333,0.016666666666666666,1.1924996876003628
fixed_k2,13,2,0.0033333333333333335,0.026,1.1744550888256198
fixed_k2,13,3,0.004666666666666667,0.044333333333333336,1.153563135469115
fixed_k2,13,4,0.006666666666666667,0.065,1.1376844799686296
fixed_k2,13,5,0.008,0.08233333333333333,1.1252283615507064
fixed_k2,13,6,0.009333333333333334,0.10166666666666667,1.1155140594382054
fixed_k2,13,7,0.011,0.117,1.1069858705945923
fixed_k2,13,8,0.012333333333333333,0.129,1.1024821607931747
fixed_k2,13,9,0.013333333333333334,0.16433333333333333,1.0883984880617315
fixed_k2,13,10,0.015333333333333332,0.169,1.0869765052442093
fixed_k2,13,11,0.017,0.17866666666666667,1.0843481838077649
fixed_k2,13,12,0.018333333333333333,0.186,1.0814245651100165
fixed_k2,13,13,0.02,0.198,1.0771281312774015
fixed_k2,13,14,0.021333333333333333,0.20833333333333334,1.0739840328173649
fixed_k2,13,15,0.022333333333333334,0.216,1.0713640525194257
fixed_k2,13,16,0.024666666666666667,0.23866666666666667,1.0636774309834336
fixed_k2,13,17,0.026,0.24366666666666667,1.0620139204230195
fixed_k2,13,18,0.027666666666666666,0.25033333333333335,1.059501858801036
fixed_k2,13,19,0.029333333333333333,0.25733333333333336,1.0572053162724122
fixed_k2,13,20,0.030333333333333334,0.264,1.0549222828496698
fixed_k2,13,21,0.03166666666666667,0.27,1.0530647448696517
fixed_k2,13,22,0.033666666666666664,0.2906666666666667,1.0480955575715718
fixed_k2,13,23,0.035333333333333335,0.307,1.0429300185133825
fixed_k2,13,24,0.03666666666666667,0.311,1.0415610662550874
fixed_k2,13,25,0.038,0.31966666666666665,1.0397888442995682
fixed_k2,13,26,0.039,0.334,1.0356497559918876
fixed_k2,13,27,0.04033333333333333,0.343,1.0327614003557788
fixed_k2,13,28,0.041666666666666664,0.349,1.0312106422976235
fixed_k2,13,29,0.043,0.35833333333333334,1.0281776272969965
fixed_k2,13,30,0.044333333333333336,0.373,1.0252616458927561
fixed_k2,13,31,0.04533333333333334,0.38866666666666666,1.0217606295877764
fixed_k2,13,32,0.04666666666666667,0.4053333333333333,1.0177713259681043
fixed_k2,13,33,0.048,0.4126666666666667,1.0160608810984473
fixed_k2,13,34,0.05,0.41633333333333333,1.0147148101495862
fixed_k2,13,35,0.052,0.424,1.0132416564261488
fixed_k2,13,36,0.05366666666666667,0.43466666666666665,1.010684090398504
fixed_k2,13,37,0.055,0.444,1.0085951996840483
fixed_k2,13,38,0.05633333333333333,0.45466666666666666,1.005649197837896
fixed_k2,13,39,0.057666666666666665,0.46366666666666667,1.003159254719549
fixed_k2,13,40,0.059,0.4716666666666667,1.0012341377385587
fixed_k2,13,41,0.060333333333333336,0.48633333333333334,0.9977871837328449
fixed_k2,13,42,0.06166666666666667,0.491,0.9966616207797814
fixed_k2,13,43,0.06266666666666666,0.504,0.9940204292834959
fixed_k2,13,44,0.064,0.5126666666666667,0.9913421700773163
fixed_k2,13,45,0.06533333333333333,0.5156666666666667,0.9907406718070273
fixed_k2,13,46,0.067,0.5193333333333333,0.9891964458553247
fixed_k2,13,47,0.06833333333333333,0.53,0.9858363607082309
fixed_k2,13,48,0.06933333333333333,0.5393333333333333,0.9826202283517704
fixed_k2,13,49,0.071,0.547,0.9805749240224921
fixed_k2,13,50,0.07233333333333333,0.5576666666666666,0.977879078787944
fixed_k2,13,51,0.07366666666666667,0.561,0.97680687555679
fixed_k2,13,52,0.076,0.5743333333333334,0.9737604800434203
fixed_k2,13,53,0.07766666666666666,0.5816666666666667,0.9713652046235947
fixed_k2,13,54,0.07866666666666666,0.5943333333333334,0.9681486963729238
fixed_k2,13,55,0.08,0.5993333333333334,0.9672040619917913
fixed_k2,13,56,0.08166666666666667,0.6053333333333333,0.9650954083056978
fixed_k2,13,57,0.083,0.6106666666666667,0.9635063672514768
fixed_k2,13,58,0.08433333333333333,0.6183333333333333,0.9620826207820656
fixed_k2,13,59,0.08633333333333333,0.624,0.9600515709019957
fixed_k2,13,60,0.08733333333333333,0.634,0.957781729532578
fixed_k2,13,61,0.08866666666666667,0.639,0.9562994469601802
fixed_k2,13,62,0.09033333333333333,0.6443333333333333,0.9553822825705709
fixed_k2,13,63,0.09266666666666666,0.6513333333333333,0.9521959125817955
fixed_k2,13,64,0.094,0.6536666666666666,0.9513086855761728
fixed_k2,13,65,0.09533333333333334,0.6586666666666666,0.9497229265715573
fixed_k2,13,66,0.097,0.6606666666666666,0.949330957142508
fixed_k2,13,67,0.09866666666666667,0.6676666666666666,0.9470366104265141
fixed_k2,13,68,0.1,0.673,0.9455257641122307
