method,seed,gold_type,quantile,score
fixed_k2,13,known,0.01,0.5752706552208774
fixed_k2,13,known,0.05,0.6394055034520459
fixed_k2,13,known,0.1,0.6712656927063707
fixed_k2,13,known,0.25,0.7159070964325617
fixed_k2,13,known,0.5,0.7719185832333387
fixed_k2,13,known,0.75,0.8425535287618253
fixed_k2,13,known,0.9,0.9454217675580328
fixed_k2,13,known,0.95,1.0145026734621256
fixed_k2,13,known,0.99,1.1089555633641537
fixed_k2,13,oos,0.01,0.7206201546486382
fixed_k2,13,oos,0.05,0.7881843859199091
fixed_k2,13,oos,0.1,0.846666449905216
fixed_k2,13,oos,0.25,0.9215183545056034
fixed_k2,13,oos,0.5,0.9945431160484971
fixed_k2,13,oos,0.75,1.0595617183479833
fixed_k2,13,oos,0.9,1.1161397408464018
fixed_k2,13,oos,0.95,1.1476914986415745
fixed_k2,13,oos,0.99,1.2088662509247403
fixed_k2,42,known,0.01,0.5547821492859104
fixed_k2,42,known,0.05,0.6436586939489876
fixed_k2,42,known,0.1,0.6714424233680317
fixed_k2,42,known,0.25,0.7216633989666561
fixed_k2,42,known,0.5,0.7782678040541116
fixed_k2,42,known,0.75,0.8539968745180693
fixed_k2,42,known,0.9,0.9585527971887727
fixed_k2,42,known,0.95,1.0232162557092435
fixed_k2,42,known,0.99,1.1331709650539392
fixed_k2,42,oos,0.01,0.7388821690171223
fixed_k2,42,oos,0.05,0.804049432560245
fixed_k2,42,oos,0.1,0.8568869265097382
fixed_k2,42,oos,0.25,0.9583874182207142
fixed_k2,42,oos,0.5,1.0581861013111324
fixed_k2,42,oos,0.75,1.150285191952469
fixed_k2,42,oos,0.9,1.2195851501661632
fixed_k2,42,oos,0.95,1.2547967789427479
fixed_k2,42,oos,0.99,1.308246654672297
fixed_k2,87,known,0.01,0.5428672058375364
fixed_k2,87,known,0.05,0.6208438297370664
fixed_k2,87,known,0.1,0.6578250676731073
fixed_k2,87,known,0.25,0.7078835958385887
fixed_k2,87,known,0.5,0.7675347349645399
fixed_k2,87,known,0.75,0.8433837481385763
fixed_k2,87,known,0.9,0.9512402445798982
fixed_k2,87,known,0.95,1.0278698312701413
fixed_k2,87,known,0.99,1.1495345549005573
fixed_k2,87,oos,0.01,0.7011367604701603
fixed_k2,87,oos,0.05,0.7713123361611192
fixed_k2,87,oos,0.1,0.8204910596335162
fixed_k2,87,oos,0.25,0.9104802625588876
fixed_k2,87,oos,0.5,1.0026929768659159
fixed_k2,87,oos,0.75,1.0792216225893998
fixed_k2,87,oos,0.9,1.1461734556639218
fixed_k2,87,oos,0.95,1.1867662575369395
fixed_k2,87,oos,0.99,1.2552118666436738
frozen_k1,13,known,0.01,0.7072508577039764
frozen_k1,13,known,0.05,0.7619082800055922
frozen_k1,13,known,0.1,0.7893863474272397
frozen_k1,13,known,0.25,0.8449875481126873
frozen_k1,13,known,0.5,0.9024770837476028
frozen_k1,13,known,0.75,0.9740276311261352
frozen_k1,13,known,0.9,1.0176956830876176
frozen_k1,13,known,0.95,1.032395889472017
frozen_k1,13,known,0.99,1.0534153962918686
frozen_k1,13,oos,0.01,0.8759023250588079
frozen_k1,13,oos,0.05,0.9482280300730362
frozen_k1,13,oos,0.1,0.9668931121379578
frozen_k1,13,oos,0.25,0.991380845222217
frozen_k1,13,oos,0.5,1.0122189849509438
frozen_k1,13,oos,0.75,1.034675651094877
frozen_k1,13,oos,0.9,1.051567844205216
frozen_k1,13,oos,0.95,1.0604306057244217
frozen_k1,13,oos,0.99,1.0703695280771655
frozen_k1,42,known,0.01,0.7099571507584033
frozen_k1,42,known,0.05,0.7718740140806599
frozen_k1,42,known,0.1,0.8018968865124746
frozen_k1,42,known,0.25,0.848479716552909
frozen_k1,42,known,0.5,0.9032540783029384
frozen_k1,42,known,0.75,0.9788930276916766
frozen_k1,42,known,0.9,1.0137544142008936
frozen_k1,42,known,0.95,1.0270867475497847
frozen_k1,42,known,0.99,1.0470569189901238
frozen_k1,42,oos,0.01,0.8725658050169126
frozen_k1,42,oos,0.05,0.9637549681975985
frozen_k1,42,oos,0.1,0.9837290271268019
frozen_k1,42,oos,0.25,1.006185593108458
frozen_k1,42,oos,0.5,1.027290080458839
frozen_k1,42,oos,0.75,1.0448095834924458
frozen_k1,42,oos,0.9,1.0584499515617634
frozen_k1,42,oos,0.95,1.0653204280677728
frozen_k1,42,oos,0.99,1.0737490675352643
frozen_k1,87,known,0.01,0.7100449091924874
frozen_k1,87,known,0.05,0.7619082800055922
frozen_k1,87,known,0.1,0.7916186120767296
frozen_k1,87,known,0.25,0.8462762402648933
frozen_k1,87,known,0.5,0.9046833207596101
frozen_k1,87,known,0.75,0.968165222004429
frozen_k1,87,known,0.9,1.0267354556328092
frozen_k1,87,known,0.95,1.0495328092591418
frozen_k1,87,known,0.99,1.075243321782651
frozen_k1,87,oos,0.01,0.8835467349656643
frozen_k1,87,oos,0.05,0.9465385334803867
frozen_k1,87,oos,0.1,0.9689861777367125
frozen_k1,87,oos,0.25,0.9990530925013035
frozen_k1,87,oos,0.5,1.0278902956770337
frozen_k1,87,oos,0.75,1.053966435506291
frozen_k1,87,oos,0.9,1.072591526021898
frozen_k1,87,oos,0.95,1.0782360804590816
frozen_k1,87,oos,0.99,1.09185180318047
mogb_fair,13,known,0.01,0.8033126192170692
mogb_fair,13,known,0.05,0.8842589981484751
mogb_fair,13,known,0.1,0.9212586645410535
mogb_fair,13,known,0.25,0.9888828308612104
mogb_fair,13,known,0.5,1.059794971671374
mogb_fair,13,known,0.75,1.1552173374650567
mogb_fair,13,known,0.9,1.2536678714742664
mogb_fair,13,known,0.95,1.3176934331131425
mogb_fair,13,known,0.99,1.4384425589567624
mogb_fair,13,oos,0.01,0.9969843310393036
mogb_fair,13,oos,0.05,1.0964733937851792
mogb_fair,13,oos,0.1,1.1385824972008445
mogb_fair,13,oos,0.25,1.1947781236127972
mogb_fair,13,oos,0.5,1.2507611132991836
mogb_fair,13,oos,0.75,1.3142292790841887
mogb_fair,13,oos,0.9,1.3881779199339408
mogb_fair,13,oos,0.95,1.4240181490069919
mogb_fair,13,oos,0.99,1.5120911258293035
mogb_fair,42,known,0.01,0.8044478294686185
mogb_fair,42,known,0.05,0.8915551132867822
mogb_fair,42,known,0.1,0.9297020958560174
mogb_fair,42,known,0.25,0.9912908468187893
mogb_fair,42,known,0.5,1.0640976698307512
mogb_fair,42,known,0.75,1.1898401221311568
mogb_fair,42,known,0.9,1.2881268895035958
mogb_fair,42,known,0.95,1.3381015317578562
mogb_fair,42,known,0.99,1.434281180003397
mogb_fair,42,oos,0.01,1.0122046723890505
mogb_fair,42,oos,0.05,1.132081613794438
mogb_fair,42,oos,0.1,1.1715227297861694
mogb_fair,42,oos,0.25,1.2310378721454605
mogb_fair,42,oos,0.5,1.284219191936533
mogb_fair,42,oos,0.75,1.3324953806440871
mogb_fair,42,oos,0.9,1.3925513254730995
mogb_fair,42,oos,0.95,1.4379302309209294
mogb_fair,42,oos,0.99,1.5079281169994216
mogb_fair,87,known,0.01,0.808234817377337
mogb_fair,87,known,0.05,0.8900132295438058
mogb_fair,87,known,0.1,0.925365964643132
mogb_fair,87,known,0.25,0.9910795829789616
mogb_fair,87,known,0.5,1.0610856533726394
mogb_fair,87,known,0.75,1.1482172831116944
mogb_fair,87,known,0.9,1.2275301345680667
mogb_fair,87,known,0.95,1.2833104768187575
mogb_fair,87,known,0.99,1.4090128217089073
mogb_fair,87,oos,0.01,1.0110023625404165
mogb_fair,87,oos,0.05,1.0765755028382198
mogb_fair,87,oos,0.1,1.1183449717541754
mogb_fair,87,oos,0.25,1.169151227056457
mogb_fair,87,oos,0.5,1.22123526753836
mogb_fair,87,oos,0.75,1.278455504948663
mogb_fair,87,oos,0.9,1.337685723746305
mogb_fair,87,oos,0.95,1.3874605454464022
mogb_fair,87,oos,0.99,1.4875015404165566
trainable_k1,13,known,0.01,0.5076136308979037
trainable_k1,13,known,0.05,0.5649274801717546
trainable_k1,13,known,0.1,0.6001574585104152
trainable_k1,13,known,0.25,0.6590520304359717
trainable_k1,13,known,0.5,0.7384306768591236
trainable_k1,13,known,0.75,0.8703935248674697
trainable_k1,13,known,0.9,1.11767323542479
trainable_k1,13,known,0.95,1.221552471670426
trainable_k1,13,known,0.99,1.3359301984749157
trainable_k1,13,oos,0.01,0.7296351920210311
trainable_k1,13,oos,0.05,0.8943059908699256
trainable_k1,13,oos,0.1,0.9632799788323162
trainable_k1,13,oos,0.25,1.0663167585037345
trainable_k1,13,oos,0.5,1.1659592874465448
trainable_k1,13,oos,0.75,1.2551022452484126
trainable_k1,13,oos,0.9,1.3271335261640889
trainable_k1,13,oos,0.95,1.3637054637425625
trainable_k1,13,oos,0.99,1.437730257067985
trainable_k1,42,known,0.01,0.5503615799110149
trainable_k1,42,known,0.05,0.6031739055928133
trainable_k1,42,known,0.1,0.6287336521935043
trainable_k1,42,known,0.25,0.680885756848568
trainable_k1,42,known,0.5,0.7578580023353809
trainable_k1,42,known,0.75,0.8917861704019231
trainable_k1,42,known,0.9,1.1062546717387902
trainable_k1,42,known,0.95,1.187922650956519
trainable_k1,42,known,0.99,1.3052204387704731
trainable_k1,42,oos,0.01,0.7321198866811358
trainable_k1,42,oos,0.05,0.9495075323707654
trainable_k1,42,oos,0.1,1.006995506832922
trainable_k1,42,oos,0.25,1.0924877929416978
trainable_k1,42,oos,0.5,1.1962349024945738
trainable_k1,42,oos,0.75,1.3002969497242844
trainable_k1,42,oos,0.9,1.4040505919183168
trainable_k1,42,oos,0.95,1.475574262513179
trainable_k1,42,oos,0.99,1.5740147403529425
trainable_k1,87,known,0.01,0.5037476155016896
trainable_k1,87,known,0.05,0.5628352865351177
trainable_k1,87,known,0.1,0.5959086370967364
trainable_k1,87,known,0.25,0.6551611059141476
trainable_k1,87,known,0.5,0.7381412855427176
trainable_k1,87,known,0.75,0.8693428606252073
trainable_k1,87,known,0.9,1.1394838872791073
trainable_k1,87,known,0.95,1.2414790796005228
trainable_k1,87,known,0.99,1.3746573700301232
trainable_k1,87,oos,0.01,0.7667082529507563
trainable_k1,87,oos,0.05,0.9135888854066335
trainable_k1,87,oos,0.1,0.990167396398014
trainable_k1,87,oos,0.25,1.1145319842936647
trainable_k1,87,oos,0.5,1.2143082651700707
trainable_k1,87,oos,0.75,1.317404182353942
trainable_k1,87,oos,0.9,1.4049421377344289
trainable_k1,87,oos,0.95,1.454439897348343
trainable_k1,87,oos,0.99,1.5257267112908945
