dataset,representation,metric,n_seeds,k2_minus_k1_mean,k2_minus_k1_std,wins,ties,losses
banking77,ce,oos_f1,3,-0.028676119625313728,0.0188036805884728,0,0,3
banking77,ce,near_oos_f1,3,0.0801831987588713,0.06720567804444462,3,0,0
banking77,ce,id_recall,3,-0.01866666666666657,0.010692676621563636,0,0,3
banking77,ce,oos_recall,3,-0.045021645021645,0.03544219454092007,0,0,3
banking77,frozen,oos_f1,3,0.00749007587453739,0.019872956959076624,2,0,1
banking77,frozen,near_oos_f1,3,0.2506144199680627,0.05983635874018701,3,0,0
banking77,frozen,id_recall,3,-0.02733333333333336,0.01386842937514316,0,0,3
banking77,frozen,oos_recall,3,0.018290043290043283,0.028851076353149464,2,0,1
banking77,supcon,oos_f1,3,-0.02599521975778925,0.0032322344623660236,0,0,3
banking77,supcon,near_oos_f1,3,0.2321961712991474,0.03366539746959092,3,0,0
banking77,supcon,id_recall,3,-0.039,0.015620499351813259,0,0,3
banking77,supcon,oos_recall,3,-0.03441558441558438,0.00499831309037038,0,0,3
clinc150,ce,oos_f1,3,-0.0027505751325905083,0.0041906723549838725,1,0,2
clinc150,ce,near_oos_f1,3,0.0030162468391264907,0.02836715053163819,2,0,1
clinc150,ce,id_recall,3,-0.01748148148148147,0.012573405862351866,0,0,3
clinc150,ce,oos_recall,3,0.004410256410256312,0.011129504827800485,1,0,2
clinc150,frozen,oos_f1,3,0.0004405160924976226,0.003237280774573535,2,0,1
clinc150,frozen,near_oos_f1,3,0.028049970690436504,0.019855578530711984,3,0,0
clinc150,frozen,id_recall,3,-0.03674074074074074,0.004473975961642009,0,0,3
clinc150,frozen,oos_recall,3,0.020820512820512855,0.004177520380393102,3,0,0
clinc150,supcon,oos_f1,3,-0.003919467857942727,0.0019070601491364748,0,0,3
clinc150,supcon,near_oos_f1,3,0.00800459258374836,0.021835190826930247,2,0,1
clinc150,supcon,id_recall,3,-0.028296296296296302,0.012010968923679541,0,0,3
clinc150,supcon,oos_recall,3,0.00820512820512831,0.009809225621721306,2,0,1
stackoverflow,ce,oos_f1,3,-0.1469418079872169,0.21763614958103075,0,0,3
stackoverflow,ce,near_oos_f1,3,-0.10692318768739224,0.08431092980551162,0,0,3
stackoverflow,ce,id_recall,3,0.08115263212244883,0.0287235928147254,3,0,0
stackoverflow,ce,oos_recall,3,-0.2431064594820976,0.26177259291207916,0,0,3
stackoverflow,frozen,oos_f1,3,-0.062236421033158996,0.039450493856675595,0,0,3
stackoverflow,frozen,near_oos_f1,3,-0.09802238103935597,0.20183352817969838,1,0,2
stackoverflow,frozen,id_recall,3,0.04029692269916,0.009262581640512926,3,0,0
stackoverflow,frozen,oos_recall,3,-0.11538019330863591,0.052467048125552966,0,0,3
stackoverflow,supcon,oos_f1,3,-0.17739962497212328,0.11816114820769694,0,0,3
stackoverflow,supcon,near_oos_f1,3,-0.3226947175028226,0.05587113704837586,0,0,3
stackoverflow,supcon,id_recall,3,0.09729436148056936,0.00686977910429243,3,0,0
stackoverflow,supcon,oos_recall,3,-0.3334758728906318,0.13143847350662738,0,0,3
