dataset,kir,intent,observed_seeds,known_count_mean,known_recovery_rate_mean,known_recovery_rate_std,known_recovery_count_mean,extra_oos_accept_count_mean,extra_oos_accept_rate_mean,mean_ball_count,mean_radius,min_ball_support_mean,missing_selected_ball_ratio,positive_seed_ratio
banking77,0.25,Refund_not_showing_up,2,40.0,0.24999999999999997,0.1060660171779821,10.0,4.0,0.0017241379310344498,1.5,0.5644244167412803,71.0,0.0,1.0
banking77,0.25,activate_my_card,1,40.0,0.19999999999999998,,8.0,0.0,0.0,1.0,0.466367103617786,133.0,0.0,1.0
banking77,0.25,apple_pay_or_google_pay,1,40.0,0.4,,16.0,0.0,0.0,2.0,0.6061546587138862,17.0,0.0,1.0
banking77,0.25,atm_support,3,40.0,0.3499999999999999,0.09999999999999998,14.0,1.6666666666666667,0.0007183908045976666,2.0,0.46157134292520047,21.0,0.0,1.0
banking77,0.25,automatic_top_up,3,40.0,0.5499999999999999,0.05,22.0,0.0,0.0,1.6666666666666667,0.5045685939677119,36.666666666666664,0.0,1.0
banking77,0.25,balance_not_updated_after_bank_transfer,1,40.0,0.7,,28.0,30.0,0.0129310344827586,5.0,0.4746287078120421,10.0,0.0,1.0
banking77,0.25,balance_not_updated_after_cheque_or_cash_deposit,1,40.0,0.55,,22.0,0.0,0.0,3.0,0.5170769385220481,18.0,0.0,1.0
banking77,0.25,beneficiary_not_allowed,1,40.0,0.32499999999999996,,13.0,43.0,0.0185344827586207,2.0,0.5335590942730208,31.0,0.0,1.0
banking77,0.25,cancel_transfer,2,40.0,0.30000000000000004,0.035355339059327466,12.0,0.0,0.0,3.5,0.4841299229671471,10.5,0.0,1.0
banking77,0.25,card_about_to_expire,1,40.0,0.5249999999999999,,21.0,0.0,0.0,2.0,0.4419024727953989,20.0,0.0,1.0
banking77,0.25,card_acceptance,1,40.0,0.5499999999999999,,22.0,5.0,0.0021551724137931,2.0,0.5393883060362756,11.0,0.0,1.0
banking77,0.25,card_arrival,3,40.0,0.525,0.02500000000000005,21.0,18.0,0.007758620689655167,3.3333333333333335,0.4936173558844179,15.666666666666666,0.0,1.0
banking77,0.25,card_linking,1,40.0,0.44999999999999996,,18.0,20.0,0.0086206896551724,3.0,0.47047001568967267,25.0,0.0,1.0
banking77,0.25,card_payment_fee_charged,1,40.0,0.5,,20.0,5.0,0.0021551724137931,1.0,0.4680451437957801,100.0,0.0,1.0
banking77,0.25,card_payment_wrong_exchange_rate,1,40.0,0.39999999999999997,,16.0,6.0,0.0025862068965517,2.0,0.5172817634874112,20.0,0.0,1.0
banking77,0.25,cash_withdrawal_charge,1,40.0,0.44999999999999996,,18.0,4.0,0.0017241379310344,2.0,0.4857709566853856,15.0,0.0,1.0
banking77,0.25,compromised_card,3,40.0,0.43333333333333335,0.12829003598617206,17.333333333333332,15.333333333333334,0.0066091954022988,2.0,0.4965402411660213,15.0,0.0,1.0
banking77,0.25,contactless_not_working,2,40.0,0.38749999999999996,0.017677669529663705,15.5,2.0,0.0008620689655172,1.0,0.5891650344062453,24.5,0.0,1.0
banking77,0.25,country_support,1,40.0,0.19999999999999998,,8.0,0.0,0.0,3.0,0.5966046378324523,15.0,0.0,1.0
banking77,0.25,declined_cash_withdrawal,1,40.0,0.7000000000000001,,28.0,11.0,0.0047413793103448,4.0,0.41222317704004147,12.0,0.0,1.0
banking77,0.25,declined_transfer,2,40.0,0.22500000000000003,0.0,9.0,12.5,0.0053879310344827,1.5,0.48384966722511,53.5,0.0,1.0
banking77,0.25,direct_debit_payment_not_recognised,3,40.0,0.3666666666666667,0.07637626158259735,14.666666666666666,14.0,0.0060344827586206,1.3333333333333333,0.5396339162558149,76.33333333333333,0.0,1.0
banking77,0.25,exchange_charge,1,40.0,0.45,,18.0,3.0,0.0012931034482758,2.0,0.4800036912627242,14.0,0.0,1.0
banking77,0.25,exchange_rate,2,40.0,0.375,0.03535533905932741,15.0,3.0,0.00129310344827585,1.5,0.48648709210622537,50.5,0.0,1.0
banking77,0.25,exchange_via_app,2,40.0,0.3375,0.017677669529663684,13.5,9.5,0.00409482758620685,2.5,0.5292916999903563,24.5,0.0,1.0
banking77,0.25,extra_charge_on_statement,1,40.0,0.35,,14.0,18.0,0.0077586206896551,4.0,0.548155106198947,10.0,0.0,1.0
banking77,0.25,failed_transfer,1,40.0,0.325,,13.0,23.0,0.0099137931034483,3.0,0.5198250113619358,23.0,0.0,1.0
banking77,0.25,getting_spare_card,1,40.0,0.375,,15.0,1.0,0.0004310344827586,2.0,0.5787862646956665,12.0,0.0,1.0
banking77,0.25,getting_virtual_card,2,40.0,0.3125,0.017677669529663684,12.5,1.5,0.0006465517241379,1.0,0.4976287694068398,88.0,0.0,1.0
