dataset,kir,seed,known_intents,positive_recovery_intents,positive_recovery_intent_ratio,total_positive_known_recovery,top10pct_recovery_share,top20pct_recovery_share,top50pct_recovery_share,recovery_gini
banking77,0.25,13,19,19,1.0,342.0,0.15789473684210525,0.30116959064327486,0.6608187134502924,0.17666974453678064
banking77,0.25,42,19,19,1.0,295.0,0.14915254237288136,0.288135593220339,0.6338983050847458,0.1459411239964319
banking77,0.25,87,19,19,1.0,303.0,0.1419141914191419,0.27722772277227725,0.6336633663366337,0.15042556887267677
banking77,0.25,100,19,19,1.0,328.0,0.17073170731707318,0.3201219512195122,0.6859756097560976,0.21245186136071892
banking77,0.25,123,19,19,1.0,323.0,0.14860681114551083,0.28173374613003094,0.6037151702786377,0.11373635326706877
banking77,0.5,13,38,38,1.0,737.0,0.1614654002713704,0.2930800542740841,0.6010854816824966,0.14521888166821384
banking77,0.5,42,38,38,1.0,780.0,0.16538461538461538,0.30641025641025643,0.6166666666666667,0.16666666666666652
banking77,0.5,87,38,38,1.0,705.0,0.15460992907801419,0.29645390070921984,0.6269503546099291,0.17196715192235912
banking77,0.5,100,38,38,1.0,764.0,0.1531413612565445,0.28534031413612565,0.6073298429319371,0.15307247175530447
banking77,0.5,123,38,38,1.0,723.0,0.15352697095435686,0.28492392807745504,0.6058091286307054,0.14803086554560663
banking77,0.75,13,58,58,1.0,1232.0,0.14935064935064934,0.2832792207792208,0.6079545454545454,0.15245745633676666
banking77,0.75,42,58,58,1.0,1277.0,0.1534847298355521,0.28425998433829286,0.6045418950665623,0.14950179569573097
banking77,0.75,87,58,58,1.0,1199.0,0.1517931609674729,0.2810675562969141,0.6105087572977481,0.1527566075177591
banking77,0.75,100,58,58,1.0,1265.0,0.14703557312252966,0.28142292490118576,0.6071146245059289,0.14737631184407807
banking77,0.75,123,58,58,1.0,1250.0,0.1488,0.2816,0.5984,0.13961379310344846
clinc150,0.25,13,38,38,1.0,382.0,0.17539267015706805,0.3193717277486911,0.662303664921466,0.21879305593827492
clinc150,0.25,42,38,38,1.0,451.0,0.17738359201773837,0.3215077605321508,0.656319290465632,0.20953436807095338
clinc150,0.25,87,38,38,1.0,428.0,0.1658878504672897,0.3130841121495327,0.6425233644859814,0.2009345794392523
clinc150,0.25,100,38,38,1.0,420.0,0.1595238095238095,0.3,0.638095238095238,0.18446115288220533
clinc150,0.25,123,38,38,1.0,401.0,0.16209476309226933,0.3117206982543641,0.6458852867830424,0.2010106313164457
clinc150,0.5,13,75,75,1.0,965.0,0.17305699481865286,0.2994818652849741,0.6507772020725389,0.2004835924006907
clinc150,0.5,42,75,75,1.0,987.0,0.18439716312056736,0.3181357649442756,0.6656534954407295,0.22557244174265434
clinc150,0.5,87,75,75,1.0,924.0,0.1774891774891775,0.30952380952380953,0.6569264069264069,0.21154401154401148
clinc150,0.5,100,75,75,1.0,952.0,0.17647058823529413,0.3088235294117647,0.648109243697479,0.20431372549019589
clinc150,0.5,123,75,75,1.0,995.0,0.17889447236180905,0.3085427135678392,0.6603015075376885,0.2108676716917921
clinc150,0.75,13,112,112,1.0,1571.0,0.1763208147676639,0.305537873965627,0.648631444939529,0.20411816859143417
clinc150,0.75,42,112,112,1.0,1547.0,0.17194570135746606,0.31092436974789917,0.6522301228183581,0.21030912364945986
clinc150,0.75,87,112,112,1.0,1531.0,0.17504898758981058,0.31286740692357934,0.6466361854996734,0.20575370906037138
clinc150,0.75,100,112,112,1.0,1547.0,0.17259211376858435,0.3096315449256626,0.654169360051713,0.21316026410564226
clinc150,0.75,123,112,112,1.0,1519.0,0.17050691244239632,0.30480579328505597,0.6418696510862409,0.20241817925326822
stackoverflow,0.25,13,5,5,1.0,752.0,0.24069148936170212,0.24069148936170212,0.6622340425531915,0.08404255319148946
stackoverflow,0.25,42,5,5,1.0,832.0,0.30288461538461536,0.30288461538461536,0.6826923076923077,0.13269230769230766
stackoverflow,0.25,87,5,5,1.0,854.0,0.2646370023419204,0.2646370023419204,0.6615925058548009,0.0922716627634661
stackoverflow,0.25,100,5,5,1.0,778.0,0.2365038560411311,0.2365038560411311,0.6336760925449871,0.05398457583547556
stackoverflow,0.25,123,5,5,1.0,660.0,0.3106060606060606,0.3106060606060606,0.6984848484848485,0.1521212121212121
stackoverflow,0.5,13,10,10,1.0,1659.0,0.14948764315852922,0.2591922845087402,0.5617842073538276,0.09505726341169374
stackoverflow,0.5,42,10,10,1.0,1661.0,0.152317880794702,0.2667068031306442,0.5713425647200482,0.10216736905478618
stackoverflow,0.5,87,10,10,1.0,1682.0,0.1367419738406659,0.2550535077288942,0.5820451843043996,0.10558858501783575
stackoverflow,0.5,100,10,10,1.0,1682.0,0.14803804994054698,0.2907253269916766,0.5802615933412604,0.11724137931034484
stackoverflow,0.5,123,10,10,1.0,1836.0,0.13671023965141613,0.27124183006535946,0.6045751633986928,0.13747276688453147
stackoverflow,0.75,13,15,15,1.0,2877.0,0.17448731317344457,0.2613833854709767,0.6235662148070907,0.12026416405978457
stackoverflow,0.75,42,15,15,1.0,2948.0,0.17537313432835822,0.26255088195386705,0.6048168249660787,0.10669380370872905
stackoverflow,0.75,87,15,15,1.0,2703.0,0.1846096929337773,0.2722900480947096,0.6263411024787273,0.12465162165495136
stackoverflow,0.75,100,15,15,1.0,2783.0,0.18181818181818182,0.2720086237872799,0.6158821415738411,0.11977482333213563
stackoverflow,0.75,123,15,15,1.0,2851.0,0.18133988074359875,0.27113293581199577,0.6352157137846369,0.14217233719162858
