dataset,kir,predictor,outcome,spearman_rho,n_intent_seed_rows
banking77,0.25,ball_count,known_recovery_rate,0.2803251956049765,95
banking77,0.25,ball_count,extra_oos_accept_rate,0.19079900281704068,95
banking77,0.25,mean_radius,known_recovery_rate,-0.2898750381987182,95
banking77,0.25,mean_radius,extra_oos_accept_rate,0.0688750822272548,95
banking77,0.25,min_ball_support,known_recovery_rate,-0.2603355322856578,95
banking77,0.25,min_ball_support,extra_oos_accept_rate,-0.09663598066566836,95
banking77,0.25,tiny_ball_ratio,known_recovery_rate,0.3219573230962703,95
banking77,0.25,tiny_ball_ratio,extra_oos_accept_rate,0.14055024714839676,95
banking77,0.25,dominant_ball_ratio,known_recovery_rate,-0.3090856947379276,95
banking77,0.25,dominant_ball_ratio,extra_oos_accept_rate,-0.24259516851344884,95
banking77,0.5,ball_count,known_recovery_rate,0.20600854675240757,190
banking77,0.5,ball_count,extra_oos_accept_rate,0.14046267893889697,190
banking77,0.5,mean_radius,known_recovery_rate,-0.3926737994646274,190
banking77,0.5,mean_radius,extra_oos_accept_rate,-0.06491188707805069,190
banking77,0.5,min_ball_support,known_recovery_rate,-0.3250887237619259,190
banking77,0.5,min_ball_support,extra_oos_accept_rate,-0.0389524229620552,190
banking77,0.5,tiny_ball_ratio,known_recovery_rate,0.42217943192096535,190
banking77,0.5,tiny_ball_ratio,extra_oos_accept_rate,0.15241660822000452,190
banking77,0.5,dominant_ball_ratio,known_recovery_rate,-0.29909490872034106,190
banking77,0.5,dominant_ball_ratio,extra_oos_accept_rate,-0.2291018012806294,190
banking77,0.75,ball_count,known_recovery_rate,-0.025117456440326882,290
banking77,0.75,ball_count,extra_oos_accept_rate,-0.016593482657220455,290
banking77,0.75,mean_radius,known_recovery_rate,-0.384610300560562,285
banking77,0.75,mean_radius,extra_oos_accept_rate,-0.13845497674745993,285
banking77,0.75,min_ball_support,known_recovery_rate,-0.2404325385663419,290
banking77,0.75,min_ball_support,extra_oos_accept_rate,-0.09796700569910236,290
banking77,0.75,tiny_ball_ratio,known_recovery_rate,0.3537074122521407,290
banking77,0.75,tiny_ball_ratio,extra_oos_accept_rate,0.13501861429652007,290
banking77,0.75,dominant_ball_ratio,known_recovery_rate,-0.22615479165693878,290
banking77,0.75,dominant_ball_ratio,extra_oos_accept_rate,-0.03636014156946653,290
clinc150,0.25,ball_count,known_recovery_rate,0.11045746959383354,190
clinc150,0.25,ball_count,extra_oos_accept_rate,0.20974856906798295,190
clinc150,0.25,mean_radius,known_recovery_rate,0.28676650457950115,190
clinc150,0.25,mean_radius,extra_oos_accept_rate,0.26892989978979315,190
clinc150,0.25,min_ball_support,known_recovery_rate,-0.22709050933349448,190
clinc150,0.25,min_ball_support,extra_oos_accept_rate,-0.3052666091012404,190
clinc150,0.25,tiny_ball_ratio,known_recovery_rate,0.1725470965513208,190
clinc150,0.25,tiny_ball_ratio,extra_oos_accept_rate,0.16026898969770784,190
clinc150,0.25,dominant_ball_ratio,known_recovery_rate,-0.1459959533236134,190
clinc150,0.25,dominant_ball_ratio,extra_oos_accept_rate,-0.20538490670669537,190
clinc150,0.5,ball_count,known_recovery_rate,0.1305748937315094,375
clinc150,0.5,ball_count,extra_oos_accept_rate,0.12046617540916689,375
