method,dataset,kir,seed,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall,auroc,aupr_oos,oracle_oos_f1,oracle_threshold,default_to_oracle_gap,score_separation_d,known_score_median,oos_score_median,median_score_gap,n_known,n_oos
mogb_minilm_fair,banking77,0.25,13,1.0,0.8975725281231498,0.37763157894736843,0.019827586206896553,0.6223684210526316,0.8278121587186021,0.9801724137931035,0.8268370009074409,0.9089321509176868,0.9113511310372937,1.1322500696269886,0.0137786029141439,1.3054197536829042,1.0968369181849875,1.5836105428304956,0.4867736246455081,760,2320
s2c_trainable_k1,banking77,0.25,13,1.0,0.9154867256637168,0.8276315789473684,0.10818965517241379,0.17236842105263162,0.9404545454545454,0.8918103448275863,0.9256567604355717,0.968786301571126,0.9281210592686003,0.9308468986394819,0.01263433360488353,2.1009242212819195,0.8287198401767942,1.1911993841674624,0.3624795439906682,760,2320
mogb_minilm_fair,banking77,0.25,42,1.0,0.9093069306930693,0.42894736842105263,0.010344827586206896,0.5710526315789474,0.841025641025641,0.9896551724137931,0.8640250680580763,0.936922059461883,0.9194889474751572,1.0830374079812413,0.010182016782087855,1.5226224366562173,1.046489718087321,1.525484098339923,0.478994380252602,760,2320
s2c_trainable_k1,banking77,0.25,42,1.0,0.9191208791208791,0.8171052631578948,0.09870689655172414,0.18289473684210522,0.9376681614349776,0.9012931034482758,0.9272203947368423,0.96790581565507,0.9341494301392993,0.923921485427317,0.015028551018420155,2.144279520684599,0.7950588548214819,1.2532179288219587,0.45815907400047684,760,2320
mogb_minilm_fair,banking77,0.25,87,1.0,0.9025600317523318,0.4144736842105263,0.019827586206896553,0.5855263157894737,0.8363368885619713,0.9801724137931035,0.889722663339383,0.9476142319483434,0.9202988792029888,1.1569735488064596,0.017738847450657014,1.7087740428998974,1.066395181459657,1.616946687655083,0.550551506195426,760,2320
s2c_trainable_k1,banking77,0.25,87,1.0,0.9304952215464813,0.8131578947368421,0.07672413793103448,0.18684210526315792,0.9378283712784589,0.9232758620689655,0.9331040154264973,0.9722067940438386,0.9362515937101573,0.9518051656969054,0.005756372163675971,2.2296966394757076,0.8108858115903009,1.2758506836063224,0.46496487201602144,760,2320
mogb_minilm_fair,banking77,0.25,100,1.0,0.9044910766817023,0.37763157894736843,0.00603448275862069,0.6223684210526316,0.8297948902482908,0.9939655172413793,0.8788242967332125,0.943364998588182,0.9167012018234563,1.166646600238593,0.012210125141754014,1.6291707530356925,1.0912104429817813,1.600892468882941,0.5096820259011596,760,2320
s2c_trainable_k1,banking77,0.25,100,1.0,0.9308176100628931,0.8092105263157895,0.075,0.1907894736842105,0.9367088607594937,0.925,0.9305064655172413,0.9694606522842194,0.9314950452391211,0.981098942888484,0.0006774351762279807,2.2021762590125253,0.8275575948576287,1.2856814549440831,0.45812386008645445,760,2320
mogb_minilm_fair,banking77,0.25,123,1.0,0.9010292953285828,0.4,0.01896551724137931,0.6,0.8330893118594437,0.9810344827586207,0.8858025181488203,0.9441320235511341,0.9150409062303335,1.1863245270021627,0.014011610901750737,1.6812328706371436,1.0711367216055823,1.5766894004443612,0.505552678838779,760,2320
s2c_trainable_k1,banking77,0.25,123,1.0,0.8867710460630814,0.825,0.15775862068965518,0.17500000000000004,0.9362721609966459,0.8422413793103448,0.8983904264972776,0.9567111504764729,0.9169659835199662,0.9063430711625848,0.03019493745688473,1.8513490286569507,0.832234772923798,1.1504927595630423,0.3182579866392443,760,2320
mogb_minilm_fair,banking77,0.5,13,1.0,0.7496965282835639,0.33223684210526316,0.010256410256410256,0.6677631578947368,0.6033606877686596,0.9897435897435898,0.8481039136302294,0.8088798253683434,0.8009299622202848,1.303371162720962,0.05123343393672086,1.3936052649505017,1.1383832363185178,1.6343681326889565,0.49598489637043874,1520,1560
s2c_trainable_k1,banking77,0.5,13,1.0,0.8462021343377275,0.8171052631578948,0.1358974358974359,0.18289473684210522,0.8290282902829028,0.8641025641025641,0.911104504048583,0.8997160473749267,0.8530312308634415,0.9812588561046502,0.006829096525713951,1.939311406479612,0.8223374131030622,1.1744755763444177,0.3521381632413555,1520,1560
mogb_minilm_fair,banking77,0.5,42,1.0,0.7435712569093967,0.30657894736842106,0.008333333333333333,0.6934210526315789,0.5947712418300654,0.9916666666666667,0.8298523954116059,0.7726589961195081,0.7992081447963801,1.2772230166198744,0.0556368878869834,1.2642642469787833,1.1608639717729252,1.640360863264342,0.47949689149141683,1520,1560
s2c_trainable_k1,banking77,0.5,42,1.0,0.8414403032217309,0.8197368421052632,0.14615384615384616,0.1802631578947368,0.8293897882938979,0.8538461538461538,0.9006448211875844,0.8851886213770147,0.8484848484848485,0.969144024017248,0.0070445452631175964,1.8618599674568956,0.8298275224476181,1.156969658435956,0.32714213598833775,1520,1560
