method,dataset,kir,seed,target_known_recall,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall
mogb_minilm_fair,banking77,0.25,13,0.5,1.0970733070267125,0.9088336365474025,0.5013157894736842,0.03103448275862069,0.49868421052631584,0.8557289684050248,0.9689655172413794
mogb_minilm_fair,banking77,0.25,13,0.6,1.1966365677330937,0.9045729797452495,0.6013157894736842,0.06637931034482758,0.39868421052631575,0.8772782503037667,0.9336206896551724
mogb_minilm_fair,banking77,0.25,13,0.7,1.3355646581928795,0.8662363676830626,0.7013157894736842,0.16120689655172413,0.2986842105263158,0.8955361251725725,0.8387931034482758
mogb_minilm_fair,banking77,0.25,13,0.8,1.476059901011976,0.7700348432055749,0.8013157894736842,0.3331896551724138,0.1986842105263158,0.9110718492343934,0.6668103448275862
mogb_minilm_fair,banking77,0.25,13,0.9,1.6538144092311835,0.5467233009708737,0.9013157894736842,0.6116379310344827,0.09868421052631582,0.923155737704918,0.3883620689655172
mogb_minilm_fair,banking77,0.25,13,0.95,1.8314109509030272,0.31642857142857145,0.9513157894736842,0.809051724137931,0.048684210526315774,0.9229166666666667,0.19094827586206897
s2c_trainable_k1,banking77,0.25,13,0.5,0.8297196148026752,0.9149748743718593,0.5013157894736842,0.01896551724137931,0.49868421052631584,0.8572504708097929,0.9810344827586207
s2c_trainable_k1,banking77,0.25,13,0.6,0.8795115803761668,0.9236766516208453,0.6013157894736842,0.029741379310344828,0.39868421052631575,0.8813625685199686,0.9702586206896552
s2c_trainable_k1,banking77,0.25,13,0.7,0.9338289468813061,0.9278046727004841,0.7013157894736842,0.05,0.2986842105263158,0.9066227889757301,0.95
s2c_trainable_k1,banking77,0.25,13,0.8,0.9829842769876472,0.9226073686505342,0.8013157894736842,0.08793103448275862,0.1986842105263158,0.933392148213498,0.9120689655172414
s2c_trainable_k1,banking77,0.25,13,0.9,1.0691415456572633,0.8649289099526066,0.9013157894736842,0.21336206896551724,0.09868421052631582,0.9605263157894737,0.7866379310344828
s2c_trainable_k1,banking77,0.25,13,0.95,1.1392851227765999,0.7535695399259651,0.9513157894736842,0.3857758620689655,0.048684210526315774,0.9746922024623803,0.6142241379310345
mogb_minilm_fair,banking77,0.25,42,0.5,1.0469094046866487,0.9160642570281124,0.5013157894736842,0.016810344827586206,0.49868421052631584,0.8575187969924812,0.9831896551724137
mogb_minilm_fair,banking77,0.25,42,0.6,1.1373637349432142,0.9161157024793388,0.6013157894736842,0.04439655172413793,0.39868421052631575,0.8797619047619047,0.9556034482758621
mogb_minilm_fair,banking77,0.25,42,0.7,1.226279666130264,0.8985945945945946,0.7013157894736842,0.10431034482758621,0.2986842105263158,0.9015184381778741,0.8956896551724138
mogb_minilm_fair,banking77,0.25,42,0.8,1.3746092723313672,0.8114478114478114,0.8013157894736842,0.2728448275862069,0.1986842105263158,0.9178454842219804,0.7271551724137931
mogb_minilm_fair,banking77,0.25,42,0.9,1.524846601001759,0.6537380550871276,0.9013157894736842,0.4987068965517241,0.09868421052631582,0.9394184168012925,0.5012931034482758
mogb_minilm_fair,banking77,0.25,42,0.95,1.6298507281106247,0.502065459167461,0.9513157894736842,0.6594827586206896,0.048684210526315774,0.9552599758162031,0.34051724137931033
s2c_trainable_k1,banking77,0.25,42,0.5,0.7953066671597864,0.9164993978321959,0.5013157894736842,0.015948275862068966,0.49868421052631584,0.857625845229151,0.9840517241379311
s2c_trainable_k1,banking77,0.25,42,0.6,0.8391989034513858,0.9265397994679763,0.6013157894736842,0.02413793103448276,0.39868421052631575,0.8819633813790417,0.9758620689655172
s2c_trainable_k1,banking77,0.25,42,0.7,0.903564238781631,0.9329702555509007,0.7013157894736842,0.04008620689655172,0.2986842105263158,0.9074979625101874,0.9599137931034483
s2c_trainable_k1,banking77,0.25,42,0.8,0.9880659211999475,0.9214316892186818,0.8013157894736842,0.09008620689655172,0.1986842105263158,0.9332449160035367,0.9099137931034482
s2c_trainable_k1,banking77,0.25,42,0.9,1.1061878806806362,0.8559828039168856,0.9013157894736842,0.22758620689655173,0.09868421052631582,0.9598286020353508,0.7724137931034483
s2c_trainable_k1,banking77,0.25,42,0.95,1.1916509373105708,0.7515889830508474,0.9513157894736842,0.3883620689655172,0.048684210526315774,0.9745879120879121,0.6116379310344827
mogb_minilm_fair,banking77,0.25,87,0.5,1.0683120016271368,0.9112545381202097,0.5013157894736842,0.026293103448275863,0.49868421052631584,0.856330553449583,0.9737068965517242
mogb_minilm_fair,banking77,0.25,87,0.6,1.1372909931494883,0.919241862381541,0.6013157894736842,0.03836206896551724,0.39868421052631575,0.8804262036306235,0.9616379310344828
mogb_minilm_fair,banking77,0.25,87,0.7,1.2235991896567262,0.9177820267686424,0.7013157894736842,0.06896551724137931,0.2986842105263158,0.9049015500628403,0.9310344827586207
mogb_minilm_fair,banking77,0.25,87,0.8,1.3396976411663095,0.8889388489208633,0.8013157894736842,0.1478448275862069,0.1986842105263158,0.9290413533834586,0.8521551724137931
mogb_minilm_fair,banking77,0.25,87,0.9,1.5146253327339492,0.7799286805909322,0.9013157894736842,0.3400862068965517,0.09868421052631582,0.9533001245330013,0.6599137931034482
mogb_minilm_fair,banking77,0.25,87,0.95,1.712371283838025,0.5148078134845621,0.9513157894736842,0.6478448275862069,0.048684210526315774,0.9566744730679156,0.3521551724137931
s2c_trainable_k1,banking77,0.25,87,0.5,0.8114113643624283,0.9169341894060995,0.5013157894736842,0.015086206896551725,0.49868421052631584,0.8577327327327328,0.9849137931034483
s2c_trainable_k1,banking77,0.25,87,0.6,0.8616772891224795,0.9274177059905949,0.6013157894736842,0.022413793103448276,0.39868421052631575,0.882147024504084,0.9775862068965517
s2c_trainable_k1,banking77,0.25,87,0.7,0.9162664908532135,0.9331937172774869,0.7013157894736842,0.039655172413793106,0.2986842105263158,0.9075356415478615,0.9603448275862069
s2c_trainable_k1,banking77,0.25,87,0.8,0.9914471709998147,0.9307659022068369,0.8013157894736842,0.0728448275862069,0.1986842105263158,0.9344048653344917,0.9271551724137931
s2c_trainable_k1,banking77,0.25,87,0.9,1.1196756612205339,0.8724105461393596,0.9013157894736842,0.20129310344827586,0.09868421052631582,0.9610995850622407,0.7987068965517241
s2c_trainable_k1,banking77,0.25,87,0.95,1.2125096262923605,0.7637031209021767,0.9513157894736842,0.3724137931034483,0.048684210526315774,0.9752176825184193,0.6275862068965518
mogb_minilm_fair,banking77,0.25,100,0.5,1.0912768092103209,0.9132273001811959,0.5013157894736842,0.022413793103448276,0.49868421052631584,0.8568190404231205,0.9775862068965517
mogb_minilm_fair,banking77,0.25,100,0.6,1.15891681004908,0.9161157024793388,0.6013157894736842,0.04439655172413793,0.39868421052631575,0.8797619047619047,0.9556034482758621
mogb_minilm_fair,banking77,0.25,100,0.7,1.2575266349161338,0.9033369214208826,0.7013157894736842,0.09568965517241379,0.2986842105263158,0.9023655913978494,0.9043103448275862
mogb_minilm_fair,banking77,0.25,100,0.8,1.374289207164436,0.8501628664495114,0.8013157894736842,0.2125,0.1986842105263158,0.9236602628918099,0.7875
mogb_minilm_fair,banking77,0.25,100,0.9,1.5321454868014237,0.7216439818521484,0.9013157894736842,0.41724137931034483,0.09868421052631582,0.9474421864050455,0.5827586206896552
mogb_minilm_fair,banking77,0.25,100,0.95,1.6778020462303789,0.5544311560870898,0.9513157894736842,0.6103448275862069,0.048684210526315774,0.9606801275239107,0.3896551724137931
s2c_trainable_k1,banking77,0.25,100,0.5,0.8276011918541932,0.9149748743718593,0.5013157894736842,0.01896551724137931,0.49868421052631584,0.8572504708097929,0.9810344827586207
s2c_trainable_k1,banking77,0.25,100,0.6,0.8742970971461949,0.9241181296144381,0.6013157894736842,0.028879310344827585,0.39868421052631575,0.8814553990610329,0.9711206896551724
s2c_trainable_k1,banking77,0.25,100,0.7,0.9284068741061073,0.9293820933165196,0.7013157894736842,0.04698275862068965,0.2986842105263158,0.9068908941755537,0.9530172413793103
