dataset,kir,seed,method,method_label,intent,known_count,known_false_reject,known_false_reject_rate,oos_false_accept,oos_false_accept_rate_of_all_oos,mean_known_score,mean_oos_accepted_score
stackoverflow,0.5,13,trainable_k1,Trainable K=1,ajax,300,54,0.18,22,0.007333333333333333,0.8164094360095523,0.8234249253740057
stackoverflow,0.5,13,trainable_k1,Trainable K=1,apache,300,52,0.17333333333333334,24,0.008,0.8116661611371296,0.8531277362833514
stackoverflow,0.5,13,trainable_k1,Trainable K=1,excel,300,47,0.15666666666666668,6,0.002,0.8371412854245748,0.8655945943209652
stackoverflow,0.5,13,trainable_k1,Trainable K=1,hibernate,300,38,0.12666666666666668,26,0.008666666666666666,0.7422379887962837,0.7828011290946839
stackoverflow,0.5,13,trainable_k1,Trainable K=1,linq,300,47,0.15666666666666668,0,0.0,0.76492430409678,
stackoverflow,0.5,13,trainable_k1,Trainable K=1,oracle,300,57,0.19,2,0.0006666666666666666,0.8068264438993985,0.8784674303483426
stackoverflow,0.5,13,trainable_k1,Trainable K=1,osx,300,49,0.16333333333333333,236,0.07866666666666666,0.8182112561802085,0.899126117835438
stackoverflow,0.5,13,trainable_k1,Trainable K=1,qt,300,23,0.07666666666666666,3,0.001,0.7435564265064947,0.7747952639040108
stackoverflow,0.5,13,trainable_k1,Trainable K=1,scala,300,58,0.19333333333333333,1,0.0003333333333333333,0.7609929248055867,0.9376157866782541
stackoverflow,0.5,13,trainable_k1,Trainable K=1,sharepoint,300,47,0.15666666666666668,79,0.026333333333333334,0.8293423552636983,0.9461279667375047
stackoverflow,0.5,13,single_centroid,Frozen K=1,ajax,300,28,0.09333333333333334,27,0.009,0.8778204780232723,0.9140532962374968
stackoverflow,0.5,13,single_centroid,Frozen K=1,apache,300,35,0.11666666666666667,60,0.02,0.9134065496917556,0.9566720683320166
stackoverflow,0.5,13,single_centroid,Frozen K=1,excel,300,38,0.12666666666666668,8,0.0026666666666666666,0.9263472030621273,0.922562083797567
stackoverflow,0.5,13,single_centroid,Frozen K=1,hibernate,300,27,0.09,26,0.008666666666666666,0.8766260437100489,0.8995852910120319
stackoverflow,0.5,13,single_centroid,Frozen K=1,linq,300,35,0.11666666666666667,0,0.0,0.8493883378542939,
stackoverflow,0.5,13,single_centroid,Frozen K=1,oracle,300,41,0.13666666666666666,8,0.0026666666666666666,0.9131221390047528,0.9746698816822146
stackoverflow,0.5,13,single_centroid,Frozen K=1,osx,300,36,0.12,204,0.068,0.9242220372279684,0.9496404084633308
stackoverflow,0.5,13,single_centroid,Frozen K=1,qt,300,19,0.06333333333333334,5,0.0016666666666666668,0.8823188739864137,0.9285992209259598
stackoverflow,0.5,13,single_centroid,Frozen K=1,scala,300,53,0.17666666666666667,10,0.0033333333333333335,0.8665333672011308,0.9934574118077819
stackoverflow,0.5,13,single_centroid,Frozen K=1,sharepoint,300,42,0.14,863,0.2876666666666667,0.9735837588252426,0.9804918201382489
stackoverflow,0.5,13,fixed_k2,Frozen K=2,ajax,300,45,0.15,130,0.043333333333333335,0.9309708896563592,0.9623747116330709
stackoverflow,0.5,13,fixed_k2,Frozen K=2,apache,300,39,0.13,41,0.013666666666666667,0.904770226169087,0.9498100448272014
stackoverflow,0.5,13,fixed_k2,Frozen K=2,excel,300,32,0.10666666666666667,7,0.0023333333333333335,0.9215206881086427,0.9261007344365152
stackoverflow,0.5,13,fixed_k2,Frozen K=2,hibernate,300,27,0.09,28,0.009333333333333334,0.8717445785882814,0.8849417317043391
stackoverflow,0.5,13,fixed_k2,Frozen K=2,linq,300,15,0.05,0,0.0,0.8576653917934186,
stackoverflow,0.5,13,fixed_k2,Frozen K=2,oracle,300,37,0.12333333333333334,7,0.0023333333333333335,0.9091059429566332,0.9568898401132192
stackoverflow,0.5,13,fixed_k2,Frozen K=2,osx,300,41,0.13666666666666666,345,0.115,0.9393735676944802,0.9587017426052095
stackoverflow,0.5,13,fixed_k2,Frozen K=2,qt,300,22,0.07333333333333333,4,0.0013333333333333333,0.8773303686526415,0.927627843314813
stackoverflow,0.5,13,fixed_k2,Frozen K=2,scala,300,47,0.15666666666666668,378,0.126,0.9322747889657987,0.9564760544102846
stackoverflow,0.5,13,fixed_k2,Frozen K=2,sharepoint,300,50,0.16666666666666666,680,0.22666666666666666,0.9694067366158178,0.9771682106564409
stackoverflow,0.5,13,random_partition,Random K=2,ajax,300,26,0.08666666666666667,25,0.008333333333333333,0.8762079222365659,0.906314607854876
stackoverflow,0.5,13,random_partition,Random K=2,apache,300,32,0.10666666666666667,59,0.019666666666666666,0.9099244765264658,0.9528531459604167
stackoverflow,0.5,13,random_partition,Random K=2,excel,300,40,0.13333333333333333,9,0.003,0.9250385754981668,0.928108489645148
stackoverflow,0.5,13,random_partition,Random K=2,hibernate,300,27,0.09,26,0.008666666666666666,0.8737988310472656,0.8979915510073445
