dataset,kir,seed,method,method_label,n_samples,oos_f1,known_recall,false_accept_rate,false_reject_rate,threshold,source_prediction_path,source_metric_oos_f1,source_metric_known_recall,score_vs_source_oos_f1_delta,score_vs_source_known_recall_delta
stackoverflow,0.5,13,trainable_k1,Trainable K=1,6000,0.8565782973818541,0.8426666666666667,0.133,0.15733333333333333,1.0,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.50/runs/stackoverflow/seed_13/predictions.jsonl,0.8565782973818541,0.8426666666666667,0.0,0.0
stackoverflow,0.5,13,single_centroid,Frozen K=1,6000,0.695702897141746,0.882,0.4036666666666667,0.118,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_13/single_centroid/predictions.tsv,0.695702897141746,0.882,0.0,0.0
stackoverflow,0.5,13,fixed_k2,Frozen K=2,6000,0.5828933474128828,0.8816666666666667,0.54,0.11833333333333333,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_13/fixed_k2/predictions.tsv,0.5828933474128828,0.8816666666666667,0.0,0.0
stackoverflow,0.5,13,random_partition,Random K=2,6000,0.6879905808477237,0.8856666666666667,0.4156666666666667,0.11433333333333333,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_13/random_partition/predictions.tsv,0.6879905808477237,0.8856666666666667,0.0,0.0
stackoverflow,0.5,13,mogb_minilm,MOGB-MiniLM,6000,0.7329299913569577,0.2896666666666667,0.010666666666666666,0.7103333333333334,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_13/mogb_minilm/predictions.tsv,0.7329299913569577,0.2896666666666666,0.0,1.1102230246251565e-16
stackoverflow,0.5,13,mogb_partition_ours_boundary,MOGB partition + ours,6000,0.8025267783575941,0.5466666666666666,0.026,0.4533333333333333,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_13/mogb_partition_ours_boundary/predictions.tsv,0.8025267783575941,0.5466666666666666,0.0,0.0
stackoverflow,0.5,13,ours_partition_mogb_boundary,Ours partition + MOGB,6000,0.7231655101136867,0.5586666666666666,0.18366666666666667,0.44133333333333336,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_13/ours_partition_mogb_boundary/predictions.tsv,0.7231655101136867,0.5586666666666666,0.0,0.0
stackoverflow,0.5,42,trainable_k1,Trainable K=1,6000,0.8754826254826255,0.835,0.093,0.165,1.0,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.50/runs/stackoverflow/seed_42/predictions.jsonl,0.8754826254826255,0.835,0.0,0.0
stackoverflow,0.5,42,single_centroid,Frozen K=1,6000,0.7966284074605452,0.8816666666666667,0.25966666666666666,0.11833333333333333,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_42/single_centroid/predictions.tsv,0.7966284074605452,0.8816666666666667,0.0,0.0
stackoverflow,0.5,42,fixed_k2,Frozen K=2,6000,0.6376229672756475,0.869,0.4706666666666667,0.131,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_42/fixed_k2/predictions.tsv,0.6376229672756475,0.869,0.0,0.0
stackoverflow,0.5,42,random_partition,Random K=2,6000,0.7910096066702919,0.8883333333333333,0.27266666666666667,0.11166666666666666,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_42/random_partition/predictions.tsv,0.7910096066702919,0.8883333333333333,0.0,0.0
stackoverflow,0.5,42,mogb_minilm,MOGB-MiniLM,6000,0.7316113161131611,0.2813333333333333,0.008666666666666666,0.7186666666666667,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_42/mogb_minilm/predictions.tsv,0.7316113161131611,0.2813333333333333,0.0,0.0
stackoverflow,0.5,42,mogb_partition_ours_boundary,MOGB partition + ours,6000,0.7966422962361224,0.5186666666666667,0.019333333333333334,0.48133333333333334,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_42/mogb_partition_ours_boundary/predictions.tsv,0.7966422962361224,0.5186666666666666,0.0,1.1102230246251565e-16
stackoverflow,0.5,42,ours_partition_mogb_boundary,Ours partition + MOGB,6000,0.7217314487632509,0.553,0.183,0.447,1.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/stackoverflow/kir_0.50/seed_42/ours_partition_mogb_boundary/predictions.tsv,0.7217314487632509,0.5529999999999999,0.0,1.1102230246251565e-16
stackoverflow,0.5,87,trainable_k1,Trainable K=1,6000,0.8692120227457352,0.84,0.10833333333333334,0.16,1.0,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.50/runs/stackoverflow/seed_87/predictions.jsonl,0.8692120227457352,0.84,0.0,0.0
