intent,diagnostic_rows,seed_count,mean_newly_accepted_oos,mean_recovered_known,mean_net_benefit,mean_ari,mean_silhouette,mean_known_recall_delta,mean_cluster_imbalance,mean_radius_ratio,mean_k1_reject,mean_k2_reject
drupal,1,1,539.0,32.0,-507.0,0.9893098192324872,0.2247583872862877,0.1066666666666666,5.818181818181818,1.0193989943862036,46.0,14.0
osx,2,2,336.5,30.5,-306.0,0.912698626535971,0.11361493628785815,0.1016666666666666,2.3241252302025783,1.011863733824629,48.5,18.0
cocoa,1,1,269.0,36.0,-233.0,0.9819760885445048,0.1172289098615646,0.12,1.8169014084507042,1.0269318923354553,65.0,29.0
scala,2,2,237.0,38.5,-198.5,0.9946027695583797,0.2830730853605711,0.1283333333333333,4.084745762711864,1.0352353815877025,57.0,18.5
spring,1,1,195.0,32.0,-163.0,0.9584915786676392,0.2089961302968569,0.1066666666666666,4.042016806722689,1.0126237801846254,38.0,6.0
sharepoint,2,2,168.5,31.5,-137.0,0.8927805387689318,0.10655734533651465,0.1033333333333333,1.8612953038423108,1.0087350728986844,45.0,14.0
qt,1,1,106.0,17.0,-89.0,0.9926726997156766,0.3609784306025264,0.0566666666666666,11.0,1.0705059464847968,23.0,6.0
ajax,2,2,116.5,34.5,-82.0,0.9573190736481341,0.16194734026940716,0.11499999999999995,2.909168081494058,1.0155567767967,55.0,20.5
hibernate,2,2,38.5,26.5,-12.0,0.9839905958708983,0.29957532956118615,0.08833333333333329,5.819062378922897,1.0091393098876495,37.0,10.5
visual-studio,1,1,38.0,40.0,2.0,0.9485898039579436,0.1697232052913504,0.1333333333333333,3.511278195488722,1.0132406893600212,56.0,16.0
bash,1,1,20.0,29.0,9.0,0.9638861817506704,0.1446538103295071,0.0966666666666666,2.508771929824561,1.009275161501461,46.0,17.0
apache,3,3,0.3333333333333333,13.666666666666666,13.333333333333334,0.9223426744889803,0.051923817145470764,0.03666666666666663,1.979632975145856,1.025056418431177,51.333333333333336,40.333333333333336
svn,2,2,0.0,16.5,16.5,0.8375577496104878,0.09381685156108405,0.0483333333333333,1.5318258702038636,1.1040131375629363,45.0,30.5
oracle,3,3,25.666666666666668,43.0,17.333333333333332,0.9883919840125861,0.20496265980434103,0.14333333333333334,3.3064182194616976,1.005924864043488,56.0,13.0
excel,3,3,0.0,20.333333333333332,20.333333333333332,0.5513347516135167,0.0710765647186393,0.06111111111111106,1.948673206922848,1.0343669176420363,46.666666666666664,28.333333333333332
linq,3,3,12.333333333333334,39.666666666666664,27.333333333333332,0.947374259259877,0.29325650746059045,0.1322222222222222,6.742852981743727,1.0205849751087808,45.333333333333336,5.666666666666667
