dataset,kir,seed,representation,threshold,oos_f1,oos_precision,oos_recall,known_recall,false_accept_rate,false_reject_rate
clinc150,0.25,13,trainable,0.75,0.9099649474211317,0.8374193548387097,0.9962719298245614,0.22631578947368425,0.7736842105263158,0.0037280701754385964
clinc150,0.25,13,trainable,0.85,0.9309989701338827,0.8776699029126214,0.9912280701754386,0.4473684210526315,0.5526315789473685,0.008771929824561403
clinc150,0.25,13,trainable,0.9,0.9436487192890747,0.9016983016983017,0.9896929824561403,0.5684210526315789,0.43157894736842106,0.01030701754385965
clinc150,0.25,13,trainable,0.95,0.9506802721088436,0.9224422442244224,0.980701754385965,0.6701754385964912,0.3298245614035088,0.01929824561403509
clinc150,0.25,13,trainable,1.0,0.9528118939883645,0.9364675984752223,0.9697368421052631,0.736842105263158,0.2631578947368421,0.030263157894736843
clinc150,0.25,13,trainable,1.05,0.9561135371179039,0.9519565217391305,0.9603070175438596,0.8061403508771929,0.193859649122807,0.03969298245614035
clinc150,0.25,13,trainable,1.1,0.9536276902595962,0.9649753030983386,0.9425438596491228,0.8631578947368421,0.1368421052631579,0.05745614035087719
clinc150,0.25,13,trainable,1.2,0.9293465712306627,0.9812286689419796,0.8826754385964912,0.9324561403508772,0.06754385964912281,0.11732456140350878
clinc150,0.25,13,trainable,1.3,0.8723664870161686,0.9880688124306326,0.780921052631579,0.962280701754386,0.037719298245614034,0.21907894736842104
clinc150,0.25,13,frozen,0.75,0.901634472511144,0.8222222222222222,0.9980263157894737,0.13684210526315788,0.8631578947368421,0.001973684210526316
clinc150,0.25,13,frozen,0.85,0.9182492129582615,0.8551163230565538,0.9914473684210526,0.3280701754385965,0.6719298245614035,0.008552631578947369
clinc150,0.25,13,frozen,0.9,0.9296826384567517,0.8819362455726092,0.9828947368421053,0.4736842105263158,0.5263157894736842,0.017105263157894738
clinc150,0.25,13,frozen,0.95,0.940053050397878,0.9105858170606372,0.9714912280701754,0.618421052631579,0.3815789473684211,0.02850877192982456
clinc150,0.25,13,frozen,1.0,0.9484446378072656,0.9408718170047475,0.956140350877193,0.7596491228070176,0.24035087719298245,0.043859649122807015
clinc150,0.25,13,frozen,1.05,0.9407415705164108,0.9615296542248684,0.9208333333333333,0.8526315789473684,0.14736842105263157,0.07916666666666666
clinc150,0.25,13,frozen,1.1,0.9094741773041338,0.9758733350087961,0.8515350877192982,0.9157894736842105,0.08421052631578947,0.14846491228070174
clinc150,0.25,13,frozen,1.2,0.4669456066945607,0.9858657243816255,0.3059210526315789,0.9824561403508771,0.017543859649122806,0.694078947368421
clinc150,0.25,13,frozen,1.3,0.0,0.0,0.0,1.0,0.0,1.0
clinc150,0.25,42,trainable,0.75,0.9046532394086714,0.8260554448269614,0.9997807017543859,0.1578947368421053,0.8421052631578947,0.0002192982456140351
clinc150,0.25,42,trainable,0.85,0.9239849394525288,0.8619707613442187,0.9956140350877193,0.362280701754386,0.637719298245614,0.0043859649122807015
clinc150,0.25,42,trainable,0.9,0.9347983829169689,0.8863770395124828,0.9888157894736842,0.49298245614035086,0.5070175438596491,0.01118421052631579
clinc150,0.25,42,trainable,0.95,0.9443857052230915,0.911800734993875,0.9793859649122807,0.6210526315789473,0.37894736842105264,0.0206140350877193
clinc150,0.25,42,trainable,1.0,0.9479594040164111,0.9336452573373033,0.9627192982456141,0.7263157894736842,0.2736842105263158,0.03728070175438596
clinc150,0.25,42,trainable,1.05,0.9427907491424145,0.9515300424391333,0.9342105263157895,0.8096491228070175,0.19035087719298247,0.06578947368421052
clinc150,0.25,42,trainable,1.1,0.9247681209206459,0.9676491732566499,0.8855263157894737,0.881578947368421,0.11842105263157894,0.11447368421052631
clinc150,0.25,42,trainable,1.2,0.803687353934043,0.9850413749204329,0.6787280701754386,0.9587719298245614,0.0412280701754386,0.32127192982456143
clinc150,0.25,42,trainable,1.3,0.5352743561030235,0.9893554109994086,0.3668859649122807,0.9842105263157894,0.015789473684210527,0.6331140350877194
clinc150,0.25,42,frozen,0.75,0.9034175334323923,0.8238482384823849,1.0,0.14473684210526316,0.8552631578947368,0.0
clinc150,0.25,42,frozen,0.85,0.9194936708860759,0.8541862652869238,0.9956140350877193,0.3201754385964912,0.6798245614035088,0.0043859649122807015
clinc150,0.25,42,frozen,0.9,0.93161423414131,0.8794547224926972,0.9903508771929824,0.4570175438596491,0.5429824561403509,0.009649122807017544
clinc150,0.25,42,frozen,0.95,0.9399725709463024,0.9056718845293759,0.9769736842105263,0.5929824561403509,0.4070175438596491,0.023026315789473683
clinc150,0.25,42,frozen,1.0,0.9436910057502441,0.9338630019325747,0.9537280701754386,0.7298245614035088,0.27017543859649124,0.0462719298245614
clinc150,0.25,42,frozen,1.05,0.9307779030439685,0.9577726218097448,0.9052631578947369,0.8403508771929824,0.15964912280701754,0.09473684210526316
clinc150,0.25,42,frozen,1.1,0.8783247081477916,0.9733262203254202,0.800219298245614,0.9122807017543859,0.08771929824561403,0.19978070175438598
clinc150,0.25,42,frozen,1.2,0.5705836575875486,0.9828418230563003,0.4019736842105263,0.9719298245614035,0.028070175438596492,0.5980263157894737
clinc150,0.25,42,frozen,1.3,0.027675675675675675,0.9846153846153847,0.014035087719298246,0.9991228070175439,0.0008771929824561404,0.9859649122807017
clinc150,0.25,87,trainable,0.75,0.9073501545826268,0.8320834095481983,0.9975877192982456,0.1947368421052632,0.8052631578947368,0.002412280701754386
clinc150,0.25,87,trainable,0.85,0.92979399405555,0.872811237252261,0.9947368421052631,0.4201754385964912,0.5798245614035088,0.005263157894736842
clinc150,0.25,87,trainable,0.9,0.9413728353849363,0.8977317946677278,0.9894736842105263,0.5491228070175438,0.45087719298245615,0.010526315789473684
clinc150,0.25,87,trainable,0.95,0.9473684210526315,0.9177631578947368,0.9789473684210527,0.6491228070175439,0.3508771929824561,0.021052631578947368
clinc150,0.25,87,trainable,1.0,0.9473684210526315,0.9358151476251605,0.9592105263157895,0.736842105263158,0.2631578947368421,0.04078947368421053
clinc150,0.25,87,trainable,1.05,0.9417400022279159,0.9569843785374689,0.9269736842105263,0.8333333333333334,0.16666666666666666,0.07302631578947369
clinc150,0.25,87,trainable,1.1,0.9230592029486293,0.9721009218825812,0.8787280701754386,0.8991228070175439,0.10087719298245613,0.1212719298245614
clinc150,0.25,87,trainable,1.2,0.8203024865419124,0.987045033929673,0.7017543859649122,0.9631578947368421,0.03684210526315789,0.2982456140350877
clinc150,0.25,87,trainable,1.3,0.5689682166901519,0.9945265462506842,0.39846491228070174,0.9912280701754386,0.008771929824561403,0.6015350877192982
clinc150,0.25,87,frozen,0.75,0.906265564299233,0.8302609965322139,0.9975877192982456,0.1842105263157895,0.8157894736842105,0.002412280701754386
clinc150,0.25,87,frozen,0.85,0.926644871270944,0.8674445294567712,0.9945175438596491,0.39210526315789473,0.6078947368421053,0.005482456140350877
clinc150,0.25,87,frozen,0.9,0.9366351056081574,0.8911106711542269,0.9870614035087719,0.5175438596491229,0.4824561403508772,0.01293859649122807
clinc150,0.25,87,frozen,0.95,0.9409013605442177,0.9129537953795379,0.9706140350877193,0.6298245614035087,0.3701754385964912,0.029385964912280703
clinc150,0.25,87,frozen,1.0,0.9414463622460126,0.9379625598606879,0.9449561403508772,0.75,0.25,0.055043859649122805
clinc150,0.25,87,frozen,1.05,0.9266461958375981,0.96243798724309,0.8934210526315789,0.8605263157894737,0.1394736842105263,0.10657894736842105
clinc150,0.25,87,frozen,1.1,0.8791817087845968,0.9741333333333333,0.8010964912280701,0.9149122807017543,0.08508771929824561,0.19890350877192983
clinc150,0.25,87,frozen,1.2,0.5738671632526381,0.9814225053078556,0.4054824561403509,0.9692982456140351,0.03070175438596491,0.5945175438596492
