dataset,kir,seed,comparison,native_method,metric,raw_delta,better_delta
clinc150,0.5,13,trainable_gate_minus_native,msp,oos_f1,0.04438949991745211,0.04438949991745211
clinc150,0.5,42,trainable_gate_minus_native,msp,oos_f1,0.01446889907316673,0.01446889907316673
clinc150,0.5,87,trainable_gate_minus_native,msp,oos_f1,0.0027126293210804064,0.0027126293210804064
clinc150,0.5,13,trainable_gate_minus_native,msp,f1_all,-0.027218168428186806,-0.027218168428186806
clinc150,0.5,42,trainable_gate_minus_native,msp,f1_all,-0.05485207942722503,-0.05485207942722503
clinc150,0.5,87,trainable_gate_minus_native,msp,f1_all,-0.04904206266112565,-0.04904206266112565
clinc150,0.5,13,trainable_gate_minus_native,msp,known_recall,-0.21599999999999997,-0.21599999999999997
clinc150,0.5,42,trainable_gate_minus_native,msp,known_recall,-0.21333333333333337,-0.21333333333333337
clinc150,0.5,87,trainable_gate_minus_native,msp,known_recall,-0.19466666666666665,-0.19466666666666665
clinc150,0.5,13,trainable_gate_minus_native,msp,false_accept_rate,-0.1901449275362319,0.1901449275362319
clinc150,0.5,42,trainable_gate_minus_native,msp,false_accept_rate,-0.1373913043478261,0.1373913043478261
clinc150,0.5,87,trainable_gate_minus_native,msp,false_accept_rate,-0.11043478260869559,0.11043478260869559
clinc150,0.5,13,trainable_gate_minus_native,msp,false_reject_rate,0.216,-0.216
clinc150,0.5,42,trainable_gate_minus_native,msp,false_reject_rate,0.2133333333333334,-0.2133333333333334
clinc150,0.5,87,trainable_gate_minus_native,msp,false_reject_rate,0.1946666666666667,-0.1946666666666667
clinc150,0.5,13,trainable_gate_minus_native,msp,auroc,-0.0057168438003224464,-0.0057168438003224464
clinc150,0.5,42,trainable_gate_minus_native,msp,auroc,-0.015909049919484386,-0.015909049919484386
clinc150,0.5,87,trainable_gate_minus_native,msp,auroc,-0.013209790660225651,-0.013209790660225651
clinc150,0.5,13,trainable_gate_minus_native,msp,aupr_oos,-0.0027510924086455724,-0.0027510924086455724
clinc150,0.5,42,trainable_gate_minus_native,msp,aupr_oos,-0.014515161574890967,-0.014515161574890967
clinc150,0.5,87,trainable_gate_minus_native,msp,aupr_oos,-0.014031797105929944,-0.014031797105929944
clinc150,0.5,13,trainable_gate_minus_native,msp,accuracy,0.03087719298245617,0.03087719298245617
clinc150,0.5,42,trainable_gate_minus_native,msp,accuracy,0.0,0.0
clinc150,0.5,87,trainable_gate_minus_native,msp,accuracy,-0.007894736842105177,-0.007894736842105177
clinc150,0.5,13,trainable_gate_minus_native,energy,oos_f1,0.029435947907423654,0.029435947907423654
clinc150,0.5,42,trainable_gate_minus_native,energy,oos_f1,0.020355269553726574,0.020355269553726574
clinc150,0.5,87,trainable_gate_minus_native,energy,oos_f1,0.014081669410202613,0.014081669410202613
clinc150,0.5,13,trainable_gate_minus_native,energy,f1_all,-0.033580166579063375,-0.033580166579063375
clinc150,0.5,42,trainable_gate_minus_native,energy,f1_all,-0.04012761301025536,-0.04012761301025536
clinc150,0.5,87,trainable_gate_minus_native,energy,f1_all,-0.03686240565836818,-0.03686240565836818
clinc150,0.5,13,trainable_gate_minus_native,energy,known_recall,-0.2142222222222222,-0.2142222222222222
clinc150,0.5,42,trainable_gate_minus_native,energy,known_recall,-0.20800000000000018,-0.20800000000000018
clinc150,0.5,87,trainable_gate_minus_native,energy,known_recall,-0.20044444444444443,-0.20044444444444443
clinc150,0.5,13,trainable_gate_minus_native,energy,false_accept_rate,-0.1652173913043479,0.1652173913043479
clinc150,0.5,42,trainable_gate_minus_native,energy,false_accept_rate,-0.1443478260869565,0.1443478260869565
clinc150,0.5,87,trainable_gate_minus_native,energy,false_accept_rate,-0.13304347826086949,0.13304347826086949
clinc150,0.5,13,trainable_gate_minus_native,energy,false_reject_rate,0.2142222222222222,-0.2142222222222222
clinc150,0.5,42,trainable_gate_minus_native,energy,false_reject_rate,0.2080000000000001,-0.2080000000000001
clinc150,0.5,87,trainable_gate_minus_native,energy,false_reject_rate,0.20044444444444443,-0.20044444444444443
clinc150,0.5,13,trainable_gate_minus_native,energy,auroc,-0.00910325281803559,-0.00910325281803559
clinc150,0.5,42,trainable_gate_minus_native,energy,auroc,-0.013206956521738977,-0.013206956521738977
clinc150,0.5,87,trainable_gate_minus_native,energy,auroc,-0.01227117552334922,-0.01227117552334922
clinc150,0.5,13,trainable_gate_minus_native,energy,aupr_oos,-0.00611385799116182,-0.00611385799116182
clinc150,0.5,42,trainable_gate_minus_native,energy,aupr_oos,-0.013159204917260525,-0.013159204917260525
clinc150,0.5,87,trainable_gate_minus_native,energy,aupr_oos,-0.013691927530890435,-0.013691927530890435
clinc150,0.5,13,trainable_gate_minus_native,energy,accuracy,0.01736842105263159,0.01736842105263159
clinc150,0.5,42,trainable_gate_minus_native,energy,accuracy,0.008596491228070158,0.008596491228070158
clinc150,0.5,87,trainable_gate_minus_native,energy,accuracy,0.0054385964912281315,0.0054385964912281315
clinc150,0.5,13,trainable_gate_minus_native,knn,oos_f1,0.04579292539778901,0.04579292539778901
clinc150,0.5,42,trainable_gate_minus_native,knn,oos_f1,0.0356705737832389,0.0356705737832389
clinc150,0.5,87,trainable_gate_minus_native,knn,oos_f1,0.027273834536098107,0.027273834536098107
clinc150,0.5,13,trainable_gate_minus_native,knn,f1_all,-0.015452875390290055,-0.015452875390290055
clinc150,0.5,42,trainable_gate_minus_native,knn,f1_all,-0.018684587521694218,-0.018684587521694218
clinc150,0.5,87,trainable_gate_minus_native,knn,f1_all,-0.018868519159681907,-0.018868519159681907
clinc150,0.5,13,trainable_gate_minus_native,knn,known_recall,-0.20444444444444443,-0.20444444444444443
clinc150,0.5,42,trainable_gate_minus_native,knn,known_recall,-0.2088888888888889,-0.2088888888888889
clinc150,0.5,87,trainable_gate_minus_native,knn,known_recall,-0.1968888888888889,-0.1968888888888889
clinc150,0.5,13,trainable_gate_minus_native,knn,false_accept_rate,-0.1866666666666667,0.1866666666666667
clinc150,0.5,42,trainable_gate_minus_native,knn,false_accept_rate,-0.16956521739130428,0.16956521739130428
clinc150,0.5,87,trainable_gate_minus_native,knn,false_accept_rate,-0.15333333333333332,0.15333333333333332
clinc150,0.5,13,trainable_gate_minus_native,knn,false_reject_rate,0.2044444444444444,-0.2044444444444444
clinc150,0.5,42,trainable_gate_minus_native,knn,false_reject_rate,0.2088888888888889,-0.2088888888888889
clinc150,0.5,87,trainable_gate_minus_native,knn,false_reject_rate,0.19688888888888892,-0.19688888888888892
clinc150,0.5,13,trainable_gate_minus_native,knn,auroc,0.0031152334943637117,0.0031152334943637117
clinc150,0.5,42,trainable_gate_minus_native,knn,auroc,-0.01026486312399355,-0.01026486312399355
clinc150,0.5,87,trainable_gate_minus_native,knn,auroc,-0.012044959742351202,-0.012044959742351202
clinc150,0.5,13,trainable_gate_minus_native,knn,aupr_oos,6.264072808725984e-05,6.264072808725984e-05
clinc150,0.5,42,trainable_gate_minus_native,knn,aupr_oos,-0.009808344025018956,-0.009808344025018956
clinc150,0.5,87,trainable_gate_minus_native,knn,aupr_oos,-0.014704053332891598,-0.014704053332891598
clinc150,0.5,13,trainable_gate_minus_native,knn,accuracy,0.036666666666666736,0.036666666666666736
clinc150,0.5,42,trainable_gate_minus_native,knn,accuracy,0.02631578947368418,0.02631578947368418
clinc150,0.5,87,trainable_gate_minus_native,knn,accuracy,0.021228070175438596,0.021228070175438596
clinc150,0.5,13,trainable_gate_minus_native,lof,oos_f1,0.15211424471325763,0.15211424471325763
clinc150,0.5,42,trainable_gate_minus_native,lof,oos_f1,0.09330293382928645,0.09330293382928645
clinc150,0.5,87,trainable_gate_minus_native,lof,oos_f1,0.10645210690250195,0.10645210690250195
clinc150,0.5,13,trainable_gate_minus_native,lof,f1_all,0.03853424292283214,0.03853424292283214
clinc150,0.5,42,trainable_gate_minus_native,lof,f1_all,0.017439342903139088,0.017439342903139088
clinc150,0.5,87,trainable_gate_minus_native,lof,f1_all,0.033713448246217914,0.033713448246217914
clinc150,0.5,13,trainable_gate_minus_native,lof,known_recall,-0.21733333333333338,-0.21733333333333338
