dataset,kir,native_method,metric,n_seeds,mean_delta,mean_better_delta,std_better_delta,ci95_low,ci95_high,wins,ties,losses,effect_size
clinc150,0.5,msp,oos_f1,3,0.02052367610389975,0.02052367610389975,0.02148803456218361,0.0027126293210804064,0.04438949991745211,3,0,0,0.9551211416989708
clinc150,0.5,msp,f1_all,3,-0.043704103505512494,-0.043704103505512494,0.014569784323590284,-0.05485207942722503,-0.027218168428186806,0,0,3,-2.9996397019240804
clinc150,0.5,msp,known_recall,3,-0.208,-0.208,0.011623730516108469,-0.21599999999999997,-0.19466666666666665,0,0,3,-17.894427241903806
clinc150,0.5,msp,false_accept_rate,3,-0.1459903381642512,0.1459903381642512,0.040544843544207045,-0.1901449275362319,-0.11043478260869559,3,0,0,3.600712825666088
clinc150,0.5,msp,false_reject_rate,3,0.20800000000000005,-0.20800000000000005,0.011623730516108453,0.19466666666666668,0.216,0,0,3,-17.894427241903838
clinc150,0.5,msp,auroc,3,-0.01161189479334416,-0.01161189479334416,0.005280645774421745,-0.015909049919484386,-0.0057168438003224464,0,0,3,-2.198953554050066
clinc150,0.5,msp,aupr_oos,3,-0.010432683696488828,-0.010432683696488828,0.006656841881670733,-0.014515161574890967,-0.0027510924086455724,0,0,3,-1.567212182884301
clinc150,0.5,msp,accuracy,3,0.007660818713450331,0.007660818713450331,0.020489796072690438,-0.007894736842105177,0.03087719298245617,1,1,1,0.37388457582850004
clinc150,0.5,energy,oos_f1,3,0.021290962290450948,0.021290962290450948,0.0077197867662083235,0.014081669410202613,0.029435947907423654,3,0,0,2.757972847598262
clinc150,0.5,energy,f1_all,3,-0.036856728415895636,-0.036856728415895636,0.003273726907615192,-0.04012761301025536,-0.033580166579063375,0,0,3,-11.258339334952229
clinc150,0.5,energy,known_recall,3,-0.2075555555555556,-0.2075555555555556,0.006899633198337795,-0.2142222222222222,-0.20044444444444443,0,0,3,-30.08211445291878
clinc150,0.5,energy,false_accept_rate,3,-0.14753623188405796,0.14753623188405796,0.01632221243513177,-0.1652173913043479,-0.13304347826086949,3,0,0,9.03898490908637
clinc150,0.5,energy,false_reject_rate,3,0.20755555555555558,-0.20755555555555558,0.006899633198337792,0.20044444444444443,0.2142222222222222,0,0,3,-30.082114452918788
clinc150,0.5,energy,auroc,3,-0.01152712828770793,-0.01152712828770793,0.00215065123592746,-0.013206956521738977,-0.00910325281803559,0,0,3,-5.359831522258374
clinc150,0.5,energy,aupr_oos,3,-0.010988330146437594,-0.010988330146437594,0.004229811749970358,-0.013691927530890435,-0.00611385799116182,0,0,3,-2.597829595256715
clinc150,0.5,energy,accuracy,3,0.01046783625730996,0.01046783625730996,0.006181150999636854,0.0054385964912281315,0.01736842105263159,3,0,0,1.693509227961742
clinc150,0.5,knn,oos_f1,3,0.036245777905708675,0.036245777905708675,0.009272935156829823,0.027273834536098107,0.04579292539778901,3,0,0,3.90877077135738
clinc150,0.5,knn,f1_all,3,-0.017668660690555393,-0.017668660690555393,0.0019211288568227731,-0.018868519159681907,-0.015452875390290055,0,0,3,-9.197020089415767
clinc150,0.5,knn,known_recall,3,-0.2034074074074074,-0.2034074074074074,0.006066843030946158,-0.2088888888888889,-0.1968888888888889,0,0,3,-33.527718843202855
clinc150,0.5,knn,false_accept_rate,3,-0.1698550724637681,0.1698550724637681,0.016668556918643357,-0.18666666666666668,-0.15333333333333332,3,0,0,10.190148630910546
clinc150,0.5,knn,false_reject_rate,3,0.2034074074074074,-0.2034074074074074,0.0060668430309461395,0.19688888888888892,0.2088888888888889,0,0,3,-33.527718843202955
clinc150,0.5,knn,auroc,3,-0.006398196457327014,-0.006398196457327014,0.008286808678675208,-0.012044959742351202,0.0031152334943637117,1,0,2,-0.7720941444915654
clinc150,0.5,knn,aupr_oos,3,-0.008149918876607765,-0.008149918876607765,0.007521741410890106,-0.014704053332891598,6.264072808725984e-05,1,0,2,-1.0835148978676896
clinc150,0.5,knn,accuracy,3,0.028070175438596506,0.028070175438596506,0.007867399061325888,0.021228070175438596,0.036666666666666736,3,0,0,3.567910464410313
clinc150,0.5,lof,oos_f1,3,0.11728976181501534,0.11728976181501534,0.030867193668599368,0.09330293382928645,0.15211424471325763,3,0,0,3.7998194158587237
clinc150,0.5,lof,f1_all,3,0.02989567802406305,0.02989567802406305,0.011053516581255524,0.017439342903139088,0.03853424292283214,3,0,0,2.704630495127671
clinc150,0.5,lof,known_recall,3,-0.21377777777777784,-0.21377777777777784,0.005777777777777719,-0.21733333333333338,-0.20711111111111125,0,0,3,-37.000000000000384
clinc150,0.5,lof,false_accept_rate,3,-0.2959420289855072,0.2959420289855072,0.04505265420498194,-0.3466666666666667,-0.2605797101449275,3,0,0,6.568803419195263
clinc150,0.5,lof,false_reject_rate,3,0.21377777777777776,-0.21377777777777776,0.0057777777777777576,0.20711111111111113,0.2173333333333333,0,0,3,-37.00000000000013
clinc150,0.5,lof,auroc,3,0.00945631776704233,0.00945631776704233,0.006698091155109281,0.003666215780998461,0.016792141706924002,3,0,0,1.4117929344435813
clinc150,0.5,lof,aupr_oos,3,0.008957426312783623,0.008957426312783623,0.007077926907549761,0.003387975378402408,0.016922205981018568,3,0,0,1.2655437714719928
clinc150,0.5,lof,accuracy,3,0.10152046783625734,0.10152046783625734,0.02551792430547115,0.07947368421052625,0.1294736842105264,3,0,0,3.9783983454520606
banking77,0.5,msp,oos_f1,3,0.12210509922390782,0.12210509922390782,0.008537219763208611,0.11703691600079169,0.13196170818935538,3,0,0,14.302677289639794
banking77,0.5,msp,f1_all,3,0.020606244990554152,0.020606244990554152,0.005393197062260837,0.01733621108379635,0.026831113056863587,3,0,0,3.8207847317034584
banking77,0.5,msp,known_recall,3,-0.11951754385964915,-0.11951754385964915,0.0047593277224145985,-0.125,-0.11644736842105274,0,0,3,-25.112274428333144
