dataset,kir,intent,known_count_mean,trainable_correct_rate,mogb_correct_rate,trainable_reject_rate,mogb_reject_rate,trainable_wrong_intent_rate,mogb_wrong_intent_rate,n_seeds,correct_rate_delta
banking77,0.25,Refund_not_showing_up,40.0,0.8625,0.6125,0.1375,0.38749999999999996,0.0,0.0,2,0.25
banking77,0.25,activate_my_card,40.0,0.85,0.65,0.15,0.35,0.0,0.0,1,0.19999999999999996
banking77,0.25,apple_pay_or_google_pay,40.0,0.875,0.475,0.125,0.525,0.0,0.0,1,0.4
banking77,0.25,atm_support,40.0,0.8416666666666667,0.5,0.15,0.5,0.008333333333333333,0.0,3,0.3416666666666667
banking77,0.25,automatic_top_up,40.0,0.85,0.3,0.15,0.7000000000000001,0.0,0.0,3,0.55
banking77,0.25,balance_not_updated_after_bank_transfer,40.0,0.925,0.275,0.025,0.725,0.05,0.0,1,0.65
banking77,0.25,balance_not_updated_after_cheque_or_cash_deposit,40.0,0.8,0.25,0.2,0.75,0.0,0.0,1,0.55
banking77,0.25,beneficiary_not_allowed,40.0,0.7,0.4,0.275,0.6,0.025,0.0,1,0.29999999999999993
banking77,0.25,cancel_transfer,40.0,0.7875000000000001,0.48750000000000004,0.21250000000000002,0.5125,0.0,0.0,2,0.30000000000000004
banking77,0.25,card_about_to_expire,40.0,0.95,0.425,0.05,0.575,0.0,0.0,1,0.5249999999999999
banking77,0.25,card_acceptance,40.0,0.725,0.175,0.275,0.825,0.0,0.0,1,0.55
banking77,0.25,card_arrival,40.0,0.8666666666666667,0.35000000000000003,0.125,0.65,0.008333333333333333,0.0,3,0.5166666666666666
banking77,0.25,card_linking,40.0,0.85,0.4,0.15,0.6,0.0,0.0,1,0.44999999999999996
banking77,0.25,card_payment_fee_charged,40.0,0.825,0.325,0.175,0.675,0.0,0.0,1,0.49999999999999994
banking77,0.25,card_payment_wrong_exchange_rate,40.0,0.925,0.525,0.075,0.475,0.0,0.0,1,0.4
banking77,0.25,cash_withdrawal_charge,40.0,0.85,0.425,0.125,0.575,0.025,0.0,1,0.425
banking77,0.25,compromised_card,40.0,0.5916666666666667,0.15833333333333333,0.4083333333333334,0.8416666666666667,0.0,0.0,3,0.43333333333333335
banking77,0.25,contactless_not_working,40.0,0.8,0.4125,0.2,0.5874999999999999,0.0,0.0,2,0.38750000000000007
banking77,0.25,country_support,40.0,0.775,0.575,0.225,0.425,0.0,0.0,1,0.20000000000000007
banking77,0.25,declined_cash_withdrawal,40.0,0.875,0.2,0.1,0.8,0.025,0.0,1,0.675
banking77,0.25,declined_transfer,40.0,0.675,0.4625,0.3125,0.5375000000000001,0.0125,0.0,2,0.21250000000000002
banking77,0.25,direct_debit_payment_not_recognised,40.0,0.6916666666666668,0.325,0.30833333333333335,0.6749999999999999,0.0,0.0,3,0.36666666666666675
banking77,0.25,exchange_charge,40.0,0.8,0.35,0.2,0.65,0.0,0.0,1,0.45000000000000007
banking77,0.25,exchange_rate,40.0,0.9,0.525,0.1,0.475,0.0,0.0,2,0.375
banking77,0.25,exchange_via_app,40.0,0.7124999999999999,0.375,0.2875,0.625,0.0,0.0,2,0.3374999999999999
banking77,0.25,extra_charge_on_statement,40.0,0.725,0.375,0.275,0.625,0.0,0.0,1,0.35
banking77,0.25,failed_transfer,40.0,0.825,0.5,0.175,0.5,0.0,0.0,1,0.32499999999999996
banking77,0.25,getting_spare_card,40.0,0.75,0.375,0.25,0.625,0.0,0.0,1,0.375
banking77,0.25,getting_virtual_card,40.0,0.8625,0.55,0.1375,0.45,0.0,0.0,2,0.3125
banking77,0.25,lost_or_stolen_card,40.0,0.825,0.2,0.175,0.8,0.0,0.0,1,0.625
banking77,0.25,lost_or_stolen_phone,40.0,0.7,0.15,0.3,0.85,0.0,0.0,1,0.5499999999999999
banking77,0.25,order_physical_card,40.0,0.875,0.45,0.125,0.55,0.0,0.0,1,0.425
banking77,0.25,passcode_forgotten,40.0,0.875,0.525,0.125,0.475,0.0,0.0,1,0.35
banking77,0.25,pending_card_payment,40.0,0.6875,0.3875,0.3125,0.6125,0.0,0.0,2,0.3
banking77,0.25,pending_cash_withdrawal,40.0,0.7583333333333333,0.27499999999999997,0.2416666666666667,0.725,0.0,0.0,3,0.48333333333333334
banking77,0.25,pending_transfer,40.0,0.7166666666666667,0.24166666666666667,0.10833333333333334,0.7083333333333334,0.17500000000000002,0.049999999999999996,3,0.475
banking77,0.25,pin_blocked,40.0,0.725,0.475,0.275,0.525,0.0,0.0,1,0.25
banking77,0.25,receiving_money,40.0,0.8374999999999999,0.2,0.16249999999999998,0.8,0.0,0.0,2,0.6375
banking77,0.25,reverted_card_payment?,40.0,0.8374999999999999,0.4125,0.16249999999999998,0.5874999999999999,0.0,0.0,2,0.42499999999999993
banking77,0.25,terminate_account,40.0,0.8374999999999999,0.475,0.16249999999999998,0.525,0.0,0.0,2,0.36249999999999993
banking77,0.25,top_up_by_bank_transfer_charge,40.0,0.775,0.525,0.2,0.475,0.025,0.0,1,0.25
banking77,0.25,top_up_by_card_charge,40.0,0.925,0.275,0.075,0.725,0.0,0.0,1,0.65
banking77,0.25,top_up_by_cash_or_cheque,40.0,0.8,0.525,0.2,0.475,0.0,0.0,1,0.275
banking77,0.25,top_up_failed,40.0,0.875,0.525,0.125,0.475,0.0,0.0,1,0.35
banking77,0.25,top_up_limits,40.0,0.9,0.55,0.1,0.45,0.0,0.0,1,0.35
banking77,0.25,top_up_reverted,40.0,0.8374999999999999,0.36250000000000004,0.16249999999999998,0.6375,0.0,0.0,2,0.47499999999999987
banking77,0.25,transaction_charged_twice,40.0,0.8875,0.35,0.1125,0.65,0.0,0.0,2,0.5375
banking77,0.25,transfer_fee_charged,40.0,0.875,0.4166666666666667,0.125,0.5833333333333334,0.0,0.0,3,0.4583333333333333
banking77,0.25,transfer_into_account,40.0,0.725,0.36250000000000004,0.275,0.6375,0.0,0.0,2,0.36249999999999993
banking77,0.25,transfer_not_received_by_recipient,40.0,0.675,0.275,0.325,0.725,0.0,0.0,1,0.4
banking77,0.25,transfer_timing,40.0,0.8,0.4,0.2,0.6,0.0,0.0,1,0.4
banking77,0.25,unable_to_verify_identity,40.0,0.7833333333333333,0.47500000000000003,0.21666666666666667,0.525,0.0,0.0,3,0.3083333333333333
banking77,0.25,verify_my_identity,40.0,0.85,0.65,0.15,0.35,0.0,0.0,1,0.19999999999999996
banking77,0.25,verify_source_of_funds,40.0,0.95,0.525,0.05,0.475,0.0,0.0,2,0.42499999999999993
banking77,0.25,verify_top_up,40.0,0.95,0.5625,0.05,0.4375,0.0,0.0,2,0.38749999999999996
banking77,0.25,why_verify_identity,40.0,0.9624999999999999,0.5125,0.025,0.4875,0.0125,0.0,2,0.44999999999999996
banking77,0.25,wrong_amount_of_cash_received,40.0,0.8374999999999999,0.325,0.15,0.675,0.0125,0.0,2,0.5125
banking77,0.25,wrong_exchange_rate_for_cash_withdrawal,40.0,0.7375,0.3375,0.25,0.6625000000000001,0.0125,0.0,2,0.4
banking77,0.5,Refund_not_showing_up,40.0,0.88125,0.55625,0.10625,0.44375,0.0125,0.0,4,0.32499999999999996
banking77,0.5,activate_my_card,40.0,0.8374999999999999,0.525,0.15,0.47500000000000003,0.0125,0.0,2,0.3124999999999999
banking77,0.5,age_limit,40.0,0.85,0.6,0.15,0.4,0.0,0.0,1,0.25
banking77,0.5,apple_pay_or_google_pay,40.0,0.875,0.41250000000000003,0.125,0.5875,0.0,0.0,2,0.46249999999999997
banking77,0.5,atm_support,40.0,0.86875,0.48125,0.13125,0.51875,0.0,0.0,4,0.3875
banking77,0.5,automatic_top_up,40.0,0.85,0.35000000000000003,0.15,0.65,0.0,0.0,3,0.49999999999999994
banking77,0.5,balance_not_updated_after_bank_transfer,40.0,0.875,0.1,0.0625,0.8875,0.0625,0.0125,2,0.775
banking77,0.5,balance_not_updated_after_cheque_or_cash_deposit,40.0,0.7875000000000001,0.2,0.21250000000000002,0.8,0.0,0.0,2,0.5875000000000001
banking77,0.5,beneficiary_not_allowed,40.0,0.7124999999999999,0.3375,0.2625,0.6625000000000001,0.025,0.0,2,0.3749999999999999
banking77,0.5,cancel_transfer,40.0,0.8166666666666668,0.45,0.18333333333333335,0.5499999999999999,0.0,0.0,3,0.36666666666666675
banking77,0.5,card_about_to_expire,40.0,0.8875,0.45,0.0875,0.55,0.025,0.0,2,0.43749999999999994
banking77,0.5,card_acceptance,40.0,0.75,0.225,0.25,0.775,0.0,0.0,1,0.525
