dataset,kir,seed,method,recomputed_f1_all,source_f1_all,abs_delta
clinc150,0.25,13,trainable_k1,0.8010298070270483,0.8010298070270482,1.1102230246251565e-16
clinc150,0.25,13,mogb_minilm,0.5527994208886718,0.552799420888672,1.1102230246251565e-16
clinc150,0.25,42,trainable_k1,0.7837064085470472,0.7837064085470472,0.0
clinc150,0.25,42,mogb_minilm,0.46901886073036625,0.4690188607303663,5.551115123125783e-17
clinc150,0.25,87,trainable_k1,0.7856815672130489,0.7856815672130488,1.1102230246251565e-16
clinc150,0.25,87,mogb_minilm,0.5165800461524818,0.5165800461524818,0.0
clinc150,0.25,100,trainable_k1,0.8293119919847214,0.8293119919847214,0.0
clinc150,0.25,100,mogb_minilm,0.5427412747637941,0.5427412747637941,0.0
clinc150,0.25,123,trainable_k1,0.7847672034972499,0.7847672034972499,0.0
clinc150,0.25,123,mogb_minilm,0.5308783798214524,0.5308783798214524,0.0
clinc150,0.5,13,trainable_k1,0.8261993158424225,0.8261993158424226,1.1102230246251565e-16
clinc150,0.5,13,mogb_minilm,0.4490273375575833,0.4490273375575833,0.0
clinc150,0.5,42,trainable_k1,0.8075141354234162,0.8075141354234163,1.1102230246251565e-16
clinc150,0.5,42,mogb_minilm,0.4275814690032287,0.4275814690032287,0.0
clinc150,0.5,87,trainable_k1,0.8234017136184872,0.8234017136184874,1.1102230246251565e-16
clinc150,0.5,87,mogb_minilm,0.4714741018932011,0.4714741018932011,0.0
clinc150,0.5,100,trainable_k1,0.824919460048002,0.8249194600480021,1.1102230246251565e-16
clinc150,0.5,100,mogb_minilm,0.4621121291551101,0.4621121291551101,0.0
clinc150,0.5,123,trainable_k1,0.8087962224646499,0.8087962224646499,0.0
clinc150,0.5,123,mogb_minilm,0.43749498188538666,0.4374949818853867,5.551115123125783e-17
clinc150,0.75,13,trainable_k1,0.8206112737544196,0.8206112737544194,1.1102230246251565e-16
clinc150,0.75,13,mogb_minilm,0.40441353203797437,0.4044135320379743,5.551115123125783e-17
clinc150,0.75,42,trainable_k1,0.8243822570456019,0.824382257045602,1.1102230246251565e-16
clinc150,0.75,42,mogb_minilm,0.40010798593955027,0.4001079859395502,5.551115123125783e-17
clinc150,0.75,87,trainable_k1,0.827797940585045,0.827797940585045,0.0
clinc150,0.75,87,mogb_minilm,0.4206219092079394,0.4206219092079394,0.0
clinc150,0.75,100,trainable_k1,0.8404279677580849,0.840427967758085,1.1102230246251565e-16
clinc150,0.75,100,mogb_minilm,0.42784461002827956,0.4278446100282795,5.551115123125783e-17
clinc150,0.75,123,trainable_k1,0.832403460304184,0.8324034603041841,1.1102230246251565e-16
clinc150,0.75,123,mogb_minilm,0.43686651767933854,0.4368665176793386,5.551115123125783e-17
banking77,0.25,13,trainable_k1,0.7691237472003841,0.7691237472003842,1.1102230246251565e-16
banking77,0.25,13,mogb_minilm,0.5220544414587289,0.5220544414587288,1.1102230246251565e-16
banking77,0.25,42,trainable_k1,0.7939882940487182,0.7939882940487182,0.0
banking77,0.25,42,mogb_minilm,0.6009923308051042,0.6009923308051042,0.0
banking77,0.25,87,trainable_k1,0.8149099652712801,0.8149099652712799,2.220446049250313e-16
banking77,0.25,87,mogb_minilm,0.5704707487833718,0.5704707487833717,1.1102230246251565e-16
banking77,0.25,100,trainable_k1,0.797671004989283,0.7976710049892831,1.1102230246251565e-16
banking77,0.25,100,mogb_minilm,0.5420944839644021,0.5420944839644022,1.1102230246251565e-16
banking77,0.25,123,trainable_k1,0.7498148479796339,0.7498148479796339,0.0
banking77,0.25,123,mogb_minilm,0.5581741558238851,0.5581741558238851,0.0
banking77,0.5,13,trainable_k1,0.8199086432567366,0.8199086432567366,0.0
banking77,0.5,13,mogb_minilm,0.4863692965093084,0.4863692965093084,0.0
banking77,0.5,42,trainable_k1,0.8168639763258652,0.8168639763258652,0.0
banking77,0.5,42,mogb_minilm,0.45445254397180335,0.4544525439718033,5.551115123125783e-17
banking77,0.5,87,trainable_k1,0.8324583407388372,0.8324583407388371,1.1102230246251565e-16
banking77,0.5,87,mogb_minilm,0.5114395025574959,0.511439502557496,1.1102230246251565e-16
banking77,0.5,100,trainable_k1,0.8064088330915218,0.8064088330915219,1.1102230246251565e-16
banking77,0.5,100,mogb_minilm,0.4681933295043734,0.4681933295043734,0.0
banking77,0.5,123,trainable_k1,0.8080381054482829,0.8080381054482829,0.0
banking77,0.5,123,mogb_minilm,0.5095860938475171,0.5095860938475171,0.0
banking77,0.75,13,trainable_k1,0.8297927993746245,0.8297927993746245,0.0
banking77,0.75,13,mogb_minilm,0.43331697365801203,0.433316973658012,5.551115123125783e-17
banking77,0.75,42,trainable_k1,0.8465133935600306,0.8465133935600306,0.0
banking77,0.75,42,mogb_minilm,0.4086718495158097,0.4086718495158096,1.1102230246251565e-16
banking77,0.75,87,trainable_k1,0.8495955076276698,0.8495955076276699,1.1102230246251565e-16
banking77,0.75,87,mogb_minilm,0.4486180681538979,0.4486180681538979,0.0
banking77,0.75,100,trainable_k1,0.8422789425569617,0.8422789425569616,1.1102230246251565e-16
banking77,0.75,100,mogb_minilm,0.40993560511764515,0.4099356051176451,5.551115123125783e-17
banking77,0.75,123,trainable_k1,0.8383752198051534,0.8383752198051533,1.1102230246251565e-16
banking77,0.75,123,mogb_minilm,0.41909875580310474,0.4190987558031048,5.551115123125783e-17
stackoverflow,0.25,13,trainable_k1,0.8376694373285116,0.8376694373285117,1.1102230246251565e-16
stackoverflow,0.25,13,mogb_minilm,0.5471203003166764,0.5471203003166764,0.0
stackoverflow,0.25,42,trainable_k1,0.8737185899712864,0.8737185899712864,0.0
stackoverflow,0.25,42,mogb_minilm,0.49774746978564804,0.497747469785648,5.551115123125783e-17
stackoverflow,0.25,87,trainable_k1,0.886162434075719,0.886162434075719,0.0
stackoverflow,0.25,87,mogb_minilm,0.49949480995128165,0.4994948099512815,1.6653345369377348e-16
stackoverflow,0.25,100,trainable_k1,0.900813802289263,0.9008138022892632,2.220446049250313e-16
stackoverflow,0.25,100,mogb_minilm,0.5480994069507599,0.5480994069507599,0.0
stackoverflow,0.25,123,trainable_k1,0.8834991622766869,0.8834991622766871,2.220446049250313e-16
stackoverflow,0.25,123,mogb_minilm,0.6110573406094942,0.6110573406094942,0.0
stackoverflow,0.5,13,trainable_k1,0.8523954175911279,0.8523954175911279,0.0
stackoverflow,0.5,13,mogb_minilm,0.4585184886906548,0.4585184886906548,0.0
stackoverflow,0.5,42,trainable_k1,0.8576590966593717,0.8576590966593717,0.0
stackoverflow,0.5,42,mogb_minilm,0.44669996467555734,0.4466999646755574,5.551115123125783e-17
stackoverflow,0.5,87,trainable_k1,0.8595641369722073,0.8595641369722073,0.0
stackoverflow,0.5,87,mogb_minilm,0.44919686800965214,0.4491968680096521,5.551115123125783e-17
stackoverflow,0.5,100,trainable_k1,0.88358644804124,0.8835864480412401,1.1102230246251565e-16
stackoverflow,0.5,100,mogb_minilm,0.43671316510872044,0.4367131651087204,5.551115123125783e-17
stackoverflow,0.5,123,trainable_k1,0.874333776004836,0.874333776004836,0.0
stackoverflow,0.5,123,mogb_minilm,0.3737734824619086,0.3737734824619087,1.1102230246251565e-16
stackoverflow,0.75,13,trainable_k1,0.8731885403519126,0.8731885403519126,0.0
stackoverflow,0.75,13,mogb_minilm,0.3204666793469222,0.3204666793469222,0.0
stackoverflow,0.75,42,trainable_k1,0.871379383978064,0.871379383978064,0.0
stackoverflow,0.75,42,mogb_minilm,0.3126891283998402,0.3126891283998402,0.0
stackoverflow,0.75,87,trainable_k1,0.8674465948507031,0.867446594850703,1.1102230246251565e-16
stackoverflow,0.75,87,mogb_minilm,0.3585894215736091,0.3585894215736091,0.0
stackoverflow,0.75,100,trainable_k1,0.867750957051639,0.8677509570516391,1.1102230246251565e-16
stackoverflow,0.75,100,mogb_minilm,0.3475308153103965,0.3475308153103965,0.0
stackoverflow,0.75,123,trainable_k1,0.8842356034374308,0.8842356034374308,0.0
stackoverflow,0.75,123,mogb_minilm,0.3153855709596245,0.3153855709596245,0.0
