dataset,kir,mogb_score_bin,sample_count_sum,trainable_correct_rate_mean,mogb_correct_rate_mean,n_seeds
banking77,0.25,<=0.75,288,1.0,1.0,5
banking77,0.25,0.75-1.00,1231,0.9868974178276504,0.9950116550116551,5
banking77,0.25,1.00-1.25,1135,0.9122417204978831,0.0,5
banking77,0.25,1.25-1.50,670,0.5506963084590522,0.0,5
banking77,0.25,1.50-2.00,436,0.3336260162601626,0.0,5
banking77,0.25,>2.00,40,0.17666666666666667,0.0,5
banking77,0.5,<=0.75,391,1.0,1.0,5
banking77,0.5,0.75-1.00,2148,0.9878236134075561,0.9949227563951372,5
banking77,0.5,1.00-1.25,2211,0.9038584164372768,0.0,5
banking77,0.5,1.25-1.50,1506,0.6587461971342734,0.0,5
banking77,0.5,1.50-2.00,1166,0.45279256474390567,0.0,5
banking77,0.5,>2.00,178,0.24472445384073288,0.0,5
banking77,0.75,<=0.75,577,0.9970149253731343,1.0,5
banking77,0.75,0.75-1.00,2760,0.9796316431903314,0.9909626759593199,5
banking77,0.75,1.00-1.25,3162,0.9060350077072605,0.0,5
banking77,0.75,1.25-1.50,2284,0.713109047012458,0.0,5
banking77,0.75,1.50-2.00,2278,0.5301392451109079,0.0,5
banking77,0.75,>2.00,539,0.42016254578754575,0.0,5
clinc150,0.25,<=0.75,186,1.0,1.0,5
clinc150,0.25,0.75-1.00,1929,0.9904833002213419,0.9989247774906691,5
clinc150,0.25,1.00-1.25,2600,0.7184808452565336,0.0,5
clinc150,0.25,1.25-1.50,794,0.23672776467142778,0.0,5
clinc150,0.25,1.50-2.00,183,0.12444444444444444,0.0,5
clinc150,0.25,>2.00,8,0.1111111111111111,0.0,5
clinc150,0.5,<=0.75,350,0.9944157582711799,0.9944157582711799,5
clinc150,0.5,0.75-1.00,3202,0.9873568686100656,0.9948818825800922,5
clinc150,0.5,1.00-1.25,5066,0.7694424647747498,0.0,5
clinc150,0.5,1.25-1.50,1999,0.3496963314153715,0.0,5
clinc150,0.5,1.50-2.00,595,0.2650804165900883,0.0,5
clinc150,0.5,>2.00,38,0.38136363636363635,0.0,5
clinc150,0.75,<=0.75,553,1.0,1.0,5
clinc150,0.75,0.75-1.00,4352,0.984793164889906,0.9930808680958089,5
clinc150,0.75,1.00-1.25,7200,0.7970949002904334,0.0,5
clinc150,0.75,1.25-1.50,3408,0.4300143692346195,0.0,5
clinc150,0.75,1.50-2.00,1180,0.300769118614035,0.0,5
clinc150,0.75,>2.00,107,0.4082330088212441,0.0,5
stackoverflow,0.25,<=0.75,29,1.0,1.0,5
stackoverflow,0.25,0.75-1.00,2417,0.9964601276578854,0.9978328152978053,5
stackoverflow,0.25,1.00-1.25,4568,0.8187658444683438,0.0,5
stackoverflow,0.25,1.25-1.50,468,0.19264162015171032,0.0,5
stackoverflow,0.25,1.50-2.00,18,0.05714285714285714,0.0,5
stackoverflow,0.25,>2.00,0,,,5
stackoverflow,0.5,<=0.75,33,1.0,1.0,5
stackoverflow,0.5,0.75-1.00,4031,0.9939814912455665,0.9928226128985234,5
stackoverflow,0.5,1.00-1.25,8690,0.8559140422022751,0.0,5
stackoverflow,0.5,1.25-1.50,2161,0.38546551016124775,0.0,5
stackoverflow,0.5,1.50-2.00,85,0.3520707070707071,0.0,5
stackoverflow,0.5,>2.00,0,,,5
stackoverflow,0.75,<=0.75,52,1.0,1.0,5
stackoverflow,0.75,0.75-1.00,4712,0.9923369564774946,0.9897571814542416,5
stackoverflow,0.75,1.00-1.25,11826,0.8797990698217584,0.0,5
stackoverflow,0.75,1.25-1.50,5606,0.5442318454630636,0.0,5
stackoverflow,0.75,1.50-2.00,304,0.4854506387921022,0.0,5
stackoverflow,0.75,>2.00,0,,,5
