dataset,kir,trainable_outcome,mogb_outcome,rate_mean,rate_std,count_sum,n_seeds
banking77,0.25,known_correct,known_correct,0.0975974025974026,0.005971731631701077,1503,5
banking77,0.25,known_correct,known_rejected,0.10220779220779222,0.00501620749793483,1574,5
banking77,0.25,known_correct,known_wrong_intent,0.0,0.0,0,5
banking77,0.25,known_correct,oos_correct,0.0,0.0,0,5
banking77,0.25,known_correct,oos_false_accept,0.0,0.0,0,5
banking77,0.25,known_rejected,known_correct,0.0006493506493506494,0.0006887403712855983,10,5
banking77,0.25,known_rejected,known_rejected,0.04415584415584416,0.0023299837815596316,680,5
banking77,0.25,known_rejected,known_wrong_intent,0.0,0.0,0,5
banking77,0.25,known_rejected,oos_correct,0.0,0.0,0,5
banking77,0.25,known_rejected,oos_false_accept,0.0,0.0,0,5
banking77,0.25,known_wrong_intent,known_correct,0.0,0.0,0,5
banking77,0.25,known_wrong_intent,known_rejected,0.0017532467532467531,0.0016964091529367703,27,5
banking77,0.25,known_wrong_intent,known_wrong_intent,0.0003896103896103896,0.0004233248315066655,6,5
banking77,0.25,known_wrong_intent,oos_correct,0.0,0.0,0,5
banking77,0.25,known_wrong_intent,oos_false_accept,0.0,0.0,0,5
banking77,0.25,oos_correct,known_correct,0.0,0.0,0,5
banking77,0.25,oos_correct,known_rejected,0.0,0.0,0,5
banking77,0.25,oos_correct,known_wrong_intent,0.0,0.0,0,5
banking77,0.25,oos_correct,oos_correct,0.6753896103896104,0.02525110024839369,10401,5
banking77,0.25,oos_correct,oos_false_accept,6.493506493506494e-05,0.00014519921931816816,1,5
banking77,0.25,oos_false_accept,known_correct,0.0,0.0,0,5
banking77,0.25,oos_false_accept,known_rejected,0.0,0.0,0,5
banking77,0.25,oos_false_accept,known_wrong_intent,0.0,0.0,0,5
banking77,0.25,oos_false_accept,oos_correct,0.06655844155844155,0.023467760655500176,1025,5
banking77,0.25,oos_false_accept,oos_false_accept,0.011233766233766233,0.004769523617780222,173,5
banking77,0.5,known_correct,known_correct,0.16305194805194806,0.010380474879709726,2511,5
banking77,0.5,known_correct,known_rejected,0.23175324675324677,0.007964147398484446,3569,5
banking77,0.5,known_correct,known_wrong_intent,0.00012987012987012987,0.000177831999189989,2,5
banking77,0.5,known_correct,oos_correct,0.0,0.0,0,5
banking77,0.5,known_correct,oos_false_accept,0.0,0.0,0,5
banking77,0.5,known_rejected,known_correct,0.001103896103896104,0.0006732610829002508,17,5
banking77,0.5,known_rejected,known_rejected,0.08662337662337663,0.0025191123040611482,1334,5
banking77,0.5,known_rejected,known_wrong_intent,6.493506493506494e-05,0.00014519921931816816,1,5
banking77,0.5,known_rejected,oos_correct,0.0,0.0,0,5
banking77,0.5,known_rejected,oos_false_accept,0.0,0.0,0,5
banking77,0.5,known_wrong_intent,known_correct,0.0,0.0,0,5
banking77,0.5,known_wrong_intent,known_rejected,0.01025974025974026,0.002086528443254498,158,5
banking77,0.5,known_wrong_intent,known_wrong_intent,0.0005194805194805195,0.0002903984386363363,8,5
banking77,0.5,known_wrong_intent,oos_correct,0.0,0.0,0,5
banking77,0.5,known_wrong_intent,oos_false_accept,0.0,0.0,0,5
banking77,0.5,oos_correct,known_correct,0.0,0.0,0,5
banking77,0.5,oos_correct,known_rejected,0.0,0.0,0,5
banking77,0.5,oos_correct,known_wrong_intent,0.0,0.0,0,5
banking77,0.5,oos_correct,oos_correct,0.42668831168831167,0.01736997815202585,6571,5
banking77,0.5,oos_correct,oos_false_accept,6.493506493506494e-05,0.00014519921931816816,1,5
banking77,0.5,oos_false_accept,known_correct,0.0,0.0,0,5
banking77,0.5,oos_false_accept,known_rejected,0.0,0.0,0,5
banking77,0.5,oos_false_accept,known_wrong_intent,0.0,0.0,0,5
banking77,0.5,oos_false_accept,oos_correct,0.07428571428571429,0.01507102149777308,1144,5
banking77,0.5,oos_false_accept,oos_false_accept,0.005454545454545454,0.0025295521014003187,84,5
banking77,0.75,known_correct,known_correct,0.21285714285714286,0.009386430457923844,3278,5
banking77,0.75,known_correct,known_rejected,0.3855844155844156,0.008686506131182855,5938,5
banking77,0.75,known_correct,known_wrong_intent,6.493506493506494e-05,0.00014519921931816816,1,5
banking77,0.75,known_correct,oos_correct,0.0,0.0,0,5
banking77,0.75,known_correct,oos_false_accept,0.0,0.0,0,5
banking77,0.75,known_rejected,known_correct,0.002012987012987013,0.0005807968772726727,31,5
banking77,0.75,known_rejected,known_rejected,0.13045454545454543,0.0027872955884850237,2009,5
banking77,0.75,known_rejected,known_wrong_intent,0.0,0.0,0,5
banking77,0.75,known_rejected,oos_correct,0.0,0.0,0,5
banking77,0.75,known_rejected,oos_false_accept,0.0,0.0,0,5
banking77,0.75,known_wrong_intent,known_correct,0.0001948051948051948,0.0002903984386363363,3,5
banking77,0.75,known_wrong_intent,known_rejected,0.02051948051948052,0.003939156074831977,316,5
banking77,0.75,known_wrong_intent,known_wrong_intent,0.0015584415584415584,0.0006245254565477708,24,5
banking77,0.75,known_wrong_intent,oos_correct,0.0,0.0,0,5
banking77,0.75,known_wrong_intent,oos_false_accept,0.0,0.0,0,5
banking77,0.75,oos_correct,known_correct,0.0,0.0,0,5
banking77,0.75,oos_correct,known_rejected,0.0,0.0,0,5
banking77,0.75,oos_correct,known_wrong_intent,0.0,0.0,0,5
banking77,0.75,oos_correct,oos_correct,0.1983116883116883,0.011189293397094421,3054,5
banking77,0.75,oos_correct,oos_false_accept,6.493506493506494e-05,0.00014519921931816816,1,5
banking77,0.75,oos_false_accept,known_correct,0.0,0.0,0,5
banking77,0.75,oos_false_accept,known_rejected,0.0,0.0,0,5
banking77,0.75,oos_false_accept,known_wrong_intent,0.0,0.0,0,5
banking77,0.75,oos_false_accept,oos_correct,0.04655844155844156,0.011030841169499706,717,5
banking77,0.75,oos_false_accept,oos_false_accept,0.0018181818181818182,0.0009353805383693463,28,5
clinc150,0.25,known_correct,known_correct,0.07354385964912281,0.005036646253074441,2096,5
clinc150,0.25,known_correct,known_rejected,0.07319298245614034,0.004229489461138014,2086,5
clinc150,0.25,known_correct,known_wrong_intent,0.0,0.0,0,5
clinc150,0.25,known_correct,oos_correct,0.0,0.0,0,5
clinc150,0.25,known_correct,oos_false_accept,0.0,0.0,0,5
clinc150,0.25,known_rejected,known_correct,0.0005964912280701755,0.00044034738238635555,17,5
clinc150,0.25,known_rejected,known_rejected,0.05210526315789473,0.0017674948841763056,1485,5
clinc150,0.25,known_rejected,known_wrong_intent,3.508771929824561e-05,7.84585255263084e-05,1,5
clinc150,0.25,known_rejected,oos_correct,0.0,0.0,0,5
clinc150,0.25,known_rejected,oos_false_accept,0.0,0.0,0,5
clinc150,0.25,known_wrong_intent,known_correct,0.0,0.0,0,5
clinc150,0.25,known_wrong_intent,known_rejected,0.0004912280701754385,0.00031383410210523364,14,5
clinc150,0.25,known_wrong_intent,known_wrong_intent,3.508771929824561e-05,7.84585255263084e-05,1,5
clinc150,0.25,known_wrong_intent,oos_correct,0.0,0.0,0,5
clinc150,0.25,known_wrong_intent,oos_false_accept,0.0,0.0,0,5
clinc150,0.25,oos_correct,known_correct,0.0,0.0,0,5
clinc150,0.25,oos_correct,known_rejected,0.0,0.0,0,5
clinc150,0.25,oos_correct,known_wrong_intent,0.0,0.0,0,5
clinc150,0.25,oos_correct,oos_correct,0.7738947368421052,0.00848966927840871,22056,5
clinc150,0.25,oos_correct,oos_false_accept,0.00021052631578947367,0.00038034181383647013,6,5
clinc150,0.25,oos_false_accept,known_correct,0.0,0.0,0,5
clinc150,0.25,oos_false_accept,known_rejected,0.0,0.0,0,5
clinc150,0.25,oos_false_accept,known_wrong_intent,0.0,0.0,0,5
clinc150,0.25,oos_false_accept,oos_correct,0.020842105263157894,0.007592053320588122,594,5
clinc150,0.25,oos_false_accept,oos_false_accept,0.0050526315789473685,0.002095738688984975,144,5
clinc150,0.5,known_correct,known_correct,0.12298245614035089,0.0058555506204486405,3505,5
clinc150,0.5,known_correct,known_rejected,0.16733333333333333,0.00435851056473133,4769,5
clinc150,0.5,known_correct,known_wrong_intent,0.00017543859649122808,0.00039229262763154204,5,5
clinc150,0.5,known_correct,oos_correct,0.0,0.0,0,5
clinc150,0.5,known_correct,oos_false_accept,0.0,0.0,0,5
clinc150,0.5,known_rejected,known_correct,0.0009473684210526316,0.0005054336944171205,27,5
clinc150,0.5,known_rejected,known_rejected,0.09989473684210526,0.0012808219121715064,2847,5
clinc150,0.5,known_rejected,known_wrong_intent,3.508771929824561e-05,7.84585255263084e-05,1,5
clinc150,0.5,known_rejected,oos_correct,0.0,0.0,0,5
clinc150,0.5,known_rejected,oos_false_accept,0.0,0.0,0,5
clinc150,0.5,known_wrong_intent,known_correct,7.017543859649122e-05,9.609167675529228e-05,2,5
clinc150,0.5,known_wrong_intent,known_rejected,0.00287719298245614,0.0019000899040789202,82,5
clinc150,0.5,known_wrong_intent,known_wrong_intent,0.00042105263157894734,0.0003637972167250477,12,5
clinc150,0.5,known_wrong_intent,oos_correct,0.0,0.0,0,5
clinc150,0.5,known_wrong_intent,oos_false_accept,0.0,0.0,0,5
clinc150,0.5,oos_correct,known_correct,0.0,0.0,0,5
clinc150,0.5,oos_correct,known_rejected,0.0,0.0,0,5
clinc150,0.5,oos_correct,known_wrong_intent,0.0,0.0,0,5
clinc150,0.5,oos_correct,oos_correct,0.5825263157894737,0.004406268793249279,16602,5
clinc150,0.5,oos_correct,oos_false_accept,0.00038596491228070175,0.0003138341021052336,11,5
clinc150,0.5,oos_false_accept,known_correct,0.0,0.0,0,5
clinc150,0.5,oos_false_accept,known_rejected,0.0,0.0,0,5
clinc150,0.5,oos_false_accept,known_wrong_intent,0.0,0.0,0,5
clinc150,0.5,oos_false_accept,oos_correct,0.01726315789473684,0.004401026769590747,492,5
clinc150,0.5,oos_false_accept,oos_false_accept,0.005087719298245614,0.0008771929824561407,145,5
clinc150,0.75,known_correct,known_correct,0.16933333333333334,0.007316441554514165,4826,5
clinc150,0.75,known_correct,known_rejected,0.2667719298245614,0.0033577132437340174,7603,5
clinc150,0.75,known_correct,known_wrong_intent,0.0004561403508771929,0.00020003077633318211,13,5
clinc150,0.75,known_correct,oos_correct,0.0,0.0,0,5
clinc150,0.75,known_correct,oos_false_accept,0.0,0.0,0,5
clinc150,0.75,known_rejected,known_correct,0.0016140350877192982,0.00033746287827493587,46,5
clinc150,0.75,known_rejected,known_rejected,0.14498245614035088,0.0049754707642540134,4132,5
clinc150,0.75,known_rejected,known_wrong_intent,7.017543859649122e-05,9.609167675529228e-05,2,5
clinc150,0.75,known_rejected,oos_correct,0.0,0.0,0,5
clinc150,0.75,known_rejected,oos_false_accept,0.0,0.0,0,5
clinc150,0.75,known_wrong_intent,known_correct,0.00010526315789473683,9.60916767552923e-05,3,5
clinc150,0.75,known_wrong_intent,known_rejected,0.005614035087719299,0.001758766461031879,160,5
clinc150,0.75,known_wrong_intent,known_wrong_intent,0.0005263157894736842,0.00021486752129676998,15,5
clinc150,0.75,known_wrong_intent,oos_correct,0.0,0.0,0,5
clinc150,0.75,known_wrong_intent,oos_false_accept,0.0,0.0,0,5
clinc150,0.75,oos_correct,known_correct,0.0,0.0,0,5
clinc150,0.75,oos_correct,known_rejected,0.0,0.0,0,5
clinc150,0.75,oos_correct,known_wrong_intent,0.0,0.0,0,5
clinc150,0.75,oos_correct,oos_correct,0.39343859649122803,0.0018002769869986531,11213,5
clinc150,0.75,oos_correct,oos_false_accept,0.0005964912280701755,0.0007504999872353487,17,5
clinc150,0.75,oos_false_accept,known_correct,0.0,0.0,0,5
clinc150,0.75,oos_false_accept,known_rejected,0.0,0.0,0,5
clinc150,0.75,oos_false_accept,known_wrong_intent,0.0,0.0,0,5
clinc150,0.75,oos_false_accept,oos_correct,0.01368421052631579,0.0015983216805516307,390,5
clinc150,0.75,oos_false_accept,oos_false_accept,0.0028070175438596493,0.001102614481576889,80,5
stackoverflow,0.25,known_correct,known_correct,0.08123333333333334,0.012267051624394325,2437,5
stackoverflow,0.25,known_correct,known_rejected,0.1280666666666667,0.012159586981289928,3842,5
stackoverflow,0.25,known_correct,known_wrong_intent,3.3333333333333335e-05,7.453559924999299e-05,1,5
stackoverflow,0.25,known_correct,oos_correct,0.0,0.0,0,5
stackoverflow,0.25,known_correct,oos_false_accept,0.0,0.0,0,5
stackoverflow,0.25,known_rejected,known_correct,0.0001,0.00014907119849998598,3,5
stackoverflow,0.25,known_rejected,known_rejected,0.03916666666666667,0.001581138830084188,1175,5
stackoverflow,0.25,known_rejected,known_wrong_intent,0.0,0.0,0,5
