dataset,kir,state,trainable_rate_all,trainable_rate_known,trainable_rate_oos,adb_rate_all,adb_rate_known,adb_rate_oos,delta_rate_all,delta_rate_known,delta_rate_oos
banking77,0.25,known_correct,0.19980519480519482,0.8097368421052632,,0.21240259740259743,0.8607894736842105,,-0.012597402597402607,-0.05105263157894735,
banking77,0.25,known_rejected,0.044805194805194806,0.18157894736842106,,0.030909090909090907,0.12526315789473683,,0.0138961038961039,0.056315789473684236,
banking77,0.25,known_wrong,0.002142857142857143,0.008684210526315789,,0.0034415584415584412,0.01394736842105263,,-0.0012987012987012983,-0.005263157894736841,
banking77,0.25,oos_correct_rejected,0.6754545454545455,,0.8967241379310344,0.5543506493506494,,0.735948275862069,0.12110389610389616,,0.16077586206896544
banking77,0.25,oos_false_accept,0.07779220779220779,,0.10327586206896551,0.1988961038961039,,0.26405172413793104,-0.12110389610389612,,-0.16077586206896555
banking77,0.5,known_correct,0.3949350649350649,0.8002631578947369,,0.4232467532467533,0.8576315789473684,,-0.0283116883116884,-0.05736842105263151,
banking77,0.5,known_rejected,0.0877922077922078,0.17789473684210527,,0.05357142857142857,0.10855263157894737,,0.03422077922077923,0.0693421052631579,
banking77,0.5,known_wrong,0.010779220779220779,0.021842105263157895,,0.01668831168831169,0.03381578947368421,,-0.005909090909090911,-0.011973684210526313,
banking77,0.5,oos_correct_rejected,0.4267532467532467,,0.8425641025641026,0.335974025974026,,0.6633333333333333,0.09077922077922074,,0.1792307692307693
banking77,0.5,oos_false_accept,0.07974025974025974,,0.15743589743589742,0.17051948051948052,,0.33666666666666667,-0.09077922077922078,,-0.17923076923076925
banking77,0.75,known_correct,0.5985064935064935,0.7945689655172414,,0.6513636363636364,0.8647413793103448,,-0.052857142857142825,-0.07017241379310335,
banking77,0.75,known_rejected,0.13246753246753246,0.17586206896551723,,0.07266233766233766,0.09646551724137932,,0.05980519480519479,0.07939655172413791,
banking77,0.75,known_wrong,0.02227272727272727,0.02956896551724138,,0.02922077922077922,0.03879310344827586,,-0.00694805194805195,-0.009224137931034482,
banking77,0.75,oos_correct_rejected,0.19837662337662337,,0.8039473684210525,0.15837662337662337,,0.6418421052631579,0.04000000000000001,,0.16210526315789464
banking77,0.75,oos_false_accept,0.04837662337662337,,0.19605263157894737,0.08837662337662337,,0.3581578947368421,-0.04,,-0.16210526315789475
clinc150,0.25,known_correct,0.14673684210526317,0.7336842105263158,,0.1805263157894737,0.9026315789473685,,-0.033789473684210536,-0.16894736842105262,
clinc150,0.25,known_rejected,0.05273684210526316,0.2636842105263158,,0.018035087719298244,0.09017543859649123,,0.034701754385964914,0.17350877192982456,
clinc150,0.25,known_wrong,0.0005263157894736842,0.002631578947368421,,0.0014385964912280703,0.007192982456140351,,-0.0009122807017543861,-0.004561403508771929,
clinc150,0.25,oos_correct_rejected,0.7741052631578947,,0.9676315789473684,0.6913333333333334,,0.8641666666666665,0.08277192982456139,,0.10346491228070187
clinc150,0.25,oos_false_accept,0.025894736842105266,,0.03236842105263158,0.10866666666666666,,0.13583333333333333,-0.0827719298245614,,-0.10346491228070176
clinc150,0.5,known_correct,0.29049122807017547,0.7359111111111111,,0.35371929824561404,0.8960888888888888,,-0.06322807017543858,-0.16017777777777775,
clinc150,0.5,known_rejected,0.10087719298245615,0.25555555555555554,,0.03614035087719299,0.09155555555555556,,0.06473684210526316,0.16399999999999998,
clinc150,0.5,known_wrong,0.0033684210526315787,0.008533333333333334,,0.0048771929824561406,0.012355555555555555,,-0.0015087719298245619,-0.0038222222222222216,
clinc150,0.5,oos_correct_rejected,0.5829122807017544,,0.9630724637681161,0.5184210526315789,,0.8565217391304347,0.06449122807017549,,0.10655072463768134
clinc150,0.5,oos_false_accept,0.022350877192982458,,0.036927536231884064,0.0868421052631579,,0.14347826086956522,-0.06449122807017545,,-0.10655072463768116
clinc150,0.75,known_correct,0.43656140350877193,0.7405952380952381,,0.5286315789473685,0.8967857142857143,,-0.09207017543859652,-0.1561904761904762,
clinc150,0.75,known_rejected,0.14666666666666667,0.2488095238095238,,0.04989473684210526,0.08464285714285714,,0.0967719298245614,0.16416666666666668,
clinc150,0.75,known_wrong,0.006245614035087719,0.010595238095238095,,0.010947368421052631,0.018571428571428572,,-0.004701754385964912,-0.007976190476190477,
clinc150,0.75,oos_correct_rejected,0.39403508771929824,,0.9598290598290597,0.3387368421052631,,0.8251282051282051,0.055298245614035124,,0.1347008547008547
clinc150,0.75,oos_false_accept,0.01649122807017544,,0.040170940170940174,0.07178947368421053,,0.17487179487179488,-0.05529824561403509,,-0.13470085470085472
stackoverflow,0.25,known_correct,0.20933333333333332,0.8373333333333333,,0.2077,0.8308,,0.00163333333333332,0.00653333333333328,
stackoverflow,0.25,known_rejected,0.039266666666666665,0.15706666666666666,,0.0412,0.1648,,-0.0019333333333333355,-0.007733333333333342,
stackoverflow,0.25,known_wrong,0.0014,0.0056,,0.0011,0.0044,,0.0002999999999999999,0.0011999999999999997,
stackoverflow,0.25,oos_correct_rejected,0.7211333333333333,,0.961511111111111,0.6897666666666666,,0.9196888888888889,0.031366666666666654,,0.041822222222222094
stackoverflow,0.25,oos_false_accept,0.02886666666666667,,0.03848888888888889,0.060233333333333326,,0.08031111111111111,-0.031366666666666654,,-0.04182222222222222
stackoverflow,0.5,known_correct,0.41483333333333333,0.8296666666666667,,0.4043,0.8086,,0.010533333333333339,0.021066666666666678,
stackoverflow,0.5,known_rejected,0.08053333333333333,0.16106666666666666,,0.09313333333333333,0.18626666666666666,,-0.0126,-0.0252,
stackoverflow,0.5,known_wrong,0.004633333333333334,0.009266666666666668,,0.0025666666666666667,0.0051333333333333335,,0.002066666666666667,0.004133333333333334,
stackoverflow,0.5,oos_correct_rejected,0.45330000000000004,,0.9066000000000001,0.4586666666666666,,0.9173333333333332,-0.005366666666666575,,-0.01073333333333315
stackoverflow,0.5,oos_false_accept,0.046700000000000005,,0.09340000000000001,0.04133333333333333,,0.08266666666666667,0.005366666666666672,,0.010733333333333345
stackoverflow,0.75,known_correct,0.6164,0.8218666666666667,,0.5974999999999999,0.7966666666666666,,0.018900000000000028,0.02520000000000011,
stackoverflow,0.75,known_rejected,0.11913333333333334,0.15884444444444445,,0.14366666666666666,0.19155555555555556,,-0.024533333333333324,-0.03271111111111111,
stackoverflow,0.75,known_wrong,0.014466666666666666,0.01928888888888889,,0.008833333333333334,0.011777777777777778,,0.005633333333333332,0.0075111111111111125,
stackoverflow,0.75,oos_correct_rejected,0.22799999999999998,,0.9119999999999999,0.22970000000000002,,0.9188000000000001,-0.0017000000000000348,,-0.006800000000000139
stackoverflow,0.75,oos_false_accept,0.022,,0.088,0.020300000000000002,,0.08120000000000001,0.0016999999999999967,,0.006799999999999987
