dataset,kir,trainable_state,adb_state,count
banking77,0.25,known_correct,known_correct,2924
banking77,0.25,known_correct,known_rejected,138
banking77,0.25,known_correct,known_wrong,15
banking77,0.25,known_rejected,known_correct,337
banking77,0.25,known_rejected,known_rejected,330
banking77,0.25,known_rejected,known_wrong,23
banking77,0.25,known_wrong,known_correct,10
banking77,0.25,known_wrong,known_rejected,8
banking77,0.25,known_wrong,known_wrong,15
banking77,0.25,oos_correct_rejected,oos_correct_rejected,8193
banking77,0.25,oos_correct_rejected,oos_false_accept,2209
banking77,0.25,oos_false_accept,oos_correct_rejected,344
banking77,0.25,oos_false_accept,oos_false_accept,854
banking77,0.5,known_correct,known_correct,5794
banking77,0.5,known_correct,known_rejected,221
banking77,0.5,known_correct,known_wrong,67
banking77,0.5,known_rejected,known_correct,680
banking77,0.5,known_rejected,known_rejected,577
banking77,0.5,known_rejected,known_wrong,95
banking77,0.5,known_wrong,known_correct,44
banking77,0.5,known_wrong,known_rejected,27
banking77,0.5,known_wrong,known_wrong,95
banking77,0.5,oos_correct_rejected,oos_correct_rejected,4881
banking77,0.5,oos_correct_rejected,oos_false_accept,1691
banking77,0.5,oos_false_accept,oos_correct_rejected,293
banking77,0.5,oos_false_accept,oos_false_accept,935
banking77,0.75,known_correct,known_correct,8860
banking77,0.75,known_correct,known_rejected,247
banking77,0.75,known_correct,known_wrong,110
banking77,0.75,known_rejected,known_correct,1067
banking77,0.75,known_rejected,known_rejected,827
banking77,0.75,known_rejected,known_wrong,146
banking77,0.75,known_wrong,known_correct,104
banking77,0.75,known_wrong,known_rejected,45
banking77,0.75,known_wrong,known_wrong,194
banking77,0.75,oos_correct_rejected,oos_correct_rejected,2219
banking77,0.75,oos_correct_rejected,oos_false_accept,836
banking77,0.75,oos_false_accept,oos_correct_rejected,220
banking77,0.75,oos_false_accept,oos_false_accept,525
clinc150,0.25,known_correct,known_correct,4026
clinc150,0.25,known_correct,known_rejected,147
clinc150,0.25,known_correct,known_wrong,9
clinc150,0.25,known_rejected,known_correct,1114
clinc150,0.25,known_rejected,known_rejected,365
clinc150,0.25,known_rejected,known_wrong,24
clinc150,0.25,known_wrong,known_correct,5
clinc150,0.25,known_wrong,known_rejected,2
clinc150,0.25,known_wrong,known_wrong,8
clinc150,0.25,oos_correct_rejected,oos_correct_rejected,19466
clinc150,0.25,oos_correct_rejected,oos_false_accept,2596
clinc150,0.25,oos_false_accept,oos_correct_rejected,237
clinc150,0.25,oos_false_accept,oos_false_accept,501
clinc150,0.5,known_correct,known_correct,8019
clinc150,0.5,known_correct,known_rejected,227
clinc150,0.5,known_correct,known_wrong,33
clinc150,0.5,known_rejected,known_correct,2025
clinc150,0.5,known_rejected,known_rejected,790
clinc150,0.5,known_rejected,known_wrong,60
clinc150,0.5,known_wrong,known_correct,37
clinc150,0.5,known_wrong,known_rejected,13
clinc150,0.5,known_wrong,known_wrong,46
clinc150,0.5,oos_correct_rejected,oos_correct_rejected,14555
clinc150,0.5,oos_correct_rejected,oos_false_accept,2058
clinc150,0.5,oos_false_accept,oos_correct_rejected,220
clinc150,0.5,oos_false_accept,oos_false_accept,417
clinc150,0.75,known_correct,known_correct,12056
clinc150,0.75,known_correct,known_rejected,321
clinc150,0.75,known_correct,known_wrong,65
clinc150,0.75,known_rejected,known_correct,2929
clinc150,0.75,known_rejected,known_rejected,1082
clinc150,0.75,known_rejected,known_wrong,169
clinc150,0.75,known_wrong,known_correct,81
clinc150,0.75,known_wrong,known_rejected,19
clinc150,0.75,known_wrong,known_wrong,78
clinc150,0.75,oos_correct_rejected,oos_correct_rejected,9481
clinc150,0.75,oos_correct_rejected,oos_false_accept,1749
clinc150,0.75,oos_false_accept,oos_correct_rejected,173
clinc150,0.75,oos_false_accept,oos_false_accept,297
stackoverflow,0.25,known_correct,known_correct,5958
stackoverflow,0.25,known_correct,known_rejected,320
stackoverflow,0.25,known_correct,known_wrong,2
stackoverflow,0.25,known_rejected,known_correct,272
stackoverflow,0.25,known_rejected,known_rejected,885
