dataset,kir,intent,n_known,n_oos,delta_known_rejected_pp,delta_known_rejected_std_pp,delta_oos_false_accept_pp,delta_oos_false_accept_std_pp,trainable_known_rejected_rate,adb_known_rejected_rate,trainable_oos_false_accept_rate,adb_oos_false_accept_rate,n_seeds
banking77,0.25,Refund_not_showing_up,40.0,2320.0,3.749999999999999,1.7677669529663682,-0.7758620689655172,0.12191496227354261,0.1375,0.1,0.003232758620689655,0.010991379310344829,2
banking77,0.25,activate_my_card,40.0,2320.0,4.999999999999999,,-1.4224137931034484,,0.15,0.1,0.0,0.014224137931034483,1
banking77,0.25,apple_pay_or_google_pay,40.0,2320.0,10.0,,0.0,,0.125,0.025,0.0,0.0,1
banking77,0.25,atm_support,40.0,2320.0,5.0,4.330127018922194,-0.14367816091954025,0.04977157493014015,0.15,0.09999999999999999,0.0007183908045977011,0.0021551724137931034,3
banking77,0.25,automatic_top_up,40.0,2320.0,-0.8333333333333331,1.443375672974064,-1.10632183908046,0.19908629972056055,0.15,0.15833333333333333,0.0,0.011063218390804598,3
banking77,0.25,balance_not_updated_after_bank_transfer,40.0,2320.0,-7.500000000000001,,-0.21551724137931025,,0.025,0.1,0.013362068965517242,0.015517241379310345,1
banking77,0.25,balance_not_updated_after_cheque_or_cash_deposit,40.0,2320.0,10.0,,-0.21551724137931033,,0.2,0.1,0.0,0.0021551724137931034,1
banking77,0.25,beneficiary_not_allowed,40.0,2320.0,5.000000000000002,,-1.0775862068965518,,0.275,0.225,0.01939655172413793,0.03017241379310345,1
banking77,0.25,cancel_transfer,40.0,2320.0,7.500000000000001,3.5355339059327364,-0.3879310344827586,0.0,0.21250000000000002,0.1375,0.0,0.003879310344827586,2
banking77,0.25,card_about_to_expire,40.0,2320.0,-5.0,,-0.47413793103448276,,0.05,0.1,0.0,0.0047413793103448275,1
banking77,0.25,card_acceptance,40.0,2320.0,15.000000000000002,,-1.0344827586206897,,0.275,0.125,0.002586206896551724,0.01293103448275862,1
banking77,0.25,card_arrival,40.0,2320.0,5.0,6.614378277661476,-2.140804597701149,1.0437207254979308,0.125,0.075,0.008477011494252874,0.029885057471264367,3
banking77,0.25,card_linking,40.0,2320.0,12.5,,-2.5,,0.15,0.025,0.008620689655172414,0.03362068965517241,1
banking77,0.25,card_payment_fee_charged,40.0,2320.0,2.4999999999999996,,-2.1120689655172415,,0.175,0.15,0.0021551724137931034,0.02327586206896552,1
banking77,0.25,card_payment_wrong_exchange_rate,40.0,2320.0,2.4999999999999996,,-0.6465517241379312,,0.075,0.05,0.0034482758620689655,0.009913793103448277,1
banking77,0.25,cash_withdrawal_charge,40.0,2320.0,0.0,,-0.603448275862069,,0.125,0.125,0.0017241379310344827,0.007758620689655172,1
banking77,0.25,compromised_card,40.0,2320.0,16.666666666666668,6.291528696058956,-0.28735632183908044,0.3177204653375859,0.4083333333333334,0.24166666666666667,0.006609195402298851,0.009482758620689655,3
banking77,0.25,contactless_not_working,40.0,2320.0,-15.0,7.071067811865477,-1.4224137931034482,1.4020220661457408,0.2,0.35,0.0008620689655172414,0.015086206896551725,2
banking77,0.25,country_support,40.0,2320.0,17.5,,-0.5603448275862069,,0.225,0.05,0.0,0.005603448275862069,1
banking77,0.25,declined_cash_withdrawal,40.0,2320.0,0.0,,-0.9482758620689656,,0.1,0.1,0.0047413793103448275,0.014224137931034483,1
banking77,0.25,declined_transfer,40.0,2320.0,3.7500000000000004,5.3033008588991075,-0.04310344827586207,0.18287244341031403,0.3125,0.275,0.005387931034482759,0.005818965517241379,2
banking77,0.25,direct_debit_payment_not_recognised,40.0,2320.0,-1.924386576016938e-15,2.499999999999999,-0.31609195402298845,0.7293701233618997,0.30833333333333335,0.30833333333333335,0.0060344827586206904,0.009195402298850575,3
banking77,0.25,exchange_charge,40.0,2320.0,7.500000000000001,,-1.25,,0.2,0.125,0.001293103448275862,0.013793103448275862,1
banking77,0.25,exchange_rate,40.0,2320.0,5.0,0.0,-0.646551724137931,0.6095748113677135,0.1,0.05,0.001939655172413793,0.008405172413793103,2
banking77,0.25,exchange_via_app,40.0,2320.0,15.0,3.5355339059327378,-2.155172413793103,0.18287244341031367,0.2875,0.1375,0.004525862068965518,0.026077586206896552,2
banking77,0.25,extra_charge_on_statement,40.0,2320.0,15.000000000000002,,-1.810344827586207,,0.275,0.125,0.007758620689655172,0.02586206896551724,1
banking77,0.25,failed_transfer,40.0,2320.0,2.4999999999999996,,-0.7758620689655172,,0.175,0.15,0.011206896551724138,0.01896551724137931,1
banking77,0.25,getting_spare_card,40.0,2320.0,12.5,,-1.25,,0.25,0.125,0.0004310344827586207,0.01293103448275862,1
banking77,0.25,getting_virtual_card,40.0,2320.0,7.5,0.0,-2.3060344827586206,0.21335118397869984,0.1375,0.0625,0.000646551724137931,0.023706896551724137,2
banking77,0.25,lost_or_stolen_card,40.0,2320.0,7.499999999999998,,-1.8534482758620692,,0.175,0.1,0.001293103448275862,0.019827586206896553,1
banking77,0.25,lost_or_stolen_phone,40.0,2320.0,25.0,,0.04310344827586207,,0.3,0.05,0.0004310344827586207,0.0,1
banking77,0.25,order_physical_card,40.0,2320.0,5.0,,-7.543103448275862,,0.125,0.075,0.010344827586206896,0.08577586206896552,1
banking77,0.25,passcode_forgotten,40.0,2320.0,12.5,,-0.08620689655172414,,0.125,0.0,0.0,0.0008620689655172414,1
banking77,0.25,pending_card_payment,40.0,2320.0,21.25,5.303300858899107,-0.7327586206896552,0.4267023679573994,0.3125,0.1,0.00021551724137931034,0.0075431034482758615,2
