dataset,kir,seed,intent,n_known,n_oos,trainable_correct,trainable_wrong,trainable_rejected,adb_correct,adb_wrong,adb_rejected,trainable_oos_false_accept,adb_oos_false_accept,trainable_known_rejected_rate,adb_known_rejected_rate,delta_known_rejected_pp,trainable_oos_false_accept_rate,adb_oos_false_accept_rate,delta_oos_false_accept_pp,delta_known_acceptance_pp
clinc150,0.25,13,bill_due,30,4560,21,0,9,27,0,3,2,61,0.3,0.1,20.0,0.0004385964912280702,0.01337719298245614,-1.2938596491228072,-20.0
clinc150,0.25,13,calories,30,4560,24,0,6,29,0,1,0,3,0.2,0.03333333333333333,16.666666666666668,0.0,0.0006578947368421052,-0.06578947368421052,-16.666666666666668
clinc150,0.25,13,cancel,30,4560,21,0,9,28,0,2,2,19,0.3,0.06666666666666667,23.333333333333332,0.0004385964912280702,0.004166666666666667,-0.37280701754385964,-23.333333333333332
clinc150,0.25,13,car_rental,30,4560,20,0,10,27,0,3,0,1,0.3333333333333333,0.1,23.333333333333332,0.0,0.0002192982456140351,-0.021929824561403508,-23.333333333333332
clinc150,0.25,13,change_ai_name,30,4560,19,0,11,28,1,1,16,28,0.36666666666666664,0.03333333333333333,33.33333333333333,0.0035087719298245615,0.0061403508771929825,-0.2631578947368421,-33.33333333333333
clinc150,0.25,13,change_speed,30,4560,25,0,5,28,0,2,0,14,0.16666666666666666,0.06666666666666667,10.0,0.0,0.0030701754385964912,-0.30701754385964913,-10.0
clinc150,0.25,13,credit_score,30,4560,22,0,8,30,0,0,0,29,0.26666666666666666,0.0,26.666666666666668,0.0,0.006359649122807017,-0.6359649122807017,-26.666666666666668
clinc150,0.25,13,current_location,30,4560,24,0,6,29,0,1,3,24,0.2,0.03333333333333333,16.666666666666668,0.0006578947368421052,0.005263157894736842,-0.4605263157894736,-16.666666666666668
clinc150,0.25,13,damaged_card,30,4560,20,0,10,29,0,1,15,57,0.3333333333333333,0.03333333333333333,30.0,0.003289473684210526,0.0125,-0.9210526315789475,-30.0
clinc150,0.25,13,date,30,4560,26,0,4,28,0,2,0,7,0.13333333333333333,0.06666666666666667,6.666666666666667,0.0,0.0015350877192982456,-0.15350877192982457,-6.666666666666667
clinc150,0.25,13,food_last,30,4560,21,0,9,25,0,5,0,29,0.3,0.16666666666666666,13.333333333333334,0.0,0.006359649122807017,-0.6359649122807017,-13.333333333333334
clinc150,0.25,13,fun_fact,30,4560,23,0,7,26,0,4,0,9,0.23333333333333334,0.13333333333333333,10.0,0.0,0.001973684210526316,-0.19736842105263158,-10.0
clinc150,0.25,13,ingredient_substitution,30,4560,21,0,9,29,0,1,0,19,0.3,0.03333333333333333,26.666666666666668,0.0,0.004166666666666667,-0.4166666666666667,-26.666666666666668
clinc150,0.25,13,last_maintenance,30,4560,26,0,4,27,1,2,5,6,0.13333333333333333,0.06666666666666667,6.666666666666667,0.0010964912280701754,0.0013157894736842105,-0.02192982456140351,-6.666666666666667
clinc150,0.25,13,lost_luggage,30,4560,27,0,3,29,0,1,0,0,0.1,0.03333333333333333,6.666666666666668,0.0,0.0,0.0,-6.666666666666668
clinc150,0.25,13,maybe,30,4560,23,0,7,28,0,2,8,33,0.23333333333333334,0.06666666666666667,16.666666666666668,0.0017543859649122807,0.007236842105263158,-0.5482456140350876,-16.666666666666668
clinc150,0.25,13,oil_change_how,30,4560,25,0,5,30,0,0,0,21,0.16666666666666666,0.0,16.666666666666664,0.0,0.004605263157894736,-0.4605263157894736,-16.666666666666664
clinc150,0.25,13,payday,30,4560,19,1,10,26,2,2,0,7,0.3333333333333333,0.06666666666666667,26.666666666666668,0.0,0.0015350877192982456,-0.15350877192982457,-26.666666666666668
clinc150,0.25,13,plug_type,30,4560,24,0,6,29,0,1,0,0,0.2,0.03333333333333333,16.666666666666668,0.0,0.0,0.0,-16.666666666666668
clinc150,0.25,13,pto_request_status,30,4560,21,0,9,26,0,4,3,13,0.3,0.13333333333333333,16.666666666666664,0.0006578947368421052,0.0028508771929824563,-0.21929824561403513,-16.666666666666664
clinc150,0.25,13,pto_used,30,4560,24,0,6,27,0,3,24,29,0.2,0.1,10.0,0.005263157894736842,0.006359649122807017,-0.10964912280701754,-10.0
clinc150,0.25,13,replacement_card_duration,30,4560,20,0,10,24,1,5,1,25,0.3333333333333333,0.16666666666666666,16.666666666666664,0.0002192982456140351,0.005482456140350877,-0.5263157894736842,-16.666666666666664
clinc150,0.25,13,restaurant_reservation,30,4560,19,0,11,25,0,5,3,38,0.36666666666666664,0.16666666666666666,20.0,0.0006578947368421052,0.008333333333333333,-0.7675438596491228,-20.0
clinc150,0.25,13,rewards_balance,30,4560,24,0,6,27,0,3,6,18,0.2,0.1,10.0,0.0013157894736842105,0.003947368421052632,-0.26315789473684215,-10.0
clinc150,0.25,13,shopping_list_update,30,4560,18,0,12,25,1,4,10,28,0.4,0.13333333333333333,26.66666666666667,0.0021929824561403508,0.0061403508771929825,-0.39473684210526316,-26.66666666666667
clinc150,0.25,13,spelling,30,4560,27,0,3,25,0,5,0,14,0.1,0.16666666666666666,-6.666666666666665,0.0,0.0030701754385964912,-0.30701754385964913,6.666666666666665
clinc150,0.25,13,tell_joke,30,4560,22,0,8,26,0,4,0,0,0.26666666666666666,0.13333333333333333,13.333333333333334,0.0,0.0,0.0,-13.333333333333334
clinc150,0.25,13,timezone,30,4560,21,0,9,30,0,0,5,12,0.3,0.0,30.0,0.0010964912280701754,0.002631578947368421,-0.15350877192982457,-30.0
clinc150,0.25,13,todo_list_update,30,4560,20,0,10,26,4,0,23,18,0.3333333333333333,0.0,33.33333333333333,0.005043859649122807,0.003947368421052632,0.10964912280701754,-33.33333333333333
clinc150,0.25,13,transfer,30,4560,24,0,6,28,0,2,1,20,0.2,0.06666666666666667,13.333333333333336,0.0002192982456140351,0.0043859649122807015,-0.4166666666666667,-13.333333333333336
clinc150,0.25,13,travel_alert,30,4560,14,0,16,28,0,2,0,22,0.5333333333333333,0.06666666666666667,46.666666666666664,0.0,0.004824561403508772,-0.4824561403508772,-46.666666666666664
clinc150,0.25,13,travel_notification,30,4560,18,0,12,28,0,2,0,0,0.4,0.06666666666666667,33.333333333333336,0.0,0.0,0.0,-33.333333333333336
clinc150,0.25,13,uber,30,4560,24,0,6,28,0,2,1,1,0.2,0.06666666666666667,13.333333333333336,0.0002192982456140351,0.0002192982456140351,0.0,-13.333333333333336
clinc150,0.25,13,user_name,30,4560,22,0,8,24,0,6,10,17,0.26666666666666666,0.2,6.666666666666665,0.0021929824561403508,0.0037280701754385964,-0.15350877192982457,-6.666666666666665
clinc150,0.25,13,vaccines,30,4560,17,0,13,28,0,2,0,2,0.43333333333333335,0.06666666666666667,36.66666666666667,0.0,0.0004385964912280702,-0.043859649122807015,-36.66666666666667
clinc150,0.25,13,what_are_your_hobbies,30,4560,20,0,10,24,0,6,0,6,0.3333333333333333,0.2,13.33333333333333,0.0,0.0013157894736842105,-0.13157894736842105,-13.33333333333333
clinc150,0.25,13,what_song,30,4560,25,0,5,29,0,1,0,17,0.16666666666666666,0.03333333333333333,13.333333333333334,0.0,0.0037280701754385964,-0.37280701754385964,-13.333333333333334
clinc150,0.25,13,whisper_mode,30,4560,28,0,2,29,0,1,0,23,0.06666666666666667,0.03333333333333333,3.3333333333333335,0.0,0.005043859649122807,-0.5043859649122807,-3.3333333333333335
clinc150,0.25,42,book_flight,30,4560,21,0,9,26,0,4,0,0,0.3,0.13333333333333333,16.666666666666664,0.0,0.0,0.0,-16.666666666666664
clinc150,0.25,42,calculator,30,4560,24,0,6,26,0,4,4,17,0.2,0.13333333333333333,6.666666666666668,0.0008771929824561404,0.0037280701754385964,-0.2850877192982456,-6.666666666666668
clinc150,0.25,42,calendar,30,4560,19,0,11,27,0,3,5,30,0.36666666666666664,0.1,26.66666666666666,0.0010964912280701754,0.006578947368421052,-0.5482456140350876,-26.66666666666666
clinc150,0.25,42,cancel,30,4560,23,0,7,26,1,3,1,13,0.23333333333333334,0.1,13.333333333333334,0.0002192982456140351,0.0028508771929824563,-0.26315789473684215,-13.333333333333334
clinc150,0.25,42,card_declined,30,4560,17,0,13,24,0,6,0,30,0.43333333333333335,0.2,23.333333333333332,0.0,0.006578947368421052,-0.6578947368421052,-23.333333333333332
clinc150,0.25,42,carry_on,30,4560,22,0,8,26,0,4,0,1,0.26666666666666666,0.13333333333333333,13.333333333333334,0.0,0.0002192982456140351,-0.021929824561403508,-13.333333333333334
clinc150,0.25,42,change_language,30,4560,21,0,9,29,0,1,2,8,0.3,0.03333333333333333,26.666666666666668,0.0004385964912280702,0.0017543859649122807,-0.13157894736842105,-26.666666666666668
clinc150,0.25,42,confirm_reservation,30,4560,16,0,14,30,0,0,6,33,0.4666666666666667,0.0,46.666666666666664,0.0013157894736842105,0.007236842105263158,-0.5921052631578948,-46.666666666666664
clinc150,0.25,42,cook_time,30,4560,26,0,4,27,0,3,0,11,0.13333333333333333,0.1,3.3333333333333326,0.0,0.002412280701754386,-0.2412280701754386,-3.3333333333333326
clinc150,0.25,42,credit_limit_change,30,4560,26,0,4,29,0,1,0,10,0.13333333333333333,0.03333333333333333,10.0,0.0,0.0021929824561403508,-0.21929824561403508,-10.0
clinc150,0.25,42,credit_score,30,4560,21,0,9,30,0,0,0,13,0.3,0.0,30.0,0.0,0.0028508771929824563,-0.2850877192982456,-30.0
clinc150,0.25,42,current_location,30,4560,25,0,5,28,0,2,1,1,0.16666666666666666,0.06666666666666667,10.0,0.0002192982456140351,0.0002192982456140351,0.0,-10.0
clinc150,0.25,42,directions,30,4560,17,0,13,27,0,3,16,23,0.43333333333333335,0.1,33.333333333333336,0.0035087719298245615,0.005043859649122807,-0.15350877192982457,-33.333333333333336
clinc150,0.25,42,flight_status,30,4560,20,0,10,26,0,4,0,0,0.3333333333333333,0.13333333333333333,20.0,0.0,0.0,0.0,-20.0
clinc150,0.25,42,freeze_account,30,4560,25,1,4,29,0,1,4,48,0.13333333333333333,0.03333333333333333,10.0,0.0008771929824561404,0.010526315789473684,-0.9649122807017544,-10.0
clinc150,0.25,42,how_busy,30,4560,18,0,12,25,0,5,6,17,0.4,0.16666666666666666,23.333333333333336,0.0013157894736842105,0.0037280701754385964,-0.24122807017543857,-23.333333333333336
clinc150,0.25,42,ingredient_substitution,30,4560,17,0,13,28,0,2,1,2,0.43333333333333335,0.06666666666666667,36.66666666666667,0.0002192982456140351,0.0004385964912280702,-0.021929824561403508,-36.66666666666667
clinc150,0.25,42,ingredients_list,30,4560,21,0,9,26,0,4,10,63,0.3,0.13333333333333333,16.666666666666664,0.0021929824561403508,0.01381578947368421,-1.162280701754386,-16.666666666666664
clinc150,0.25,42,lost_luggage,30,4560,28,0,2,29,0,1,0,0,0.06666666666666667,0.03333333333333333,3.3333333333333335,0.0,0.0,0.0,-3.3333333333333335
clinc150,0.25,42,make_call,30,4560,20,0,10,29,0,1,24,19,0.3333333333333333,0.03333333333333333,30.0,0.005263157894736842,0.004166666666666667,0.10964912280701754,-30.0
clinc150,0.25,42,meaning_of_life,30,4560,25,0,5,29,0,1,0,1,0.16666666666666666,0.03333333333333333,13.333333333333334,0.0,0.0002192982456140351,-0.021929824561403508,-13.333333333333334
clinc150,0.25,42,measurement_conversion,30,4560,25,0,5,26,1,3,0,7,0.16666666666666666,0.1,6.666666666666665,0.0,0.0015350877192982456,-0.15350877192982457,-6.666666666666665
clinc150,0.25,42,new_card,30,4560,19,0,11,28,0,2,1,9,0.36666666666666664,0.06666666666666667,30.0,0.0002192982456140351,0.001973684210526316,-0.17543859649122806,-30.0
clinc150,0.25,42,no,30,4560,28,0,2,29,1,0,16,40,0.06666666666666667,0.0,6.666666666666667,0.0035087719298245615,0.008771929824561403,-0.5263157894736841,-6.666666666666667
clinc150,0.25,42,oil_change_how,30,4560,25,0,5,29,0,1,0,38,0.16666666666666666,0.03333333333333333,13.333333333333334,0.0,0.008333333333333333,-0.8333333333333334,-13.333333333333334
clinc150,0.25,42,order_status,30,4560,21,0,9,28,0,2,1,5,0.3,0.06666666666666667,23.333333333333332,0.0002192982456140351,0.0010964912280701754,-0.08771929824561403,-23.333333333333332
clinc150,0.25,42,rewards_balance,30,4560,24,0,6,28,0,2,7,14,0.2,0.06666666666666667,13.333333333333336,0.0015350877192982456,0.0030701754385964912,-0.15350877192982457,-13.333333333333336
clinc150,0.25,42,schedule_maintenance,30,4560,18,0,12,27,0,3,5,54,0.4,0.1,30.000000000000004,0.0010964912280701754,0.011842105263157895,-1.074561403508772,-30.000000000000004
clinc150,0.25,42,share_location,30,4560,24,1,5,27,1,2,0,2,0.16666666666666666,0.06666666666666667,10.0,0.0,0.0004385964912280702,-0.043859649122807015,-10.0
clinc150,0.25,42,tell_joke,30,4560,21,0,9,27,0,3,0,5,0.3,0.1,20.0,0.0,0.0010964912280701754,-0.10964912280701754,-20.0
clinc150,0.25,42,todo_list_update,30,4560,22,0,8,28,0,2,27,34,0.26666666666666666,0.06666666666666667,20.0,0.0059210526315789476,0.007456140350877193,-0.1535087719298245,-20.0
clinc150,0.25,42,traffic,30,4560,26,0,4,28,0,2,0,0,0.13333333333333333,0.06666666666666667,6.666666666666667,0.0,0.0,0.0,-6.666666666666667
clinc150,0.25,42,translate,30,4560,15,0,15,25,1,4,0,8,0.5,0.13333333333333333,36.66666666666667,0.0,0.0017543859649122807,-0.17543859649122806,-36.66666666666667
clinc150,0.25,42,travel_alert,30,4560,14,0,16,27,0,3,0,15,0.5333333333333333,0.1,43.333333333333336,0.0,0.003289473684210526,-0.3289473684210526,-43.333333333333336
clinc150,0.25,42,what_are_your_hobbies,30,4560,19,0,11,27,0,3,0,5,0.36666666666666664,0.1,26.66666666666666,0.0,0.0010964912280701754,-0.10964912280701754,-26.66666666666666
clinc150,0.25,42,what_is_your_name,30,4560,25,0,5,28,0,2,33,43,0.16666666666666666,0.06666666666666667,10.0,0.007236842105263158,0.009429824561403509,-0.21929824561403508,-10.0
clinc150,0.25,42,where_are_you_from,30,4560,21,0,9,27,0,3,0,10,0.3,0.1,20.0,0.0,0.0021929824561403508,-0.21929824561403508,-20.0
clinc150,0.25,42,whisper_mode,30,4560,27,0,3,28,0,2,0,40,0.1,0.06666666666666667,3.333333333333334,0.0,0.008771929824561403,-0.8771929824561403,-3.333333333333334
clinc150,0.25,87,account_blocked,30,4560,15,0,15,26,1,3,0,5,0.5,0.1,40.0,0.0,0.0010964912280701754,-0.10964912280701754,-40.0
clinc150,0.25,87,application_status,30,4560,26,0,4,30,0,0,2,5,0.13333333333333333,0.0,13.333333333333334,0.0004385964912280702,0.0010964912280701754,-0.06578947368421051,-13.333333333333334
clinc150,0.25,87,bill_balance,30,4560,14,0,16,25,1,4,6,105,0.5333333333333333,0.13333333333333333,40.0,0.0013157894736842105,0.023026315789473683,-2.1710526315789473,-40.0
clinc150,0.25,87,calendar,30,4560,19,0,11,25,0,5,3,17,0.36666666666666664,0.16666666666666666,20.0,0.0006578947368421052,0.0037280701754385964,-0.30701754385964913,-20.0
clinc150,0.25,87,cancel_reservation,30,4560,28,0,2,30,0,0,0,6,0.06666666666666667,0.0,6.666666666666667,0.0,0.0013157894736842105,-0.13157894736842105,-6.666666666666667
clinc150,0.25,87,card_declined,30,4560,16,1,13,24,0,6,0,3,0.43333333333333335,0.2,23.333333333333332,0.0,0.0006578947368421052,-0.06578947368421052,-23.333333333333332
clinc150,0.25,87,change_ai_name,30,4560,16,0,14,28,0,2,56,38,0.4666666666666667,0.06666666666666667,40.0,0.012280701754385965,0.008333333333333333,0.39473684210526316,-40.0
clinc150,0.25,87,change_volume,30,4560,20,0,10,22,0,8,0,26,0.3333333333333333,0.26666666666666666,6.666666666666665,0.0,0.005701754385964913,-0.5701754385964912,-6.666666666666665
